,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,"PART A.  PARTICIPATION DURING THE MONTH, Cont'd",,,,,,,,,"PART A.  PARTICIPATION, Cont'd",,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,15.0,16.0,17.0,7.0,8.0,18.0,9.0,10.0,11.0,12.0,19.0,20.0,13.0,14.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0
Statewide,320893.0,4915.0,60.0,1010077.0,16178.0,6285.0,1330970.0,21093.0,6345.0,807971.0,2286086.0,3094057.0,11186.0,6157.0,44312.0,18956.0,55498.0,25113.0,73.0,8062.0,8135.0,0.0,0.0,0.0,1898032.0,1898032.0,0.0,462723654.52,3910628.97,466634283.49
Alameda,11677.0,321.0,1.0,32808.0,643.0,292.0,44485.0,964.0,293.0,27315.0,65057.0,92372.0,741.0,392.0,1635.0,798.0,2376.0,1190.0,1.0,387.0,388.0,0.0,0.0,0.0,45742.0,45742.0,0.0,14405736.0,196225.0,14601961.0
Alpine,4.0,0.0,0.0,65.0,0.0,0.0,69.0,0.0,0.0,11.0,140.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,0.0,21372.0,0.0,21372.0
Amador,206.0,0.0,0.0,895.0,0.0,0.0,1101.0,0.0,0.0,549.0,1723.0,2272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,1200.0,0.0,350045.0,0.0,350045.0
Butte,1753.0,0.0,0.0,9226.0,25.0,14.0,10979.0,25.0,14.0,4430.0,19449.0,23879.0,0.0,0.0,80.0,25.0,80.0,25.0,0.0,18.0,18.0,0.0,0.0,0.0,11659.0,11659.0,0.0,3465781.0,5662.0,3471443.0
Calaveras,356.0,0.0,0.0,1425.0,6.0,0.0,1781.0,6.0,0.0,995.0,2854.0,3849.0,0.0,0.0,12.0,6.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1787.0,1787.0,0.0,562839.0,377.0,563216.0
Colusa,76.0,0.0,0.0,487.0,6.0,0.0,563.0,6.0,0.0,234.0,1470.0,1704.0,0.0,0.0,17.0,7.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,621.0,621.0,0.0,209283.0,556.0,209839.0
Contra Costa,6488.0,78.0,1.0,17093.0,191.0,48.0,23581.0,269.0,49.0,15743.0,35650.0,51393.0,170.0,94.0,530.0,242.0,700.0,336.0,3.0,66.0,69.0,0.0,0.0,0.0,26690.0,26690.0,0.0,7850535.82,46853.45,7897389.27
Del Norte,449.0,0.0,0.0,1761.0,3.0,1.0,2210.0,3.0,1.0,1263.0,3472.0,4735.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,2214.0,2214.0,0.0,691608.39,340.0,691948.39
El Dorado,561.0,1.0,0.0,3392.0,19.0,7.0,3953.0,20.0,7.0,1518.0,6637.0,8155.0,4.0,1.0,40.0,21.0,44.0,22.0,0.0,8.0,8.0,0.0,0.0,0.0,4322.0,4322.0,0.0,1196296.0,3227.0,1199523.0
Fresno,18251.0,98.0,0.0,54223.0,469.0,88.0,72474.0,567.0,88.0,49449.0,132822.0,182271.0,243.0,110.0,1410.0,512.0,1653.0,622.0,0.0,106.0,106.0,0.0,0.0,0.0,84252.0,84252.0,0.0,26806908.0,89116.0,26896024.0
Glenn,244.0,0.0,0.0,889.0,4.0,0.0,1133.0,4.0,0.0,661.0,2272.0,2933.0,0.0,0.0,13.0,6.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1218.0,1218.0,0.0,400328.0,523.0,400851.0
Humboldt,1065.0,0.0,0.0,5421.0,11.0,11.0,6486.0,11.0,11.0,2686.0,10107.0,12793.0,0.0,0.0,27.0,12.0,27.0,12.0,0.0,17.0,17.0,0.0,0.0,0.0,7314.0,7314.0,0.0,1874863.0,3346.0,1878209.0
Imperial,2071.0,33.0,0.0,8288.0,250.0,41.0,10359.0,283.0,41.0,6157.0,21483.0,27640.0,91.0,35.0,706.0,271.0,797.0,306.0,0.0,58.0,58.0,0.0,0.0,0.0,10683.0,10683.0,0.0,4076546.0,39871.0,4116417.0
Inyo,132.0,0.0,0.0,617.0,0.0,0.0,749.0,0.0,0.0,392.0,1118.0,1510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799.0,799.0,0.0,206591.0,0.0,206591.0
Kern,10877.0,44.0,0.0,34925.0,272.0,49.0,45802.0,316.0,49.0,29621.0,89169.0,118790.0,100.0,47.0,795.0,287.0,895.0,334.0,0.0,90.0,90.0,0.0,0.0,0.0,44185.0,44185.0,0.0,17006509.0,52921.0,17059430.0
Kings,1660.0,9.0,0.0,5857.0,69.0,41.0,7517.0,78.0,41.0,4513.0,14131.0,18644.0,19.0,9.0,222.0,73.0,241.0,82.0,0.0,52.0,52.0,0.0,0.0,0.0,8658.0,8658.0,0.0,2669035.09,9894.0,2678929.09
Lake,973.0,0.0,0.0,2682.0,19.0,1.0,3655.0,19.0,1.0,1601.0,6269.0,7870.0,0.0,0.0,44.0,19.0,44.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0,4012.0,4012.0,0.0,1180728.0,1738.0,1182466.0
Lassen,243.0,3.0,0.0,971.0,3.0,1.0,1214.0,6.0,1.0,677.0,2083.0,2760.0,7.0,6.0,4.0,3.0,11.0,9.0,0.0,7.0,7.0,0.0,0.0,0.0,1302.0,1302.0,0.0,407895.0,200.0,408095.0
Los Angeles  a/,87796.0,1823.0,31.0,299195.0,5289.0,2266.0,386991.0,7112.0,2297.0,200796.0,641750.0,842546.0,3753.0,2325.0,14237.0,6237.0,17990.0,8562.0,37.0,2769.0,2806.0,0.0,0.0,0.0,853255.0,853255.0,0.0,131460187.0,1399872.0,132860059.0
Madera,1117.0,0.0,0.0,6842.0,16.0,2.0,7959.0,16.0,2.0,3128.0,17740.0,20868.0,0.0,0.0,60.0,17.0,60.0,17.0,0.0,2.0,2.0,0.0,0.0,0.0,8578.0,8578.0,0.0,3000546.0,2451.0,3002997.0
Marin,500.0,0.0,0.0,3600.0,66.0,106.0,4100.0,66.0,106.0,1178.0,5715.0,6893.0,0.0,0.0,128.0,76.0,128.0,76.0,0.0,115.0,115.0,0.0,0.0,0.0,4362.0,4362.0,0.0,1071609.0,13739.0,1085348.0
Mariposa,126.0,0.0,0.0,436.0,0.0,0.0,562.0,0.0,0.0,358.0,871.0,1229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,625.0,0.0,181661.0,0.0,181661.0
Mendocino,723.0,0.0,0.0,4731.0,28.0,2.0,5454.0,28.0,2.0,1946.0,8839.0,10785.0,0.0,0.0,89.0,31.0,89.0,31.0,0.0,2.0,2.0,0.0,0.0,0.0,5789.0,5789.0,0.0,1595987.0,3775.0,1599762.0
Merced,5233.0,27.0,1.0,11548.0,78.0,3.0,16781.0,105.0,4.0,14241.0,29903.0,44144.0,78.0,30.0,260.0,84.0,338.0,114.0,1.0,3.0,4.0,0.0,0.0,0.0,18063.0,18063.0,0.0,6270755.0,11969.0,6282724.0
Modoc,63.0,0.0,0.0,351.0,0.0,0.0,414.0,0.0,0.0,175.0,843.0,1018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134477.0,0.0,134477.0
Mono,37.0,0.0,0.0,279.0,1.0,0.0,316.0,1.0,0.0,94.0,443.0,537.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,355.0,355.0,0.0,85181.0,37.0,85218.0
