,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,"PART A.  PARTICIPATION DURING THE MONTH, Continued",,,,,,,,,"PART A.  PARTICIPATION, Continued",,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,15.0,16.0,17.0,7.0,8.0,18.0,9.0,10.0,11.0,12.0,19.0,20.0,13.0,14.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0
Statewide,360283.0,5309.0,86.0,1266657.0,17670.0,7486.0,1626940.0,22979.0,7572.0,917602.0,2750574.0,3668176.0,11714.0,6759.0,47071.0,21017.0,58785.0,27776.0,129.0,9681.0,9810.0,0.0,0.0,0.0,2265506.0,2265506.0,0.0,549992903.1,4753482.78,554746385.88
Alameda,12101.0,334.0,6.0,41303.0,849.0,397.0,53404.0,1183.0,403.0,28438.0,80525.0,108963.0,737.0,388.0,2066.0,1065.0,2803.0,1453.0,9.0,528.0,537.0,0.0,0.0,0.0,54990.0,54990.0,0.0,16873997.0,251282.0,17125279.0
Alpine,6.0,0.0,0.0,79.0,0.0,0.0,85.0,0.0,0.0,16.0,135.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,90.0,0.0,21399.0,0.0,21399.0
Amador,275.0,0.0,0.0,1174.0,4.0,0.0,1449.0,4.0,0.0,710.0,2139.0,2849.0,0.0,0.0,10.0,4.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1594.0,1594.0,0.0,437217.0,290.0,437507.0
Butte,2296.0,2.0,0.0,10241.0,62.0,11.0,12537.0,64.0,11.0,5896.0,20851.0,26747.0,3.0,2.0,172.0,64.0,175.0,66.0,0.0,14.0,14.0,0.0,0.0,0.0,13528.0,13528.0,0.0,3930973.0,9518.0,3940491.0
Calaveras,430.0,1.0,0.0,1818.0,6.0,0.0,2248.0,7.0,0.0,1211.0,3456.0,4667.0,1.0,1.0,17.0,7.0,18.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,2400.0,0.0,687710.0,613.0,688323.0
Colusa,122.0,4.0,0.0,533.0,6.0,0.0,655.0,10.0,0.0,326.0,1383.0,1709.0,16.0,4.0,20.0,6.0,36.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,713.0,713.0,0.0,236977.0,708.0,237685.0
Contra Costa,6946.0,85.0,2.0,22489.0,257.0,73.0,29435.0,342.0,75.0,16796.0,45675.0,62471.0,179.0,102.0,673.0,313.0,852.0,415.0,4.0,95.0,99.0,0.0,0.0,0.0,32572.0,32572.0,0.0,9489168.95,57480.1,9546649.05
Del Norte,576.0,1.0,0.0,1925.0,3.0,6.0,2501.0,4.0,6.0,1589.0,3693.0,5282.0,3.0,1.0,7.0,3.0,10.0,4.0,0.0,7.0,7.0,0.0,0.0,0.0,2661.0,2661.0,0.0,748877.92,1319.0,750196.92
El Dorado,823.0,11.0,0.0,4716.0,29.0,4.0,5539.0,40.0,4.0,2164.0,8935.0,11099.0,29.0,11.0,62.0,35.0,91.0,46.0,0.0,5.0,5.0,0.0,0.0,0.0,6013.0,6013.0,0.0,1588420.0,5230.0,1593650.0
Fresno,18732.0,89.0,0.0,64018.0,493.0,114.0,82750.0,582.0,114.0,50271.0,152435.0,202706.0,230.0,102.0,1466.0,553.0,1696.0,655.0,0.0,146.0,146.0,0.0,0.0,0.0,90215.0,90215.0,0.0,30025874.18,97873.17,30123747.35
Glenn,304.0,1.0,0.0,996.0,7.0,0.0,1300.0,8.0,0.0,823.0,2540.0,3363.0,3.0,1.0,22.0,8.0,25.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1429.0,1429.0,0.0,462417.0,740.0,463157.0
Humboldt,1263.0,2.0,0.0,6352.0,16.0,4.0,7615.0,18.0,4.0,3139.0,11528.0,14667.0,4.0,3.0,39.0,17.0,43.0,20.0,0.0,4.0,4.0,0.0,0.0,0.0,8403.0,8403.0,0.0,2182982.0,2907.0,2185889.0
Imperial,2653.0,50.0,0.0,9956.0,259.0,45.0,12609.0,309.0,45.0,7688.0,25015.0,32703.0,125.0,51.0,740.0,270.0,865.0,321.0,0.0,47.0,47.0,0.0,0.0,0.0,13940.0,13940.0,0.0,4584530.0,43164.0,4627694.0
Inyo,153.0,0.0,0.0,716.0,7.0,0.0,869.0,7.0,0.0,447.0,1326.0,1773.0,0.0,0.0,22.0,9.0,22.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,938.0,938.0,0.0,243584.0,938.0,244522.0
Kern ,13678.0,83.0,1.0,38909.0,360.0,90.0,52587.0,443.0,91.0,37342.0,94166.0,131508.0,218.0,96.0,1068.0,401.0,1286.0,497.0,1.0,113.0,114.0,0.0,0.0,0.0,56488.0,56488.0,0.0,19086658.0,84205.0,19170863.0
Kings,1948.0,10.0,0.0,6960.0,70.0,36.0,8908.0,80.0,36.0,5344.0,16365.0,21709.0,20.0,10.0,200.0,76.0,220.0,86.0,0.0,49.0,49.0,0.0,0.0,0.0,9615.0,9615.0,0.0,3016387.0,17618.0,3034005.0
Lake,877.0,2.0,0.0,3667.0,18.0,6.0,4544.0,20.0,6.0,2341.0,7005.0,9346.0,5.0,2.0,41.0,20.0,46.0,22.0,0.0,8.0,8.0,0.0,0.0,0.0,4948.0,4948.0,0.0,1401195.0,3076.0,1404271.0
Lassen,323.0,1.0,0.0,1068.0,6.0,1.0,1391.0,7.0,1.0,895.0,2079.0,2974.0,2.0,1.0,15.0,7.0,17.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,1515.0,1515.0,0.0,445799.0,1108.0,446907.0
Los Angeles,99826.0,1921.0,37.0,362199.0,5216.0,2635.0,462025.0,7137.0,2672.0,232361.0,755832.0,988193.0,3795.0,2532.0,13631.0,6253.0,17426.0,8785.0,56.0,3301.0,3357.0,0.0,0.0,0.0,1039066.0,1039066.0,0.0,154645851.0,1681963.0,156327814.0
Madera,2428.0,5.0,2.0,7448.0,63.0,3.0,9876.0,68.0,5.0,6356.0,18944.0,25300.0,7.0,5.0,207.0,70.0,214.0,75.0,4.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3652102.0,9897.0,3661999.0
Marin,971.0,31.0,2.0,4111.0,56.0,23.0,5082.0,87.0,25.0,2099.0,6383.0,8482.0,69.0,34.0,117.0,68.0,186.0,102.0,2.0,27.0,29.0,0.0,0.0,0.0,5460.0,5460.0,0.0,1338963.0,17688.0,1356651.0
Mariposa,164.0,0.0,0.0,620.0,0.0,0.0,784.0,0.0,0.0,468.0,1195.0,1663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848.0,848.0,0.0,245790.0,0.0,245790.0
Mendocino,987.0,5.0,0.0,5539.0,21.0,10.0,6526.0,26.0,10.0,2502.0,10277.0,12779.0,14.0,5.0,59.0,25.0,73.0,30.0,0.0,13.0,13.0,0.0,0.0,0.0,6917.0,6917.0,0.0,1873206.0,6384.0,1879590.0
Merced,5561.0,17.0,1.0,14280.0,84.0,6.0,19841.0,101.0,7.0,15413.0,34815.0,50228.0,50.0,19.0,255.0,89.0,305.0,108.0,1.0,6.0,7.0,0.0,0.0,0.0,21189.0,21189.0,0.0,7220393.0,12868.0,7233261.0
Modoc,102.0,0.0,0.0,317.0,0.0,0.0,419.0,0.0,0.0,260.0,739.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.0,446.0,0.0,134183.0,0.0,134183.0
Mono,20.0,0.0,0.0,304.0,1.0,0.0,324.0,1.0,0.0,43.0,476.0,519.0,0.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,371.0,371.0,0.0,80759.0,0.0,80759.0
