,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,PART A.  PARTICIPATION DURING THE MONTH (Continued),,,,,,,,,PART A.  PARTICIPATION (Continued),,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,15.0,16.0,17.0,7.0,8.0,18.0,9.0,10.0,11.0,12.0,19.0,20.0,13.0,14.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0
Statewide,328718.0,4590.0,90.0,1406918.0,18906.0,7781.0,1735636.0,23496.0,7871.0,825597.0,3032990.0,3858587.0,10062.0,5865.0,49159.0,22618.0,59221.0,28483.0,119.0,10244.0,10363.0,0.0,0.0,0.0,2417662.0,2417662.0,0.0,587560190.04,5033627.44,592593817.48
Alameda,10893.0,313.0,6.0,47406.0,979.0,428.0,58299.0,1292.0,434.0,25463.0,91501.0,116964.0,702.0,358.0,2283.0,1219.0,2985.0,1577.0,6.0,580.0,586.0,0.0,0.0,0.0,60025.0,60025.0,0.0,18331639.0,272946.0,18604585.0
Alpine,5.0,0.0,0.0,77.0,0.0,0.0,82.0,0.0,0.0,12.0,140.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,89.0,0.0,20189.0,0.0,20189.0
Amador,230.0,0.0,0.0,1370.0,5.0,0.0,1600.0,5.0,0.0,571.0,2492.0,3063.0,0.0,0.0,12.0,6.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1746.0,1746.0,0.0,467234.0,546.0,467780.0
Butte,2200.0,7.0,0.0,11179.0,44.0,10.0,13379.0,51.0,10.0,5523.0,22500.0,28023.0,20.0,7.0,118.0,48.0,138.0,55.0,0.0,12.0,12.0,0.0,0.0,0.0,14568.0,14568.0,0.0,4169856.0,9199.0,4179055.0
Calaveras,359.0,1.0,0.0,2055.0,3.0,0.0,2414.0,4.0,0.0,942.0,3918.0,4860.0,1.0,1.0,10.0,3.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2581.0,2581.0,0.0,736160.0,491.0,736651.0
Colusa,120.0,0.0,0.0,566.0,6.0,0.0,686.0,6.0,0.0,316.0,1365.0,1681.0,0.0,0.0,20.0,6.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,799.0,799.0,0.0,251297.0,853.0,252150.0
Contra Costa,6193.0,65.0,1.0,24959.0,301.0,72.0,31152.0,366.0,73.0,14825.0,50793.0,65618.0,148.0,81.0,729.0,362.0,877.0,443.0,2.0,89.0,91.0,0.0,0.0,0.0,34408.0,34408.0,0.0,10157646.66,64383.34,10222030.0
Del Norte,494.0,1.0,0.0,2068.0,5.0,7.0,2562.0,6.0,7.0,1329.0,4006.0,5335.0,3.0,1.0,12.0,6.0,15.0,7.0,0.0,9.0,9.0,0.0,0.0,0.0,2744.0,2744.0,0.0,786195.3,2271.0,788466.3
El Dorado,676.0,8.0,0.0,5117.0,25.0,8.0,5793.0,33.0,8.0,1719.0,9489.0,11208.0,20.0,8.0,63.0,32.0,83.0,40.0,0.0,10.0,10.0,0.0,0.0,0.0,6290.0,6290.0,0.0,1689617.0,6552.0,1696169.0
Fresno,16265.0,103.0,0.0,70028.0,520.0,116.0,86293.0,623.0,116.0,42974.0,166029.0,209003.0,258.0,113.0,1509.0,570.0,1767.0,683.0,0.0,149.0,149.0,0.0,0.0,0.0,93721.0,93721.0,0.0,31425461.0,108222.0,31533683.0
Glenn,261.0,1.0,0.0,1073.0,8.0,2.0,1334.0,9.0,2.0,683.0,2661.0,3344.0,3.0,1.0,25.0,8.0,28.0,9.0,0.0,3.0,3.0,0.0,0.0,0.0,1472.0,1472.0,0.0,465019.0,1098.0,466117.0
Humboldt,1069.0,1.0,0.0,6818.0,13.0,3.0,7887.0,14.0,3.0,2681.0,12363.0,15044.0,1.0,1.0,36.0,14.0,37.0,15.0,0.0,9.0,9.0,0.0,0.0,0.0,8688.0,8688.0,0.0,2257815.0,2593.0,2260408.0
Imperial,2399.0,40.0,0.0,10964.0,247.0,45.0,13363.0,287.0,45.0,6809.0,27342.0,34151.0,99.0,42.0,708.0,266.0,807.0,308.0,0.0,51.0,51.0,0.0,0.0,0.0,14483.0,14483.0,0.0,4808374.0,46850.0,4855224.0
Inyo,133.0,0.0,0.0,810.0,7.0,0.0,943.0,7.0,0.0,370.0,1554.0,1924.0,0.0,0.0,22.0,8.0,22.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1019.0,1019.0,0.0,260249.0,1038.0,261287.0
Kern ,12303.0,85.0,3.0,42245.0,513.0,116.0,54548.0,598.0,119.0,33265.0,100723.0,133988.0,230.0,94.0,1596.0,563.0,1826.0,657.0,3.0,148.0,151.0,0.0,0.0,0.0,58756.0,58756.0,0.0,19900714.0,109344.0,20010058.0
Kings,1759.0,9.0,1.0,7580.0,69.0,43.0,9339.0,78.0,44.0,4662.0,17731.0,22393.0,18.0,9.0,219.0,75.0,237.0,84.0,1.0,57.0,58.0,0.0,0.0,0.0,10004.0,10004.0,0.0,3166122.0,19223.0,3185345.0
Lake,751.0,3.0,0.0,4110.0,15.0,9.0,4861.0,18.0,9.0,1913.0,7950.0,9863.0,9.0,3.0,34.0,16.0,43.0,19.0,0.0,10.0,10.0,0.0,0.0,0.0,5244.0,5244.0,0.0,1485653.0,4068.0,1489721.0
Lassen,259.0,0.0,0.0,1109.0,4.0,1.0,1368.0,4.0,1.0,668.0,2245.0,2913.0,0.0,0.0,13.0,4.0,13.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1492.0,1492.0,0.0,440587.0,693.0,441280.0
Los Angeles,94063.0,1712.0,39.0,391365.0,5180.0,2653.0,485428.0,6892.0,2692.0,215919.0,814504.0,1030423.0,3345.0,2308.0,13182.0,6235.0,16527.0,8543.0,60.0,3409.0,3469.0,0.0,0.0,0.0,1063468.0,1063468.0,0.0,162909671.0,1650283.0,164559954.0
Madera,2114.0,8.0,1.0,8108.0,51.0,2.0,10222.0,59.0,3.0,5624.0,20303.0,25927.0,14.0,9.0,159.0,59.0,173.0,68.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3782060.0,9463.0,3791523.0
Marin,830.0,35.0,6.0,4349.0,73.0,32.0,5179.0,108.0,38.0,1760.0,6784.0,8544.0,79.0,41.0,156.0,89.0,235.0,130.0,6.0,42.0,48.0,0.0,0.0,0.0,5604.0,5604.0,0.0,1385153.0,25132.0,1410285.0
Mariposa,130.0,0.0,0.0,695.0,1.0,0.0,825.0,1.0,0.0,343.0,1382.0,1725.0,0.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,889.0,889.0,0.0,257352.0,125.0,257477.0
Mendocino,875.0,5.0,0.0,5955.0,29.0,8.0,6830.0,34.0,8.0,2213.0,11096.0,13309.0,14.0,5.0,83.0,32.0,97.0,37.0,0.0,11.0,11.0,0.0,0.0,0.0,7223.0,7223.0,0.0,1967109.0,6473.0,1973582.0
Merced,5009.0,19.0,1.0,16132.0,82.0,9.0,21141.0,101.0,10.0,13732.0,38612.0,52344.0,49.0,20.0,258.0,90.0,307.0,110.0,1.0,9.0,10.0,0.0,0.0,0.0,22632.0,22632.0,0.0,7671554.0,15564.0,7687118.0
Modoc,78.0,0.0,0.0,347.0,0.0,0.0,425.0,0.0,0.0,205.0,816.0,1021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0,459.0,0.0,138198.0,0.0,138198.0
Mono,22.0,0.0,0.0,402.0,2.0,0.0,424.0,2.0,0.0,52.0,636.0,688.0,0.0,0.0,8.0,2.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,457.0,457.0,0.0,104908.0,289.0,105197.0
