,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,PART A.  PARTICIPATION DURING THE MONTH (Continued),,,,,,,,,PART A.  PARTICIPATION (Continued),,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,15.0,16.0,17.0,7.0,8.0,18.0,9.0,10.0,11.0,12.0,19.0,20.0,13.0,14.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0
Statewide,318891.0,4597.0,113.0,1469033.0,19552.0,8163.0,1787924.0,24149.0,8276.0,800437.0,3150796.0,3951233.0,9914.0,5911.0,50481.0,23603.0,60395.0,29514.0,199.0,10715.0,10914.0,0.0,0.0,0.0,2484416.0,2484416.0,0.0,599781309.1,5176358.36,604957667.46
Alameda,10714.0,298.0,5.0,49017.0,994.0,487.0,59731.0,1292.0,492.0,24952.0,93785.0,118737.0,645.0,337.0,2328.0,1243.0,2973.0,1580.0,5.0,642.0,647.0,0.0,0.0,0.0,61515.0,61515.0,0.0,18650135.0,289523.0,18939658.0
Alpine,1.0,0.0,0.0,82.0,0.0,0.0,83.0,0.0,0.0,2.0,145.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,88.0,0.0,20241.0,0.0,20241.0
Amador,219.0,1.0,0.0,1493.0,5.0,1.0,1712.0,6.0,1.0,559.0,2701.0,3260.0,3.0,1.0,10.0,6.0,13.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,1829.0,1829.0,0.0,490629.0,647.0,491276.0
Butte,2141.0,8.0,0.0,11739.0,40.0,10.0,13880.0,48.0,10.0,5354.0,23555.0,28909.0,17.0,8.0,114.0,44.0,131.0,52.0,0.0,12.0,12.0,0.0,0.0,0.0,14995.0,14995.0,0.0,4278155.0,7822.0,4285977.0
Calaveras,349.0,0.0,0.0,2189.0,4.0,0.0,2538.0,4.0,0.0,922.0,4084.0,5006.0,0.0,0.0,11.0,4.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2670.0,2670.0,0.0,748202.0,530.0,748732.0
Colusa,109.0,1.0,0.0,595.0,6.0,1.0,704.0,7.0,1.0,271.0,1488.0,1759.0,4.0,1.0,18.0,6.0,22.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,792.0,792.0,0.0,241372.0,910.0,242282.0
Contra Costa,6149.0,65.0,0.0,26181.0,315.0,81.0,32330.0,380.0,81.0,14706.0,52577.0,67283.0,142.0,83.0,786.0,386.0,928.0,469.0,0.0,106.0,106.0,0.0,0.0,0.0,35885.0,35885.0,0.0,10468429.0,66756.0,10535185.0
Del Norte,485.0,2.0,0.0,2174.0,4.0,4.0,2659.0,6.0,4.0,1329.0,4177.0,5506.0,6.0,2.0,11.0,4.0,17.0,6.0,0.0,4.0,4.0,0.0,0.0,0.0,2821.0,2821.0,0.0,811115.16,1436.0,812551.16
El Dorado,664.0,7.0,0.0,5478.0,28.0,11.0,6142.0,35.0,11.0,1658.0,10013.0,11671.0,18.0,7.0,70.0,35.0,88.0,42.0,0.0,13.0,13.0,0.0,0.0,0.0,6629.0,6629.0,0.0,1742939.0,7634.0,1750573.0
Fresno,16213.0,100.0,1.0,71816.0,508.0,122.0,88029.0,608.0,123.0,43048.0,169984.0,213032.0,274.0,110.0,1496.0,567.0,1770.0,677.0,1.0,160.0,161.0,0.0,0.0,0.0,95083.0,95083.0,0.0,31811670.0,109143.0,31920813.0
Glenn,268.0,0.0,0.0,1108.0,12.0,2.0,1376.0,12.0,2.0,707.0,2687.0,3394.0,0.0,0.0,39.0,13.0,39.0,13.0,0.0,2.0,2.0,0.0,0.0,0.0,1499.0,1499.0,0.0,470542.0,1428.0,471970.0
Humboldt  a/,1078.0,1.0,0.0,6965.0,10.0,3.0,8043.0,11.0,3.0,2699.0,12627.0,15326.0,4.0,1.0,28.0,11.0,32.0,12.0,0.0,4.0,4.0,0.0,0.0,0.0,8718.0,8718.0,0.0,2290308.0,2294.0,2292602.0
Imperial,2269.0,35.0,1.0,11384.0,265.0,39.0,13653.0,300.0,40.0,6327.0,28344.0,34671.0,85.0,36.0,759.0,289.0,844.0,325.0,2.0,47.0,49.0,0.0,0.0,0.0,14954.0,14954.0,0.0,4893979.0,50176.0,4944155.0
Inyo,129.0,1.0,0.0,815.0,8.0,0.0,944.0,9.0,0.0,346.0,1548.0,1894.0,2.0,2.0,26.0,10.0,28.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.0,1016.0,0.0,261796.0,1530.0,263326.0
Kern ,11857.0,70.0,2.0,44959.0,557.0,127.0,56816.0,627.0,129.0,32132.0,105543.0,137675.0,190.0,78.0,1709.0,618.0,1899.0,696.0,3.0,151.0,154.0,0.0,0.0,0.0,60809.0,60809.0,0.0,20431713.0,109117.0,20540830.0
Kings,1684.0,11.0,1.0,7831.0,85.0,43.0,9515.0,96.0,44.0,4458.0,18274.0,22732.0,23.0,11.0,263.0,94.0,286.0,105.0,1.0,55.0,56.0,0.0,0.0,0.0,10300.0,10300.0,0.0,3194397.0,20974.0,3215371.0
Lake,679.0,2.0,0.0,4375.0,15.0,10.0,5054.0,17.0,10.0,1777.0,8334.0,10111.0,5.0,2.0,40.0,16.0,45.0,18.0,0.0,11.0,11.0,0.0,0.0,0.0,5499.0,5499.0,0.0,1528697.0,3880.0,1532577.0
Lassen,257.0,0.0,0.0,1146.0,0.0,0.0,1403.0,0.0,0.0,675.0,2301.0,2976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1485.0,1485.0,0.0,442137.0,0.0,442137.0
Los Angeles,91549.0,1906.0,65.0,404125.0,5386.0,2711.0,495674.0,7292.0,2776.0,209252.0,837662.0,1046914.0,3679.0,2601.0,13445.0,6594.0,17124.0,9195.0,139.0,3434.0,3573.0,0.0,0.0,0.0,1087616.0,1087616.0,0.0,165042415.0,1721054.0,166763469.0
Madera,2131.0,6.0,1.0,8386.0,60.0,2.0,10517.0,66.0,3.0,5676.0,21002.0,26678.0,11.0,7.0,195.0,68.0,206.0,75.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3856904.0,10342.0,3867246.0
Marin,823.0,39.0,4.0,4550.0,90.0,40.0,5373.0,129.0,44.0,1778.0,7066.0,8844.0,88.0,43.0,205.0,110.0,293.0,153.0,6.0,58.0,64.0,0.0,0.0,0.0,5831.0,5831.0,0.0,1428720.0,27812.0,1456532.0
Mariposa,135.0,0.0,0.0,761.0,0.0,0.0,896.0,0.0,0.0,349.0,1483.0,1832.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,947.0,947.0,0.0,268903.0,0.0,268903.0
Mendocino,914.0,5.0,0.0,6178.0,33.0,10.0,7092.0,38.0,10.0,2289.0,11059.0,13348.0,15.0,5.0,83.0,37.0,98.0,42.0,0.0,13.0,13.0,0.0,0.0,0.0,7482.0,7482.0,0.0,2022558.0,7764.0,2030322.0
Merced,4956.0,24.0,1.0,16953.0,90.0,6.0,21909.0,114.0,7.0,13549.0,40091.0,53640.0,67.0,27.0,267.0,100.0,334.0,127.0,1.0,6.0,7.0,0.0,0.0,0.0,23264.0,23264.0,0.0,7829954.0,15739.0,7845693.0
Modoc,84.0,0.0,0.0,358.0,0.0,0.0,442.0,0.0,0.0,218.0,812.0,1030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.0,475.0,0.0,139770.0,0.0,139770.0
Mono,20.0,0.0,0.0,443.0,1.0,0.0,463.0,1.0,0.0,51.0,672.0,723.0,0.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,502.0,502.0,0.0,112302.0,142.0,112444.0
