,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,PART A.  PARTICIPATION DURING THE MONTH (Continued),,,,,,,,,PART A.  PARTICIPATION (Continued),,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,15.0,16.0,17.0,7.0,8.0,18.0,9.0,10.0,11.0,12.0,19.0,20.0,13.0,14.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0
Statewide,321506.0,4633.0,110.0,1453745.0,19500.0,8131.0,1775251.0,24133.0,8241.0,806370.0,3113461.0,3919831.0,10009.0,6014.0,50391.0,23515.0,60400.0,29529.0,189.0,10661.0,10850.0,0.0,0.0,0.0,2460328.0,2460328.0,0.0,596426776.51,5178174.01,601604950.52
Alameda,10718.0,303.0,3.0,48592.0,996.0,480.0,59310.0,1299.0,483.0,24962.0,93204.0,118166.0,672.0,349.0,2334.0,1254.0,3006.0,1603.0,3.0,627.0,630.0,0.0,0.0,0.0,61092.0,61092.0,0.0,18529591.0,287933.0,18817524.0
Alpine,3.0,0.0,0.0,87.0,0.0,0.0,90.0,0.0,0.0,6.0,144.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,0.0,20949.0,0.0,20949.0
Amador,225.0,0.0,0.0,1473.0,6.0,1.0,1698.0,6.0,1.0,569.0,2675.0,3244.0,0.0,0.0,11.0,7.0,11.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,1805.0,1805.0,0.0,487199.0,664.0,487863.0
Butte,2162.0,6.0,0.0,11611.0,40.0,10.0,13773.0,46.0,10.0,5431.0,23310.0,28741.0,16.0,6.0,109.0,45.0,125.0,51.0,0.0,12.0,12.0,0.0,0.0,0.0,15004.0,15004.0,0.0,4277012.0,7869.0,4284881.0
Calaveras,342.0,0.0,0.0,2181.0,4.0,0.0,2523.0,4.0,0.0,908.0,4113.0,5021.0,0.0,0.0,14.0,4.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2684.0,2684.0,0.0,750700.0,548.0,751248.0
Colusa,123.0,0.0,0.0,596.0,6.0,0.0,719.0,6.0,0.0,299.0,1515.0,1814.0,0.0,0.0,21.0,6.0,21.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,790.0,790.0,0.0,246043.0,611.0,246654.0
Contra Costa,6131.0,74.0,0.0,25715.0,318.0,81.0,31846.0,392.0,81.0,14554.0,51723.0,66277.0,163.0,94.0,783.0,386.0,946.0,480.0,0.0,105.0,105.0,0.0,0.0,0.0,35328.0,35328.0,0.0,10334000.72,69597.75,10403598.47
Del Norte,477.0,2.0,0.0,2149.0,4.0,4.0,2626.0,6.0,4.0,1315.0,4155.0,5470.0,6.0,2.0,10.0,4.0,16.0,6.0,0.0,4.0,4.0,0.0,0.0,0.0,2806.0,2806.0,0.0,813060.63,1582.0,814642.63
El Dorado,674.0,6.0,0.0,5388.0,29.0,10.0,6062.0,35.0,10.0,1678.0,9851.0,11529.0,16.0,6.0,74.0,36.0,90.0,42.0,0.0,12.0,12.0,0.0,0.0,0.0,6553.0,6553.0,0.0,1730866.0,7278.0,1738144.0
Fresno,16262.0,108.0,1.0,71245.0,513.0,121.0,87507.0,621.0,122.0,43046.0,168908.0,211954.0,289.0,117.0,1512.0,574.0,1801.0,691.0,1.0,151.0,152.0,0.0,0.0,0.0,95053.0,95053.0,0.0,31814856.0,105385.0,31920241.0
Glenn,268.0,0.0,0.0,1102.0,13.0,1.0,1370.0,13.0,1.0,703.0,2705.0,3408.0,0.0,0.0,41.0,14.0,41.0,14.0,0.0,1.0,1.0,0.0,0.0,0.0,1503.0,1503.0,0.0,472779.0,1670.0,474449.0
Humboldt,1054.0,2.0,0.0,6929.0,10.0,3.0,7983.0,12.0,3.0,2626.0,12578.0,15204.0,5.0,2.0,30.0,11.0,35.0,13.0,0.0,4.0,4.0,0.0,0.0,0.0,8730.0,8730.0,0.0,2276799.0,2678.0,2279477.0
Imperial,2292.0,36.0,1.0,11209.0,257.0,40.0,13501.0,293.0,41.0,6400.0,27857.0,34257.0,86.0,37.0,732.0,278.0,818.0,315.0,2.0,48.0,50.0,0.0,0.0,0.0,14856.0,14856.0,0.0,4839967.0,49447.0,4889414.0
Inyo,130.0,1.0,0.0,816.0,8.0,0.0,946.0,9.0,0.0,356.0,1567.0,1923.0,4.0,1.0,23.0,11.0,27.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1030.0,1030.0,0.0,265324.0,1732.0,267056.0
Kern ,12102.0,75.0,1.0,44564.0,514.0,140.0,56666.0,589.0,141.0,32867.0,104612.0,137479.0,203.0,85.0,1579.0,566.0,1782.0,651.0,1.0,178.0,179.0,0.0,0.0,0.0,61048.0,61048.0,0.0,20468833.0,110845.0,20579678.0
Kings,1714.0,9.0,1.0,7807.0,85.0,43.0,9521.0,94.0,44.0,4547.0,18270.0,22817.0,18.0,9.0,261.0,96.0,279.0,105.0,1.0,56.0,57.0,0.0,0.0,0.0,10300.0,10300.0,0.0,3220423.0,20801.0,3241224.0
Lake,702.0,2.0,0.0,4300.0,16.0,7.0,5002.0,18.0,7.0,1806.0,8219.0,10025.0,5.0,2.0,40.0,17.0,45.0,19.0,0.0,7.0,7.0,0.0,0.0,0.0,5396.0,5396.0,0.0,1508434.0,3376.0,1511810.0
Lassen,258.0,0.0,0.0,1151.0,1.0,0.0,1409.0,1.0,0.0,670.0,2299.0,2969.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1518.0,1518.0,0.0,445653.0,167.0,445820.0
Los Angeles,91676.0,1896.0,64.0,396698.0,5353.0,2692.0,488374.0,7249.0,2756.0,209419.0,825580.0,1034999.0,3646.0,2604.0,13374.0,6550.0,17020.0,9154.0,132.0,3401.0,3533.0,0.0,0.0,0.0,1073099.0,1073099.0,0.0,163675399.0,1725921.0,165401320.0
Madera,2202.0,6.0,1.0,8337.0,62.0,2.0,10539.0,68.0,3.0,5834.0,20882.0,26716.0,11.0,7.0,198.0,70.0,209.0,77.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3875863.0,10492.0,3886355.0
Marin,826.0,35.0,4.0,4485.0,88.0,42.0,5311.0,123.0,46.0,1772.0,6997.0,8769.0,75.0,39.0,189.0,108.0,264.0,147.0,6.0,59.0,65.0,0.0,0.0,0.0,5835.0,5835.0,0.0,1425072.0,30221.0,1455293.0
Mariposa,138.0,0.0,0.0,746.0,0.0,0.0,884.0,0.0,0.0,373.0,1442.0,1815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,936.0,936.0,0.0,266462.0,0.0,266462.0
Mendocino,901.0,4.0,0.0,6139.0,30.0,10.0,7040.0,34.0,10.0,2253.0,11014.0,13267.0,12.0,4.0,82.0,34.0,94.0,38.0,0.0,13.0,13.0,0.0,0.0,0.0,7492.0,7492.0,0.0,2025207.0,6913.0,2032120.0
Merced,4999.0,21.0,1.0,16666.0,88.0,8.0,21665.0,109.0,9.0,13648.0,39633.0,53281.0,57.0,23.0,268.0,99.0,325.0,122.0,1.0,8.0,9.0,0.0,0.0,0.0,22886.0,22886.0,0.0,7771369.0,15733.0,7787102.0
Modoc,82.0,0.0,0.0,370.0,0.0,0.0,452.0,0.0,0.0,213.0,846.0,1059.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,480.0,0.0,142514.0,0.0,142514.0
Mono,15.0,0.0,0.0,446.0,1.0,0.0,461.0,1.0,0.0,35.0,683.0,718.0,0.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,500.0,0.0,109673.0,0.0,109673.0
