,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,PART A.  PARTICIPATION DURING THE MONTH (Continued),,,,,,,,,PART A.  PARTICIPATION (Continued),,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,15.0,16.0,17.0,7.0,8.0,18.0,9.0,10.0,11.0,12.0,19.0,20.0,13.0,14.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0
Statewide,315689.0,4335.0,103.0,1559845.0,19179.0,7795.0,1875534.0,23514.0,7898.0,790064.0,3299892.0,4089956.0,9260.0,5539.0,48664.0,23360.0,57924.0,28899.0,182.0,10318.0,10500.0,0.0,0.0,0.0,2587319.0,2587319.0,0.0,635590607.18,5124264.71,640714871.89
Alameda,10177.0,301.0,3.0,50796.0,1007.0,416.0,60973.0,1308.0,419.0,23717.0,97215.0,120932.0,674.0,345.0,2362.0,1292.0,3036.0,1637.0,3.0,539.0,542.0,0.0,0.0,0.0,62700.0,62700.0,0.0,19566306.0,277627.0,19843933.0
Alpine,3.0,0.0,0.0,78.0,0.0,0.0,81.0,0.0,0.0,8.0,137.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,82.0,0.0,20129.0,0.0,20129.0
Amador,197.0,0.0,0.0,1508.0,5.0,1.0,1705.0,5.0,1.0,515.0,2756.0,3271.0,0.0,0.0,6.0,5.0,6.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,1808.0,1808.0,0.0,499359.0,726.0,500085.0
Butte,2048.0,10.0,0.0,12174.0,43.0,10.0,14222.0,53.0,10.0,5112.0,24426.0,29538.0,23.0,10.0,120.0,47.0,143.0,57.0,0.0,13.0,13.0,0.0,0.0,0.0,15193.0,15193.0,0.0,4418716.0,7723.0,4426439.0
Calaveras,325.0,0.0,0.0,2264.0,6.0,1.0,2589.0,6.0,1.0,864.0,4178.0,5042.0,0.0,0.0,16.0,6.0,16.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,2749.0,2749.0,0.0,762574.0,630.0,763204.0
Colusa,108.0,2.0,0.0,607.0,5.0,0.0,715.0,7.0,0.0,281.0,1519.0,1800.0,6.0,2.0,15.0,5.0,21.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,770.0,770.0,0.0,246464.0,524.0,246988.0
Contra Costa,5826.0,55.0,0.0,26668.0,283.0,73.0,32494.0,338.0,73.0,13832.0,53352.0,67184.0,130.0,66.0,672.0,343.0,802.0,409.0,0.0,102.0,102.0,0.0,0.0,0.0,35950.0,35950.0,0.0,10697075.0,66219.0,10763294.0
Del Norte,436.0,0.0,0.0,2118.0,4.0,4.0,2554.0,4.0,4.0,1164.0,4014.0,5178.0,0.0,0.0,10.0,4.0,10.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,2678.0,2678.0,0.0,776112.75,1399.0,777511.75
El Dorado,675.0,3.0,0.0,5637.0,26.0,12.0,6312.0,29.0,12.0,1724.0,10133.0,11857.0,6.0,3.0,75.0,29.0,81.0,32.0,0.0,15.0,15.0,0.0,0.0,0.0,6795.0,6795.0,0.0,1820271.0,6789.0,1827060.0
Fresno,16287.0,123.0,1.0,74242.0,524.0,100.0,90529.0,647.0,101.0,43475.0,174764.0,218239.0,340.0,130.0,1479.0,595.0,1819.0,725.0,1.0,136.0,137.0,0.0,0.0,0.0,96729.0,96729.0,0.0,32970706.0,111515.0,33082221.0
Glenn,251.0,1.0,0.0,1156.0,10.0,0.0,1407.0,11.0,0.0,677.0,2818.0,3495.0,3.0,1.0,31.0,11.0,34.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1554.0,1554.0,0.0,492623.0,1320.0,493943.0
Humboldt,999.0,1.0,0.0,7214.0,15.0,7.0,8213.0,16.0,7.0,2446.0,13072.0,15518.0,2.0,1.0,35.0,19.0,37.0,20.0,0.0,11.0,11.0,0.0,0.0,0.0,8820.0,8820.0,0.0,2385777.0,4051.0,2389828.0
Imperial,2100.0,25.0,0.0,11755.0,292.0,29.0,13855.0,317.0,29.0,5876.0,29374.0,35250.0,54.0,26.0,832.0,316.0,886.0,342.0,0.0,32.0,32.0,0.0,0.0,0.0,15001.0,15001.0,0.0,5101855.0,42782.0,5144637.0
Inyo,131.0,1.0,0.0,844.0,11.0,0.0,975.0,12.0,0.0,346.0,1608.0,1954.0,2.0,2.0,29.0,11.0,31.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1052.0,1052.0,0.0,279428.0,1167.0,280595.0
Kern ,12024.0,48.0,4.0,46545.0,418.0,142.0,58569.0,466.0,146.0,32174.0,109736.0,141910.0,123.0,53.0,1228.0,473.0,1351.0,526.0,4.0,182.0,186.0,0.0,0.0,0.0,63053.0,63053.0,0.0,21553317.0,102468.0,21655785.0
Kings,1661.0,10.0,1.0,8118.0,78.0,27.0,9779.0,88.0,28.0,4449.0,18713.0,23162.0,27.0,10.0,246.0,87.0,273.0,97.0,1.0,36.0,37.0,0.0,0.0,0.0,10560.0,10560.0,0.0,3329156.0,16850.0,3346006.0
Lake,696.0,2.0,0.0,4414.0,17.0,6.0,5110.0,19.0,6.0,1804.0,8381.0,10185.0,6.0,2.0,44.0,17.0,50.0,19.0,0.0,7.0,7.0,0.0,0.0,0.0,5533.0,5533.0,0.0,1575389.0,3512.0,1578901.0
Lassen,268.0,1.0,0.0,1138.0,0.0,0.0,1406.0,1.0,0.0,733.0,2216.0,2949.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1496.0,1496.0,0.0,457716.0,159.0,457875.0
Los Angeles,89385.0,1827.0,64.0,442216.0,5410.0,2826.0,531601.0,7237.0,2890.0,202881.0,893349.0,1096230.0,3534.0,2499.0,13185.0,6715.0,16719.0,9214.0,137.0,3638.0,3775.0,0.0,0.0,0.0,1142125.0,1142125.0,0.0,177985696.0,1798807.0,179784503.0
Madera,2133.0,6.0,1.0,8379.0,50.0,3.0,10512.0,56.0,4.0,5598.0,20999.0,26597.0,19.0,6.0,160.0,56.0,179.0,62.0,1.0,7.0,8.0,0.0,0.0,0.0,7466.0,7466.0,0.0,3946489.0,7220.0,3953709.0
Marin,752.0,39.0,1.0,4599.0,109.0,38.0,5351.0,148.0,39.0,1601.0,7234.0,8835.0,88.0,41.0,245.0,130.0,333.0,171.0,1.0,51.0,52.0,0.0,0.0,0.0,5809.0,5809.0,0.0,1467547.0,25663.0,1493210.0
Mariposa,130.0,0.0,0.0,771.0,1.0,0.0,901.0,1.0,0.0,347.0,1489.0,1836.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,976.0,976.0,0.0,274737.0,167.0,274904.0
Mendocino,835.0,3.0,0.0,6120.0,33.0,14.0,6955.0,36.0,14.0,2152.0,10970.0,13122.0,8.0,3.0,97.0,36.0,105.0,39.0,0.0,17.0,17.0,0.0,0.0,0.0,7378.0,7378.0,0.0,2048544.0,7798.0,2056342.0
Merced,5041.0,18.0,0.0,17556.0,82.0,13.0,22597.0,100.0,13.0,13746.0,41488.0,55234.0,45.0,20.0,265.0,91.0,310.0,111.0,0.0,15.0,15.0,0.0,0.0,0.0,23971.0,23971.0,0.0,8203193.0,14458.0,8217651.0
Modoc,85.0,0.0,0.0,353.0,0.0,1.0,438.0,0.0,1.0,220.0,764.0,984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,469.0,469.0,0.0,140645.0,114.0,140759.0
Mono,24.0,0.0,0.0,333.0,2.0,0.0,357.0,2.0,0.0,59.0,557.0,616.0,0.0,0.0,7.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,379.0,379.0,0.0,92631.0,0.0,92631.0
