,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,PART A.  PARTICIPATION DURING THE MONTH (Continued),,,,,,,,,PART A.  PARTICIPATION (Continued),,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,15.0,16.0,17.0,7.0,8.0,18.0,9.0,10.0,11.0,12.0,19.0,20.0,13.0,14.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0
Statewide,310954.0,4367.0,105.0,1541174.0,19312.0,8053.0,1852128.0,23679.0,8158.0,780929.0,3262858.0,4043787.0,9459.0,5608.0,49212.0,23388.0,58671.0,28996.0,184.0,10682.0,10866.0,0.0,0.0,0.0,2576000.0,2576000.0,0.0,613087906.6,4848888.0,617936794.6
Alameda,10338.0,296.0,7.0,50985.0,1012.0,435.0,61323.0,1308.0,442.0,24083.0,97465.0,121548.0,670.0,346.0,2372.0,1275.0,3042.0,1621.0,7.0,569.0,576.0,0.0,0.0,0.0,63073.0,63073.0,0.0,19022564.0,274342.0,19296906.0
Alpine,2.0,0.0,0.0,77.0,0.0,0.0,79.0,0.0,0.0,6.0,137.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,83.0,0.0,19542.0,0.0,19542.0
Amador,199.0,0.0,0.0,1528.0,4.0,1.0,1727.0,4.0,1.0,514.0,2817.0,3331.0,0.0,0.0,5.0,4.0,5.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,1822.0,1822.0,0.0,500855.0,705.0,501560.0
Butte,2062.0,9.0,0.0,12118.0,42.0,12.0,14180.0,51.0,12.0,5122.0,24504.0,29626.0,20.0,9.0,120.0,45.0,140.0,54.0,0.0,14.0,14.0,0.0,0.0,0.0,15091.0,15091.0,0.0,4331213.0,7786.0,4338999.0
Calaveras,326.0,0.0,0.0,2186.0,4.0,2.0,2512.0,4.0,2.0,865.0,4088.0,4953.0,0.0,0.0,11.0,4.0,11.0,4.0,0.0,3.0,3.0,0.0,0.0,0.0,2644.0,2644.0,0.0,733128.0,902.0,734030.0
Colusa,98.0,1.0,0.0,564.0,5.0,1.0,662.0,6.0,1.0,250.0,1403.0,1653.0,4.0,1.0,15.0,5.0,19.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,731.0,731.0,0.0,223158.0,895.0,224053.0
Contra Costa,5905.0,55.0,0.0,27209.0,287.0,78.0,33114.0,342.0,78.0,14033.0,54373.0,68406.0,123.0,67.0,712.0,344.0,835.0,411.0,0.0,114.0,114.0,0.0,0.0,0.0,36269.0,36269.0,0.0,10573662.0,64390.0,10638052.0
Del Norte,440.0,0.0,0.0,2118.0,5.0,6.0,2558.0,5.0,6.0,1199.0,4021.0,5220.0,0.0,0.0,14.0,5.0,14.0,5.0,0.0,6.0,6.0,0.0,0.0,0.0,2685.0,2685.0,0.0,755590.9,1366.0,756956.9
El Dorado,638.0,6.0,0.0,5586.0,28.0,14.0,6224.0,34.0,14.0,1644.0,9986.0,11630.0,13.0,6.0,78.0,30.0,91.0,36.0,0.0,18.0,18.0,0.0,0.0,0.0,6734.0,6734.0,0.0,1745328.0,7565.0,1752893.0
Fresno,15659.0,109.0,1.0,73080.0,487.0,103.0,88739.0,596.0,104.0,41833.0,172212.0,214045.0,299.0,118.0,1398.0,548.0,1697.0,666.0,1.0,139.0,140.0,0.0,0.0,0.0,96154.0,96154.0,0.0,32004650.86,103596.99,32108247.85
Glenn,244.0,1.0,0.0,1143.0,9.0,1.0,1387.0,10.0,1.0,649.0,2758.0,3407.0,3.0,1.0,29.0,10.0,32.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,1503.0,1503.0,0.0,464376.0,1034.0,465410.0
Humboldt,1024.0,1.0,0.0,7020.0,15.0,4.0,8044.0,16.0,4.0,2533.0,12763.0,15296.0,2.0,1.0,33.0,17.0,35.0,18.0,0.0,5.0,5.0,0.0,0.0,0.0,8754.0,8754.0,0.0,2302221.0,2998.0,2305219.0
Imperial,2204.0,34.0,1.0,12025.0,295.0,25.0,14229.0,329.0,26.0,6191.0,29926.0,36117.0,81.0,36.0,847.0,320.0,928.0,356.0,1.0,29.0,30.0,0.0,0.0,0.0,15462.0,15462.0,0.0,5114305.0,47964.0,5162269.0
Inyo,129.0,1.0,0.0,819.0,5.0,0.0,948.0,6.0,0.0,346.0,1557.0,1903.0,2.0,2.0,14.0,6.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1009.0,1009.0,0.0,265072.0,1104.0,266176.0
Kern ,11498.0,51.0,2.0,46158.0,478.0,132.0,57656.0,529.0,134.0,31238.0,107479.0,138717.0,127.0,56.0,1458.0,542.0,1585.0,598.0,2.0,166.0,168.0,0.0,0.0,0.0,62106.0,62106.0,0.0,20531567.0,101066.0,20632633.0
Kings,1628.0,9.0,0.0,7852.0,77.0,37.0,9480.0,86.0,37.0,4398.0,18034.0,22432.0,25.0,9.0,220.0,83.0,245.0,92.0,0.0,50.0,50.0,0.0,0.0,0.0,10511.0,10511.0,0.0,3188443.0,19743.0,3208186.0
Lake,663.0,0.0,0.0,4417.0,20.0,8.0,5080.0,20.0,8.0,1752.0,8387.0,10139.0,0.0,0.0,51.0,20.0,51.0,20.0,0.0,10.0,10.0,0.0,0.0,0.0,5549.0,5549.0,0.0,1545993.0,4275.0,1550268.0
Lassen,234.0,1.0,0.0,1173.0,0.0,0.0,1407.0,1.0,0.0,620.0,2313.0,2933.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1508.0,1508.0,0.0,443765.0,159.0,443924.0
Los Angeles,90423.0,1831.0,63.0,437968.0,5519.0,2913.0,528391.0,7350.0,2976.0,206219.0,887483.0,1093702.0,3586.0,2525.0,13522.0,6809.0,17108.0,9334.0,134.0,3732.0,3866.0,0.0,0.0,0.0,1148328.0,1148328.0,0.0,173097289.0,1793211.0,174890500.0
Madera,1827.0,4.0,1.0,8291.0,42.0,1.0,10118.0,46.0,2.0,4992.0,20562.0,25554.0,9.0,4.0,129.0,48.0,138.0,52.0,1.0,2.0,3.0,0.0,0.0,0.0,7377.0,7377.0,0.0,3647690.0,6529.0,3654219.0
Marin,767.0,41.0,1.0,4637.0,102.0,39.0,5404.0,143.0,40.0,1620.0,7306.0,8926.0,94.0,44.0,228.0,118.0,322.0,162.0,1.0,52.0,53.0,0.0,0.0,0.0,5896.0,5896.0,0.0,1454206.0,28774.0,1482980.0
Mariposa,114.0,0.0,0.0,747.0,0.0,0.0,861.0,0.0,0.0,300.0,1470.0,1770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,925.0,925.0,0.0,258893.0,0.0,258893.0
Mendocino,807.0,4.0,0.0,6328.0,35.0,12.0,7135.0,39.0,12.0,2099.0,11258.0,13357.0,10.0,4.0,103.0,38.0,113.0,42.0,0.0,15.0,15.0,0.0,0.0,0.0,7574.0,7574.0,0.0,2046886.0,7978.0,2054864.0
Merced,4706.0,23.0,1.0,17268.0,68.0,10.0,21974.0,91.0,11.0,12895.0,40607.0,53502.0,63.0,24.0,209.0,76.0,272.0,100.0,2.0,10.0,12.0,0.0,0.0,0.0,23305.0,23305.0,0.0,7771318.0,12899.0,7784217.0
Modoc,71.0,0.0,0.0,354.0,0.0,0.0,425.0,0.0,0.0,179.0,794.0,973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.0,453.0,0.0,137438.0,0.0,137438.0
Mono,24.0,0.0,0.0,383.0,2.0,0.0,407.0,2.0,0.0,53.0,611.0,664.0,0.0,0.0,7.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,448.0,448.0,0.0,100097.0,242.0,100339.0
