,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,PART A.  PARTICIPATION DURING THE MONTH (Continued),,,,,,,,,PART A.  PARTICIPATION (Continued),,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,15.0,16.0,17.0,7.0,8.0,18.0,9.0,10.0,11.0,12.0,19.0,20.0,13.0,14.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0
Statewide,311226.0,4368.0,98.0,1544669.0,19443.0,8056.0,1855895.0,23811.0,8154.0,781893.0,3266952.0,4048845.0,9403.0,5613.0,49295.0,23447.0,58698.0,29060.0,177.0,10575.0,10752.0,0.0,0.0,0.0,2817793.0,2817793.0,0.0,617432828.44,5196206.31,622629034.75
Alameda,10214.0,287.0,6.0,51154.0,1025.0,435.0,61368.0,1312.0,441.0,23790.0,97568.0,121358.0,643.0,335.0,2395.0,1272.0,3038.0,1607.0,6.0,562.0,568.0,0.0,0.0,0.0,63121.0,63121.0,0.0,19120268.0,274978.0,19395246.0
Alpine,2.0,0.0,0.0,78.0,0.0,0.0,80.0,0.0,0.0,5.0,132.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,116.0,0.0,18114.0,0.0,18114.0
Amador,201.0,0.0,0.0,1527.0,4.0,1.0,1728.0,4.0,1.0,528.0,2801.0,3329.0,0.0,0.0,5.0,4.0,5.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,2333.0,2333.0,0.0,499071.0,808.0,499879.0
Butte,2114.0,9.0,0.0,12152.0,41.0,9.0,14266.0,50.0,9.0,5274.0,24418.0,29692.0,21.0,9.0,121.0,45.0,142.0,54.0,0.0,11.0,11.0,0.0,0.0,0.0,20040.0,20040.0,0.0,4394372.0,8216.0,4402588.0
Calaveras,321.0,0.0,0.0,2165.0,3.0,2.0,2486.0,3.0,2.0,846.0,4089.0,4935.0,0.0,0.0,10.0,3.0,10.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,3403.0,3403.0,0.0,740273.0,675.0,740948.0
Colusa,101.0,1.0,0.0,541.0,4.0,1.0,642.0,5.0,1.0,258.0,1319.0,1577.0,4.0,1.0,13.0,4.0,17.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,972.0,972.0,0.0,214702.0,965.0,215667.0
Contra Costa,5864.0,55.0,0.0,27597.0,293.0,77.0,33461.0,348.0,77.0,13856.0,54999.0,68855.0,124.0,66.0,717.0,357.0,841.0,423.0,0.0,108.0,108.0,0.0,0.0,0.0,37330.0,37330.0,0.0,10777128.37,63534.62,10840662.99
Del Norte,449.0,1.0,0.0,2107.0,4.0,5.0,2556.0,5.0,5.0,1207.0,4015.0,5222.0,3.0,1.0,11.0,4.0,14.0,5.0,0.0,6.0,6.0,0.0,0.0,0.0,3561.0,3561.0,0.0,762872.35,1510.0,764382.35
El Dorado,664.0,7.0,0.0,5515.0,24.0,14.0,6179.0,31.0,14.0,1727.0,9914.0,11641.0,16.0,8.0,62.0,29.0,78.0,37.0,0.0,16.0,16.0,0.0,0.0,0.0,8612.0,8612.0,0.0,1738297.0,7390.0,1745687.0
Fresno,15228.0,95.0,0.0,73565.0,476.0,104.0,88793.0,571.0,104.0,40637.0,172264.0,212901.0,253.0,101.0,1362.0,533.0,1615.0,634.0,0.0,136.0,136.0,0.0,0.0,0.0,96837.0,96837.0,0.0,31927428.0,106039.6,32033467.6
Glenn,249.0,1.0,0.0,1131.0,10.0,1.0,1380.0,11.0,1.0,655.0,2733.0,3388.0,3.0,1.0,32.0,11.0,35.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,2132.0,2132.0,0.0,467864.0,1359.0,469223.0
Humboldt,1037.0,1.0,0.0,7138.0,18.0,3.0,8175.0,19.0,3.0,2569.0,12911.0,15480.0,2.0,1.0,40.0,20.0,42.0,21.0,0.0,4.0,4.0,0.0,0.0,0.0,11178.0,11178.0,0.0,2323089.0,3325.0,2326414.0
Imperial,2227.0,39.0,0.0,11969.0,300.0,28.0,14196.0,339.0,28.0,6262.0,29911.0,36173.0,97.0,40.0,855.0,326.0,952.0,366.0,0.0,33.0,33.0,0.0,0.0,0.0,22167.0,22167.0,0.0,5152420.0,53964.0,5206384.0
Inyo,130.0,1.0,0.0,838.0,5.0,0.0,968.0,6.0,0.0,347.0,1596.0,1943.0,2.0,2.0,14.0,6.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1391.0,1391.0,0.0,272249.0,1104.0,273353.0
Kern ,11400.0,47.0,2.0,46287.0,358.0,141.0,57687.0,405.0,143.0,31045.0,107613.0,138658.0,107.0,52.0,990.0,411.0,1097.0,463.0,2.0,183.0,185.0,0.0,0.0,0.0,84063.0,84063.0,0.0,20541459.0,105761.0,20647220.0
Kings,1630.0,8.0,0.0,7772.0,78.0,39.0,9402.0,86.0,39.0,4398.0,17811.0,22209.0,23.0,8.0,219.0,84.0,242.0,92.0,0.0,51.0,51.0,0.0,0.0,0.0,13857.0,13857.0,0.0,3166855.0,20014.0,3186869.0
Lake,640.0,1.0,0.0,4410.0,17.0,8.0,5050.0,18.0,8.0,1713.0,8326.0,10039.0,2.0,1.0,49.0,17.0,51.0,18.0,0.0,10.0,10.0,0.0,0.0,0.0,6992.0,6992.0,0.0,1543179.0,3848.0,1547027.0
Lassen,249.0,1.0,0.0,1158.0,0.0,0.0,1407.0,1.0,0.0,647.0,2306.0,2953.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,2009.0,0.0,449270.0,159.0,449429.0
Los Angeles,91431.0,1872.0,60.0,436399.0,5553.0,2906.0,527830.0,7425.0,2966.0,209094.0,885218.0,1094312.0,3625.0,2574.0,13663.0,6825.0,17288.0,9399.0,132.0,3701.0,3833.0,0.0,0.0,0.0,1156835.0,1156835.0,0.0,173996118.0,1810872.0,175806990.0
Madera,1839.0,3.0,1.0,8285.0,53.0,3.0,10124.0,56.0,4.0,5026.0,20573.0,25599.0,8.0,3.0,167.0,62.0,175.0,65.0,1.0,5.0,6.0,0.0,0.0,0.0,7473.0,7473.0,0.0,3691490.0,8191.0,3699681.0
Marin,775.0,38.0,2.0,4680.0,105.0,39.0,5455.0,143.0,41.0,1624.0,7374.0,8998.0,91.0,41.0,228.0,126.0,319.0,167.0,4.0,50.0,54.0,0.0,0.0,0.0,7794.0,7794.0,0.0,1470475.0,29762.0,1500237.0
Mariposa,125.0,0.0,0.0,726.0,0.0,0.0,851.0,0.0,0.0,327.0,1419.0,1746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1205.0,1205.0,0.0,260713.0,0.0,260713.0
Mendocino,839.0,5.0,0.0,6321.0,36.0,15.0,7160.0,41.0,15.0,2171.0,11267.0,13438.0,13.0,5.0,99.0,39.0,112.0,44.0,0.0,18.0,18.0,0.0,0.0,0.0,9669.0,9669.0,0.0,2069138.0,9539.0,2078677.0
Merced,4690.0,25.0,1.0,17182.0,71.0,9.0,21872.0,96.0,10.0,12827.0,40317.0,53144.0,67.0,26.0,213.0,80.0,280.0,106.0,1.0,9.0,10.0,0.0,0.0,0.0,31714.0,31714.0,0.0,7748717.0,14433.0,7763150.0
Modoc,70.0,0.0,0.0,355.0,0.0,0.0,425.0,0.0,0.0,170.0,789.0,959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633.0,633.0,0.0,134105.0,0.0,134105.0
Mono,24.0,0.0,0.0,354.0,1.0,0.0,378.0,1.0,0.0,53.0,562.0,615.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,525.0,525.0,0.0,93568.0,142.0,93710.0
