,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,PART A.  PARTICIPATION DURING THE MONTH (Continued),,,,,,,,,PART A.  PARTICIPATION (Continued),,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,15.0,16.0,17.0,7.0,8.0,18.0,9.0,10.0,11.0,12.0,19.0,20.0,13.0,14.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0
Statewide,310609.0,4417.0,96.0,1522945.0,19504.0,8273.0,1833554.0,23921.0,8369.0,781717.0,3233380.0,4015097.0,9464.0,5645.0,49940.0,23682.0,59404.0,29327.0,176.0,10950.0,11126.0,0.0,0.0,0.0,2535532.0,2535532.0,0.0,608269680.75,5180990.84,613450671.59
Alameda,10250.0,307.0,5.0,50367.0,1022.0,468.0,60617.0,1329.0,473.0,24005.0,96228.0,120233.0,660.0,351.0,2435.0,1284.0,3095.0,1635.0,8.0,613.0,621.0,0.0,0.0,0.0,62419.0,62419.0,0.0,18990921.0,287981.0,19278902.0
Alpine,2.0,0.0,0.0,75.0,0.0,0.0,77.0,0.0,0.0,5.0,137.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,79.0,0.0,18289.0,0.0,18289.0
Amador,207.0,1.0,0.0,1508.0,5.0,1.0,1715.0,6.0,1.0,540.0,2769.0,3309.0,3.0,1.0,9.0,5.0,12.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,1851.0,1851.0,0.0,497575.0,1092.0,498667.0
Butte,2105.0,7.0,0.0,11980.0,41.0,8.0,14085.0,48.0,8.0,5268.0,24180.0,29448.0,17.0,7.0,116.0,45.0,133.0,52.0,0.0,10.0,10.0,0.0,0.0,0.0,15100.0,15100.0,0.0,4321488.0,7368.0,4328856.0
Calaveras,318.0,0.0,0.0,2183.0,3.0,2.0,2501.0,3.0,2.0,833.0,4140.0,4973.0,0.0,0.0,10.0,3.0,10.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,2633.0,2633.0,0.0,741033.0,607.0,741640.0
Colusa,107.0,1.0,0.0,541.0,4.0,1.0,648.0,5.0,1.0,264.0,1340.0,1604.0,4.0,1.0,13.0,4.0,17.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,707.0,707.0,0.0,217240.0,1083.0,218323.0
Contra Costa,5914.0,48.0,0.0,26991.0,307.0,82.0,32905.0,355.0,82.0,14010.0,54057.0,68067.0,100.0,59.0,764.0,369.0,864.0,428.0,0.0,112.0,112.0,0.0,0.0,0.0,36211.0,36211.0,0.0,10603326.62,66345.12,10669671.74
Del Norte,446.0,1.0,0.0,2125.0,5.0,5.0,2571.0,6.0,5.0,1174.0,4117.0,5291.0,3.0,1.0,15.0,5.0,18.0,6.0,0.0,5.0,5.0,0.0,0.0,0.0,2700.0,2700.0,0.0,770945.74,1410.0,772355.74
El Dorado,645.0,7.0,1.0,5428.0,21.0,13.0,6073.0,28.0,14.0,1651.0,9856.0,11507.0,18.0,7.0,57.0,26.0,75.0,33.0,1.0,15.0,16.0,0.0,0.0,0.0,6543.0,6543.0,0.0,1717459.0,7047.0,1724506.0
Fresno,15422.0,99.0,2.0,72773.0,499.0,117.0,88195.0,598.0,119.0,41147.0,171487.0,212634.0,276.0,107.0,1454.0,560.0,1730.0,667.0,2.0,161.0,163.0,0.0,0.0,0.0,94991.0,94991.0,0.0,31655101.0,105194.06,31760295.06
Glenn,239.0,0.0,0.0,1134.0,11.0,1.0,1373.0,11.0,1.0,641.0,2750.0,3391.0,0.0,0.0,34.0,12.0,34.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,1520.0,1520.0,0.0,467731.0,1699.0,469430.0
Humboldt,1032.0,2.0,0.0,7137.0,15.0,4.0,8169.0,17.0,4.0,2563.0,12924.0,15487.0,3.0,2.0,40.0,17.0,43.0,19.0,0.0,5.0,5.0,0.0,0.0,0.0,8794.0,8794.0,0.0,2301650.0,2937.0,2304587.0
Imperial,2243.0,37.0,0.0,11722.0,292.0,40.0,13965.0,329.0,40.0,6303.0,29316.0,35619.0,88.0,38.0,841.0,313.0,929.0,351.0,0.0,47.0,47.0,0.0,0.0,0.0,15280.0,15280.0,0.0,5035911.0,53582.0,5089493.0
Inyo,123.0,1.0,0.0,853.0,6.0,0.0,976.0,7.0,0.0,320.0,1636.0,1956.0,2.0,2.0,18.0,7.0,20.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1047.0,1047.0,0.0,271208.0,1068.0,272276.0
Kern ,11566.0,58.0,1.0,45763.0,470.0,161.0,57329.0,528.0,162.0,31823.0,106793.0,138616.0,148.0,63.0,1433.0,530.0,1581.0,593.0,1.0,276.0,277.0,0.0,0.0,0.0,61405.0,61405.0,0.0,20396841.0,103658.0,20500499.0
Kings,1629.0,9.0,1.0,7751.0,75.0,39.0,9380.0,84.0,40.0,4374.0,17814.0,22188.0,24.0,9.0,217.0,83.0,241.0,92.0,1.0,53.0,54.0,0.0,0.0,0.0,10076.0,10076.0,0.0,3116966.0,19615.0,3136581.0
Lake,630.0,0.0,0.0,4433.0,14.0,9.0,5063.0,14.0,9.0,1645.0,8413.0,10058.0,0.0,0.0,42.0,14.0,42.0,14.0,0.0,11.0,11.0,0.0,0.0,0.0,5508.0,5508.0,0.0,1525961.0,3961.0,1529922.0
Lassen,246.0,0.0,0.0,1156.0,0.0,0.0,1402.0,0.0,0.0,637.0,2306.0,2943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1506.0,1506.0,0.0,440229.0,0.0,440229.0
Los Angeles,90560.0,1861.0,57.0,428513.0,5494.0,2848.0,519073.0,7355.0,2905.0,207133.0,873558.0,1080691.0,3600.0,2540.0,13517.0,6755.0,17117.0,9295.0,131.0,3598.0,3729.0,0.0,0.0,0.0,1125927.0,1125927.0,0.0,170204164.0,1755973.0,171960137.0
Madera,1835.0,3.0,1.0,8287.0,50.0,2.0,10122.0,53.0,3.0,4999.0,20700.0,25699.0,8.0,3.0,156.0,58.0,164.0,61.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3646871.0,8191.0,3655062.0
Marin,790.0,36.0,4.0,4608.0,104.0,40.0,5398.0,140.0,44.0,1671.0,7263.0,8934.0,83.0,40.0,225.0,127.0,308.0,167.0,6.0,57.0,63.0,0.0,0.0,0.0,5892.0,5892.0,0.0,1447100.0,29904.0,1477004.0
Mariposa,118.0,0.0,0.0,731.0,0.0,0.0,849.0,0.0,0.0,296.0,1439.0,1735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911.0,911.0,0.0,256667.0,0.0,256667.0
Mendocino,874.0,3.0,1.0,6247.0,38.0,10.0,7121.0,41.0,11.0,2230.0,11128.0,13358.0,7.0,3.0,110.0,40.0,117.0,43.0,1.0,13.0,14.0,0.0,0.0,0.0,7479.0,7479.0,0.0,2030239.0,7905.0,2038144.0
Merced,4648.0,23.0,1.0,17130.0,80.0,7.0,21778.0,103.0,8.0,12662.0,40340.0,53002.0,60.0,27.0,249.0,90.0,309.0,117.0,1.0,7.0,8.0,0.0,0.0,0.0,23093.0,23093.0,0.0,7703391.0,14375.0,7717766.0
Modoc,64.0,0.0,0.0,363.0,0.0,0.0,427.0,0.0,0.0,156.0,821.0,977.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0,459.0,0.0,132482.0,0.0,132482.0
Mono,26.0,0.0,0.0,352.0,1.0,0.0,378.0,1.0,0.0,60.0,560.0,620.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,402.0,402.0,0.0,91097.0,142.0,91239.0
