,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,PART A.  PARTICIPATION DURING THE MONTH (Continued),,,,,,,,,PART A.  PARTICIPATION (Continued),,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,,CDSS Use Only:
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,,1269877700.0
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL,
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES,
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,15.0,16.0,17.0,7.0,8.0,18.0,9.0,10.0,11.0,12.0,19.0,20.0,13.0,14.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,
Statewide,310042.0,4673.0,146.0,1691634.0,20666.0,9540.0,2001676.0,25339.0,9686.0,777804.0,3497797.0,4275601.0,9880.0,6048.0,50585.0,25086.0,60465.0,31134.0,267.0,12557.0,12824.0,0.0,0.0,0.0,2158521.0,2158521.0,0.0,620972707.59,5390896.41,626363604.0,
Alameda,9698.0,276.0,8.0,52698.0,1130.0,487.0,62396.0,1406.0,495.0,22577.0,99363.0,121940.0,585.0,327.0,2634.0,1393.0,3219.0,1720.0,10.0,644.0,654.0,0.0,0.0,0.0,64297.0,64297.0,0.0,18469888.0,287245.0,18757133.0,
Alpine,4.0,0.0,0.0,114.0,0.0,0.0,118.0,0.0,0.0,9.0,175.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,121.0,0.0,24736.0,0.0,24736.0,
Amador,192.0,0.0,0.0,1576.0,4.0,1.0,1768.0,4.0,1.0,498.0,2924.0,3422.0,0.0,0.0,5.0,6.0,5.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,1866.0,1866.0,0.0,484252.0,431.0,484683.0,
Butte,2073.0,6.0,0.0,12936.0,38.0,20.0,15009.0,44.0,20.0,5182.0,25117.0,30299.0,9.0,7.0,107.0,43.0,116.0,50.0,0.0,26.0,26.0,0.0,0.0,0.0,16051.0,16051.0,0.0,4286980.0,8681.0,4295661.0,
Calaveras,295.0,0.0,0.0,2333.0,5.0,4.0,2628.0,5.0,4.0,766.0,4208.0,4974.0,0.0,0.0,12.0,6.0,12.0,6.0,0.0,5.0,5.0,0.0,0.0,0.0,2778.0,2778.0,0.0,699192.0,1318.0,700510.0,
Colusa,123.0,0.0,0.0,612.0,4.0,1.0,735.0,4.0,1.0,332.0,1446.0,1778.0,0.0,0.0,15.0,5.0,15.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,811.0,811.0,0.0,237195.0,1129.0,238324.0,
Contra Costa,5669.0,72.0,3.0,28675.0,294.0,108.0,34344.0,366.0,111.0,13457.0,56810.0,70267.0,166.0,86.0,708.0,365.0,874.0,451.0,4.0,147.0,151.0,0.0,0.0,0.0,37670.0,37670.0,0.0,10464279.0,72640.0,10536919.0,
