,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,PART A.  PARTICIPATION DURING THE MONTH (Continued),,,,,,,,,PART A.  PARTICIPATION (Continued),,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,,CDSS Use Only:
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,,1271955496.0
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL,
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES,
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,15.0,16.0,17.0,7.0,8.0,18.0,9.0,10.0,11.0,12.0,19.0,20.0,13.0,14.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,
Statewide,307141.0,4746.0,150.0,1713527.0,20646.0,9974.0,2020668.0,25392.0,10124.0,771729.0,3530330.0,4302059.0,9959.0,6159.0,50856.0,25374.0,60815.0,31533.0,262.0,13208.0,13470.0,0.0,0.0,0.0,2167832.0,2167832.0,0.0,621898392.46,5447462.54,627345855.0,
Alameda,9696.0,273.0,6.0,52974.0,1147.0,486.0,62670.0,1420.0,492.0,22622.0,99636.0,122258.0,579.0,323.0,2710.0,1415.0,3289.0,1738.0,8.0,650.0,658.0,0.0,0.0,0.0,64582.0,64582.0,0.0,18389980.0,284222.0,18674202.0,
Alpine,4.0,0.0,0.0,107.0,0.0,0.0,111.0,0.0,0.0,10.0,172.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,114.0,0.0,23930.0,0.0,23930.0,
Amador,179.0,0.0,0.0,1609.0,3.0,0.0,1788.0,3.0,0.0,455.0,2948.0,3403.0,0.0,0.0,3.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1878.0,1878.0,0.0,477210.0,242.0,477452.0,
Butte,2119.0,7.0,0.0,13238.0,47.0,22.0,15357.0,54.0,22.0,5284.0,25335.0,30619.0,14.0,7.0,124.0,52.0,138.0,59.0,0.0,29.0,29.0,0.0,0.0,0.0,16571.0,16571.0,0.0,4348526.0,9740.0,4358266.0,
Calaveras,280.0,0.0,0.0,2432.0,4.0,4.0,2712.0,4.0,4.0,741.0,4404.0,5145.0,0.0,0.0,9.0,5.0,9.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,2849.0,2849.0,0.0,716919.0,1385.0,718304.0,
Colusa,116.0,0.0,0.0,635.0,4.0,1.0,751.0,4.0,1.0,303.0,1479.0,1782.0,0.0,0.0,15.0,5.0,15.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,831.0,831.0,0.0,238061.0,1163.0,239224.0,
Contra Costa,5577.0,83.0,3.0,29042.0,281.0,124.0,34619.0,364.0,127.0,13242.0,57499.0,70741.0,196.0,107.0,700.0,341.0,896.0,448.0,5.0,166.0,171.0,0.0,0.0,0.0,37315.0,37315.0,0.0,10433752.0,70055.0,10503807.0,
Del Norte,438.0,1.0,0.0,2064.0,4.0,3.0,2502.0,5.0,3.0,1163.0,3973.0,5136.0,2.0,1.0,12.0,4.0,14.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,2634.0,2634.0,0.0,710730.0,1251.0,711981.0,
El Dorado,606.0,1.0,0.0,6227.0,19.0,7.0,6833.0,20.0,7.0,1503.0,10896.0,12399.0,1.0,1.0,51.0,24.0,52.0,25.0,0.0,8.0,8.0,0.0,0.0,0.0,7209.0,7209.0,0.0,1758891.0,3282.0,1762173.0,
Fresno,16023.0,180.0,2.0,80752.0,622.0,164.0,96775.0,802.0,166.0,43388.0,184888.0,228276.0,459.0,199.0,1714.0,712.0,2173.0,911.0,2.0,192.0,194.0,0.0,0.0,0.0,102923.0,102923.0,0.0,32368496.0,136631.0,32505127.0,
Glenn,247.0,2.0,0.0,1252.0,10.0,1.0,1499.0,12.0,1.0,654.0,2984.0,3638.0,13.0,2.0,37.0,10.0,50.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,1610.0,1610.0,0.0,470902.0,803.0,471705.0,
Humboldt,1068.0,2.0,0.0,8993.0,16.0,12.0,10061.0,18.0,12.0,2609.0,15746.0,18355.0,3.0,3.0,36.0,20.0,39.0,23.0,0.0,15.0,15.0,0.0,0.0,0.0,10815.0,10815.0,0.0,2611450.0,4282.0,2615732.0,
Imperial,2173.0,16.0,1.0,12827.0,342.0,41.0,15000.0,358.0,42.0,5991.0,31364.0,37355.0,31.0,17.0,961.0,364.0,992.0,381.0,2.0,46.0,48.0,0.0,0.0,0.0,16335.0,16335.0,0.0,5018267.0,46669.0,5064936.0,
Inyo,112.0,0.0,0.0,967.0,5.0,1.0,1079.0,5.0,1.0,338.0,1828.0,2166.0,0.0,0.0,12.0,6.0,12.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,1137.0,1137.0,0.0,281619.0,472.0,282091.0,
Kern ,11420.0,60.0,6.0,49401.0,432.0,208.0,60821.0,492.0,214.0,31197.0,114755.0,145952.0,150.0,72.0,1230.0,476.0,1380.0,548.0,6.0,295.0,301.0,0.0,0.0,0.0,65022.0,65022.0,0.0,20380709.0,114169.0,20494878.0,
Kings,1656.0,13.0,1.0,8463.0,106.0,27.0,10119.0,119.0,28.0,4504.0,19240.0,23744.0,29.0,13.0,335.0,122.0,364.0,135.0,1.0,39.0,40.0,0.0,0.0,0.0,10874.0,10874.0,0.0,3181884.0,19837.0,3201721.0,
