County,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,PART A.  PARTICIPATION DURING THE MONTH (Continued),,,,,,,,,PART A.  PARTICIPATION (Continued),,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,15.0,16.0,17.0,7.0,8.0,18.0,9.0,10.0,11.0,12.0,19.0,20.0,13.0,14.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0
Statewide,300111.0,4112.0,126.0,1622701.0,19014.0,8511.0,1922812.0,23126.0,8637.0,745075.0,3399842.0,4144917.0,8641.0,5317.0,47430.0,23173.0,56071.0,28490.0,225.0,11194.0,11419.0,0.0,0.0,0.0,2665130.0,2665130.0,0.0,642319801.23,5249075.02,647568876.25
Alameda,9712.0,252.0,6.0,52025.0,1069.0,437.0,61737.0,1321.0,443.0,22370.0,99674.0,122044.0,538.0,296.0,2535.0,1323.0,3073.0,1619.0,6.0,569.0,575.0,0.0,0.0,0.0,63501.0,63501.0,0.0,19652465.0,282163.0,19934628.0
Alpine,4.0,0.0,0.0,87.0,0.0,0.0,91.0,0.0,0.0,10.0,150.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,95.0,0.0,23349.0,0.0,23349.0
Amador,157.0,1.0,0.0,1524.0,5.0,1.0,1681.0,6.0,1.0,386.0,2895.0,3281.0,1.0,2.0,6.0,6.0,7.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,1768.0,1768.0,0.0,491294.0,976.0,492270.0
Butte,1994.0,6.0,0.0,12770.0,39.0,23.0,14764.0,45.0,23.0,4944.0,25177.0,30121.0,16.0,6.0,101.0,42.0,117.0,48.0,0.0,27.0,27.0,0.0,0.0,0.0,15793.0,15793.0,0.0,4496387.0,9199.0,4505586.0
Calaveras,267.0,0.0,0.0,2278.0,6.0,1.0,2545.0,6.0,1.0,693.0,4175.0,4868.0,0.0,0.0,15.0,6.0,15.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,2699.0,2699.0,0.0,729793.0,1010.0,730803.0
Colusa,101.0,0.0,0.0,577.0,4.0,3.0,678.0,4.0,3.0,254.0,1331.0,1585.0,0.0,0.0,13.0,5.0,13.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,736.0,736.0,0.0,218910.0,1497.0,220407.0
Contra Costa,5528.0,62.0,1.0,27212.0,262.0,103.0,32740.0,324.0,104.0,13102.0,54604.0,67706.0,144.0,72.0,649.0,310.0,793.0,382.0,3.0,148.0,151.0,0.0,0.0,0.0,36621.0,36621.0,0.0,10839149.0,69077.0,10908226.0
Del Norte,422.0,2.0,0.0,2052.0,2.0,5.0,2474.0,4.0,5.0,1100.0,3921.0,5021.0,3.0,2.0,7.0,2.0,10.0,4.0,0.0,6.0,6.0,0.0,0.0,0.0,2609.0,2609.0,0.0,746940.38,1276.0,748216.38
El Dorado,553.0,0.0,0.0,5694.0,24.0,11.0,6247.0,24.0,11.0,1385.0,10098.0,11483.0,0.0,0.0,67.0,27.0,67.0,27.0,0.0,14.0,14.0,0.0,0.0,0.0,6674.0,6674.0,0.0,1745959.0,5093.0,1751052.0
Fresno,15008.0,128.0,5.0,74931.0,502.0,119.0,89939.0,630.0,124.0,40273.0,174763.0,215036.0,320.0,134.0,1435.0,573.0,1755.0,707.0,7.0,146.0,153.0,0.0,0.0,0.0,96079.0,96079.0,0.0,32446777.0,116751.0,32563528.0
Glenn,220.0,3.0,0.0,1163.0,11.0,0.0,1383.0,14.0,0.0,590.0,2800.0,3390.0,17.0,3.0,32.0,13.0,49.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1480.0,1480.0,0.0,470015.0,1309.0,471324.0
Humboldt,1002.0,2.0,1.0,7765.0,11.0,7.0,8767.0,13.0,8.0,2471.0,13949.0,16420.0,5.0,3.0,27.0,12.0,32.0,15.0,1.0,9.0,10.0,0.0,0.0,0.0,9590.0,9590.0,0.0,2521386.0,2577.0,2523963.0
Imperial,2101.0,21.0,0.0,12347.0,299.0,31.0,14448.0,320.0,31.0,2750.0,30848.0,33598.0,45.0,22.0,850.0,319.0,895.0,341.0,0.0,36.0,36.0,0.0,0.0,0.0,15749.0,15749.0,0.0,5287534.0,44477.0,5332011.0
Inyo,115.0,1.0,0.0,881.0,4.0,1.0,996.0,5.0,1.0,316.0,1690.0,2006.0,2.0,2.0,12.0,6.0,14.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,1034.0,1034.0,0.0,275986.0,916.0,276902.0
Kern ,11275.0,40.0,2.0,47376.0,322.0,155.0,58651.0,362.0,157.0,30519.0,110748.0,141267.0,95.0,43.0,961.0,360.0,1056.0,403.0,2.0,222.0,224.0,0.0,0.0,0.0,62375.0,62375.0,0.0,20967161.0,88895.0,21056056.0
Kings,1552.0,8.0,0.0,8150.0,78.0,25.0,9702.0,86.0,25.0,4144.0,18721.0,22865.0,19.0,8.0,236.0,85.0,255.0,93.0,0.0,32.0,32.0,0.0,0.0,0.0,10380.0,10380.0,0.0,3236761.0,16254.0,3253015.0
Lake,608.0,3.0,0.0,4489.0,11.0,8.0,5097.0,14.0,8.0,1510.0,8698.0,10208.0,10.0,3.0,24.0,13.0,34.0,16.0,0.0,9.0,9.0,0.0,0.0,0.0,5416.0,5416.0,0.0,1542690.0,3396.0,1546086.0
Lassen,251.0,0.0,0.0,1168.0,1.0,0.0,1419.0,1.0,0.0,673.0,2293.0,2966.0,0.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1543.0,1543.0,0.0,455150.0,120.0,455270.0
Los Angeles,87602.0,1856.0,72.0,464283.0,5637.0,3101.0,551885.0,7493.0,3173.0,197816.0,930114.0,1127930.0,3541.0,2564.0,13562.0,6995.0,17103.0,9559.0,156.0,3984.0,4140.0,0.0,0.0,0.0,1193970.0,1193970.0,0.0,183364203.0,1924081.0,185288284.0
Madera,1977.0,6.0,2.0,8493.0,40.0,4.0,10470.0,46.0,6.0,5228.0,21170.0,26398.0,14.0,6.0,130.0,49.0,144.0,55.0,2.0,5.0,7.0,0.0,0.0,0.0,7609.0,7609.0,0.0,3840753.0,6207.0,3846960.0
Marin,727.0,39.0,3.0,4858.0,130.0,29.0,5585.0,169.0,32.0,1548.0,7592.0,9140.0,84.0,41.0,282.0,157.0,366.0,198.0,3.0,40.0,43.0,0.0,0.0,0.0,6067.0,6067.0,0.0,1513082.0,25279.0,1538361.0
Mariposa,117.0,0.0,0.0,776.0,2.0,0.0,893.0,2.0,0.0,318.0,1474.0,1792.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,954.0,954.0,0.0,263497.0,159.0,263656.0
