,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,PART A.  PARTICIPATION DURING THE MONTH ,,,,,,,,,PART A.  PARTICIPATION,,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,,CDSS Use Only:
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,,1296853643.76
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL,
,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES,
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,15.0,16.0,17.0,7.0,8.0,18.0,9.0,10.0,11.0,12.0,19.0,20.0,13.0,14.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,
Statewide,291532.0,4805.0,165.0,1773188.0,20943.0,10724.0,2064720.0,25748.0,10889.0,733214.0,3604164.0,4337378.0,10255.0,6321.0,50338.0,25501.0,60593.0,31822.0,268.0,13844.0,14112.0,0.0,0.0,0.0,2309660.0,2309660.0,0.0,633510608.82,6061291.06,639571899.88,
Alameda,8561.0,277.0,10.0,50328.0,1138.0,511.0,58889.0,1415.0,521.0,19962.0,94350.0,114312.0,637.0,339.0,2576.0,1429.0,3213.0,1768.0,11.0,699.0,710.0,0.0,0.0,0.0,60825.0,60825.0,0.0,17526136.0,299885.0,17826021.0,
Alpine,4.0,0.0,0.0,98.0,0.0,0.0,102.0,0.0,0.0,8.0,157.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,107.0,0.0,22418.0,0.0,22418.0,
Amador,173.0,0.0,0.0,1571.0,2.0,0.0,1744.0,2.0,0.0,441.0,2893.0,3334.0,0.0,0.0,7.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1867.0,1867.0,0.0,458011.0,167.0,458178.0,
Butte,1992.0,9.0,1.0,14028.0,48.0,23.0,16020.0,57.0,24.0,4919.0,26204.0,31123.0,23.0,10.0,117.0,51.0,140.0,61.0,1.0,26.0,27.0,0.0,0.0,0.0,17162.0,17162.0,0.0,4432232.0,10207.0,4442439.0,
Calaveras,285.0,1.0,0.0,2621.0,7.0,3.0,2906.0,8.0,3.0,741.0,4683.0,5424.0,2.0,1.0,18.0,8.0,20.0,9.0,0.0,4.0,4.0,0.0,0.0,0.0,3093.0,3093.0,0.0,745978.0,1299.0,747277.0,
Colusa,108.0,2.0,0.0,580.0,4.0,1.0,688.0,6.0,1.0,294.0,1338.0,1632.0,4.0,2.0,14.0,4.0,18.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,806.0,806.0,0.0,232388.0,697.0,233085.0,
Contra Costa,5168.0,92.0,0.0,29339.0,321.0,126.0,34507.0,413.0,126.0,12308.0,57385.0,69693.0,222.0,120.0,738.0,401.0,960.0,521.0,0.0,156.0,156.0,0.0,0.0,0.0,40191.0,40191.0,0.0,10468813.0,78084.0,10546897.0,
Del Norte,405.0,0.0,0.0,2070.0,2.0,2.0,2475.0,2.0,2.0,1077.0,4039.0,5116.0,0.0,0.0,5.0,2.0,5.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,2610.0,2610.0,0.0,737377.0,420.0,737797.0,
El Dorado,606.0,0.0,0.0,6631.0,28.0,12.0,7237.0,28.0,12.0,1565.0,11495.0,13060.0,0.0,0.0,81.0,33.0,81.0,33.0,0.0,12.0,12.0,0.0,0.0,0.0,7714.0,7714.0,0.0,1826623.0,4521.0,1831144.0,
Fresno,15028.0,165.0,5.0,81139.0,583.0,190.0,96167.0,748.0,195.0,40834.0,184345.0,225179.0,421.0,191.0,1608.0,683.0,2029.0,874.0,10.0,215.0,225.0,0.0,0.0,0.0,106623.0,106623.0,0.0,33598956.0,142453.0,33741409.0,
Glenn,253.0,1.0,0.0,1254.0,7.0,0.0,1507.0,8.0,0.0,704.0,2914.0,3618.0,8.0,1.0,29.0,7.0,37.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1621.0,1621.0,0.0,474466.0,487.0,474953.0,
Humboldt,1024.0,4.0,0.0,10523.0,22.0,16.0,11547.0,26.0,16.0,2517.0,17776.0,20293.0,6.0,5.0,49.0,28.0,55.0,33.0,0.0,21.0,21.0,0.0,0.0,0.0,12353.0,12353.0,0.0,2899529.0,5985.0,2905514.0,
Imperial,2391.0,31.0,2.0,13884.0,354.0,49.0,16275.0,385.0,51.0,6700.0,33706.0,40406.0,76.0,32.0,953.0,385.0,1029.0,417.0,2.0,59.0,61.0,0.0,0.0,0.0,17513.0,17513.0,0.0,5475175.0,51345.0,5526520.0,
Inyo,112.0,0.0,0.0,937.0,4.0,2.0,1049.0,4.0,2.0,297.0,1778.0,2075.0,0.0,0.0,8.0,6.0,8.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,1134.0,1134.0,0.0,279721.0,500.0,280221.0,
Kern ,11119.0,66.0,9.0,52524.0,438.0,236.0,63643.0,504.0,245.0,30035.0,120469.0,150504.0,168.0,76.0,1241.0,492.0,1409.0,568.0,9.0,360.0,369.0,0.0,0.0,0.0,68106.0,68106.0,0.0,21245938.0,125515.0,21371453.0,
Kings,1623.0,17.0,0.0,8526.0,116.0,22.0,10149.0,133.0,22.0,4354.0,19239.0,23593.0,40.0,18.0,345.0,130.0,385.0,148.0,0.0,30.0,30.0,0.0,0.0,0.0,10893.0,10893.0,0.0,3249007.0,19642.0,3268649.0,
Lake  a/,689.0,0.0,0.0,5222.0,16.0,9.0,5911.0,16.0,9.0,1792.0,9768.0,11560.0,0.0,0.0,40.0,19.0,40.0,19.0,0.0,10.0,10.0,0.0,0.0,0.0,6334.0,6334.0,0.0,1664498.0,3756.0,1668254.0,
Lassen,281.0,0.0,0.0,1237.0,2.0,0.0,1518.0,2.0,0.0,757.0,2370.0,3127.0,0.0,0.0,7.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1623.0,1623.0,0.0,448564.0,93.0,448657.0,
Los Angeles,79653.0,1993.0,69.0,492314.0,5962.0,3733.0,571967.0,7955.0,3802.0,181040.0,967618.0,1148658.0,3769.0,2791.0,13752.0,7483.0,17521.0,10274.0,138.0,4804.0,4942.0,0.0,0.0,0.0,668047.0,668047.0,0.0,175622225.0,2386802.0,178009027.0,
Madera,2089.0,12.0,1.0,9757.0,56.0,4.0,11846.0,68.0,5.0,5681.0,23409.0,29090.0,29.0,13.0,170.0,60.0,199.0,73.0,1.0,5.0,6.0,0.0,0.0,0.0,8718.0,8718.0,0.0,4122190.0,7543.0,4129733.0,
Marin,643.0,43.0,1.0,5391.0,197.0,58.0,6034.0,240.0,59.0,1399.0,8197.0,9596.0,81.0,47.0,418.0,249.0,499.0,296.0,1.0,74.0,75.0,0.0,0.0,0.0,6657.0,6657.0,0.0,1510689.0,33453.0,1544142.0,
Mariposa,149.0,0.0,0.0,933.0,3.0,0.0,1082.0,3.0,0.0,404.0,1640.0,2044.0,0.0,0.0,7.0,3.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1137.0,1137.0,0.0,293207.0,334.0,293541.0,
Mendocino,796.0,4.0,0.0,6246.0,29.0,13.0,7042.0,33.0,13.0,1983.0,11014.0,12997.0,14.0,4.0,85.0,34.0,99.0,38.0,0.0,14.0,14.0,0.0,0.0,0.0,7493.0,7493.0,0.0,1948952.0,7190.0,1956142.0,
Merced,4786.0,20.0,0.0,19948.0,71.0,7.0,24734.0,91.0,7.0,13121.0,44742.0,57863.0,49.0,20.0,199.0,74.0,248.0,94.0,0.0,8.0,8.0,0.0,0.0,0.0,26168.0,26168.0,0.0,8112326.0,9504.0,8121830.0,
Modoc,85.0,0.0,0.0,388.0,0.0,0.0,473.0,0.0,0.0,231.0,801.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.0,510.0,0.0,140455.0,0.0,140455.0,
Mono,12.0,0.0,0.0,511.0,2.0,1.0,523.0,2.0,1.0,29.0,832.0,861.0,0.0,0.0,5.0,2.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,563.0,563.0,0.0,119190.0,326.0,119516.0,
Monterey,4089.0,45.0,0.0,19421.0,227.0,33.0,23510.0,272.0,33.0,10185.0,42480.0,52665.0,113.0,52.0,636.0,261.0,749.0,313.0,0.0,42.0,42.0,0.0,0.0,0.0,25617.0,25617.0,0.0,7801997.0,36293.0,7838290.0,
Napa,371.0,6.0,1.0,3132.0,67.0,10.0,3503.0,73.0,11.0,900.0,6310.0,7210.0,15.0,8.0,168.0,76.0,183.0,84.0,1.0,11.0,12.0,0.0,0.0,0.0,3761.0,3761.0,0.0,1010820.0,7609.0,1018429.0,
Nevada,389.0,1.0,0.0,3845.0,7.0,5.0,4234.0,8.0,5.0,1017.0,6624.0,7641.0,1.0,1.0,13.0,7.0,14.0,8.0,0.0,6.0,6.0,0.0,0.0,0.0,4570.0,4570.0,0.0,1132796.0,1423.0,1134219.0,
Orange,12933.0,222.0,5.0,103941.0,2096.0,1144.0,116874.0,2318.0,1149.0,32986.0,211601.0,244587.0,475.0,295.0,4491.0,2636.0,4966.0,2931.0,8.0,1568.0,1576.0,0.0,0.0,0.0,126569.0,126569.0,0.0,34969342.0,532528.0,35501870.0,
Placer,882.0,13.0,0.0,8289.0,35.0,21.0,9171.0,48.0,21.0,2248.0,15739.0,17987.0,26.0,20.0,82.0,48.0,108.0,68.0,0.0,23.0,23.0,0.0,0.0,0.0,9729.0,9729.0,0.0,2424119.0,9968.0,2434087.0,
Plumas,115.0,0.0,0.0,946.0,3.0,1.0,1061.0,3.0,1.0,293.0,1703.0,1996.0,0.0,0.0,5.0,3.0,5.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,1145.0,1145.0,0.0,287960.0,698.0,288658.0,
Riverside,18234.0,142.0,5.0,106579.0,959.0,237.0,124813.0,1101.0,242.0,49041.0,236635.0,285676.0,377.0,166.0,2695.0,1073.0,3072.0,1239.0,6.0,296.0,302.0,0.0,0.0,0.0,131944.0,131944.0,0.0,39532985.73,162144.0,39695129.73,
Sacramento,17244.0,443.0,12.0,84151.0,924.0,546.0,101395.0,1367.0,558.0,44048.0,169442.0,213490.0,998.0,662.0,2163.0,1196.0,3161.0,1858.0,13.0,725.0,738.0,0.0,0.0,0.0,118002.0,118002.0,0.0,31949578.0,353000.0,32302578.0,
San Benito,338.0,2.0,0.0,2362.0,24.0,1.0,2700.0,26.0,1.0,919.0,5187.0,6106.0,4.0,2.0,58.0,29.0,62.0,31.0,0.0,1.0,1.0,0.0,0.0,0.0,2889.0,2889.0,0.0,850410.0,1952.0,852362.0,
San Bernardino,28223.0,180.0,7.0,147265.0,1059.0,347.0,175488.0,1239.0,354.0,75920.0,316474.0,392394.0,442.0,205.0,2829.0,1248.0,3271.0,1453.0,9.0,445.0,454.0,0.0,0.0,0.0,184270.0,184270.0,0.0,55377787.0,210379.0,55588166.0,
San Diego,17052.0,320.0,9.0,119760.0,1640.0,648.0,136812.0,1960.0,657.0,45757.0,234120.0,279877.0,699.0,408.0,4021.0,1891.0,4720.0,2299.0,18.0,821.0,839.0,0.0,0.0,0.0,162524.0,162524.0,0.0,39838250.0,357377.0,40195627.0,
San Francisco,2395.0,157.0,3.0,28870.0,699.0,946.0,31265.0,856.0,949.0,5282.0,41982.0,47264.0,277.0,181.0,1359.0,901.0,1636.0,1082.0,5.0,977.0,982.0,0.0,0.0,0.0,36243.0,36243.0,0.0,7424267.0,250677.0,7674944.0,
San Joaquin,9046.0,72.0,1.0,42198.0,474.0,136.0,51244.0,546.0,137.0,23241.0,94557.0,117798.0,178.0,76.0,1302.0,583.0,1480.0,659.0,1.0,196.0,197.0,0.0,0.0,0.0,54410.0,54410.0,0.0,16817599.0,96760.0,16914359.0,
San Luis Obispo,1122.0,4.0,0.0,8688.0,53.0,13.0,9810.0,57.0,13.0,2808.0,15392.0,18200.0,9.0,5.0,140.0,60.0,149.0,65.0,0.0,16.0,16.0,0.0,0.0,0.0,10381.0,10381.0,0.0,2559844.0,7631.0,2567475.0,
San Mateo,1193.0,45.0,4.0,14160.0,445.0,169.0,15353.0,490.0,173.0,2863.0,26967.0,29830.0,100.0,56.0,1036.0,555.0,1136.0,611.0,5.0,215.0,220.0,0.0,0.0,0.0,18475.0,18475.0,0.0,4208982.0,84988.0,4293970.0,
Santa Barbara,2819.0,14.0,2.0,14271.0,117.0,36.0,17090.0,131.0,38.0,7158.0,30069.0,37227.0,34.0,15.0,306.0,125.0,340.0,140.0,2.0,48.0,50.0,0.0,0.0,0.0,20582.0,20582.0,0.0,5192487.0,21076.0,5213563.0,
Santa Clara,5942.0,118.0,8.0,47508.0,853.0,803.0,53450.0,971.0,811.0,14343.0,93215.0,107558.0,248.0,144.0,1761.0,1123.0,2009.0,1267.0,16.0,1166.0,1182.0,0.0,0.0,0.0,58227.0,58227.0,0.0,15575838.0,308984.0,15884822.0,
Santa Cruz,1315.0,4.0,0.0,12013.0,49.0,8.0,13328.0,53.0,8.0,3175.0,22313.0,25488.0,10.0,4.0,121.0,52.0,131.0,56.0,0.0,9.0,9.0,0.0,0.0,0.0,15851.0,15851.0,0.0,3628976.0,7358.0,3636334.0,
Shasta,1502.0,4.0,0.0,11277.0,29.0,14.0,12779.0,33.0,14.0,3689.0,20925.0,24614.0,6.0,4.0,69.0,32.0,75.0,36.0,0.0,20.0,20.0,0.0,0.0,0.0,13535.0,13535.0,0.0,3390780.0,7617.0,3398397.0,
Sierra,8.0,0.0,0.0,176.0,0.0,0.0,184.0,0.0,0.0,20.0,316.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,203.0,0.0,46126.0,0.0,46126.0,
Siskiyou,444.0,0.0,0.0,2796.0,4.0,2.0,3240.0,4.0,2.0,1222.0,5815.0,7037.0,0.0,0.0,14.0,4.0,14.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,3450.0,3450.0,0.0,980811.0,664.0,981475.0,
Solano,3101.0,25.0,0.0,18893.0,141.0,51.0,21994.0,166.0,51.0,7516.0,35029.0,42545.0,65.0,28.0,338.0,153.0,403.0,181.0,0.0,66.0,66.0,0.0,0.0,0.0,23490.0,23490.0,0.0,6266328.09,28941.06,6295269.15,
Sonoma,1847.0,51.0,1.0,17701.0,206.0,53.0,19548.0,257.0,54.0,4445.0,30461.0,34906.0,112.0,64.0,550.0,230.0,662.0,294.0,1.0,69.0,70.0,0.0,0.0,0.0,22499.0,22499.0,0.0,5020825.0,37221.0,5058046.0,
Stanislaus,6402.0,34.0,4.0,35918.0,154.0,34.0,42320.0,188.0,38.0,16827.0,73871.0,90698.0,103.0,37.0,415.0,174.0,518.0,211.0,4.0,45.0,49.0,0.0,0.0,0.0,44340.0,44340.0,0.0,12913550.0,28801.0,12942351.0,
Sutter,792.0,15.0,0.0,4804.0,37.0,9.0,5596.0,52.0,9.0,2122.0,10809.0,12931.0,39.0,17.0,88.0,46.0,127.0,63.0,0.0,9.0,9.0,0.0,0.0,0.0,5957.0,5957.0,0.0,1838689.0,7962.0,1846651.0,
Tehama,649.0,4.0,0.0,4041.0,22.0,4.0,4690.0,26.0,4.0,1740.0,8405.0,10145.0,10.0,5.0,52.0,24.0,62.0,29.0,0.0,4.0,4.0,0.0,0.0,0.0,4960.0,4960.0,0.0,1424518.0,4344.0,1428862.0,
Trinity,74.0,0.0,0.0,904.0,0.0,0.0,978.0,0.0,0.0,185.0,1579.0,1764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1048.0,1048.0,0.0,265312.0,0.0,265312.0,
Tulare,9192.0,66.0,5.0,42368.0,658.0,197.0,51560.0,724.0,202.0,25220.0,96493.0,121713.0,175.0,72.0,1787.0,727.0,1962.0,799.0,6.0,248.0,254.0,0.0,0.0,0.0,61620.0,61620.0,0.0,17253060.0,129530.0,17382590.0,
Tuolumne,339.0,2.0,0.0,2668.0,4.0,2.0,3007.0,6.0,2.0,846.0,4527.0,5373.0,6.0,3.0,6.0,5.0,12.0,8.0,0.0,4.0,4.0,0.0,0.0,0.0,3204.0,3204.0,0.0,777981.0,1450.0,779431.0,
Ventura,3494.0,26.0,0.0,32606.0,358.0,159.0,36100.0,384.0,159.0,8847.0,64622.0,73469.0,55.0,35.0,873.0,409.0,928.0,444.0,0.0,195.0,195.0,0.0,0.0,0.0,42277.0,42277.0,0.0,10446958.0,118955.0,10565913.0,
Yolo,1028.0,45.0,0.0,8545.0,156.0,72.0,9573.0,201.0,72.0,2660.0,16696.0,19356.0,111.0,76.0,400.0,208.0,511.0,284.0,0.0,98.0,98.0,0.0,0.0,0.0,11622.0,11622.0,0.0,2753186.0,48897.0,2802083.0,
Yuba,923.0,8.0,0.0,5092.0,31.0,5.0,6015.0,39.0,5.0,2498.0,10644.0,13142.0,18.0,10.0,88.0,35.0,106.0,45.0,0.0,12.0,12.0,0.0,0.0,0.0,6398.0,6398.0,0.0,1893383.0,5856.0,1899239.0,
