November 2014,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,PART A.  PARTICIPATION DURING THE MONTH (Continued),,,,,,,,,PART A.  PARTICIPATION (Continued),,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,,CDSS Use Only:
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,,1300994711.98
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL,
,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES,
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,15.0,16.0,17.0,7.0,8.0,18.0,9.0,10.0,11.0,12.0,19.0,20.0,13.0,14.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,
Statewide,306122.0,5028.0,206.0,1744190.0,20179.0,10317.0,2050312.0,25207.0,10523.0,767490.0,3554859.0,4322349.0,10639.0,6466.0,48576.0,24633.0,59215.0,31099.0,318.0,13345.0,13663.0,0.0,0.0,0.0,2324297.0,2324297.0,0.0,635669002.99,5991688.0,641660690.99,
Alameda,8881.0,272.0,7.0,51730.0,1143.0,511.0,60611.0,1415.0,518.0,20728.0,96984.0,117712.0,606.0,328.0,2611.0,1412.0,3217.0,1740.0,7.0,681.0,688.0,0.0,0.0,0.0,62544.0,62544.0,0.0,17895030.0,295110.0,18190140.0,
Alpine,2.0,0.0,0.0,104.0,0.0,0.0,106.0,0.0,0.0,3.0,170.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,123.0,0.0,22913.0,140.0,23053.0,
Amador,167.0,0.0,0.0,1540.0,3.0,0.0,1707.0,3.0,0.0,437.0,2845.0,3282.0,0.0,0.0,8.0,3.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1889.0,1889.0,0.0,460554.0,330.0,460884.0,
Butte,2003.0,9.0,1.0,13836.0,42.0,22.0,15839.0,51.0,23.0,4953.0,26013.0,30966.0,19.0,10.0,112.0,46.0,131.0,56.0,1.0,28.0,29.0,0.0,0.0,0.0,17599.0,17599.0,0.0,4418863.0,9878.0,4428741.0,
Calaveras,279.0,0.0,0.0,2584.0,6.0,2.0,2863.0,6.0,2.0,746.0,4636.0,5382.0,0.0,0.0,13.0,7.0,13.0,7.0,0.0,3.0,3.0,0.0,0.0,0.0,3264.0,3264.0,0.0,753379.0,1313.0,754692.0,
Colusa,94.0,1.0,0.0,561.0,0.0,1.0,655.0,1.0,1.0,248.0,1251.0,1499.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,756.0,756.0,0.0,205959.0,485.0,206444.0,
Contra Costa,5643.0,84.0,2.0,29476.0,315.0,116.0,35119.0,399.0,118.0,13278.0,57748.0,71026.0,199.0,107.0,709.0,382.0,908.0,489.0,3.0,148.0,151.0,0.0,0.0,0.0,40620.0,40620.0,0.0,10704982.0,74802.0,10779784.0,
Del Norte,413.0,1.0,0.0,2094.0,3.0,4.0,2507.0,4.0,4.0,1115.0,4053.0,5168.0,3.0,1.0,5.0,4.0,8.0,5.0,0.0,8.0,8.0,0.0,0.0,0.0,2811.0,2811.0,0.0,741820.0,1085.0,742905.0,
El Dorado,600.0,0.0,0.0,6376.0,24.0,12.0,6976.0,24.0,12.0,1502.0,11162.0,12664.0,0.0,0.0,65.0,29.0,65.0,29.0,0.0,12.0,12.0,0.0,0.0,0.0,7896.0,7896.0,0.0,1783991.0,4120.0,1788111.0,
Fresno,15236.0,164.0,1.0,78718.0,540.0,181.0,93954.0,704.0,182.0,41468.0,179635.0,221103.0,391.0,186.0,1520.0,632.0,1911.0,818.0,1.0,204.0,205.0,0.0,0.0,0.0,104044.0,104044.0,0.0,33335908.0,136315.0,33472223.0,
Glenn,237.0,1.0,0.0,1233.0,4.0,1.0,1470.0,5.0,1.0,642.0,2881.0,3523.0,8.0,1.0,14.0,4.0,22.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1701.0,1701.0,0.0,461097.0,257.0,461354.0,
Humboldt,1020.0,5.0,0.0,10170.0,14.0,12.0,11190.0,19.0,12.0,2511.0,17338.0,19849.0,8.0,7.0,28.0,17.0,36.0,24.0,0.0,17.0,17.0,0.0,0.0,0.0,12295.0,12295.0,0.0,2848978.0,4220.0,2853198.0,
Imperial,2407.0,29.0,1.0,13829.0,342.0,52.0,16236.0,371.0,53.0,6736.0,33839.0,40575.0,71.0,29.0,958.0,374.0,1029.0,403.0,1.0,63.0,64.0,0.0,0.0,0.0,20596.0,20596.0,0.0,5532189.0,82571.0,5614760.0,
Inyo,109.0,0.0,0.0,904.0,5.0,2.0,1013.0,5.0,2.0,296.0,1727.0,2023.0,0.0,0.0,10.0,6.0,10.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,1151.0,1151.0,0.0,270947.0,726.0,271673.0,
Kern ,10929.0,54.0,4.0,50638.0,368.0,208.0,61567.0,422.0,212.0,29841.0,116560.0,146401.0,137.0,61.0,1020.0,414.0,1157.0,475.0,4.0,314.0,318.0,0.0,0.0,0.0,69506.0,69506.0,0.0,20673607.0,109965.0,20783572.0,
Kings,1627.0,15.0,0.0,8376.0,88.0,20.0,10003.0,103.0,20.0,4332.0,18848.0,23180.0,40.0,15.0,259.0,100.0,299.0,115.0,0.0,28.0,28.0,0.0,0.0,0.0,11436.0,11436.0,0.0,3198646.0,15238.0,3213884.0,
Lake  a/,676.0,3.0,0.0,5036.0,15.0,6.0,5712.0,18.0,6.0,1756.0,9515.0,11271.0,9.0,3.0,35.0,18.0,44.0,21.0,0.0,7.0,7.0,0.0,0.0,0.0,6036.0,6036.0,0.0,1626862.0,3284.0,1630146.0,
Lassen,292.0,0.0,0.0,1257.0,1.0,0.0,1549.0,1.0,0.0,769.0,2402.0,3171.0,0.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1755.0,1755.0,0.0,453275.0,115.0,453390.0,
Los Angeles,82392.0,2044.0,75.0,488748.0,5928.0,3599.0,571140.0,7972.0,3674.0,187880.0,962865.0,1150745.0,3879.0,2840.0,13729.0,7437.0,17608.0,10277.0,154.0,4659.0,4813.0,0.0,0.0,0.0,655222.0,655222.0,0.0,178574136.0,2350232.0,180924368.0,
Madera,1950.0,9.0,1.0,9502.0,45.0,3.0,11452.0,54.0,4.0,5249.0,23179.0,28428.0,22.0,9.0,145.0,49.0,167.0,58.0,1.0,4.0,5.0,0.0,0.0,0.0,7966.0,7966.0,0.0,3975779.0,5082.0,3980861.0,
Marin,672.0,43.0,1.0,5359.0,182.0,59.0,6031.0,225.0,60.0,1462.0,8184.0,9646.0,85.0,46.0,379.0,233.0,464.0,279.0,1.0,76.0,77.0,0.0,0.0,0.0,7016.0,7016.0,0.0,1519551.0,37792.0,1557343.0,
Mariposa,137.0,0.0,0.0,912.0,3.0,0.0,1049.0,3.0,0.0,368.0,1644.0,2012.0,0.0,0.0,7.0,3.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1213.0,1213.0,0.0,287124.0,1288.0,288412.0,
