,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,PART A.  PARTICIPATION DURING THE MONTH ,,,,,,,,,PART A.  PARTICIPATION,,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,,CDSS Use Only:
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,,1227351818.0
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL,
,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES,
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,15.0,16.0,17.0,7.0,8.0,18.0,9.0,10.0,11.0,12.0,19.0,20.0,13.0,14.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,
Statewide,260290.0,5065.0,169.0,1800559.0,21354.0,11186.0,2060849.0,26419.0,11355.0,661825.0,3563197.0,4225022.0,11128.0,6861.0,51132.0,26081.0,62260.0,32942.0,276.0,14744.0,15020.0,0.0,0.0,0.0,2278712.0,2278712.0,0.0,599092355.0,5870975.0,604963330.0,
Alameda,6368.0,238.0,8.0,52348.0,1408.0,663.0,58716.0,1646.0,671.0,14610.0,95239.0,109849.0,555.0,314.0,3187.0,1812.0,3742.0,2126.0,17.0,887.0,904.0,0.0,0.0,0.0,61033.0,61033.0,0.0,16319261.0,346056.0,16665317.0,
Alpine,1.0,0.0,0.0,90.0,0.0,0.0,91.0,0.0,0.0,2.0,145.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,92.0,0.0,17835.0,0.0,17835.0,
Amador,151.0,0.0,0.0,1630.0,3.0,0.0,1781.0,3.0,0.0,384.0,2977.0,3361.0,0.0,0.0,8.0,3.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1870.0,1870.0,0.0,455323.0,138.0,455461.0,
Butte,1755.0,11.0,1.0,15267.0,43.0,35.0,17022.0,54.0,36.0,4346.0,27760.0,32106.0,20.0,11.0,128.0,46.0,148.0,57.0,1.0,39.0,40.0,0.0,0.0,0.0,17969.0,17969.0,0.0,4409049.0,12166.0,4421215.0,
Calaveras,217.0,0.0,0.0,2584.0,5.0,3.0,2801.0,5.0,3.0,570.0,4604.0,5174.0,0.0,0.0,9.0,7.0,9.0,7.0,0.0,4.0,4.0,0.0,0.0,0.0,2925.0,2925.0,0.0,683335.0,1078.0,684413.0,
Colusa,78.0,3.0,0.0,554.0,1.0,2.0,632.0,4.0,2.0,202.0,1222.0,1424.0,8.0,3.0,2.0,1.0,10.0,4.0,0.0,3.0,3.0,0.0,0.0,0.0,694.0,694.0,0.0,185737.0,650.0,186387.0,
Contra Costa,4165.0,103.0,1.0,29604.0,374.0,156.0,33769.0,477.0,157.0,9583.0,56725.0,66308.0,249.0,151.0,865.0,507.0,1114.0,658.0,1.0,207.0,208.0,0.0,0.0,0.0,39896.0,39896.0,0.0,9665652.0,96242.0,9761894.0,
Del Norte,422.0,0.0,0.0,2215.0,2.0,0.0,2637.0,2.0,0.0,1184.0,4189.0,5373.0,0.0,0.0,5.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2770.0,2770.0,0.0,723597.0,99.0,723696.0,
El Dorado,563.0,2.0,0.0,6658.0,31.0,8.0,7221.0,33.0,8.0,1346.0,11439.0,12785.0,5.0,2.0,81.0,37.0,86.0,39.0,0.0,9.0,9.0,0.0,0.0,0.0,7618.0,7618.0,0.0,1753236.0,4445.0,1757681.0,
Fresno,12810.0,201.0,14.0,81816.0,662.0,196.0,94626.0,863.0,210.0,34767.0,182994.0,217761.0,505.0,243.0,1793.0,763.0,2298.0,1006.0,29.0,236.0,265.0,0.0,0.0,0.0,106849.0,106849.0,0.0,32081048.0,166613.0,32247661.0,
Glenn,222.0,2.0,0.0,1355.0,9.0,0.0,1577.0,11.0,0.0,588.0,3053.0,3641.0,10.0,2.0,33.0,9.0,43.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1691.0,1691.0,0.0,458864.0,856.0,459720.0,
Humboldt,941.0,0.0,0.0,11614.0,26.0,7.0,12555.0,26.0,7.0,2323.0,18952.0,21275.0,0.0,0.0,57.0,31.0,57.0,31.0,0.0,9.0,9.0,0.0,0.0,0.0,13269.0,13269.0,0.0,2975224.0,4631.0,2979855.0,
