October 2015,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,PART A.  PARTICIPATION DURING THE MONTH (Continued),,,,,,,,,PART A.  PARTICIPATION (Continued),,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,,CDSS Use Only:
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,,1282809649.02
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL,
,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES,
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,15.0,16.0,17.0,7.0,8.0,18.0,9.0,10.0,11.0,12.0,19.0,20.0,13.0,14.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,
Statewide,273367.0,4709.0,177.0,1838231.0,22045.0,11223.0,2111598.0,26754.0,11400.0,689587.0,3688316.0,4377903.0,10033.0,6320.0,52603.0,26798.0,62636.0,33118.0,273.0,14368.0,14641.0,0.0,0.0,0.0,2558645.0,2558645.0,0.0,626061148.23,6146981.28,632208129.51,
Alameda,7393.0,217.0,4.0,53137.0,1290.0,612.0,60530.0,1507.0,616.0,17052.0,98383.0,115435.0,489.0,279.0,2873.0,1610.0,3362.0,1889.0,6.0,847.0,853.0,0.0,0.0,0.0,62653.0,62653.0,0.0,17364851.0,327031.0,17691882.0,
Alpine,3.0,0.0,0.0,95.0,0.0,0.0,98.0,0.0,0.0,5.0,159.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,128.0,0.0,19657.0,0.0,19657.0,
Amador,170.0,0.0,0.0,1608.0,2.0,0.0,1778.0,2.0,0.0,435.0,2998.0,3433.0,0.0,0.0,5.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2310.0,2310.0,0.0,465796.0,129.0,465925.0,
Butte,1836.0,10.0,2.0,14880.0,48.0,24.0,16716.0,58.0,26.0,4488.0,27553.0,32041.0,29.0,11.0,125.0,51.0,154.0,62.0,2.0,28.0,30.0,0.0,0.0,0.0,21865.0,21865.0,0.0,4502135.0,12957.0,4515092.0,
Calaveras,250.0,1.0,0.0,2647.0,7.0,4.0,2897.0,8.0,4.0,658.0,4716.0,5374.0,2.0,1.0,14.0,10.0,16.0,11.0,0.0,5.0,5.0,0.0,0.0,0.0,4572.0,4572.0,0.0,826567.0,2020.0,828587.0,
Colusa,82.0,1.0,0.0,503.0,1.0,2.0,585.0,2.0,2.0,220.0,1089.0,1309.0,2.0,1.0,2.0,1.0,4.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,806.0,806.0,0.0,172863.0,437.0,173300.0,
Contra Costa,4731.0,90.0,1.0,30494.0,375.0,157.0,35225.0,465.0,158.0,11075.0,59056.0,70131.0,206.0,122.0,850.0,471.0,1056.0,593.0,1.0,196.0,197.0,0.0,0.0,0.0,42250.0,42250.0,0.0,10507225.0,95417.0,10602642.0,
Del Norte,406.0,0.0,0.0,2165.0,2.0,0.0,2571.0,2.0,0.0,1127.0,4145.0,5272.0,0.0,0.0,7.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3328.0,3328.0,0.0,715235.0,0.0,715235.0,
El Dorado,584.0,1.0,1.0,6662.0,30.0,9.0,7246.0,31.0,10.0,1437.0,11499.0,12936.0,1.0,1.0,80.0,35.0,81.0,36.0,1.0,9.0,10.0,0.0,0.0,0.0,9415.0,9415.0,0.0,1791954.0,4214.0,1796168.0,
Fresno  a/,13836.0,180.0,14.0,83163.0,616.0,172.0,96999.0,796.0,186.0,37795.0,186584.0,224379.0,452.0,203.0,1670.0,712.0,2122.0,915.0,21.0,206.0,227.0,0.0,0.0,0.0,108890.0,108890.0,0.0,32994144.0,142617.0,33136761.0,
Glenn,216.0,1.0,0.0,1276.0,11.0,0.0,1492.0,12.0,0.0,594.0,2899.0,3493.0,6.0,1.0,39.0,12.0,45.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2090.0,2090.0,0.0,441289.0,662.0,441951.0,
Humboldt,1001.0,2.0,0.0,11349.0,17.0,11.0,12350.0,19.0,11.0,2496.0,18864.0,21360.0,4.0,3.0,34.0,21.0,38.0,24.0,0.0,13.0,13.0,0.0,0.0,0.0,15715.0,15715.0,0.0,3007868.0,4100.0,3011968.0,
Imperial,2428.0,29.0,1.0,14936.0,376.0,44.0,17364.0,405.0,45.0,6987.0,35970.0,42957.0,70.0,31.0,1022.0,415.0,1092.0,446.0,1.0,51.0,52.0,0.0,0.0,0.0,24488.0,24488.0,0.0,5769295.0,55097.0,5824392.0,
Inyo,111.0,0.0,0.0,960.0,6.0,3.0,1071.0,6.0,3.0,324.0,1789.0,2113.0,0.0,0.0,14.0,8.0,14.0,8.0,0.0,3.0,3.0,0.0,0.0,0.0,1430.0,1430.0,0.0,275457.0,1229.0,276686.0,
Kern ,10916.0,53.0,4.0,57508.0,691.0,239.0,68424.0,744.0,243.0,29466.0,128557.0,158023.0,132.0,60.0,2002.0,764.0,2134.0,824.0,4.0,330.0,334.0,0.0,0.0,0.0,92590.0,92590.0,0.0,21939741.0,124087.0,22063828.0,
Kings,1485.0,14.0,0.0,9114.0,101.0,19.0,10599.0,115.0,19.0,4090.0,20105.0,24195.0,33.0,14.0,287.0,114.0,320.0,128.0,0.0,22.0,22.0,0.0,0.0,0.0,14271.0,14271.0,0.0,3190118.0,18319.0,3208437.0,
Lake,624.0,0.0,0.0,6664.0,25.0,6.0,7288.0,25.0,6.0,1597.0,12993.0,14590.0,0.0,0.0,68.0,28.0,68.0,28.0,0.0,8.0,8.0,0.0,0.0,0.0,9406.0,9406.0,0.0,1726329.0,3099.0,1729428.0,
Lassen,257.0,1.0,0.0,1259.0,2.0,1.0,1516.0,3.0,1.0,732.0,2403.0,3135.0,2.0,1.0,2.0,3.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1976.0,1976.0,0.0,446632.0,665.0,447297.0,
Los Angeles  a/,77326.0,2131.0,67.0,496999.0,6067.0,3792.0,574325.0,8198.0,3859.0,177081.0,966089.0,1143170.0,4094.0,3008.0,13984.0,7630.0,18078.0,10638.0,125.0,4859.0,4984.0,0.0,0.0,0.0,670026.0,670026.0,0.0,171467358.0,2371775.0,173839133.0,
Madera,1859.0,12.0,1.0,10150.0,52.0,7.0,12009.0,64.0,8.0,5138.0,24231.0,29369.0,28.0,12.0,170.0,61.0,198.0,73.0,1.0,12.0,13.0,0.0,0.0,0.0,9028.0,9028.0,0.0,3949646.0,7901.0,3957547.0,
Marin,595.0,38.0,6.0,5626.0,194.0,49.0,6221.0,232.0,55.0,1273.0,8607.0,9880.0,77.0,43.0,405.0,242.0,482.0,285.0,6.0,64.0,70.0,0.0,0.0,0.0,8460.0,8460.0,0.0,1509904.0,34757.0,1544661.0,
Mariposa,140.0,0.0,0.0,963.0,0.0,0.0,1103.0,0.0,0.0,410.0,1665.0,2075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1464.0,1464.0,0.0,277437.0,0.0,277437.0,
