county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_total,val_issuances_fed_only,val_issuances_fed_st_fed,val_issuances_fed_st_st,val_issuences_st_only,val_issuances_tot_fed,val_issuances_tot_st,val_issuances_tot_all,year,month,quarter,fulldate
California,302429.0,27672.0,1279.0,303160.0,30192.0,14912.0,605589.0,57864.0,16191.0,844247.0,695107.0,1539354.0,71600.0,33147.0,87008.0,38911.0,158608.0,72058.0,3712.0,19470.0,23182.0,96986.0,562092.0,75214.0,734292.0,122747830.0,12577796.0,3434215.0,2511674.0,135325626.0,5945889.0,141271515.0,2002,AUG,3.0,2002-08-01
Alameda,13442.0,265.0,0.0,6762.0,86.0,234.0,20204.0,351.0,234.0,34412.0,17311.0,51723.0,669.0,301.0,231.0,99.0,900.0,400.0,0.0,306.0,306.0,5.0,20789.0,0.0,20794.0,3810987.0,45835.0,20372.0,44139.0,3856822.0,64511.0,3921333.0,2002,AUG,3.0,2002-08-01
Alpine,16.0,0.0,0.0,16.0,0.0,0.0,32.0,0.0,0.0,47.0,38.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,32.0,6694.0,0.0,0.0,0.0,6694.0,0.0,6694.0,2002,AUG,3.0,2002-08-01
Amador,120.0,1.0,0.0,242.0,0.0,1.0,362.0,1.0,1.0,310.0,529.0,839.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,351.0,0.0,66.0,417.0,68203.0,0.0,0.0,0.0,68203.0,0.0,68203.0,2002,AUG,3.0,2002-08-01
Butte,2600.0,31.0,0.0,3315.0,30.0,10.0,5915.0,61.0,10.0,7714.0,7991.0,15705.0,135.0,37.0,144.0,37.0,279.0,74.0,0.0,26.0,26.0,6545.0,0.0,0.0,6545.0,1192950.0,18815.0,3829.0,1659.0,1211765.0,5488.0,1217253.0,2002,AUG,3.0,2002-08-01
Calaveras,209.0,0.0,0.0,430.0,0.0,2.0,639.0,0.0,2.0,561.0,880.0,1441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,576.0,0.0,114.0,690.0,112885.0,0.0,0.0,19.0,112885.0,19.0,112904.0,2002,AUG,3.0,2002-08-01
Colusa,79.0,8.0,0.0,255.0,31.0,9.0,334.0,39.0,9.0,230.0,631.0,861.0,18.0,10.0,82.0,44.0,100.0,54.0,0.0,13.0,13.0,412.0,0.0,0.0,412.0,60036.0,6412.0,2135.0,1406.0,66448.0,3541.0,69989.0,2002,AUG,3.0,2002-08-01
Contra Costa,5520.0,311.0,10.0,2463.0,84.0,84.0,7983.0,395.0,94.0,15148.0,4658.0,19806.0,924.0,398.0,226.0,116.0,1150.0,514.0,28.0,108.0,136.0,3.0,9217.0,0.0,9220.0,1491534.0,86973.0,19221.0,13134.0,1578507.0,32355.0,1610862.0,2002,AUG,3.0,2002-08-01
Del Norte,481.0,4.0,0.0,708.0,2.0,1.0,1189.0,6.0,1.0,1454.0,1492.0,2946.0,13.0,4.0,6.0,2.0,19.0,6.0,0.0,1.0,1.0,127.0,0.0,1069.0,1196.0,221200.0,1500.0,249.0,135.0,222700.0,384.0,223084.0,2002,AUG,3.0,2002-08-01
El Dorado,608.0,8.0,0.0,882.0,8.0,4.0,1490.0,16.0,4.0,1621.0,1700.0,3321.0,14.0,8.0,25.0,8.0,39.0,16.0,0.0,4.0,4.0,1645.0,56.0,0.0,1701.0,265930.0,3370.0,477.0,518.0,269300.0,995.0,270295.0,2002,AUG,3.0,2002-08-01
Fresno,18169.0,1562.0,23.0,9177.0,847.0,155.0,27346.0,2409.0,178.0,60214.0,22679.0,82893.0,5286.0,1832.0,2409.0,1119.0,7695.0,2951.0,57.0,229.0,286.0,696.0,30213.0,0.0,30909.0,6120774.0,573591.0,118175.0,26648.0,6694365.0,144823.0,6839188.0,2002,AUG,3.0,2002-08-01
Glenn,235.0,1.0,0.0,462.0,12.0,7.0,697.0,13.0,7.0,716.0,1242.0,1958.0,4.0,1.0,39.0,13.0,43.0,14.0,0.0,8.0,8.0,768.0,0.0,0.0,768.0,135772.0,2266.0,847.0,937.0,138038.0,1784.0,139822.0,2002,AUG,3.0,2002-08-01
Humboldt,1308.0,11.0,0.0,2482.0,14.0,6.0,3790.0,25.0,6.0,3541.0,5071.0,8612.0,39.0,12.0,40.0,14.0,79.0,26.0,0.0,6.0,6.0,116.0,3627.0,478.0,4221.0,706417.0,6480.0,2133.0,492.0,712897.0,2625.0,715522.0,2002,AUG,3.0,2002-08-01
Imperial,1549.0,343.0,1.0,3027.0,451.0,25.0,4576.0,794.0,26.0,4803.0,8554.0,13357.0,801.0,349.0,1222.0,605.0,2023.0,954.0,1.0,28.0,29.0,297.0,0.0,5620.0,5917.0,973274.0,152906.0,16681.0,2632.0,1126180.0,19313.0,1145493.0,2002,AUG,3.0,2002-08-01
Inyo,62.0,0.0,0.0,275.0,0.0,0.0,337.0,0.0,0.0,180.0,468.0,648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.0,0.0,0.0,356.0,52007.0,0.0,0.0,0.0,52007.0,0.0,52007.0,2002,AUG,3.0,2002-08-01
Kern,7433.0,201.0,2.0,11290.0,419.0,52.0,18723.0,620.0,54.0,23180.0,32285.0,55465.0,641.0,222.0,1211.0,500.0,1852.0,722.0,4.0,76.0,80.0,5593.0,17640.0,0.0,23233.0,4640975.0,154830.0,21798.0,8236.0,4795805.0,30034.0,4825839.0,2002,AUG,3.0,2002-08-01
