county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_total,val_issuances_fed_only,val_issuances_fed_st_fed,val_issuances_fed_st_st,val_issuences_st_only,val_issuances_tot_fed,val_issuances_tot_st,val_issuances_tot_all,year,month,total_households,big_six,quarter,fulldate
California,297028.0,24038.0,1339.0,313265.0,28517.0,14970.0,610293.0,52555.0,16309.0,812920.0,721751.0,1534671.0,60935.0,29059.0,82624.0,36665.0,143559.0,65724.0,3795.0,19486.0,23281.0,105671.0,529784.0,94256.0,729711.0,131049660.0,12310693.0,3200295.0,2666525.0,143360353.0,5866820.0,149227173.0,2003,JAN,679157.0,0,1.0,2003-01-01
Los Angeles,97315.0,12678.0,835.0,132194.0,15917.0,9710.0,229509.0,28595.0,10545.0,234580.0,281706.0,516286.0,28549.0,14403.0,46749.0,19894.0,75298.0,34297.0,2388.0,11970.0,14358.0,0.0,288792.0,0.0,288792.0,47310049.0,6723437.0,1786186.0,1702622.0,54033486.0,3488808.0,57522294.0,2003,JAN,268649.0,1,1.0,2003-01-01
San Bernardino,23713.0,961.0,24.0,17586.0,1311.0,358.0,41299.0,2272.0,382.0,69142.0,44804.0,113946.0,2720.0,1066.0,4104.0,1584.0,6824.0,2650.0,68.0,495.0,563.0,12.0,0.0,49871.0,49883.0,9768447.0,578851.0,110985.0,74061.0,10347298.0,185046.0,10532344.0,2003,JAN,43953.0,1,1.0,2003-01-01
Sacramento,18529.0,804.0,158.0,14026.0,398.0,293.0,32555.0,1202.0,451.0,59952.0,36311.0,96263.0,2608.0,1328.0,1517.0,774.0,4125.0,2102.0,570.0,529.0,1099.0,5232.0,31868.0,0.0,37100.0,7774247.0,319292.0,120980.0,85035.0,8093539.0,206015.0,8299554.0,2003,JAN,34208.0,1,1.0,2003-01-01
Fresno,18301.0,1422.0,16.0,9776.0,968.0,168.0,28077.0,2390.0,184.0,60026.0,24152.0,84178.0,4519.0,1636.0,2641.0,1229.0,7160.0,2865.0,39.0,256.0,295.0,684.0,30532.0,0.0,31216.0,6793840.0,617972.0,133760.0,32117.0,7411812.0,165877.0,7577689.0,2003,JAN,30651.0,1,1.0,2003-01-01
San Diego,14519.0,1637.0,44.0,10323.0,1244.0,435.0,24842.0,2881.0,479.0,39659.0,26515.0,66174.0,4331.0,1821.0,3529.0,1540.0,7860.0,3361.0,117.0,607.0,724.0,30389.0,0.0,448.0,30837.0,5231063.0,627508.0,149932.0,76629.0,5858571.0,226561.0,6085132.0,2003,JAN,28202.0,1,1.0,2003-01-01
Orange,11046.0,1100.0,45.0,11679.0,1528.0,557.0,22725.0,2628.0,602.0,29570.0,30370.0,59940.0,2698.0,1274.0,4299.0,1922.0,6997.0,3196.0,108.0,766.0,874.0,1605.0,24348.0,768.0,26721.0,4495809.0,555855.0,135709.0,97745.0,5051664.0,233454.0,5285118.0,2003,JAN,25955.0,1,1.0,2003-01-01
Alameda,13123.0,199.0,0.0,7764.0,125.0,223.0,20887.0,324.0,223.0,33595.0,19876.0,53471.0,401.0,205.0,362.0,142.0,763.0,347.0,0.0,288.0,288.0,0.0,21434.0,0.0,21434.0,4172599.0,44492.0,20234.0,44549.0,4217091.0,64783.0,4281874.0,2003,JAN,21434.0,0,1.0,2003-01-01
Riverside,13104.0,486.0,45.0,6171.0,703.0,255.0,19275.0,1189.0,300.0,36724.0,14369.0,51093.0,1346.0,497.0,1971.0,840.0,3317.0,1337.0,75.0,271.0,346.0,862.0,21829.0,0.0,22691.0,4494202.0,302741.0,57565.0,59770.0,4796943.0,117335.0,4914278.0,2003,JAN,20764.0,0,1.0,2003-01-01
Kern,7016.0,193.0,2.0,10962.0,512.0,73.0,17978.0,705.0,75.0,21441.0,31228.0,52669.0,606.0,220.0,1424.0,619.0,2030.0,839.0,2.0,49.0,51.0,5655.0,17630.0,0.0,23285.0,5002350.0,188489.0,30535.0,11668.0,5190839.0,42203.0,5233042.0,2003,JAN,18758.0,0,1.0,2003-01-01
Santa Clara,7879.0,651.0,22.0,6493.0,1099.0,921.0,14372.0,1750.0,943.0,24234.0,14536.0,38770.0,1766.0,839.0,2845.0,1481.0,4611.0,2320.0,65.0,1313.0,1378.0,0.0,0.0,18278.0,18278.0,3044996.0,360574.0,107716.0,202918.0,3405570.0,310634.0,3716204.0,2003,JAN,17065.0,0,1.0,2003-01-01
