county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_total,val_issuances_fed_only,val_issuances_fed_st_fed,val_issuances_fed_st_st,val_issuences_st_only,val_issuances_tot_fed,val_issuances_tot_st,val_issuances_tot_all,year,month,total_households,quarter,fulldate
California,301753.0,27967.0,1249.0,301409.0,30286.0,14907.0,603162.0,58253.0,16156.0,840685.0,688760.0,1529445.0,72146.0,33814.0,87296.0,38954.0,159442.0,72768.0,3558.0,19401.0,22959.0,97646.0,559642.0,73727.0,731015.0,120948957.0,12486020.0,3405205.0,2497637.0,133434977.0,5902842.0,139337819.0,2002,JUL,677571.0,3.0,2002-07-01
Alameda,13419.0,296.0,0.0,6675.0,80.0,220.0,20094.0,376.0,220.0,34353.0,17088.0,51441.0,741.0,334.0,223.0,90.0,964.0,424.0,0.0,287.0,287.0,1347.0,19343.0,0.0,20690.0,3624889.0,47109.0,20720.0,39687.0,3671998.0,60407.0,3732405.0,2002,JUL,20690.0,3.0,2002-07-01
Alpine,19.0,0.0,0.0,18.0,0.0,0.0,37.0,0.0,0.0,66.0,39.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,37.0,7581.0,0.0,0.0,0.0,7581.0,0.0,7581.0,2002,JUL,37.0,3.0,2002-07-01
Amador,128.0,1.0,0.0,203.0,0.0,1.0,331.0,1.0,1.0,333.0,442.0,775.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,329.0,0.0,52.0,381.0,62370.0,0.0,0.0,0.0,62370.0,0.0,62370.0,2002,JUL,333.0,3.0,2002-07-01
Butte,2573.0,30.0,0.0,3308.0,29.0,9.0,5881.0,59.0,9.0,7636.0,7924.0,15560.0,141.0,36.0,133.0,35.0,274.0,71.0,0.0,9.0,9.0,6422.0,0.0,0.0,6422.0,1177040.0,19515.0,3875.0,990.0,1196555.0,4865.0,1201420.0,2002,JUL,5949.0,3.0,2002-07-01
Calaveras,207.0,0.0,0.0,416.0,0.0,0.0,623.0,0.0,0.0,558.0,851.0,1409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,117.0,667.0,110457.0,0.0,0.0,0.0,110457.0,0.0,110457.0,2002,JUL,623.0,3.0,2002-07-01
Colusa,84.0,4.0,0.0,247.0,35.0,8.0,331.0,39.0,8.0,244.0,623.0,867.0,5.0,6.0,90.0,54.0,95.0,60.0,0.0,12.0,12.0,412.0,0.0,0.0,412.0,57354.0,7178.0,2417.0,1259.0,64532.0,3676.0,68208.0,2002,JUL,378.0,3.0,2002-07-01
Contra Costa,5464.0,302.0,11.0,2362.0,85.0,80.0,7826.0,387.0,91.0,14948.0,4444.0,19392.0,896.0,391.0,223.0,117.0,1119.0,508.0,30.0,102.0,132.0,3.0,9059.0,0.0,9062.0,1453536.0,80237.0,18417.0,12898.0,1533773.0,31315.0,1565088.0,2002,JUL,8304.0,3.0,2002-07-01
Del Norte,464.0,4.0,0.0,728.0,1.0,1.0,1192.0,5.0,1.0,1415.0,1523.0,2938.0,13.0,4.0,2.0,1.0,15.0,5.0,0.0,1.0,1.0,123.0,0.0,1074.0,1197.0,220498.0,1315.0,208.0,162.0,221813.0,370.0,222183.0,2002,JUL,1198.0,3.0,2002-07-01
El Dorado,590.0,9.0,0.0,907.0,10.0,4.0,1497.0,19.0,4.0,1557.0,1776.0,3333.0,15.0,9.0,30.0,10.0,45.0,19.0,0.0,4.0,4.0,1623.0,68.0,0.0,1691.0,262601.0,3506.0,609.0,540.0,266107.0,1149.0,267256.0,2002,JUL,1520.0,3.0,2002-07-01
Fresno,18171.0,1606.0,21.0,9314.0,925.0,159.0,27485.0,2531.0,180.0,60213.0,22786.0,82999.0,5440.0,1886.0,2564.0,1223.0,8004.0,3109.0,55.0,250.0,305.0,786.0,30182.0,0.0,30968.0,6057180.0,590370.0,125922.0,28023.0,6647550.0,153945.0,6801495.0,2002,JUL,30196.0,3.0,2002-07-01
Glenn,225.0,2.0,0.0,461.0,7.0,8.0,686.0,9.0,8.0,678.0,1201.0,1879.0,6.0,2.0,26.0,7.0,32.0,9.0,0.0,8.0,8.0,772.0,0.0,0.0,772.0,131498.0,2147.0,683.0,990.0,133645.0,1673.0,135318.0,2002,JUL,703.0,3.0,2002-07-01
Humboldt,1304.0,9.0,0.0,2436.0,13.0,5.0,3740.0,22.0,5.0,3516.0,4918.0,8434.0,35.0,10.0,40.0,13.0,75.0,23.0,0.0,5.0,5.0,109.0,3605.0,482.0,4196.0,699002.0,6216.0,1906.0,414.0,705218.0,2320.0,707538.0,2002,JUL,3767.0,3.0,2002-07-01
Imperial,1504.0,259.0,3.0,2968.0,472.0,67.0,4472.0,731.0,70.0,4529.0,8213.0,12742.0,620.0,268.0,1242.0,528.0,1862.0,796.0,3.0,78.0,81.0,288.0,0.0,5302.0,5590.0,920341.0,133910.0,25331.0,8552.0,1054251.0,33883.0,1088134.0,2002,JUL,5273.0,3.0,2002-07-01
