county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_total,val_issuances_fed_only,val_issuances_fed_st_fed,val_issuances_fed_st_st,val_issuences_st_only,val_issuances_tot_fed,val_issuances_tot_st,val_issuances_tot_all,year,month,quarter,fulldate
California,299802.0,25336.0,1356.0,301110.0,27364.0,14920.0,600912.0,52700.0,16276.0,826718.0,688671.0,1515389.0,66055.0,30383.0,80002.0,35209.0,146057.0,65592.0,3931.0,19458.0,23389.0,95329.0,552750.0,75251.0,723330.0,127790959.0,12472148.0,3341983.0,2649635.0,140263107.0,5991618.0,146254725.0,2002,NOV,4.0,2002-11-01
Alameda,13693.0,189.0,0.0,6966.0,95.0,228.0,20659.0,284.0,228.0,35054.0,17833.0,52887.0,406.0,197.0,246.0,110.0,652.0,307.0,0.0,296.0,296.0,0.0,21171.0,0.0,21171.0,4048275.0,37836.0,17816.0,44678.0,4086111.0,62494.0,4148605.0,2002,NOV,4.0,2002-11-01
Alpine,15.0,0.0,0.0,21.0,0.0,0.0,36.0,0.0,0.0,43.0,60.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,36.0,6786.0,0.0,0.0,0.0,6786.0,0.0,6786.0,2002,NOV,4.0,2002-11-01
Amador,125.0,1.0,0.0,266.0,1.0,0.0,391.0,2.0,0.0,336.0,562.0,898.0,2.0,1.0,3.0,1.0,5.0,2.0,0.0,0.0,0.0,370.0,0.0,59.0,429.0,76347.0,0.0,0.0,0.0,76347.0,0.0,76347.0,2002,NOV,4.0,2002-11-01
Butte,2534.0,30.0,0.0,3223.0,27.0,9.0,5757.0,57.0,9.0,7396.0,7623.0,15019.0,138.0,35.0,125.0,32.0,263.0,67.0,0.0,9.0,9.0,6756.0,0.0,0.0,6756.0,1220017.0,19382.0,4054.0,1055.0,1239399.0,5109.0,1244508.0,2002,NOV,4.0,2002-11-01
Calaveras,191.0,0.0,0.0,438.0,0.0,1.0,629.0,0.0,1.0,506.0,891.0,1397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,562.0,0.0,108.0,670.0,114440.0,0.0,0.0,14.0,114440.0,14.0,114454.0,2002,NOV,4.0,2002-11-01
Colusa,81.0,6.0,0.0,239.0,27.0,5.0,320.0,33.0,5.0,235.0,603.0,838.0,14.0,6.0,69.0,36.0,83.0,42.0,0.0,6.0,6.0,412.0,0.0,0.0,412.0,61300.0,5945.0,1315.0,704.0,67245.0,2019.0,69264.0,2002,NOV,4.0,2002-11-01
Contra Costa,5624.0,310.0,9.0,2402.0,89.0,88.0,8026.0,399.0,97.0,14951.0,4665.0,19616.0,931.0,385.0,218.0,122.0,1149.0,507.0,24.0,118.0,142.0,3.0,8598.0,0.0,8601.0,1578232.0,91382.0,21411.0,14530.0,1669614.0,35941.0,1705555.0,2002,NOV,4.0,2002-11-01
Del Norte,496.0,5.0,0.0,697.0,2.0,1.0,1193.0,7.0,1.0,1507.0,1436.0,2943.0,17.0,5.0,13.0,2.0,30.0,7.0,0.0,1.0,1.0,121.0,0.0,1080.0,1201.0,232476.0,2562.0,464.0,139.0,235038.0,603.0,235641.0,2002,NOV,4.0,2002-11-01
El Dorado,585.0,12.0,0.0,927.0,16.0,10.0,1512.0,28.0,10.0,1573.0,1819.0,3392.0,23.0,12.0,36.0,18.0,59.0,30.0,0.0,10.0,10.0,1636.0,61.0,0.0,1697.0,282420.0,4895.0,1179.0,1225.0,287315.0,2404.0,289719.0,2002,NOV,4.0,2002-11-01
