county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_total,val_issuances_fed_only,val_issuances_fed_st_fed,val_issuances_fed_st_st,val_issuences_st_only,val_issuances_tot_fed,val_issuances_tot_st,val_issuances_tot_all,year,month,quarter,fulldate
California,303142.0,26841.0,1324.0,298026.0,28267.0,15002.0,601168.0,55108.0,16326.0,841960.0,677907.0,1519867.0,69069.0,31757.0,81238.0,36219.0,150307.0,67976.0,3866.0,19608.0,23474.0,94688.0,555673.0,74101.0,724462.0,121718345.0,12050930.0,3247731.0,2555821.0,133769275.0,5803552.0,139572827.0,2002,SEP,3.0,2002-09-01
Alameda,13528.0,238.0,0.0,6735.0,87.0,227.0,20263.0,325.0,227.0,34632.0,17242.0,51874.0,573.0,266.0,237.0,100.0,810.0,366.0,0.0,292.0,292.0,0.0,20815.0,0.0,20815.0,3809793.0,42088.0,19018.0,42680.0,3851881.0,61698.0,3913579.0,2002,SEP,3.0,2002-09-01
Alpine,17.0,0.0,0.0,15.0,0.0,0.0,32.0,0.0,0.0,56.0,34.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,32.0,7022.0,0.0,0.0,0.0,7022.0,0.0,7022.0,2002,SEP,3.0,2002-09-01
Amador,124.0,2.0,0.0,253.0,0.0,0.0,377.0,2.0,0.0,323.0,537.0,860.0,5.0,2.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,354.0,0.0,76.0,430.0,70194.0,0.0,0.0,0.0,70194.0,0.0,70194.0,2002,SEP,3.0,2002-09-01
Butte,2509.0,32.0,0.0,3252.0,29.0,10.0,5761.0,61.0,10.0,7414.0,7906.0,15320.0,140.0,37.0,136.0,35.0,276.0,72.0,0.0,10.0,10.0,6262.0,0.0,0.0,6262.0,1171213.0,19244.0,3644.0,1178.0,1190457.0,4822.0,1195279.0,2002,SEP,3.0,2002-09-01
Calaveras,202.0,0.0,0.0,422.0,0.0,0.0,624.0,0.0,0.0,531.0,864.0,1395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,119.0,690.0,113623.0,0.0,0.0,0.0,113623.0,0.0,113623.0,2002,SEP,3.0,2002-09-01
Colusa,83.0,5.0,0.0,247.0,33.0,9.0,330.0,38.0,9.0,229.0,618.0,847.0,13.0,5.0,90.0,43.0,103.0,48.0,0.0,13.0,13.0,412.0,0.0,0.0,412.0,57163.0,6453.0,1859.0,1623.0,63616.0,3482.0,67098.0,2002,SEP,3.0,2002-09-01
Contra Costa,5484.0,304.0,8.0,2395.0,79.0,87.0,7879.0,383.0,95.0,15065.0,4563.0,19628.0,905.0,378.0,198.0,106.0,1103.0,484.0,23.0,110.0,133.0,4.0,9017.0,0.0,9021.0,1468292.0,83147.0,20441.0,13295.0,1551439.0,33736.0,1585175.0,2002,SEP,3.0,2002-09-01
Del Norte,491.0,5.0,0.0,698.0,2.0,1.0,1189.0,7.0,1.0,1457.0,1451.0,2908.0,17.0,5.0,12.0,2.0,29.0,7.0,0.0,1.0,1.0,126.0,0.0,1071.0,1197.0,220934.0,2079.0,461.0,135.0,223013.0,596.0,223609.0,2002,SEP,3.0,2002-09-01
El Dorado,585.0,11.0,0.0,885.0,11.0,8.0,1470.0,22.0,8.0,1539.0,1781.0,3320.0,20.0,11.0,27.0,11.0,47.0,22.0,0.0,8.0,8.0,1612.0,43.0,0.0,1655.0,256793.0,4274.0,979.0,1173.0,261067.0,2152.0,263219.0,2002,SEP,3.0,2002-09-01
