county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail_ebt,issuances_contract_otc,issuances_other_otc,issuances_total,val_issuances_fed_only,val_issuances_fed_st_fed,val_issuances_fed_st_st,val_issuences_st_only,val_issuances_tot_fed,val_issuances_tot_st,val_issuances_tot_all,year,month,total_households,quarter,fulldate
California,308708.0,4380.0,895.0,378581.0,6718.0,5304.0,687289.0,11098.0,6199.0,835991.0,912792.0,1748783.0,9899.0,5289.0,17961.0,8708.0,27860.0,13997.0,2782.0,7875.0,10657.0,210533.0,369853.0,144475.0,724861.0,148572213.0,2465249.0,815995.0,1149756.0,151037462.0,1965751.0,153003213.0,2003,AUG,704586.0,3.0,2003-08-01
Alameda,13570.0,154.0,0.0,9181.0,105.0,214.0,22751.0,259.0,214.0,34739.0,23503.0,58242.0,314.0,158.0,246.0,112.0,560.0,270.0,0.0,281.0,281.0,0.0,23224.0,0.0,23224.0,4428265.0,34013.0,16399.0,41653.0,4462278.0,58052.0,4520330.0,2003,AUG,23224.0,3.0,2003-08-01
Alpine,6.0,0.0,0.0,26.0,0.0,0.0,32.0,0.0,0.0,12.0,71.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,32.0,6550.0,0.0,0.0,0.0,6550.0,0.0,6550.0,2003,AUG,32.0,3.0,2003-08-01
Amador,131.0,1.0,0.0,277.0,0.0,1.0,408.0,1.0,1.0,346.0,571.0,917.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,402.0,0.0,68.0,470.0,79895.0,0.0,0.0,0.0,79895.0,0.0,79895.0,2003,AUG,410.0,3.0,2003-08-01
Butte,2371.0,18.0,0.0,3420.0,54.0,5.0,5791.0,72.0,5.0,6613.0,8459.0,15072.0,70.0,22.0,257.0,79.0,327.0,101.0,0.0,6.0,6.0,6488.0,0.0,0.0,6488.0,1248553.0,24326.0,7445.0,766.0,1272879.0,8211.0,1281090.0,2003,AUG,5868.0,3.0,2003-08-01
Calaveras,201.0,0.0,0.0,432.0,0.0,1.0,633.0,0.0,1.0,527.0,880.0,1407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,568.0,0.0,121.0,689.0,120999.0,0.0,0.0,197.0,120999.0,197.0,121196.0,2003,AUG,634.0,3.0,2003-08-01
Colusa,84.0,0.0,0.0,277.0,9.0,3.0,361.0,9.0,3.0,226.0,736.0,962.0,0.0,0.0,27.0,10.0,27.0,10.0,0.0,5.0,5.0,400.0,0.0,0.0,400.0,69774.0,1457.0,341.0,499.0,71231.0,840.0,72071.0,2003,AUG,373.0,3.0,2003-08-01
Contra Costa,6080.0,161.0,4.0,2960.0,64.0,34.0,9040.0,225.0,38.0,16726.0,6041.0,22767.0,473.0,184.0,177.0,121.0,650.0,305.0,10.0,52.0,62.0,10271.0,0.0,0.0,10271.0,1811740.0,51255.0,13979.0,6468.0,1862995.0,20447.0,1883442.0,2003,AUG,9303.0,3.0,2003-08-01
Del Norte,500.0,3.0,0.0,732.0,3.0,0.0,1232.0,6.0,0.0,1464.0,1605.0,3069.0,8.0,3.0,17.0,3.0,25.0,6.0,0.0,0.0,0.0,1.0,0.0,1237.0,1238.0,244368.0,2213.0,267.0,0.0,246581.0,267.0,246848.0,2003,AUG,1238.0,3.0,2003-08-01
El Dorado,567.0,4.0,0.0,1016.0,8.0,7.0,1583.0,12.0,7.0,1486.0,1999.0,3485.0,11.0,4.0,12.0,8.0,23.0,12.0,0.0,7.0,7.0,1708.0,47.0,0.0,1755.0,292383.0,2228.0,658.0,931.0,294611.0,1589.0,296200.0,2003,AUG,1602.0,3.0,2003-08-01
Fresno,19932.0,180.0,3.0,11008.0,172.0,24.0,30940.0,352.0,27.0,66318.0,27932.0,94250.0,521.0,207.0,508.0,212.0,1029.0,419.0,11.0,46.0,57.0,0.0,0.0,34561.0,34561.0,7420900.0,48177.0,20509.0,3970.0,7469077.0,24479.0,7493556.0,2003,AUG,31319.0,3.0,2003-08-01
Glenn,246.0,0.0,0.0,478.0,0.0,2.0,724.0,0.0,2.0,713.0,1320.0,2033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,793.0,0.0,0.0,793.0,148393.0,0.0,0.0,346.0,148393.0,346.0,148739.0,2003,AUG,726.0,3.0,2003-08-01
Humboldt,970.0,1.0,0.0,2436.0,6.0,1.0,3406.0,7.0,1.0,2554.0,4967.0,7521.0,4.0,1.0,14.0,6.0,18.0,7.0,0.0,1.0,1.0,119.0,3351.0,446.0,3916.0,670422.0,1631.0,839.0,88.0,672053.0,927.0,672980.0,2003,AUG,3414.0,3.0,2003-08-01
Imperial,1496.0,83.0,2.0,3421.0,251.0,48.0,4917.0,334.0,50.0,4574.0,9969.0,14543.0,188.0,83.0,689.0,277.0,877.0,360.0,4.0,55.0,59.0,0.0,0.0,0.0,0.0,1178291.0,65530.0,15912.0,6288.0,1243821.0,22200.0,1266021.0,2003,AUG,5301.0,3.0,2003-08-01
Inyo,60.0,0.0,0.0,306.0,0.0,0.0,366.0,0.0,0.0,174.0,520.0,694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.0,0.0,0.0,388.0,63330.0,0.0,0.0,0.0,63330.0,0.0,63330.0,2003,AUG,366.0,3.0,2003-08-01
Kern,7736.0,153.0,1.0,14353.0,370.0,90.0,22089.0,523.0,91.0,22649.0,41530.0,64179.0,453.0,163.0,1108.0,404.0,1561.0,567.0,2.0,126.0,128.0,26620.0,0.0,0.0,26620.0,5072510.0,146037.0,39540.0,11489.0,5218547.0,51029.0,5269576.0,2003,AUG,22703.0,3.0,2003-08-01
Kings,1251.0,37.0,1.0,2748.0,72.0,28.0,3999.0,109.0,29.0,3640.0,7089.0,10729.0,100.0,42.0,230.0,77.0,330.0,119.0,1.0,29.0,30.0,65.0,4265.0,0.0,4330.0,813609.0,25802.0,4532.0,3107.0,839411.0,7639.0,847050.0,2003,AUG,4137.0,3.0,2003-08-01
Lake,728.0,3.0,0.0,1231.0,6.0,1.0,1959.0,9.0,1.0,1915.0,2598.0,4513.0,9.0,3.0,13.0,8.0,22.0,11.0,0.0,1.0,1.0,495.0,0.0,1731.0,2226.0,394478.0,1898.0,739.0,139.0,396376.0,878.0,397254.0,2003,AUG,1969.0,3.0,2003-08-01
Lassen,264.0,0.0,0.0,408.0,3.0,2.0,672.0,3.0,2.0,762.0,960.0,1722.0,0.0,0.0,4.0,3.0,4.0,3.0,0.0,2.0,2.0,275.0,0.0,458.0,733.0,139404.0,322.0,244.0,278.0,139726.0,522.0,140248.0,2003,AUG,677.0,3.0,2003-08-01
Los Angeles,100193.0,1601.0,528.0,162138.0,2676.0,2810.0,262331.0,4277.0,3338.0,243181.0,377159.0,620340.0,3415.0,1932.0,7292.0,3493.0,10707.0,5425.0,1623.0,4200.0,5823.0,0.0,273696.0,0.0,273696.0,57656236.0,1017251.0,369540.0,651240.0,58673487.0,1020780.0,59694267.0,2003,AUG,269946.0,3.0,2003-08-01
Madera,1543.0,7.0,0.0,3164.0,15.0,3.0,4707.0,22.0,3.0,4492.0,8289.0,12781.0,23.0,7.0,59.0,15.0,82.0,22.0,0.0,3.0,3.0,68.0,4933.0,0.0,5001.0,993262.0,458.0,134.0,278.0,993720.0,412.0,994132.0,2003,AUG,4732.0,3.0,2003-08-01
Marin,472.0,7.0,0.0,1326.0,27.0,29.0,1798.0,34.0,29.0,1105.0,2077.0,3182.0,18.0,7.0,47.0,40.0,65.0,47.0,0.0,43.0,43.0,0.0,0.0,0.0,0.0,277730.0,6215.0,2655.0,5343.0,283945.0,7998.0,291943.0,2003,AUG,1861.0,3.0,2003-08-01
Mariposa,86.0,0.0,0.0,196.0,0.0,0.0,282.0,0.0,0.0,241.0,413.0,654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,288.0,303.0,53718.0,0.0,0.0,0.0,53718.0,0.0,53718.0,2003,AUG,282.0,3.0,2003-08-01
Mendocino,851.0,4.0,0.0,1992.0,9.0,4.0,2843.0,13.0,4.0,2291.0,3966.0,6257.0,11.0,5.0,24.0,10.0,35.0,15.0,0.0,5.0,5.0,1087.0,0.0,1934.0,3021.0,506365.0,2006.0,973.0,517.0,508371.0,1490.0,509861.0,2003,AUG,2860.0,3.0,2003-08-01
Merced,3828.0,12.0,1.0,4365.0,43.0,66.0,8193.0,55.0,67.0,10666.0,14130.0,24796.0,32.0,12.0,128.0,43.0,160.0,55.0,1.0,66.0,67.0,5.0,8310.0,0.0,8315.0,1910028.0,9629.0,3404.0,3718.0,1919657.0,7122.0,1926779.0,2003,AUG,8315.0,3.0,2003-08-01
Modoc,108.0,0.0,0.0,194.0,0.0,1.0,302.0,0.0,1.0,182.0,394.0,576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,303.0,0.0,0.0,303.0,53271.0,0.0,0.0,139.0,53271.0,139.0,53410.0,2003,AUG,303.0,3.0,2003-08-01
