county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,total_households,quarter,fulldate
California,306969.0,4186.0,308.0,400056.0,6326.0,4469.0,707025.0,10512.0,4777.0,824264.0,963460.0,1787724.0,9275.0,5073.0,17838.0,8134.0,27113.0,13207.0,929.0,6194.0,7123.0,4508.0,156313.0,6562.0,634292.0,801675.0,1346.0,160482816.0,1442185.0,161925001.0,2004,FEB,722314.0,1.0,2004-02-01
Alameda,13931.0,53.0,0.0,9576.0,67.0,168.0,23507.0,120.0,168.0,35663.0,24515.0,60178.0,120.0,54.0,177.0,71.0,297.0,125.0,0.0,234.0,234.0,0.0,0.0,0.0,23795.0,23795.0,0.0,4722916.0,40749.0,4763665.0,2004,FEB,23795.0,1.0,2004-02-01
Alpine,10.0,0.0,0.0,24.0,0.0,0.0,34.0,0.0,0.0,14.0,48.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,34.0,0.0,5613.0,0.0,5613.0,2004,FEB,34.0,1.0,2004-02-01
Amador,136.0,0.0,0.0,280.0,0.0,0.0,416.0,0.0,0.0,344.0,589.0,933.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,0.0,59.0,0.0,449.0,0.0,82408.0,0.0,82408.0,2004,FEB,416.0,1.0,2004-02-01
Butte,2311.0,5.0,0.0,4143.0,12.0,2.0,6454.0,17.0,2.0,6415.0,9915.0,16330.0,24.0,5.0,46.0,13.0,70.0,18.0,0.0,2.0,2.0,0.0,0.0,0.0,7093.0,7093.0,0.0,1411918.0,1204.0,1413122.0,2004,FEB,6473.0,1.0,2004-02-01
Calaveras,225.0,0.0,0.0,475.0,0.0,1.0,700.0,0.0,1.0,603.0,927.0,1530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,630.0,0.0,164.0,0.0,794.0,0.0,142020.0,82.0,142102.0,2004,FEB,701.0,1.0,2004-02-01
Colusa,83.0,0.0,0.0,371.0,10.0,2.0,454.0,10.0,2.0,222.0,984.0,1206.0,0.0,0.0,27.0,10.0,27.0,10.0,0.0,3.0,3.0,0.0,0.0,0.0,466.0,466.0,0.0,89233.0,410.0,89643.0,2004,FEB,466.0,1.0,2004-02-01
Contra Costa,6348.0,139.0,2.0,3239.0,57.0,28.0,9587.0,196.0,30.0,17427.0,6226.0,23653.0,321.0,158.0,124.0,64.0,445.0,222.0,5.0,34.0,39.0,0.0,0.0,0.0,10920.0,10920.0,0.0,2080115.0,14320.0,2094435.0,2004,FEB,9813.0,1.0,2004-02-01
Del Norte,511.0,2.0,0.0,893.0,4.0,1.0,1404.0,6.0,1.0,1498.0,1848.0,3346.0,7.0,2.0,26.0,4.0,33.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,1411.0,1411.0,0.0,282277.0,374.0,282651.0,2004,FEB,1411.0,1.0,2004-02-01
El Dorado,610.0,6.0,0.0,1080.0,9.0,8.0,1690.0,15.0,8.0,1617.0,2119.0,3736.0,10.0,6.0,19.0,9.0,29.0,15.0,0.0,8.0,8.0,0.0,0.0,0.0,1873.0,1873.0,0.0,331004.0,2245.0,333249.0,2004,FEB,1713.0,1.0,2004-02-01
