county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,total_households,big_six,quarter,fulldate
California,309450.0,4209.0,295.0,389798.0,6340.0,4269.0,699248.0,10549.0,4564.0,833649.0,937186.0,1770835.0,9467.0,5119.0,17870.0,8000.0,27337.0,13119.0,862.0,5736.0,6598.0,12598.0,294582.0,7762.0,490829.0,805771.0,327.0,158701940.0,1426337.0,160128277.0,2004,JAN,714361.0,0,1.0,2004-01-01
Los Angeles,99931.0,1910.0,48.0,159223.0,2721.0,2314.0,259154.0,4631.0,2362.0,242264.0,369503.0,611767.0,4115.0,2317.0,7659.0,3311.0,11774.0,5628.0,76.0,2807.0,2883.0,0.0,284925.0,0.0,36068.0,320993.0,0.0,59121574.0,673018.0,59794592.0,2004,JAN,266147.0,1,1.0,2004-01-01
San Bernardino,22972.0,172.0,4.0,20684.0,327.0,205.0,43656.0,499.0,209.0,65703.0,56371.0,122074.0,476.0,180.0,1032.0,369.0,1508.0,549.0,5.0,272.0,277.0,0.0,0.0,0.0,49178.0,49178.0,0.0,10759962.0,66490.0,10826452.0,2004,JAN,44364.0,1,1.0,2004-01-01
Sacramento,16930.0,270.0,158.0,16810.0,173.0,181.0,33740.0,443.0,339.0,51816.0,45364.0,97180.0,530.0,570.0,527.0,374.0,1057.0,944.0,573.0,438.0,1011.0,0.0,0.0,0.0,39116.0,39116.0,0.0,8765960.0,107174.0,8873134.0,2004,JAN,34522.0,1,1.0,2004-01-01
Fresno,20277.0,163.0,2.0,11952.0,202.0,12.0,32229.0,365.0,14.0,66565.0,30473.0,97038.0,439.0,181.0,631.0,210.0,1070.0,391.0,4.0,19.0,23.0,0.0,0.0,0.0,36270.0,36270.0,0.0,8270719.0,23313.0,8294032.0,2004,JAN,32608.0,1,1.0,2004-01-01
Orange,11627.0,125.0,9.0,16236.0,278.0,93.0,27863.0,403.0,102.0,29750.0,42350.0,72100.0,245.0,134.0,686.0,325.0,931.0,459.0,26.0,127.0,153.0,0.0,0.0,0.0,29244.0,29244.0,0.0,5797935.0,55132.0,5853067.0,2004,JAN,28368.0,1,1.0,2004-01-01
San Diego,14806.0,302.0,14.0,12746.0,314.0,164.0,27552.0,616.0,178.0,40362.0,34982.0,75344.0,682.0,338.0,785.0,376.0,1467.0,714.0,33.0,235.0,268.0,0.0,0.0,512.0,30258.0,30770.0,0.0,6211577.0,72888.0,6284465.0,2004,JAN,28346.0,1,1.0,2004-01-01
Kern,7259.0,136.0,2.0,16063.0,409.0,79.0,23322.0,545.0,81.0,21270.0,46104.0,67374.0,361.0,140.0,1214.0,437.0,1575.0,577.0,8.0,82.0,90.0,0.0,0.0,0.0,25302.0,25302.0,0.0,5719159.0,52493.0,5771652.0,2004,JAN,23948.0,0,1.0,2004-01-01
Alameda,13849.0,60.0,0.0,9597.0,65.0,108.0,23446.0,125.0,108.0,35453.0,24568.0,60021.0,121.0,61.0,169.0,72.0,290.0,133.0,0.0,140.0,140.0,0.0,0.0,0.0,23679.0,23679.0,0.0,4709203.0,29478.0,4738681.0,2004,JAN,23679.0,0,1.0,2004-01-01
Riverside,14782.0,136.0,19.0,8091.0,154.0,57.0,22873.0,290.0,76.0,41312.0,17744.0,59056.0,377.0,143.0,428.0,164.0,805.0,307.0,49.0,84.0,133.0,0.0,0.0,0.0,25714.0,25714.0,0.0,5434321.0,31156.0,5465477.0,2004,JAN,23239.0,0,1.0,2004-01-01
Santa Clara,9849.0,140.0,0.0,10315.0,233.0,199.0,20164.0,373.0,199.0,26057.0,22906.0,48963.0,305.0,148.0,506.0,285.0,811.0,433.0,0.0,270.0,270.0,0.0,0.0,0.0,21119.0,21119.0,0.0,4257359.0,68350.0,4325709.0,2004,JAN,20736.0,0,1.0,2004-01-01
San Francisco,5064.0,118.0,16.0,13399.0,193.0,357.0,18463.0,311.0,373.0,13163.0,16784.0,29947.0,156.0,141.0,323.0,241.0,479.0,382.0,38.0,471.0,509.0,0.0,0.0,0.0,20529.0,20529.0,0.0,2715050.0,65392.0,2780442.0,2004,JAN,19147.0,0,1.0,2004-01-01
Tulare,10455.0,115.0,1.0,7239.0,236.0,47.0,17694.0,351.0,48.0,32449.0,17791.0,50240.0,163.0,136.0,586.0,372.0,749.0,508.0,2.0,196.0,198.0,0.0,0.0,0.0,20409.0,20409.0,0.0,4188888.0,19691.0,4208579.0,2004,JAN,18093.0,0,1.0,2004-01-01
San Joaquin,6308.0,2.0,1.0,10302.0,57.0,52.0,16610.0,59.0,53.0,18237.0,28553.0,46790.0,4.0,2.0,625.0,280.0,629.0,282.0,1.0,78.0,79.0,0.0,0.0,0.0,17733.0,17733.0,0.0,3989049.0,8561.0,3997610.0,2004,JAN,16722.0,0,1.0,2004-01-01
Stanislaus,5753.0,39.0,3.0,6297.0,85.0,29.0,12050.0,124.0,32.0,16324.0,17018.0,33342.0,89.0,44.0,262.0,113.0,351.0,157.0,7.0,47.0,54.0,0.0,0.0,0.0,12911.0,12911.0,0.0,2891906.0,14097.0,2906003.0,2004,JAN,12206.0,0,1.0,2004-01-01
Contra Costa,6359.0,134.0,2.0,3107.0,55.0,29.0,9466.0,189.0,31.0,17494.0,6341.0,23835.0,393.0,153.0,152.0,104.0,545.0,257.0,5.0,44.0,49.0,0.0,0.0,0.0,10672.0,10672.0,0.0,2022999.0,17568.0,2040567.0,2004,JAN,9686.0,0,1.0,2004-01-01
Ventura,3786.0,21.0,1.0,5147.0,78.0,32.0,8933.0,99.0,33.0,10420.0,12594.0,23014.0,58.0,24.0,197.0,83.0,255.0,107.0,5.0,44.0,49.0,0.0,0.0,0.0,9731.0,9731.0,0.0,1904958.0,10575.0,1915533.0,2004,JAN,9065.0,0,1.0,2004-01-01
Merced,4064.0,9.0,0.0,4474.0,44.0,77.0,8538.0,53.0,77.0,11399.0,14050.0,25449.0,20.0,9.0,124.0,44.0,144.0,53.0,0.0,77.0,77.0,6.0,8661.0,0.0,0.0,8667.0,0.0,2064682.0,7529.0,2072211.0,2004,JAN,8668.0,0,1.0,2004-01-01
Santa Barbara,3447.0,68.0,4.0,3315.0,91.0,28.0,6762.0,159.0,32.0,6911.0,8339.0,15250.0,129.0,68.0,252.0,124.0,381.0,192.0,8.0,39.0,47.0,0.0,0.0,0.0,7503.0,7503.0,0.0,1355625.0,14859.0,1370484.0,2004,JAN,6953.0,0,1.0,2004-01-01
Monterey,2168.0,52.0,0.0,4296.0,99.0,13.0,6464.0,151.0,13.0,5903.0,11058.0,16961.0,152.0,54.0,266.0,101.0,418.0,155.0,0.0,13.0,13.0,0.0,0.0,0.0,7470.0,7470.0,0.0,1474846.0,9709.0,1484555.0,2004,JAN,6628.0,0,1.0,2004-01-01
Butte,2347.0,11.0,0.0,3983.0,24.0,7.0,6330.0,35.0,7.0,6571.0,9519.0,16090.0,49.0,13.0,118.0,27.0,167.0,40.0,0.0,8.0,8.0,0.0,0.0,0.0,7057.0,7057.0,0.0,1381591.0,2941.0,1384532.0,2004,JAN,6372.0,0,1.0,2004-01-01
