county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,total_households,quarter,fulldate
California,316608.0,3954.0,439.0,428084.0,6072.0,4274.0,744692.0,10026.0,4713.0,854815.0,1030532.0,1885347.0,8641.0,4987.0,17088.0,7843.0,25729.0,12830.0,1433.0,6085.0,7518.0,2691.0,2025.0,3020.0,851051.0,858787.0,355.0,170727533.0,1489689.0,172217222.0,2004,JUN,759431.0,2.0,2004-06-01
Alameda,15331.0,72.0,0.0,9794.0,86.0,119.0,25125.0,158.0,119.0,39247.0,25073.0,64320.0,149.0,77.0,221.0,99.0,370.0,176.0,0.0,167.0,167.0,0.0,0.0,0.0,25402.0,25402.0,0.0,5096683.0,34325.0,5131008.0,2004,JUN,25402.0,2.0,2004-06-01
Alpine,9.0,0.0,0.0,27.0,0.0,0.0,36.0,0.0,0.0,24.0,66.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,0.0,6964.0,0.0,6964.0,2004,JUN,36.0,2.0,2004-06-01
Amador,140.0,0.0,0.0,324.0,0.0,0.0,464.0,0.0,0.0,360.0,666.0,1026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.0,0.0,0.0,84.0,527.0,0.0,99270.0,0.0,99270.0,2004,JUN,464.0,2.0,2004-06-01
Butte,2362.0,0.0,0.0,4231.0,3.0,2.0,6593.0,3.0,2.0,6499.0,10367.0,16866.0,0.0,0.0,7.0,3.0,7.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,7109.0,7109.0,0.0,1466804.0,497.0,1467301.0,2004,JUN,6598.0,2.0,2004-06-01
Calaveras,238.0,0.0,0.0,565.0,0.0,0.0,803.0,0.0,0.0,575.0,931.0,1506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.0,0.0,156.0,0.0,713.0,0.0,140258.0,0.0,140258.0,2004,JUN,803.0,2.0,2004-06-01
Colusa,74.0,0.0,0.0,337.0,7.0,3.0,411.0,7.0,3.0,204.0,905.0,1109.0,0.0,0.0,18.0,7.0,18.0,7.0,0.0,4.0,4.0,0.0,0.0,0.0,445.0,445.0,0.0,86843.0,584.0,87427.0,2004,JUN,421.0,2.0,2004-06-01
Contra Costa,6577.0,51.0,3.0,3965.0,30.0,15.0,10542.0,81.0,18.0,18192.0,8113.0,26305.0,113.0,62.0,87.0,36.0,200.0,98.0,10.0,23.0,33.0,0.0,0.0,0.0,11960.0,11960.0,0.0,2348941.0,9342.0,2358283.0,2004,JUN,10641.0,2.0,2004-06-01
Del Norte,524.0,0.0,0.0,936.0,0.0,0.0,1460.0,0.0,0.0,1501.0,2007.0,3508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1460.0,1460.0,0.0,297961.0,7.0,297968.0,2004,JUN,1460.0,2.0,2004-06-01
El Dorado,583.0,0.0,0.0,1118.0,4.0,2.0,1701.0,4.0,2.0,1549.0,2286.0,3835.0,0.0,0.0,11.0,5.0,11.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,1836.0,1836.0,0.0,334990.0,406.0,335396.0,2004,JUN,1707.0,2.0,2004-06-01
Fresno,20445.0,147.0,4.0,14383.0,214.0,11.0,34828.0,361.0,15.0,66527.0,36708.0,103235.0,414.0,162.0,699.0,238.0,1113.0,400.0,13.0,13.0,26.0,0.0,0.0,0.0,38593.0,38593.0,0.0,8726412.0,24094.0,8750506.0,2004,JUN,35204.0,2.0,2004-06-01
Glenn,230.0,0.0,0.0,577.0,2.0,0.0,807.0,2.0,0.0,646.0,1549.0,2195.0,0.0,0.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,903.0,903.0,0.0,170536.0,157.0,170693.0,2004,JUN,809.0,2.0,2004-06-01
Humboldt,1155.0,0.0,0.0,3342.0,1.0,2.0,4497.0,1.0,2.0,2978.0,6814.0,9792.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,4994.0,4994.0,0.0,918109.0,173.0,918282.0,2004,JUN,4500.0,2.0,2004-06-01
Imperial,1595.0,3.0,0.0,4014.0,67.0,15.0,5609.0,70.0,15.0,4804.0,11733.0,16537.0,11.0,3.0,178.0,69.0,189.0,72.0,0.0,27.0,27.0,0.0,0.0,0.0,5694.0,5694.0,0.0,1361848.0,6437.0,1368285.0,2004,JUN,5694.0,2.0,2004-06-01
Inyo,59.0,0.0,0.0,340.0,0.0,0.0,399.0,0.0,0.0,158.0,709.0,867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.0,441.0,0.0,78818.0,0.0,78818.0,2004,JUN,399.0,2.0,2004-06-01
Kern,7750.0,4.0,0.0,17472.0,180.0,46.0,25222.0,184.0,46.0,22414.0,50214.0,72628.0,13.0,5.0,524.0,187.0,537.0,192.0,0.0,54.0,54.0,0.0,0.0,0.0,27330.0,27330.0,0.0,6111702.0,22477.0,6134179.0,2004,JUN,25452.0,2.0,2004-06-01
Kings,1372.0,1.0,0.0,3212.0,10.0,2.0,4584.0,11.0,2.0,3924.0,8340.0,12264.0,1.0,1.0,24.0,12.0,25.0,13.0,0.0,2.0,2.0,0.0,0.0,0.0,4867.0,4867.0,0.0,977438.0,979.0,978417.0,2004,JUN,4597.0,2.0,2004-06-01
Lake,502.0,2.0,0.0,888.0,0.0,0.0,1390.0,2.0,0.0,1406.0,1883.0,3289.0,7.0,2.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,319.0,1025.0,0.0,220.0,1564.0,0.0,294366.0,251.0,294617.0,2004,JUN,1392.0,2.0,2004-06-01
Lassen,289.0,0.0,0.0,489.0,0.0,0.0,778.0,0.0,0.0,825.0,1123.0,1948.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,818.0,818.0,0.0,165254.0,0.0,165254.0,2004,JUN,778.0,2.0,2004-06-01
Los Angeles,95968.0,1899.0,25.0,173567.0,2965.0,2316.0,269535.0,4864.0,2341.0,226940.0,403077.0,630017.0,4021.0,2302.0,8245.0,3749.0,12266.0,6051.0,33.0,2846.0,2879.0,0.0,0.0,0.0,343360.0,343360.0,0.0,62749159.0,800373.0,63549532.0,2004,JUN,276740.0,2.0,2004-06-01
Madera,1292.0,0.0,0.0,3853.0,5.0,4.0,5145.0,5.0,4.0,3787.0,9872.0,13659.0,0.0,0.0,14.0,5.0,14.0,5.0,0.0,4.0,4.0,0.0,0.0,0.0,5518.0,5518.0,0.0,1154165.0,811.0,1154976.0,2004,JUN,5154.0,2.0,2004-06-01
Marin,510.0,2.0,0.0,1561.0,23.0,14.0,2071.0,25.0,14.0,1129.0,2503.0,3632.0,5.0,2.0,48.0,28.0,53.0,30.0,0.0,21.0,21.0,0.0,0.0,0.0,2113.0,2113.0,0.0,345665.0,4331.0,349996.0,2004,JUN,2110.0,2.0,2004-06-01
Mariposa,106.0,0.0,0.0,225.0,0.0,0.0,331.0,0.0,0.0,278.0,509.0,787.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,366.0,0.0,68917.0,0.0,68917.0,2004,JUN,331.0,2.0,2004-06-01
