county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail_ebt,issuances_contract_otc,issuances_other_otc,issuances_total,val_issuances_fed_only,val_issuances_fed_st_fed,val_issuances_fed_st_st,val_issuences_st_only,val_issuances_tot_fed,val_issuances_tot_st,val_issuances_tot_all,year,month,total_households,quarter,fulldate
California,308507.0,4124.0,427.0,378790.0,6090.0,4459.0,687297.0,10214.0,4886.0,837070.0,915354.0,1752424.0,9304.0,4951.0,17299.0,7920.0,26603.0,12871.0,1316.0,6044.0,7360.0,178424.0,358761.0,169723.0,706908.0,149630030.0,2366583.0,656423.0,850354.0,151996613.0,1506777.0,153503390.0,2003,OCT,702397.0,4.0,2003-10-01
Alameda,13760.0,57.0,0.0,9268.0,67.0,194.0,23028.0,124.0,194.0,35226.0,23726.0,58952.0,102.0,59.0,158.0,71.0,260.0,130.0,0.0,248.0,248.0,0.0,23346.0,0.0,23346.0,4652118.0,16700.0,8350.0,39192.0,4668818.0,47542.0,4716360.0,2003,OCT,23346.0,4.0,2003-10-01
Alpine,5.0,0.0,0.0,24.0,0.0,0.0,29.0,0.0,0.0,15.0,54.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,29.0,5416.0,0.0,0.0,0.0,5416.0,0.0,5416.0,2003,OCT,29.0,4.0,2003-10-01
Amador,141.0,1.0,0.0,278.0,0.0,1.0,419.0,1.0,1.0,353.0,580.0,933.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,402.0,0.0,57.0,459.0,82452.0,0.0,0.0,0.0,82452.0,0.0,82452.0,2003,OCT,421.0,4.0,2003-10-01
Butte,2379.0,4.0,0.0,3569.0,30.0,6.0,5948.0,34.0,6.0,6609.0,8800.0,15409.0,12.0,6.0,143.0,35.0,155.0,41.0,0.0,7.0,7.0,6706.0,0.0,0.0,6706.0,1299147.0,12030.0,2500.0,1401.0,1311177.0,3901.0,1315078.0,2003,OCT,5988.0,4.0,2003-10-01
Calaveras,190.0,0.0,1.0,411.0,0.0,2.0,601.0,0.0,3.0,498.0,810.0,1308.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,9.0,543.0,0.0,133.0,676.0,120973.0,0.0,0.0,552.0,120973.0,552.0,121525.0,2003,OCT,604.0,4.0,2003-10-01
Colusa,75.0,0.0,0.0,281.0,7.0,1.0,356.0,7.0,1.0,195.0,755.0,950.0,0.0,0.0,19.0,7.0,19.0,7.0,0.0,1.0,1.0,364.0,0.0,0.0,364.0,66716.0,1258.0,197.0,141.0,67974.0,338.0,68312.0,2003,OCT,364.0,4.0,2003-10-01
Contra Costa,6175.0,153.0,4.0,2975.0,56.0,29.0,9150.0,209.0,33.0,16988.0,6071.0,23059.0,449.0,175.0,155.0,106.0,604.0,281.0,10.0,44.0,54.0,10562.0,0.0,0.0,10562.0,1940690.0,47072.0,12641.0,5102.0,1987762.0,17743.0,2005505.0,2003,OCT,9392.0,4.0,2003-10-01
Del Norte,498.0,4.0,0.0,828.0,2.0,1.0,1326.0,6.0,1.0,1444.0,1757.0,3201.0,12.0,4.0,12.0,2.0,24.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,263881.0,2138.0,359.0,10.0,266019.0,369.0,266388.0,2003,OCT,1333.0,4.0,2003-10-01
El Dorado,575.0,3.0,0.0,1010.0,10.0,9.0,1585.0,13.0,9.0,1506.0,1997.0,3503.0,6.0,3.0,22.0,10.0,28.0,13.0,0.0,9.0,9.0,1742.0,51.0,0.0,1793.0,306471.0,2907.0,654.0,1227.0,309378.0,1881.0,311259.0,2003,OCT,1607.0,4.0,2003-10-01
