county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail_ebt,issuances_contract_otc,issuances_other_otc,issuances_total,val_issuances_fed_only,val_issuances_fed_st_fed,val_issuances_fed_st_st,val_issuences_st_only,val_issuances_tot_fed,val_issuances_tot_st,val_issuances_tot_all,year,month,total_households,big_six,quarter,fulldate
California,305380.0,3924.0,864.0,380418.0,6093.0,5125.0,685798.0,10017.0,5989.0,826449.0,918082.0,1744531.0,8727.0,4815.0,16051.0,7972.0,24778.0,12787.0,2710.0,7591.0,10301.0,211710.0,363665.0,139704.0,715079.0,147186193.0,2194668.0,694427.0,1119642.0,149380861.0,1814069.0,151194930.0,2003,SEP,701804.0,False,3.0,2003-09-01
Los Angeles,99100.0,1488.0,517.0,161904.0,2569.0,2779.0,261004.0,4057.0,3296.0,240324.0,375983.0,616307.0,3172.0,1815.0,7035.0,3322.0,10207.0,5137.0,1576.0,4138.0,5714.0,0.0,271433.0,0.0,271433.0,56116376.0,935221.0,314439.0,629449.0,57051597.0,943888.0,57995485.0,2003,SEP,268357.0,True,3.0,2003-09-01
San Bernardino,23256.0,154.0,16.0,20244.0,313.0,214.0,43500.0,467.0,230.0,67318.0,54855.0,122173.0,404.0,175.0,938.0,378.0,1342.0,553.0,47.0,322.0,369.0,0.0,0.0,49008.0,49008.0,10287969.0,115019.0,25289.0,47338.0,10402988.0,72627.0,10475615.0,2003,SEP,44197.0,True,3.0,2003-09-01
Sacramento,16995.0,261.0,160.0,16604.0,187.0,254.0,33599.0,448.0,414.0,52853.0,45867.0,98720.0,554.0,525.0,526.0,389.0,1080.0,914.0,614.0,541.0,1155.0,4554.0,32821.0,0.0,37375.0,8125857.0,104736.0,44863.0,84895.0,8230593.0,129758.0,8360351.0,2003,SEP,34461.0,True,3.0,2003-09-01
Fresno,19929.0,171.0,3.0,11036.0,157.0,21.0,30965.0,328.0,24.0,66042.0,27819.0,93861.0,491.0,200.0,484.0,191.0,975.0,391.0,13.0,41.0,54.0,0.0,0.0,34413.0,34413.0,7385130.0,44856.0,19203.0,3915.0,7429986.0,23118.0,7453104.0,2003,SEP,31317.0,True,3.0,2003-09-01
San Diego,14906.0,306.0,29.0,12531.0,341.0,175.0,27437.0,647.0,204.0,40813.0,34338.0,75151.0,724.0,347.0,854.0,423.0,1578.0,770.0,92.0,280.0,372.0,30458.0,0.0,450.0,30908.0,5766837.0,129461.0,43373.0,37482.0,5896298.0,80855.0,5977153.0,2003,SEP,28288.0,True,3.0,2003-09-01
Orange,11923.0,138.0,16.0,15276.0,314.0,110.0,27199.0,452.0,126.0,30558.0,40140.0,70698.0,267.0,155.0,717.0,390.0,984.0,545.0,46.0,183.0,229.0,0.0,0.0,28699.0,28699.0,5394161.0,97751.0,32907.0,25867.0,5491912.0,58774.0,5550686.0,2003,SEP,27777.0,True,3.0,2003-09-01
Alameda,13497.0,138.0,0.0,9184.0,101.0,203.0,22681.0,239.0,203.0,34552.0,23511.0,58063.0,226.0,142.0,228.0,112.0,454.0,254.0,0.0,263.0,263.0,0.0,23123.0,0.0,23123.0,4440285.0,30003.0,16786.0,39742.0,4470288.0,56528.0,4526816.0,2003,SEP,23123.0,False,3.0,2003-09-01
Riverside,14456.0,171.0,33.0,7858.0,189.0,255.0,22314.0,360.0,288.0,40520.0,17771.0,58291.0,439.0,173.0,461.0,203.0,900.0,376.0,87.0,88.0,175.0,25091.0,0.0,0.0,25091.0,5046676.0,82846.0,25207.0,50244.0,5129522.0,75451.0,5204973.0,2003,SEP,22962.0,False,3.0,2003-09-01
Kern,7282.0,10.0,0.0,15240.0,116.0,10.0,22522.0,126.0,10.0,21437.0,44415.0,65852.0,30.0,10.0,245.0,126.0,275.0,136.0,0.0,18.0,18.0,24192.0,0.0,0.0,24192.0,5238993.0,28988.0,7259.0,1645.0,5267981.0,8904.0,5276885.0,2003,SEP,22658.0,False,3.0,2003-09-01
