county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,quarter,fulldate
California,311088.0,4092.0,140.0,469964.0,7276.0,4144.0,781052.0,11368.0,4284.0,832713.0,1144694.0,1977407.0,9048.0,4997.0,20582.0,9133.0,29630.0,14130.0,392.0,5386.0,5778.0,0.0,0.0,440.0,909411.0,909851.0,0.0,196320520.75,2070558.0,198391078.75,2004,DEC,4.0,2004-12-01
Alameda,15742.0,119.0,0.0,10570.0,86.0,165.0,26312.0,205.0,165.0,40300.0,27059.0,67359.0,255.0,120.0,222.0,109.0,477.0,229.0,0.0,228.0,228.0,0.0,0.0,0.0,26682.0,26682.0,0.0,5670387.0,49627.0,5720014.0,2004,DEC,4.0,2004-12-01
Alpine,9.0,0.0,0.0,26.0,0.0,0.0,35.0,0.0,0.0,29.0,61.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,37.0,0.0,6854.0,0.0,6854.0,2004,DEC,4.0,2004-12-01
Amador,164.0,0.0,0.0,346.0,0.0,0.0,510.0,0.0,0.0,416.0,726.0,1142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551.0,551.0,0.0,112348.0,0.0,112348.0,2004,DEC,4.0,2004-12-01
Butte,2300.0,1.0,0.0,4422.0,5.0,4.0,6722.0,6.0,4.0,6289.0,10856.0,17145.0,2.0,1.0,12.0,6.0,14.0,7.0,0.0,6.0,6.0,0.0,0.0,0.0,7374.0,7374.0,0.0,1622541.0,1202.0,1623743.0,2004,DEC,4.0,2004-12-01
Calaveras,218.0,0.0,0.0,554.0,0.0,0.0,772.0,0.0,0.0,588.0,1102.0,1690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,772.0,772.0,0.0,166223.0,0.0,166223.0,2004,DEC,4.0,2004-12-01
Colusa,82.0,0.0,0.0,362.0,10.0,4.0,444.0,10.0,4.0,235.0,932.0,1167.0,0.0,0.0,21.0,12.0,21.0,12.0,0.0,5.0,5.0,0.0,0.0,0.0,501.0,501.0,0.0,103316.0,1740.0,105056.0,2004,DEC,4.0,2004-12-01
Contra Costa,7017.0,52.0,1.0,4339.0,38.0,16.0,11356.0,90.0,17.0,19474.0,9110.0,28584.0,140.0,55.0,99.0,47.0,239.0,102.0,3.0,26.0,29.0,0.0,0.0,0.0,12698.0,12698.0,0.0,2730571.0,6516.0,2737087.0,2004,DEC,4.0,2004-12-01
Del Norte,550.0,0.0,0.0,1048.0,0.0,2.0,1598.0,0.0,2.0,1582.0,2214.0,3796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1600.0,1600.0,0.0,349413.0,124.0,349537.0,2004,DEC,4.0,2004-12-01
El Dorado,589.0,0.0,0.0,1274.0,8.0,5.0,1863.0,8.0,5.0,1567.0,2685.0,4252.0,0.0,0.0,19.0,9.0,19.0,9.0,0.0,6.0,6.0,0.0,0.0,0.0,2103.0,2103.0,0.0,414796.0,1427.0,416223.0,2004,DEC,4.0,2004-12-01
Fresno,21366.0,125.0,5.0,18247.0,241.0,18.0,39613.0,366.0,23.0,69044.0,45536.0,114580.0,342.0,147.0,792.0,261.0,1134.0,408.0,21.0,29.0,50.0,0.0,0.0,0.0,44509.0,44509.0,0.0,10654299.0,25412.0,10679711.0,2004,DEC,4.0,2004-12-01
Glenn,214.0,0.0,0.0,607.0,2.0,0.0,821.0,2.0,0.0,598.0,1623.0,2221.0,0.0,0.0,7.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,919.0,919.0,0.0,190716.5,182.0,190898.5,2004,DEC,4.0,2004-12-01
Humboldt,1209.0,1.0,0.0,3832.0,3.0,2.0,5041.0,4.0,2.0,3085.0,7751.0,10836.0,2.0,1.0,8.0,4.0,10.0,5.0,0.0,3.0,3.0,0.0,0.0,0.0,5485.0,5485.0,0.0,1088977.0,713.0,1089690.0,2004,DEC,4.0,2004-12-01
Imperial,1540.0,0.0,0.0,4306.0,91.0,10.0,5846.0,91.0,10.0,4433.0,12374.0,16807.0,0.0,0.0,263.0,92.0,263.0,92.0,0.0,11.0,11.0,0.0,0.0,0.0,5947.0,5947.0,0.0,1604187.0,6630.0,1610817.0,2004,DEC,4.0,2004-12-01
Inyo,102.0,0.0,0.0,340.0,0.0,0.0,442.0,0.0,0.0,316.0,668.0,984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.0,476.0,0.0,85129.0,0.0,85129.0,2004,DEC,4.0,2004-12-01
Kern,7505.0,8.0,0.0,19479.0,258.0,68.0,26984.0,266.0,68.0,21386.0,55838.0,77224.0,26.0,9.0,785.0,281.0,811.0,290.0,0.0,91.0,91.0,0.0,0.0,0.0,29466.0,29466.0,0.0,7021064.0,36759.0,7057823.0,2004,DEC,4.0,2004-12-01
Kings,1320.0,2.0,0.0,3667.0,17.0,4.0,4987.0,19.0,4.0,3775.0,9371.0,13146.0,6.0,2.0,47.0,17.0,53.0,19.0,0.0,5.0,5.0,0.0,0.0,0.0,5379.0,5379.0,0.0,1160736.0,2003.0,1162739.0,2004,DEC,4.0,2004-12-01
