county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,total_households,big_six,quarter,fulldate
California,286787.0,4435.0,741.0,499019.0,7645.0,4448.0,785806.0,12080.0,5189.0,746725.0,1229091.0,1975816.0,9016.0,6510.0,21353.0,9424.0,30369.0,15934.0,2592.0,5789.0,8381.0,0.0,0.0,213.0,932473.0,932686.0,0.0,196579347.45,2220376.95,198799724.4,2005,AUG,803075.0,0,3.0,2005-08-01
Los Angeles,86046.0,1938.0,27.0,191083.0,3683.0,2269.0,277129.0,5621.0,2296.0,197187.0,446769.0,643956.0,4066.0,2310.0,10134.0,4367.0,14200.0,6677.0,36.0,2783.0,2819.0,0.0,0.0,0.0,358746.0,358746.0,0.0,70112092.0,926834.0,71038926.0,2005,AUG,285046.0,1,3.0,2005-08-01
San Bernardino,19794.0,207.0,4.0,28631.0,489.0,205.0,48425.0,696.0,209.0,56031.0,84129.0,140160.0,543.0,220.0,1493.0,547.0,2036.0,767.0,6.0,265.0,271.0,0.0,0.0,0.0,55374.0,55374.0,0.0,13461405.0,89825.0,13551230.0,2005,AUG,49330.0,1,3.0,2005-08-01
Fresno,14695.0,48.0,0.0,25451.0,220.0,14.0,40146.0,268.0,14.0,41232.0,76466.0,117698.0,137.0,56.0,780.0,233.0,917.0,289.0,0.0,15.0,15.0,0.0,0.0,0.0,44467.0,44467.0,0.0,10772967.0,16136.0,10789103.0,2005,AUG,40428.0,1,3.0,2005-08-01
Sacramento,24427.0,462.0,68.0,14679.0,126.0,145.0,39106.0,588.0,213.0,76643.0,32518.0,109161.0,992.0,759.0,265.0,171.0,1257.0,930.0,221.0,205.0,426.0,0.0,0.0,0.0,51251.0,51251.0,0.0,11695825.0,99482.0,11795307.0,2005,AUG,39907.0,1,3.0,2005-08-01
San Diego,14319.0,209.0,4.0,16298.0,299.0,164.0,30617.0,508.0,168.0,38630.0,44125.0,82755.0,465.0,227.0,775.0,337.0,1240.0,564.0,4.0,209.0,213.0,0.0,0.0,213.0,34297.0,34510.0,0.0,7719016.0,71525.0,7790541.0,2005,AUG,31293.0,1,3.0,2005-08-01
Orange,9719.0,79.0,0.0,20578.0,365.0,151.0,30297.0,444.0,151.0,24635.0,54126.0,78761.0,172.0,86.0,923.0,444.0,1095.0,530.0,0.0,195.0,195.0,0.0,0.0,0.0,32265.0,32265.0,0.0,7046703.0,54680.0,7101383.0,2005,AUG,30892.0,1,3.0,2005-08-01
Riverside,12291.0,113.0,6.0,15680.0,299.0,60.0,27971.0,412.0,66.0,34108.0,46075.0,80183.0,306.0,116.0,971.0,343.0,1277.0,459.0,9.0,78.0,87.0,0.0,0.0,0.0,30731.0,30731.0,0.0,7408641.0,38536.0,7447177.0,2005,AUG,28449.0,0,3.0,2005-08-01
Kern,6769.0,3.0,0.0,20568.0,228.0,74.0,27337.0,231.0,74.0,19326.0,57618.0,76944.0,8.0,3.0,711.0,237.0,719.0,240.0,0.0,101.0,101.0,0.0,0.0,0.0,30177.0,30177.0,0.0,7053967.0,35997.0,7089964.0,2005,AUG,27642.0,0,3.0,2005-08-01
Alameda,15415.0,77.0,0.0,11693.0,86.0,142.0,27108.0,163.0,142.0,39462.0,29934.0,69396.0,170.0,77.0,190.0,111.0,360.0,188.0,0.0,194.0,194.0,0.0,0.0,0.0,27413.0,27413.0,0.0,5940563.0,43202.0,5983765.0,2005,AUG,27413.0,0,3.0,2005-08-01
Santa Clara,10155.0,560.0,398.0,12575.0,308.0,468.0,22730.0,868.0,866.0,26137.0,27028.0,53165.0,854.0,1396.0,721.0,445.0,1575.0,1841.0,1466.0,693.0,2159.0,0.0,0.0,0.0,29064.0,29064.0,0.0,5456003.0,424165.0,5880168.0,2005,AUG,24464.0,0,3.0,2005-08-01
