county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,total_households,quarter,fulldate
California,290203.0,4307.0,703.0,492971.0,7473.0,4367.0,783174.0,11780.0,5070.0,754974.0,1216669.0,1971643.0,8847.0,6257.0,21187.0,9335.0,30034.0,15592.0,2432.0,5630.0,8062.0,0.0,0.0,167.0,909476.0,909643.0,0.0,194518892.14,2111863.07,196630755.21,2005,JUL,800024.0,3.0,2005-07-01
Alameda,15737.0,81.0,0.0,11415.0,82.0,147.0,27152.0,163.0,147.0,40287.0,29222.0,69509.0,176.0,81.0,191.0,100.0,367.0,181.0,0.0,192.0,192.0,0.0,0.0,0.0,27462.0,27462.0,0.0,5810855.0,42810.0,5853665.0,2005,JUL,27462.0,3.0,2005-07-01
Alpine,3.0,0.0,0.0,30.0,0.0,0.0,33.0,0.0,0.0,9.0,79.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,38.0,0.0,6096.0,0.0,6096.0,2005,JUL,33.0,3.0,2005-07-01
Amador,151.0,0.0,0.0,349.0,0.0,0.0,500.0,0.0,0.0,397.0,733.0,1130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,539.0,539.0,0.0,110660.0,0.0,110660.0,2005,JUL,500.0,3.0,2005-07-01
Butte,2161.0,0.0,0.0,4657.0,2.0,5.0,6818.0,2.0,5.0,5761.0,11307.0,17068.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,9.0,9.0,0.0,0.0,0.0,7436.0,7436.0,0.0,1611158.0,1489.0,1612647.0,2005,JUL,6825.0,3.0,2005-07-01
Calaveras,221.0,0.0,0.0,544.0,0.0,0.0,765.0,0.0,0.0,604.0,1121.0,1725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,765.0,765.0,0.0,173175.0,0.0,173175.0,2005,JUL,765.0,3.0,2005-07-01
Colusa,70.0,0.0,0.0,370.0,7.0,4.0,440.0,7.0,4.0,220.0,974.0,1194.0,0.0,0.0,16.0,9.0,16.0,9.0,0.0,7.0,7.0,0.0,0.0,0.0,483.0,483.0,0.0,99598.0,1341.0,100939.0,2005,JUL,451.0,3.0,2005-07-01
Contra Costa,7007.0,48.0,1.0,4865.0,42.0,18.0,11872.0,90.0,19.0,19352.0,10048.0,29400.0,105.0,54.0,105.0,49.0,210.0,103.0,1.0,25.0,26.0,0.0,0.0,0.0,13006.0,13006.0,0.0,2837863.0,8227.0,2846090.0,2005,JUL,11981.0,3.0,2005-07-01
Del Norte,502.0,0.0,0.0,1136.0,5.0,2.0,1638.0,5.0,2.0,1419.0,2423.0,3842.0,0.0,0.0,7.0,6.0,7.0,6.0,0.0,3.0,3.0,0.0,0.0,0.0,1645.0,1645.0,0.0,365163.0,2227.0,367390.0,2005,JUL,1645.0,3.0,2005-07-01
El Dorado,571.0,0.0,0.0,1263.0,10.0,9.0,1834.0,10.0,9.0,1504.0,2646.0,4150.0,0.0,0.0,26.0,11.0,26.0,11.0,0.0,9.0,9.0,0.0,0.0,0.0,2065.0,2065.0,0.0,417459.0,1968.0,419427.0,2005,JUL,1853.0,3.0,2005-07-01
