county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,total_households,quarter,fulldate
California,267753.0,3764.0,179.0,527822.0,8098.0,4388.0,795575.0,11862.0,4567.0,677844.0,1284078.0,1961922.0,8410.0,4609.0,21811.0,9578.0,30221.0,14187.0,386.0,5851.0,6237.0,0.0,0.0,154.0,874742.0,874896.0,0.0,200395484.81,1782720.39,202178205.2,2006,MAY,812004.0,2.0,2006-05-01
Alameda,13228.0,351.0,99.0,16723.0,152.0,70.0,29951.0,503.0,169.0,32599.0,33860.0,66459.0,868.0,312.0,518.0,84.0,1386.0,396.0,237.0,87.0,324.0,0.0,0.0,0.0,30623.0,30623.0,0.0,6697988.0,61981.0,6759969.0,2006,MAY,30623.0,2.0,2006-05-01
Alpine,4.0,0.0,0.0,34.0,0.0,0.0,38.0,0.0,0.0,9.0,68.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,41.0,0.0,7822.0,0.0,7822.0,2006,MAY,38.0,2.0,2006-05-01
Amador,140.0,0.0,0.0,383.0,0.0,0.0,523.0,0.0,0.0,375.0,783.0,1158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575.0,575.0,0.0,121590.0,0.0,121590.0,2006,MAY,523.0,2.0,2006-05-01
Butte,1939.0,1.0,0.0,5514.0,5.0,8.0,7453.0,6.0,8.0,5039.0,12931.0,17970.0,1.0,1.0,13.0,6.0,14.0,7.0,0.0,11.0,11.0,0.0,0.0,0.0,8250.0,8250.0,0.0,1777293.0,2313.0,1779606.0,2006,MAY,7467.0,2.0,2006-05-01
Calaveras,188.0,0.0,0.0,565.0,0.0,0.0,753.0,0.0,0.0,493.0,1148.0,1641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,753.0,753.0,0.0,173788.0,0.0,173788.0,2006,MAY,753.0,2.0,2006-05-01
Colusa,89.0,0.0,0.0,399.0,6.0,7.0,488.0,6.0,7.0,292.0,1123.0,1415.0,0.0,0.0,25.0,8.0,25.0,8.0,0.0,9.0,9.0,0.0,0.0,0.0,545.0,545.0,0.0,116309.0,1396.0,117705.0,2006,MAY,501.0,2.0,2006-05-01
Contra Costa,5448.0,30.0,1.0,7635.0,72.0,31.0,13083.0,102.0,32.0,13319.0,17817.0,31136.0,61.0,33.0,177.0,103.0,238.0,136.0,1.0,51.0,52.0,0.0,0.0,0.0,15048.0,15048.0,0.0,3187928.0,20190.0,3208118.0,2006,MAY,13217.0,2.0,2006-05-01
Del Norte,484.0,0.0,0.0,1225.0,6.0,2.0,1709.0,6.0,2.0,1383.0,2489.0,3872.0,0.0,0.0,19.0,6.0,19.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,1717.0,1717.0,0.0,384101.0,426.0,384527.0,2006,MAY,1717.0,2.0,2006-05-01
El Dorado,559.0,0.0,0.0,1324.0,10.0,4.0,1883.0,10.0,4.0,1456.0,2780.0,4236.0,0.0,0.0,24.0,12.0,24.0,12.0,0.0,6.0,6.0,0.0,0.0,0.0,2132.0,2132.0,0.0,444253.0,1333.0,445586.0,2006,MAY,1897.0,2.0,2006-05-01
Fresno,14815.0,44.0,0.0,25998.0,190.0,9.0,40813.0,234.0,9.0,41630.0,77357.0,118987.0,122.0,51.0,687.0,202.0,809.0,253.0,0.0,12.0,12.0,0.0,0.0,0.0,45248.0,45248.0,0.0,11486199.0,15857.0,11502056.0,2006,MAY,41056.0,2.0,2006-05-01
Glenn,240.0,0.0,0.0,632.0,1.0,0.0,872.0,1.0,0.0,676.0,1736.0,2412.0,0.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,945.0,945.0,0.0,215684.6,100.4,215785.0,2006,MAY,873.0,2.0,2006-05-01
Humboldt,1108.0,1.0,0.0,3848.0,11.0,4.0,4956.0,12.0,4.0,2761.0,7874.0,10635.0,2.0,1.0,25.0,11.0,27.0,12.0,0.0,5.0,5.0,0.0,0.0,0.0,3258.0,3258.0,0.0,1108090.0,1470.0,1109560.0,2006,MAY,4972.0,2.0,2006-05-01
Imperial,1384.0,1.0,0.0,4389.0,104.0,14.0,5773.0,105.0,14.0,3999.0,12285.0,16284.0,3.0,1.0,295.0,110.0,298.0,111.0,0.0,14.0,14.0,0.0,0.0,0.0,5892.0,5892.0,0.0,1585541.0,7404.0,1592945.0,2006,MAY,5892.0,2.0,2006-05-01
Inyo,86.0,0.0,0.0,362.0,0.0,0.0,448.0,0.0,0.0,247.0,743.0,990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.0,465.0,0.0,91212.0,0.0,91212.0,2006,MAY,448.0,2.0,2006-05-01
Kern,6367.0,0.0,0.0,21218.0,212.0,55.0,27585.0,212.0,55.0,17936.0,59273.0,77209.0,0.0,0.0,636.0,228.0,636.0,228.0,0.0,72.0,72.0,0.0,0.0,0.0,29688.0,29688.0,0.0,7351596.0,30581.0,7382177.0,2006,MAY,27852.0,2.0,2006-05-01
Kings,1127.0,1.0,0.0,4338.0,34.0,14.0,5465.0,35.0,14.0,3192.0,10856.0,14048.0,4.0,1.0,93.0,37.0,97.0,38.0,0.0,14.0,14.0,0.0,0.0,0.0,5851.0,5851.0,0.0,1313525.0,2771.0,1316296.0,2006,MAY,5514.0,2.0,2006-05-01
Lake,872.0,0.0,0.0,1402.0,2.0,2.0,2274.0,2.0,2.0,1652.0,3540.0,5192.0,0.0,0.0,6.0,2.0,6.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,2497.0,2497.0,0.0,515033.0,567.0,515600.0,2006,MAY,2278.0,2.0,2006-05-01
Lassen,258.0,0.0,0.0,577.0,2.0,0.0,835.0,2.0,0.0,762.0,1329.0,2091.0,0.0,0.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,909.0,909.0,0.0,207864.0,247.0,208111.0,2006,MAY,837.0,2.0,2006-05-01
Los Angeles,80783.0,1747.0,30.0,190517.0,3596.0,1904.0,271300.0,5343.0,1934.0,182382.0,438107.0,620489.0,3609.0,2094.0,10013.0,4243.0,13622.0,6337.0,43.0,2318.0,2361.0,0.0,0.0,0.0,319023.0,319023.0,0.0,67530356.0,802080.0,68332436.0,2006,MAY,278577.0,2.0,2006-05-01
Madera,1039.0,0.0,0.0,4476.0,33.0,2.0,5515.0,33.0,2.0,2974.0,11430.0,14404.0,0.0,0.0,104.0,33.0,104.0,33.0,0.0,2.0,2.0,0.0,0.0,0.0,5956.0,5956.0,0.0,1405949.0,2403.0,1408352.0,2006,MAY,5550.0,2.0,2006-05-01
Marin,501.0,2.0,0.0,1964.0,19.0,18.0,2465.0,21.0,18.0,1189.0,3184.0,4373.0,5.0,2.0,38.0,22.0,43.0,24.0,0.0,18.0,18.0,0.0,0.0,0.0,2465.0,2465.0,0.0,452384.0,3070.0,455454.0,2006,MAY,2504.0,2.0,2006-05-01
Mariposa,84.0,0.0,0.0,291.0,0.0,0.0,375.0,0.0,0.0,227.0,625.0,852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0,412.0,0.0,82561.0,0.0,82561.0,2006,MAY,375.0,2.0,2006-05-01
Mendocino,762.0,1.0,0.0,2969.0,12.0,4.0,3731.0,13.0,4.0,1984.0,5704.0,7688.0,3.0,1.0,40.0,13.0,43.0,14.0,0.0,4.0,4.0,0.0,0.0,0.0,4112.0,4112.0,0.0,820726.0,1179.0,821905.0,2006,MAY,3748.0,2.0,2006-05-01
Merced,4540.0,28.0,0.0,6129.0,47.0,6.0,10669.0,75.0,6.0,12648.0,17430.0,30078.0,80.0,28.0,170.0,56.0,250.0,84.0,0.0,7.0,7.0,0.0,0.0,0.0,11604.0,11604.0,0.0,2860070.0,6716.0,2866786.0,2006,MAY,10750.0,2.0,2006-05-01
Modoc,108.0,0.0,0.0,218.0,1.0,0.0,326.0,1.0,0.0,321.0,489.0,810.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,326.0,0.0,73848.0,3.0,73851.0,2006,MAY,327.0,2.0,2006-05-01
Mono,16.0,0.0,0.0,106.0,0.0,0.0,122.0,0.0,0.0,39.0,197.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,145.0,0.0,22658.0,0.0,22658.0,2006,MAY,122.0,2.0,2006-05-01
Monterey,1808.0,1.0,1.0,5567.0,80.0,6.0,7375.0,81.0,7.0,4812.0,13466.0,18278.0,1.0,1.0,267.0,84.0,268.0,85.0,1.0,7.0,8.0,0.0,0.0,0.0,8145.0,8145.0,0.0,1769034.0,4147.0,1773181.0,2006,MAY,7463.0,2.0,2006-05-01
Napa,245.0,0.0,0.0,949.0,16.0,2.0,1194.0,16.0,2.0,641.0,2106.0,2747.0,0.0,0.0,48.0,20.0,48.0,20.0,0.0,3.0,3.0,0.0,0.0,0.0,1212.0,1212.0,0.0,279848.0,1859.0,281707.0,2006,MAY,1212.0,2.0,2006-05-01
Nevada,282.0,0.0,0.0,804.0,0.0,0.0,1086.0,0.0,0.0,726.0,1679.0,2405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1184.0,1184.0,0.0,250575.0,0.0,250575.0,2006,MAY,1086.0,2.0,2006-05-01
Orange,9611.0,75.0,0.0,19651.0,494.0,261.0,29262.0,569.0,261.0,26195.0,51316.0,77511.0,148.0,72.0,300.0,622.0,448.0,694.0,0.0,413.0,413.0,0.0,0.0,0.0,33272.0,33272.0,0.0,7326617.0,88253.0,7414870.0,2006,MAY,30092.0,2.0,2006-05-01
Placer,914.0,12.0,0.0,1638.0,12.0,4.0,2552.0,24.0,4.0,2355.0,3534.0,5889.0,41.0,15.0,27.0,20.0,68.0,35.0,0.0,4.0,4.0,0.0,0.0,0.0,2842.0,2842.0,0.0,615018.0,2436.0,617454.0,2006,MAY,2580.0,2.0,2006-05-01
Plumas,85.0,0.0,0.0,180.0,0.0,0.0,265.0,0.0,0.0,198.0,425.0,623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.0,287.0,0.0,56517.0,0.0,56517.0,2006,MAY,265.0,2.0,2006-05-01
Riverside,12062.0,97.0,3.0,15359.0,261.0,72.0,27421.0,358.0,75.0,32842.0,45265.0,78107.0,269.0,100.0,872.0,290.0,1141.0,390.0,4.0,89.0,93.0,0.0,0.0,0.0,29730.0,29730.0,0.0,7446161.0,33135.0,7479296.0,2006,MAY,27854.0,2.0,2006-05-01
Sacramento,17167.0,593.0,8.0,25123.0,403.0,187.0,42290.0,996.0,195.0,46003.0,66557.0,112560.0,1429.0,938.0,1135.0,627.0,2564.0,1565.0,10.0,262.0,272.0,0.0,0.0,0.0,47299.0,47299.0,0.0,11753583.0,147142.0,11900725.0,2006,MAY,43481.0,2.0,2006-05-01
San Benito,336.0,0.0,0.0,894.0,5.0,2.0,1230.0,5.0,2.0,959.0,2048.0,3007.0,0.0,0.0,14.0,7.0,14.0,7.0,0.0,3.0,3.0,0.0,0.0,0.0,1237.0,1237.0,0.0,301283.0,1025.0,302308.0,2006,MAY,1237.0,2.0,2006-05-01
San Bernardino,18921.0,159.0,3.0,27445.0,450.0,202.0,46366.0,609.0,205.0,51965.0,81843.0,133808.0,427.0,166.0,1368.0,499.0,1795.0,665.0,4.0,267.0,271.0,0.0,0.0,0.0,52297.0,52297.0,0.0,13246339.0,77434.0,13323773.0,2006,MAY,47180.0,2.0,2006-05-01
San Diego,14346.0,152.0,2.0,16503.0,258.0,191.0,30849.0,410.0,193.0,38661.0,44601.0,83262.0,344.0,164.0,683.0,292.0,1027.0,456.0,2.0,239.0,241.0,0.0,0.0,154.0,34550.0,34704.0,0.0,8069479.0,66114.0,8135593.0,2006,MAY,31452.0,2.0,2006-05-01
San Francisco,3497.0,45.0,1.0,16103.0,188.0,415.0,19600.0,233.0,416.0,8178.0,22937.0,31115.0,85.0,56.0,408.0,249.0,493.0,305.0,4.0,561.0,565.0,0.0,0.0,0.0,0.0,0.0,0.0,3369398.0,92557.0,3461955.0,2006,MAY,20249.0,2.0,2006-05-01
San Joaquin,5617.0,4.0,0.0,13959.0,205.0,67.0,19576.0,209.0,67.0,15396.0,37996.0,53392.0,6.0,4.0,452.0,205.0,458.0,209.0,0.0,96.0,96.0,0.0,0.0,0.0,21409.0,21409.0,0.0,5321591.0,11726.0,5333317.0,2006,MAY,19852.0,2.0,2006-05-01
San Luis Obispo,1176.0,2.0,2.0,2132.0,18.0,4.0,3308.0,20.0,6.0,2868.0,4495.0,7363.0,6.0,2.0,46.0,21.0,52.0,23.0,3.0,4.0,7.0,0.0,0.0,0.0,3773.0,3773.0,0.0,677674.0,2277.0,679951.0,2006,MAY,3334.0,2.0,2006-05-01
San Mateo,1550.0,19.0,0.0,2301.0,44.0,12.0,3851.0,63.0,12.0,3720.0,4866.0,8586.0,50.0,24.0,122.0,48.0,172.0,72.0,0.0,16.0,16.0,0.0,0.0,0.0,4447.0,4447.0,0.0,864906.0,8731.0,873637.0,2006,MAY,3926.0,2.0,2006-05-01
Santa Barbara,3804.0,37.0,0.0,4295.0,61.0,8.0,8099.0,98.0,8.0,8390.0,10601.0,18991.0,37.0,37.0,130.0,76.0,167.0,113.0,0.0,19.0,19.0,0.0,0.0,0.0,9026.0,9026.0,0.0,1876353.0,8521.0,1884874.0,2006,MAY,8205.0,2.0,2006-05-01
Santa Clara,9574.0,167.0,5.0,15195.0,359.0,521.0,24769.0,526.0,526.0,24506.0,33963.0,58469.0,355.0,214.0,809.0,488.0,1164.0,702.0,12.0,761.0,773.0,0.0,0.0,0.0,28538.0,28538.0,0.0,5881448.0,161739.0,6043187.0,2006,MAY,25821.0,2.0,2006-05-01
Santa Cruz,1647.0,8.0,0.0,3615.0,52.0,16.0,5262.0,60.0,16.0,3812.0,7493.0,11305.0,16.0,10.0,166.0,80.0,182.0,90.0,0.0,19.0,19.0,0.0,0.0,0.0,5954.0,5954.0,0.0,1164898.0,8650.0,1173548.0,2006,MAY,5338.0,2.0,2006-05-01
Shasta,1539.0,0.0,0.0,4172.0,4.0,3.0,5711.0,4.0,3.0,3783.0,9553.0,13336.0,0.0,0.0,10.0,4.0,10.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,6283.0,6283.0,0.0,1308201.0,930.0,1309131.0,2006,MAY,5718.0,2.0,2006-05-01
Sierra,28.0,0.0,0.0,49.0,0.0,0.0,77.0,0.0,0.0,79.0,98.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0,0.0,16765.0,0.0,16765.0,2006,MAY,77.0,2.0,2006-05-01
Siskiyou,481.0,0.0,0.0,1210.0,5.0,2.0,1691.0,5.0,2.0,1303.0,2617.0,3920.0,0.0,0.0,18.0,6.0,18.0,6.0,0.0,3.0,3.0,0.0,0.0,0.0,1850.0,1850.0,0.0,386564.0,351.0,386915.0,2006,MAY,1698.0,2.0,2006-05-01
Solano,3311.0,23.0,1.0,4744.0,39.0,32.0,8055.0,62.0,33.0,8506.0,10522.0,19028.0,64.0,29.0,106.0,42.0,170.0,71.0,4.0,42.0,46.0,0.0,0.0,0.0,9163.0,9163.0,0.0,1942863.0,10957.0,1953820.0,2006,MAY,8150.0,2.0,2006-05-01
Sonoma,1891.0,14.0,0.0,4434.0,29.0,21.0,6325.0,43.0,21.0,4481.0,8749.0,13230.0,39.0,16.0,90.0,31.0,129.0,47.0,0.0,25.0,25.0,0.0,0.0,0.0,7252.0,7252.0,0.0,1366837.09,7463.91,1374301.0,2006,MAY,6389.0,2.0,2006-05-01
Stanislaus,5938.0,39.0,2.0,9048.0,77.0,7.0,14986.0,116.0,9.0,15255.0,23497.0,38752.0,96.0,46.0,261.0,91.0,357.0,137.0,3.0,9.0,12.0,0.0,0.0,0.0,16317.0,16317.0,0.0,3832178.0,9263.0,3841441.0,2006,MAY,15111.0,2.0,2006-05-01
Sutter,540.0,1.0,0.0,1643.0,5.0,2.0,2183.0,6.0,2.0,1520.0,4313.0,5833.0,5.0,2.0,10.0,7.0,15.0,9.0,0.0,2.0,2.0,0.0,0.0,0.0,2415.0,2415.0,0.0,558499.0,814.0,559313.0,2006,MAY,2191.0,2.0,2006-05-01
Tehama,615.0,3.0,0.0,1432.0,20.0,2.0,2047.0,23.0,2.0,1642.0,3538.0,5180.0,10.0,3.0,63.0,21.0,73.0,24.0,0.0,3.0,3.0,0.0,0.0,0.0,2244.0,2244.0,0.0,499861.0,2270.0,502131.0,2006,MAY,2072.0,2.0,2006-05-01
Trinity,106.0,0.0,0.0,306.0,1.0,0.0,412.0,1.0,0.0,272.0,717.0,989.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,413.0,413.0,0.0,96706.0,54.0,96760.0,2006,MAY,413.0,2.0,2006-05-01
Tulare,8247.0,61.0,21.0,13125.0,378.0,143.0,21372.0,439.0,164.0,22845.0,34508.0,57353.0,124.0,117.0,1264.0,422.0,1388.0,539.0,58.0,293.0,351.0,0.0,0.0,0.0,24051.0,24051.0,0.0,5454665.0,36041.0,5490706.0,2006,MAY,21975.0,2.0,2006-05-01
Tuolumne,402.0,0.0,0.0,884.0,0.0,0.0,1286.0,0.0,0.0,1164.0,1856.0,3020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1391.0,1391.0,0.0,272924.0,0.0,272924.0,2006,MAY,1286.0,2.0,2006-05-01
Ventura,3834.0,12.0,0.0,7405.0,67.0,18.0,11239.0,79.0,18.0,9706.0,12687.0,22393.0,15.0,23.0,104.0,82.0,119.0,105.0,0.0,25.0,25.0,0.0,0.0,0.0,12405.0,12405.0,0.0,2691792.0,20879.0,2712671.0,2006,MAY,11336.0,2.0,2006-05-01
