county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,quarter,fulldate
California,253039.0,3673.0,86.0,556518.0,8507.0,4201.0,809557.0,12180.0,4287.0,635659.0,1344870.0,1980529.0,8351.0,4547.0,23666.0,10157.0,32017.0,14704.0,101.0,5573.0,5674.0,0.0,0.0,0.0,919098.0,919098.0,0.0,214798961.62,1847342.44,216646304.06,2007,JAN,1.0,2007-01-01
Alameda,11415.0,204.0,1.0,19617.0,222.0,151.0,31032.0,426.0,152.0,27660.0,40188.0,67848.0,436.0,235.0,527.0,286.0,963.0,521.0,1.0,194.0,195.0,0.0,0.0,0.0,31610.0,31610.0,0.0,7367475.0,70963.0,7438438.0,2007,JAN,1.0,2007-01-01
Alpine,6.0,0.0,0.0,37.0,0.0,0.0,43.0,0.0,0.0,14.0,88.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,0.0,9393.0,0.0,9393.0,2007,JAN,1.0,2007-01-01
Amador,133.0,0.0,0.0,402.0,0.0,0.0,535.0,0.0,0.0,334.0,855.0,1189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,583.0,583.0,0.0,130141.0,0.0,130141.0,2007,JAN,1.0,2007-01-01
Butte,1882.0,1.0,0.0,5842.0,4.0,10.0,7724.0,5.0,10.0,4953.0,13390.0,18343.0,1.0,1.0,15.0,5.0,16.0,6.0,0.0,12.0,12.0,0.0,0.0,0.0,8473.0,8473.0,0.0,1890448.0,2152.0,1892600.0,2007,JAN,1.0,2007-01-01
Calaveras,202.0,0.0,0.0,613.0,0.0,0.0,815.0,0.0,0.0,542.0,1258.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,815.0,815.0,0.0,192487.0,0.0,192487.0,2007,JAN,1.0,2007-01-01
Colusa,75.0,0.0,0.0,417.0,8.0,2.0,492.0,8.0,2.0,241.0,1096.0,1337.0,0.0,0.0,20.0,9.0,20.0,9.0,0.0,3.0,3.0,0.0,0.0,0.0,537.0,537.0,0.0,120435.0,532.0,120967.0,2007,JAN,1.0,2007-01-01
Contra Costa,5153.0,25.0,2.0,8596.0,82.0,42.0,13749.0,107.0,44.0,12430.0,19594.0,32024.0,58.0,33.0,233.0,103.0,291.0,136.0,2.0,55.0,57.0,0.0,0.0,0.0,16264.0,16264.0,0.0,3548320.0,21584.0,3569904.0,2007,JAN,1.0,2007-01-01
Del Norte,447.0,1.0,0.0,1294.0,1.0,0.0,1741.0,2.0,0.0,1305.0,2658.0,3963.0,3.0,1.0,4.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1743.0,1743.0,0.0,413095.0,2.0,413097.0,2007,JAN,1.0,2007-01-01
El Dorado,540.0,0.0,0.0,1427.0,7.0,6.0,1967.0,7.0,6.0,1407.0,2971.0,4378.0,0.0,0.0,18.0,8.0,18.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,2318.0,2318.0,0.0,480002.0,1263.0,481265.0,2007,JAN,1.0,2007-01-01
Fresno,15312.0,109.0,0.0,27996.0,387.0,98.0,43308.0,496.0,98.0,42468.0,77585.0,120053.0,349.0,143.0,1227.0,400.0,1576.0,543.0,0.0,268.0,268.0,0.0,0.0,0.0,49821.0,49821.0,0.0,12909265.0,84707.0,12993972.0,2007,JAN,1.0,2007-01-01
Glenn,208.0,0.0,0.0,646.0,2.0,1.0,854.0,2.0,1.0,593.0,1703.0,2296.0,0.0,0.0,6.0,2.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,939.0,939.0,0.0,220592.0,293.0,220885.0,2007,JAN,1.0,2007-01-01
Humboldt,1113.0,1.0,0.0,3700.0,11.0,2.0,4813.0,12.0,2.0,2913.0,7421.0,10334.0,1.0,2.0,24.0,15.0,25.0,17.0,0.0,4.0,4.0,0.0,0.0,0.0,5382.0,5382.0,0.0,1118449.0,1289.0,1119738.0,2007,JAN,1.0,2007-01-01
Imperial,1497.0,1.0,0.0,4847.0,107.0,10.0,6344.0,108.0,10.0,4480.0,13186.0,17666.0,3.0,1.0,300.0,111.0,303.0,112.0,0.0,10.0,10.0,0.0,0.0,0.0,6462.0,6462.0,0.0,1842431.0,6412.0,1848843.0,2007,JAN,1.0,2007-01-01
Inyo,78.0,0.0,0.0,363.0,0.0,0.0,441.0,0.0,0.0,214.0,735.0,949.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.0,461.0,0.0,92391.0,0.0,92391.0,2007,JAN,1.0,2007-01-01
Kern,6092.0,3.0,0.0,22084.0,233.0,56.0,28176.0,236.0,56.0,17085.0,61126.0,78211.0,6.0,3.0,703.0,247.0,709.0,250.0,0.0,69.0,69.0,0.0,0.0,0.0,30441.0,30441.0,0.0,8023548.0,33567.0,8057115.0,2007,JAN,1.0,2007-01-01
Kings,1045.0,2.0,3.0,4288.0,33.0,22.0,5333.0,35.0,25.0,2940.0,10660.0,13600.0,8.0,2.0,78.0,36.0,86.0,38.0,3.0,22.0,25.0,0.0,0.0,0.0,5875.0,5875.0,0.0,1348259.0,3895.0,1352154.0,2007,JAN,1.0,2007-01-01
Lake,849.0,2.0,0.0,1393.0,4.0,0.0,2242.0,6.0,0.0,1590.0,3627.0,5217.0,7.0,2.0,10.0,4.0,17.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2469.0,2469.0,0.0,554376.0,1256.0,555632.0,2007,JAN,1.0,2007-01-01
Lassen,267.0,0.0,0.0,632.0,0.0,1.0,899.0,0.0,1.0,768.0,1428.0,2196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1008.0,1008.0,0.0,232750.0,155.0,232905.0,2007,JAN,1.0,2007-01-01
