county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,quarter,fulldate
California,260741.0,4252.0,658.0,530464.0,8011.0,4436.0,791205.0,12263.0,5094.0,656417.0,1291343.0,1947760.0,9006.0,6840.0,22518.0,9507.0,31524.0,16347.0,2493.0,6046.0,8539.0,0.0,0.0,0.0,891916.0,891916.0,0.0,198198034.47,2259014.45,200457048.92,2006,JUL,3.0,2006-07-01
Alameda,11839.0,216.0,43.0,17521.0,217.0,115.0,29360.0,433.0,158.0,29096.0,36278.0,65374.0,484.0,255.0,581.0,202.0,1065.0,457.0,127.0,165.0,292.0,0.0,0.0,0.0,29951.0,29951.0,0.0,6715502.0,65204.0,6780706.0,2006,JUL,3.0,2006-07-01
Alpine,4.0,0.0,0.0,32.0,0.0,0.0,36.0,0.0,0.0,10.0,73.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,0.0,8352.0,0.0,8352.0,2006,JUL,3.0,2006-07-01
Amador,129.0,0.0,0.0,386.0,0.0,0.0,515.0,0.0,0.0,324.0,829.0,1153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0,560.0,0.0,122863.0,0.0,122863.0,2006,JUL,3.0,2006-07-01
Butte,1855.0,1.0,1.0,5753.0,5.0,7.0,7608.0,6.0,8.0,4823.0,13445.0,18268.0,1.0,2.0,10.0,6.0,11.0,8.0,1.0,8.0,9.0,0.0,0.0,0.0,8317.0,8317.0,0.0,1794538.0,1899.0,1796437.0,2006,JUL,3.0,2006-07-01
Calaveras,208.0,0.0,0.0,562.0,0.0,0.0,770.0,0.0,0.0,547.0,1142.0,1689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770.0,770.0,0.0,180033.0,0.0,180033.0,2006,JUL,3.0,2006-07-01
Colusa,81.0,0.0,0.0,368.0,2.0,6.0,449.0,2.0,6.0,253.0,962.0,1215.0,0.0,0.0,5.0,2.0,5.0,2.0,0.0,7.0,7.0,0.0,0.0,0.0,474.0,474.0,0.0,101065.0,1025.0,102090.0,2006,JUL,3.0,2006-07-01
Contra Costa,5382.0,32.0,0.0,7674.0,70.0,34.0,13056.0,102.0,34.0,13099.0,17855.0,30954.0,73.0,40.0,182.0,92.0,255.0,132.0,0.0,45.0,45.0,0.0,0.0,0.0,15648.0,15648.0,0.0,3196248.0,18934.0,3215182.0,2006,JUL,3.0,2006-07-01
Del Norte,488.0,1.0,0.0,1282.0,6.0,3.0,1770.0,7.0,3.0,1384.0,2632.0,4016.0,3.0,1.0,17.0,6.0,20.0,7.0,0.0,6.0,6.0,0.0,0.0,0.0,1780.0,1780.0,0.0,397409.0,530.0,397939.0,2006,JUL,3.0,2006-07-01
El Dorado,538.0,0.0,0.0,1391.0,6.0,4.0,1929.0,6.0,4.0,1396.0,2931.0,4327.0,0.0,0.0,15.0,8.0,15.0,8.0,0.0,6.0,6.0,0.0,0.0,0.0,2103.0,2103.0,0.0,443450.0,887.0,444337.0,2006,JUL,3.0,2006-07-01
Fresno,15148.0,48.0,1.0,26757.0,139.0,17.0,41905.0,187.0,18.0,39849.0,82159.0,122008.0,119.0,53.0,537.0,165.0,656.0,218.0,1.0,40.0,41.0,0.0,0.0,0.0,43642.0,43642.0,0.0,11208104.0,15925.0,11224029.0,2006,JUL,3.0,2006-07-01
Glenn,225.0,0.0,0.0,604.0,1.0,0.0,829.0,1.0,0.0,626.0,1637.0,2263.0,0.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,886.0,886.0,0.0,196843.6,76.4,196920.0,2006,JUL,3.0,2006-07-01
Humboldt,1015.0,0.0,0.0,3965.0,9.0,4.0,4980.0,9.0,4.0,2562.0,8073.0,10635.0,0.0,0.0,19.0,9.0,19.0,9.0,0.0,4.0,4.0,0.0,0.0,0.0,5465.0,5465.0,0.0,1099891.0,989.0,1100880.0,2006,JUL,3.0,2006-07-01
Imperial,1350.0,1.0,0.0,4528.0,99.0,14.0,5878.0,100.0,14.0,3952.0,12517.0,16469.0,3.0,1.0,262.0,102.0,265.0,103.0,0.0,14.0,14.0,0.0,0.0,0.0,5992.0,5992.0,0.0,1629870.0,6677.0,1636547.0,2006,JUL,3.0,2006-07-01
Inyo,84.0,0.0,0.0,369.0,0.0,0.0,453.0,0.0,0.0,228.0,735.0,963.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473.0,473.0,0.0,89893.0,0.0,89893.0,2006,JUL,3.0,2006-07-01
Kern,6112.0,2.0,0.0,21474.0,211.0,57.0,27586.0,213.0,57.0,17283.0,59588.0,76871.0,2.0,2.0,628.0,226.0,630.0,228.0,0.0,72.0,72.0,0.0,0.0,0.0,29737.0,29737.0,0.0,7363173.0,30233.0,7393406.0,2006,JUL,3.0,2006-07-01
Kings,1070.0,1.0,1.0,4289.0,36.0,12.0,5359.0,37.0,13.0,3023.0,10772.0,13795.0,4.0,1.0,100.0,39.0,104.0,40.0,1.0,12.0,13.0,0.0,0.0,0.0,5752.0,5752.0,0.0,1289399.0,3045.0,1292444.0,2006,JUL,3.0,2006-07-01
Lake,845.0,0.0,0.0,1397.0,3.0,2.0,2242.0,3.0,2.0,1539.0,3577.0,5116.0,0.0,0.0,7.0,3.0,7.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,2439.0,2439.0,0.0,502790.0,777.0,503567.0,2006,JUL,3.0,2006-07-01
Lassen,261.0,0.0,0.0,588.0,1.0,1.0,849.0,1.0,1.0,747.0,1369.0,2116.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,937.0,937.0,0.0,206767.0,224.0,206991.0,2006,JUL,3.0,2006-07-01
Los Angeles,78989.0,1754.0,22.0,190092.0,3548.0,1854.0,269081.0,5302.0,1876.0,178301.0,436064.0,614365.0,3692.0,2091.0,9911.0,4187.0,13603.0,6278.0,29.0,2265.0,2294.0,0.0,0.0,0.0,313098.0,313098.0,0.0,66511141.0,761914.0,67273055.0,2006,JUL,3.0,2006-07-01
Madera,1023.0,0.0,0.0,4361.0,33.0,2.0,5384.0,33.0,2.0,2962.0,11216.0,14178.0,0.0,0.0,112.0,33.0,112.0,33.0,0.0,2.0,2.0,0.0,0.0,0.0,5810.0,5810.0,0.0,1367816.0,2326.0,1370142.0,2006,JUL,3.0,2006-07-01
Marin,473.0,2.0,0.0,1991.0,20.0,16.0,2464.0,22.0,16.0,1098.0,3271.0,4369.0,5.0,3.0,43.0,22.0,48.0,25.0,0.0,17.0,17.0,0.0,0.0,0.0,2480.0,2480.0,0.0,457699.0,4073.0,461772.0,2006,JUL,3.0,2006-07-01
Mariposa,79.0,0.0,0.0,300.0,0.0,0.0,379.0,0.0,0.0,220.0,623.0,843.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.0,416.0,0.0,83170.0,0.0,83170.0,2006,JUL,3.0,2006-07-01
Mendocino,745.0,1.0,0.0,2904.0,12.0,3.0,3649.0,13.0,3.0,1912.0,5486.0,7398.0,3.0,1.0,42.0,13.0,45.0,14.0,0.0,3.0,3.0,0.0,0.0,0.0,4093.0,4093.0,0.0,822600.0,1042.0,823642.0,2006,JUL,3.0,2006-07-01
Merced,4385.0,27.0,0.0,6209.0,44.0,5.0,10594.0,71.0,5.0,12257.0,17791.0,30048.0,80.0,27.0,155.0,48.0,235.0,75.0,0.0,6.0,6.0,0.0,0.0,0.0,11291.0,11291.0,0.0,2831063.0,6030.0,2837093.0,2006,JUL,3.0,2006-07-01
Modoc,100.0,0.0,0.0,200.0,0.0,0.0,300.0,0.0,0.0,293.0,454.0,747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,66017.0,0.0,66017.0,2006,JUL,3.0,2006-07-01
Mono,12.0,0.0,0.0,106.0,0.0,0.0,118.0,0.0,0.0,24.0,182.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,131.0,0.0,20165.0,0.0,20165.0,2006,JUL,3.0,2006-07-01
Monterey,1593.0,0.0,0.0,5404.0,61.0,7.0,6997.0,61.0,7.0,4341.0,12927.0,17268.0,0.0,0.0,211.0,65.0,211.0,65.0,0.0,12.0,12.0,0.0,0.0,0.0,7808.0,7808.0,0.0,1648572.0,2424.0,1650996.0,2006,JUL,3.0,2006-07-01
Napa,237.0,0.0,0.0,948.0,10.0,4.0,1185.0,10.0,4.0,609.0,2092.0,2701.0,0.0,0.0,29.0,12.0,29.0,12.0,0.0,4.0,4.0,0.0,0.0,0.0,1199.0,1199.0,0.0,267059.0,2152.0,269211.0,2006,JUL,3.0,2006-07-01
Nevada,271.0,0.0,0.0,819.0,0.0,0.0,1090.0,0.0,0.0,693.0,1702.0,2395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1195.0,1195.0,0.0,247969.0,0.0,247969.0,2006,JUL,3.0,2006-07-01
Orange,8879.0,83.0,2.0,20027.0,499.0,248.0,28906.0,582.0,250.0,23675.0,52408.0,76083.0,181.0,101.0,1337.0,631.0,1518.0,732.0,3.0,391.0,394.0,0.0,0.0,0.0,32793.0,32793.0,0.0,7255612.0,99962.0,7355574.0,2006,JUL,3.0,2006-07-01
Placer,911.0,11.0,0.0,1646.0,6.0,7.0,2557.0,17.0,7.0,2405.0,3608.0,6013.0,39.0,15.0,15.0,11.0,54.0,26.0,0.0,11.0,11.0,0.0,0.0,0.0,2901.0,2901.0,0.0,619861.0,3448.0,623309.0,2006,JUL,3.0,2006-07-01
Plumas,73.0,0.0,0.0,177.0,0.0,0.0,250.0,0.0,0.0,172.0,424.0,596.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,260.0,0.0,56169.0,0.0,56169.0,2006,JUL,3.0,2006-07-01
Riverside,11532.0,94.0,5.0,16276.0,266.0,75.0,27808.0,360.0,80.0,31639.0,47566.0,79205.0,259.0,99.0,920.0,295.0,1179.0,394.0,5.0,94.0,99.0,0.0,0.0,0.0,30633.0,30633.0,0.0,7556290.0,34523.0,7590813.0,2006,JUL,3.0,2006-07-01
Sacramento,16942.0,585.0,9.0,25183.0,426.0,197.0,42125.0,1011.0,206.0,45251.0,66994.0,112245.0,1456.0,919.0,1188.0,657.0,2644.0,1576.0,12.0,270.0,282.0,0.0,0.0,0.0,46630.0,46630.0,0.0,11710328.0,147752.0,11858080.0,2006,JUL,3.0,2006-07-01
San Benito,342.0,0.0,0.0,898.0,5.0,2.0,1240.0,5.0,2.0,969.0,2105.0,3074.0,0.0,0.0,15.0,7.0,15.0,7.0,0.0,3.0,3.0,0.0,0.0,0.0,1247.0,1247.0,0.0,300896.0,918.0,301814.0,2006,JUL,3.0,2006-07-01
