county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,quarter,fulldate
California,252257.0,3671.0,65.0,571766.0,8461.0,4234.0,824023.0,12132.0,4299.0,634020.0,1377691.0,2011711.0,8367.0,4507.0,23393.0,10143.0,31760.0,14650.0,92.0,5408.0,5500.0,0.0,0.0,0.0,924212.0,924212.0,0.0,217748901.8,1770192.2,219519094.0,2007,JUN,2.0,2007-06-01
Alameda,11338.0,207.0,4.0,20465.0,280.0,169.0,31803.0,487.0,173.0,27188.0,41671.0,68859.0,468.0,238.0,658.0,358.0,1126.0,596.0,4.0,209.0,213.0,0.0,0.0,0.0,32463.0,32463.0,0.0,7483502.0,79574.0,7563076.0,2007,JUN,2.0,2007-06-01
Alpine,5.0,0.0,0.0,34.0,0.0,0.0,39.0,0.0,0.0,15.0,71.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,39.0,0.0,7776.0,0.0,7776.0,2007,JUN,2.0,2007-06-01
Amador,144.0,0.0,0.0,420.0,1.0,0.0,564.0,1.0,0.0,358.0,841.0,1199.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611.0,611.0,0.0,130555.0,0.0,130555.0,2007,JUN,2.0,2007-06-01
Butte,1885.0,1.0,0.0,6042.0,11.0,9.0,7927.0,12.0,9.0,4964.0,13588.0,18552.0,1.0,1.0,37.0,15.0,38.0,16.0,0.0,13.0,13.0,0.0,0.0,0.0,8627.0,8627.0,0.0,1939008.0,2805.0,1941813.0,2007,JUN,2.0,2007-06-01
Calaveras,216.0,0.0,0.0,643.0,0.0,0.0,859.0,0.0,0.0,551.0,1348.0,1899.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,859.0,859.0,0.0,198156.0,0.0,198156.0,2007,JUN,2.0,2007-06-01
Colusa,77.0,0.0,0.0,380.0,4.0,3.0,457.0,4.0,3.0,227.0,986.0,1213.0,0.0,0.0,11.0,4.0,11.0,4.0,0.0,5.0,5.0,0.0,0.0,0.0,487.0,487.0,0.0,112931.0,882.0,113813.0,2007,JUN,2.0,2007-06-01
Contra Costa,5010.0,38.0,1.0,9042.0,83.0,48.0,14052.0,121.0,49.0,12078.0,20648.0,32726.0,76.0,50.0,233.0,106.0,309.0,156.0,1.0,60.0,61.0,0.0,0.0,0.0,16017.0,16017.0,0.0,3608793.0,20403.0,3629196.0,2007,JUN,2.0,2007-06-01
Del Norte,415.0,2.0,1.0,1306.0,1.0,2.0,1721.0,3.0,3.0,1194.0,2698.0,3892.0,5.0,2.0,1.0,1.0,6.0,3.0,2.0,3.0,5.0,0.0,0.0,0.0,1727.0,1727.0,0.0,406197.0,861.0,407058.0,2007,JUN,2.0,2007-06-01
El Dorado,484.0,0.0,0.0,1428.0,8.0,3.0,1912.0,8.0,3.0,1230.0,3021.0,4251.0,0.0,0.0,15.0,7.0,15.0,7.0,0.0,3.0,3.0,0.0,0.0,0.0,2197.0,2197.0,0.0,470675.0,832.0,471507.0,2007,JUN,2.0,2007-06-01
