county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,quarter,fulldate
California,251955.0,3703.0,52.0,565652.0,8647.0,4262.0,817607.0,12350.0,4314.0,632058.0,1366934.0,1998992.0,8431.0,4569.0,24093.0,10353.0,32524.0,14922.0,84.0,5518.0,5602.0,0.0,0.0,0.0,926689.0,926689.0,0.0,217627981.83,1848992.94,219476974.77,2007,MAR,1.0,2007-03-01
Alameda,11253.0,207.0,2.0,19789.0,239.0,159.0,31042.0,446.0,161.0,27085.0,40506.0,67591.0,458.0,242.0,583.0,315.0,1041.0,557.0,2.0,199.0,201.0,0.0,0.0,0.0,31649.0,31649.0,0.0,7375729.0,74495.0,7450224.0,2007,MAR,1.0,2007-03-01
Alpine,2.0,0.0,0.0,30.0,0.0,0.0,32.0,0.0,0.0,17.0,61.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,38.0,0.0,7429.0,0.0,7429.0,2007,MAR,1.0,2007-03-01
Amador,142.0,0.0,0.0,420.0,0.0,0.0,562.0,0.0,0.0,353.0,879.0,1232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598.0,598.0,0.0,131615.0,0.0,131615.0,2007,MAR,1.0,2007-03-01
Butte,1814.0,1.0,0.0,6013.0,7.0,10.0,7827.0,8.0,10.0,4739.0,13645.0,18384.0,1.0,1.0,27.0,9.0,28.0,10.0,0.0,14.0,14.0,0.0,0.0,0.0,8653.0,8653.0,0.0,1936793.0,2929.0,1939722.0,2007,MAR,1.0,2007-03-01
Calaveras,208.0,0.0,0.0,625.0,0.0,0.0,833.0,0.0,0.0,547.0,1311.0,1858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,833.0,833.0,0.0,197815.0,0.0,197815.0,2007,MAR,1.0,2007-03-01
Colusa,81.0,0.0,0.0,430.0,7.0,1.0,511.0,7.0,1.0,273.0,1122.0,1395.0,0.0,0.0,19.0,9.0,19.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,552.0,552.0,0.0,123208.0,545.0,123753.0,2007,MAR,1.0,2007-03-01
Contra Costa,5068.0,33.0,0.0,8817.0,89.0,50.0,13885.0,122.0,50.0,12213.0,20018.0,32231.0,71.0,41.0,257.0,114.0,328.0,155.0,0.0,63.0,63.0,0.0,0.0,0.0,16081.0,16081.0,0.0,3584486.0,22863.0,3607349.0,2007,MAR,1.0,2007-03-01
Del Norte,419.0,0.0,0.0,1297.0,4.0,1.0,1716.0,4.0,1.0,1197.0,2710.0,3907.0,0.0,0.0,8.0,4.0,8.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1721.0,1721.0,0.0,406227.0,658.0,406885.0,2007,MAR,1.0,2007-03-01
El Dorado,493.0,0.0,0.0,1432.0,6.0,6.0,1925.0,6.0,6.0,1256.0,3008.0,4264.0,0.0,0.0,12.0,7.0,12.0,7.0,0.0,8.0,8.0,0.0,0.0,0.0,2167.0,2167.0,0.0,472819.0,1307.0,474126.0,2007,MAR,1.0,2007-03-01
Fresno,15441.0,119.0,1.0,28381.0,360.0,28.0,43822.0,479.0,29.0,42681.0,79556.0,122237.0,366.0,143.0,1186.0,378.0,1552.0,521.0,1.0,50.0,51.0,0.0,0.0,0.0,50547.0,50547.0,0.0,13076268.0,46047.0,13122315.0,2007,MAR,1.0,2007-03-01
Glenn,197.0,0.0,0.0,651.0,2.0,0.0,848.0,2.0,0.0,526.0,1720.0,2246.0,0.0,0.0,6.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,912.0,912.0,0.0,216952.0,152.0,217104.0,2007,MAR,1.0,2007-03-01
Humboldt,1108.0,0.0,0.0,3751.0,10.0,2.0,4859.0,10.0,2.0,2880.0,7476.0,10356.0,0.0,0.0,23.0,11.0,23.0,11.0,0.0,4.0,4.0,0.0,0.0,0.0,5490.0,5490.0,0.0,1130828.0,1485.0,1132313.0,2007,MAR,1.0,2007-03-01
Imperial,1505.0,0.0,0.0,4790.0,99.0,13.0,6295.0,99.0,13.0,4458.0,12826.0,17284.0,0.0,0.0,284.0,102.0,284.0,102.0,0.0,13.0,13.0,0.0,0.0,0.0,6407.0,6407.0,0.0,1814323.0,6621.0,1820944.0,2007,MAR,1.0,2007-03-01
Inyo,78.0,0.0,0.0,382.0,0.0,0.0,460.0,0.0,0.0,235.0,756.0,991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483.0,483.0,0.0,97650.0,0.0,97650.0,2007,MAR,1.0,2007-03-01
Kern,5895.0,5.0,0.0,22782.0,246.0,71.0,28677.0,251.0,71.0,16448.0,63187.0,79635.0,15.0,5.0,722.0,261.0,737.0,266.0,0.0,121.0,121.0,0.0,0.0,0.0,31018.0,31018.0,0.0,8173076.0,36696.0,8209772.0,2007,MAR,1.0,2007-03-01
Kings,1000.0,2.0,0.0,4411.0,36.0,26.0,5411.0,38.0,26.0,2759.0,10961.0,13720.0,8.0,2.0,83.0,39.0,91.0,41.0,0.0,26.0,26.0,0.0,0.0,0.0,5960.0,5960.0,0.0,1377577.0,4658.0,1382235.0,2007,MAR,1.0,2007-03-01
Lake,874.0,0.0,0.0,1433.0,5.0,1.0,2307.0,5.0,1.0,1646.0,3734.0,5380.0,0.0,0.0,16.0,5.0,16.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,2517.0,2517.0,0.0,555905.0,624.0,556529.0,2007,MAR,1.0,2007-03-01
Lassen,269.0,0.0,0.0,637.0,0.0,1.0,906.0,0.0,1.0,757.0,1454.0,2211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1000.0,1000.0,0.0,230337.0,155.0,230492.0,2007,MAR,1.0,2007-03-01
Los Angeles,72969.0,1655.0,23.0,193572.0,3452.0,1697.0,266541.0,5107.0,1720.0,164042.0,442606.0,606648.0,3410.0,1994.0,9537.0,4117.0,12947.0,6111.0,36.0,2080.0,2116.0,0.0,0.0,0.0,307866.0,307866.0,0.0,69651320.0,748772.0,70400092.0,2007,MAR,1.0,2007-03-01
Madera,993.0,0.0,0.0,4557.0,25.0,3.0,5550.0,25.0,3.0,2857.0,11859.0,14716.0,0.0,0.0,78.0,26.0,78.0,26.0,0.0,3.0,3.0,0.0,0.0,0.0,6016.0,6016.0,0.0,1514529.0,2709.0,1517238.0,2007,MAR,1.0,2007-03-01
Marin,435.0,2.0,0.0,2037.0,31.0,69.0,2472.0,33.0,69.0,1014.0,3350.0,4364.0,4.0,2.0,73.0,33.0,77.0,35.0,0.0,69.0,69.0,0.0,0.0,0.0,2755.0,2755.0,0.0,497871.0,5952.0,503823.0,2007,MAR,1.0,2007-03-01
