county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,total_households,big_six,quarter,fulldate
California,253309.0,3597.0,85.0,546630.0,8157.0,4095.0,799939.0,11754.0,4180.0,638637.0,1332453.0,1971090.0,8245.0,4529.0,22892.0,9901.0,31137.0,14430.0,204.0,5432.0,5636.0,0.0,0.0,0.0,918927.0,918927.0,0.0,211610134.73,1836895.76,213447030.49,2006,NOV,815873.0,0,4.0,2006-11-01
Los Angeles,75778.0,1712.0,17.0,190806.0,3521.0,1633.0,266584.0,5233.0,1650.0,171233.0,438733.0,609966.0,3525.0,2037.0,9757.0,4171.0,13282.0,6208.0,23.0,1986.0,2009.0,0.0,0.0,0.0,319539.0,319539.0,0.0,69422165.0,768501.0,70190666.0,2006,NOV,273467.0,1,4.0,2006-11-01
San Bernardino,17733.0,148.0,2.0,29865.0,472.0,204.0,47598.0,620.0,206.0,48806.0,87499.0,136305.0,413.0,152.0,1368.0,530.0,1781.0,682.0,3.0,264.0,267.0,0.0,0.0,0.0,53701.0,53701.0,0.0,14223281.0,82485.0,14305766.0,2006,NOV,48424.0,1,4.0,2006-11-01
Sacramento,16334.0,579.0,7.0,27420.0,456.0,193.0,43754.0,1035.0,200.0,43064.0,70923.0,113987.0,1453.0,896.0,1244.0,703.0,2697.0,1599.0,9.0,261.0,270.0,0.0,0.0,0.0,51219.0,51219.0,0.0,12642267.0,159590.0,12801857.0,2006,NOV,44989.0,1,4.0,2006-11-01
Fresno,14813.0,82.0,9.0,27106.0,203.0,11.0,41919.0,285.0,20.0,42417.0,79715.0,122132.0,283.0,82.0,711.0,210.0,994.0,292.0,29.0,13.0,42.0,0.0,0.0,0.0,48276.0,48276.0,0.0,12360034.0,17799.0,12377833.0,2006,NOV,42224.0,1,4.0,2006-11-01
San Diego,14251.0,179.0,29.0,18203.0,334.0,188.0,32454.0,513.0,217.0,38275.0,47870.0,86145.0,412.0,296.0,853.0,458.0,1265.0,754.0,108.0,402.0,510.0,0.0,0.0,0.0,38435.0,38435.0,0.0,8951665.0,133155.0,9084820.0,2006,NOV,33184.0,1,4.0,2006-11-01
Alameda,11322.0,185.0,4.0,19222.0,234.0,152.0,30544.0,419.0,156.0,27443.0,39865.0,67308.0,399.0,219.0,569.0,300.0,968.0,519.0,9.0,205.0,214.0,0.0,0.0,0.0,31119.0,31119.0,0.0,7306750.0,71662.0,7378412.0,2006,NOV,31119.0,1,4.0,2006-11-01
Orange,8651.0,85.0,2.0,21091.0,508.0,256.0,29742.0,593.0,258.0,22729.0,55013.0,77742.0,199.0,94.0,1354.0,626.0,1553.0,720.0,2.0,337.0,339.0,0.0,0.0,0.0,34335.0,34335.0,0.0,7884515.0,93199.0,7977714.0,2006,NOV,30593.0,0,4.0,2006-11-01
Riverside,11527.0,117.0,3.0,17594.0,271.0,70.0,29121.0,388.0,73.0,31523.0,51460.0,82983.0,337.0,127.0,908.0,304.0,1245.0,431.0,3.0,89.0,92.0,0.0,0.0,0.0,32011.0,32011.0,0.0,8388987.0,38837.0,8427824.0,2006,NOV,29582.0,0,4.0,2006-11-01
Kern,6320.0,8.0,0.0,21355.0,178.0,58.0,27675.0,186.0,58.0,17682.0,59006.0,76688.0,16.0,8.0,534.0,190.0,550.0,198.0,0.0,71.0,71.0,0.0,0.0,0.0,29812.0,29812.0,0.0,7776345.0,31607.0,7807952.0,2006,NOV,27919.0,0,4.0,2006-11-01
