county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,quarter,fulldate
California,249856.0,3619.0,54.0,588300.0,8474.0,4217.0,838156.0,12093.0,4271.0,628234.0,1408875.0,2037109.0,8340.0,4454.0,23048.0,10143.0,31388.0,14597.0,70.0,5351.0,5421.0,0.0,0.0,0.0,955181.0,955181.0,0.0,222116958.58,1783522.0,223900480.58,2007,AUG,3.0,2007-08-01
Alameda,11285.0,194.0,2.0,21249.0,304.0,178.0,32534.0,498.0,180.0,26906.0,42748.0,69654.0,454.0,222.0,693.0,373.0,1147.0,595.0,3.0,224.0,227.0,0.0,0.0,0.0,33212.0,33212.0,0.0,7533406.0,80258.0,7613664.0,2007,AUG,3.0,2007-08-01
Alpine,4.0,0.0,0.0,37.0,0.0,0.0,41.0,0.0,0.0,12.0,87.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,0.0,8460.0,0.0,8460.0,2007,AUG,3.0,2007-08-01
Amador,144.0,0.0,0.0,470.0,0.0,0.0,614.0,0.0,0.0,352.0,937.0,1289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694.0,694.0,0.0,143831.0,0.0,143831.0,2007,AUG,3.0,2007-08-01
Butte,1804.0,2.0,0.0,6234.0,12.0,12.0,8038.0,14.0,12.0,4655.0,14077.0,18732.0,2.0,2.0,47.0,19.0,49.0,21.0,0.0,14.0,14.0,0.0,0.0,0.0,8908.0,8908.0,0.0,1967960.13,3546.0,1971506.13,2007,AUG,3.0,2007-08-01
Calaveras,218.0,0.0,0.0,670.0,0.0,0.0,888.0,0.0,0.0,544.0,1361.0,1905.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,888.0,888.0,0.0,201648.0,0.0,201648.0,2007,AUG,3.0,2007-08-01
Colusa,67.0,0.0,0.0,372.0,7.0,3.0,439.0,7.0,3.0,191.0,979.0,1170.0,0.0,0.0,17.0,7.0,17.0,7.0,0.0,4.0,4.0,0.0,0.0,0.0,482.0,482.0,0.0,109405.0,700.0,110105.0,2007,AUG,3.0,2007-08-01
Contra Costa,5078.0,37.0,2.0,9519.0,91.0,40.0,14597.0,128.0,42.0,11912.0,21483.0,33395.0,74.0,46.0,237.0,114.0,311.0,160.0,2.0,49.0,51.0,0.0,0.0,0.0,17109.0,17109.0,0.0,3743663.0,18395.0,3762058.0,2007,AUG,3.0,2007-08-01
Del Norte,408.0,2.0,0.0,1333.0,2.0,6.0,1741.0,4.0,6.0,1142.0,2739.0,3881.0,5.0,2.0,3.0,2.0,8.0,4.0,0.0,7.0,7.0,0.0,0.0,0.0,1751.0,1751.0,0.0,402694.35,1159.0,403853.35,2007,AUG,3.0,2007-08-01
El Dorado,438.0,0.0,0.0,1512.0,7.0,3.0,1950.0,7.0,3.0,1120.0,3252.0,4372.0,0.0,0.0,18.0,7.0,18.0,7.0,0.0,4.0,4.0,0.0,0.0,0.0,2175.0,2175.0,0.0,472259.0,899.0,473158.0,2007,AUG,3.0,2007-08-01
Fresno,14806.0,114.0,0.0,30187.0,316.0,33.0,44993.0,430.0,33.0,40613.0,82805.0,123418.0,334.0,132.0,981.0,341.0,1315.0,473.0,0.0,37.0,37.0,0.0,0.0,0.0,50810.0,50810.0,0.0,13151723.0,35044.0,13186767.0,2007,AUG,3.0,2007-08-01
Glenn,210.0,0.0,0.0,637.0,2.0,0.0,847.0,2.0,0.0,587.0,1631.0,2218.0,0.0,0.0,6.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,921.0,921.0,0.0,215458.0,223.0,215681.0,2007,AUG,3.0,2007-08-01
Humboldt,1047.0,1.0,0.0,3687.0,5.0,2.0,4734.0,6.0,2.0,2718.0,7428.0,10146.0,2.0,2.0,11.0,7.0,13.0,9.0,0.0,3.0,3.0,0.0,0.0,0.0,5303.0,5303.0,0.0,1098954.0,828.0,1099782.0,2007,AUG,3.0,2007-08-01
Imperial,1626.0,2.0,0.0,5314.0,116.0,22.0,6940.0,118.0,22.0,4942.0,14162.0,19104.0,4.0,2.0,339.0,121.0,343.0,123.0,0.0,26.0,26.0,0.0,0.0,0.0,7080.0,7080.0,0.0,2002575.0,9362.0,2011937.0,2007,AUG,3.0,2007-08-01
Inyo,66.0,0.0,0.0,397.0,0.0,0.0,463.0,0.0,0.0,191.0,814.0,1005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487.0,487.0,0.0,101419.0,0.0,101419.0,2007,AUG,3.0,2007-08-01
Kern,6024.0,4.0,0.0,23048.0,162.0,61.0,29072.0,166.0,61.0,16784.0,63122.0,79906.0,10.0,4.0,472.0,174.0,482.0,178.0,0.0,79.0,79.0,0.0,0.0,0.0,31573.0,31573.0,0.0,8156854.0,28910.0,8185764.0,2007,AUG,3.0,2007-08-01
Kings,999.0,1.0,1.0,4297.0,40.0,29.0,5296.0,41.0,30.0,2801.0,10673.0,13474.0,3.0,1.0,110.0,43.0,113.0,44.0,1.0,29.0,30.0,0.0,0.0,0.0,5815.0,5815.0,0.0,1341883.0,6011.0,1347894.0,2007,AUG,3.0,2007-08-01
Lake,852.0,0.0,0.0,1545.0,2.0,1.0,2397.0,2.0,1.0,1471.0,3926.0,5397.0,0.0,0.0,5.0,2.0,5.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2578.0,2578.0,0.0,567705.0,404.0,568109.0,2007,AUG,3.0,2007-08-01
Lassen,249.0,0.0,0.0,636.0,0.0,1.0,885.0,0.0,1.0,695.0,1453.0,2148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,976.0,976.0,0.0,228099.0,155.0,228254.0,2007,AUG,3.0,2007-08-01
Los Angeles,71940.0,1572.0,25.0,197415.0,3452.0,1687.0,269355.0,5024.0,1712.0,163006.0,445184.0,608190.0,3272.0,1891.0,9319.0,4138.0,12591.0,6029.0,31.0,2046.0,2077.0,0.0,0.0,0.0,318867.0,318867.0,0.0,70495016.0,783277.0,71278293.0,2007,AUG,3.0,2007-08-01
Madera,943.0,1.0,0.0,4563.0,19.0,4.0,5506.0,20.0,4.0,2761.0,11830.0,14591.0,1.0,1.0,70.0,20.0,71.0,21.0,0.0,4.0,4.0,0.0,0.0,0.0,6064.0,6064.0,0.0,1494714.0,1683.0,1496397.0,2007,AUG,3.0,2007-08-01
Marin,416.0,0.0,0.0,2035.0,34.0,64.0,2451.0,34.0,64.0,975.0,3331.0,4306.0,0.0,0.0,85.0,36.0,85.0,36.0,0.0,64.0,64.0,0.0,0.0,0.0,2720.0,2720.0,0.0,488710.0,7736.0,496446.0,2007,AUG,3.0,2007-08-01
Mariposa,81.0,0.0,0.0,282.0,0.0,0.0,363.0,0.0,0.0,223.0,594.0,817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.0,403.0,0.0,87088.0,0.0,87088.0,2007,AUG,3.0,2007-08-01
Mendocino,704.0,0.0,0.0,3061.0,10.0,3.0,3765.0,10.0,3.0,1841.0,5454.0,7295.0,0.0,0.0,30.0,14.0,30.0,14.0,0.0,4.0,4.0,0.0,0.0,0.0,4245.0,4245.0,0.0,866007.0,1415.0,867422.0,2007,AUG,3.0,2007-08-01
Merced,4259.0,22.0,0.0,6929.0,28.0,5.0,11188.0,50.0,5.0,11811.0,19115.0,30926.0,55.0,22.0,92.0,29.0,147.0,51.0,0.0,6.0,6.0,0.0,0.0,0.0,11943.0,11943.0,0.0,3117329.0,4211.0,3121540.0,2007,AUG,3.0,2007-08-01
Modoc,65.0,0.0,0.0,197.0,1.0,0.0,262.0,1.0,0.0,181.0,482.0,663.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,262.0,0.0,67985.0,40.0,68025.0,2007,AUG,3.0,2007-08-01
Mono,14.0,0.0,0.0,110.0,0.0,0.0,124.0,0.0,0.0,32.0,218.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,132.0,0.0,28622.0,0.0,28622.0,2007,AUG,3.0,2007-08-01
Monterey,1524.0,0.0,0.0,5831.0,30.0,8.0,7355.0,30.0,8.0,4223.0,13793.0,18016.0,0.0,0.0,111.0,31.0,111.0,31.0,0.0,8.0,8.0,0.0,0.0,0.0,7393.0,7393.0,0.0,1828550.0,2726.0,1831276.0,2007,AUG,3.0,2007-08-01
Napa,231.0,0.0,0.0,940.0,2.0,3.0,1171.0,2.0,3.0,599.0,2132.0,2731.0,0.0,0.0,6.0,2.0,6.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,1306.0,1306.0,0.0,279642.0,695.0,280337.0,2007,AUG,3.0,2007-08-01
Nevada,313.0,0.0,0.0,994.0,0.0,0.0,1307.0,0.0,0.0,804.0,2010.0,2814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1463.0,1463.0,0.0,309937.0,0.0,309937.0,2007,AUG,3.0,2007-08-01
Orange,8550.0,98.0,0.0,22254.0,529.0,235.0,30804.0,627.0,235.0,22341.0,56897.0,79238.0,214.0,113.0,1323.0,693.0,1537.0,806.0,0.0,303.0,303.0,0.0,0.0,0.0,35312.0,35312.0,0.0,8100590.0,84887.0,8185477.0,2007,AUG,3.0,2007-08-01
Placer,917.0,16.0,0.0,2209.0,16.0,10.0,3126.0,32.0,10.0,2436.0,5178.0,7614.0,33.0,21.0,57.0,24.0,90.0,45.0,0.0,13.0,13.0,0.0,0.0,0.0,3551.0,3551.0,0.0,806877.0,4113.0,810990.0,2007,AUG,3.0,2007-08-01
Plumas,84.0,0.0,0.0,206.0,0.0,0.0,290.0,0.0,0.0,219.0,484.0,703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,300.0,0.0,68228.0,0.0,68228.0,2007,AUG,3.0,2007-08-01
Riverside,12277.0,103.0,4.0,20116.0,312.0,83.0,32393.0,415.0,87.0,34048.0,57971.0,92019.0,309.0,111.0,955.0,356.0,1264.0,467.0,4.0,108.0,112.0,0.0,0.0,0.0,35639.0,35639.0,0.0,9319975.0,45657.0,9365632.0,2007,AUG,3.0,2007-08-01
Sacramento,15998.0,580.0,2.0,29985.0,478.0,199.0,45983.0,1058.0,201.0,41516.0,75212.0,116728.0,1416.0,902.0,1328.0,710.0,2744.0,1612.0,3.0,272.0,275.0,0.0,0.0,0.0,51831.0,51831.0,0.0,13184061.0,144232.0,13328293.0,2007,AUG,3.0,2007-08-01
San Benito,288.0,0.0,0.0,1087.0,6.0,1.0,1375.0,6.0,1.0,858.0,2433.0,3291.0,0.0,0.0,19.0,6.0,19.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,1383.0,1383.0,0.0,350130.0,637.0,350767.0,2007,AUG,3.0,2007-08-01
San Bernardino,18946.0,161.0,5.0,33376.0,459.0,230.0,52322.0,620.0,235.0,52319.0,95771.0,148090.0,434.0,169.0,1397.0,514.0,1831.0,683.0,6.0,306.0,312.0,0.0,0.0,0.0,59118.0,59118.0,0.0,15528470.0,93346.0,15621816.0,2007,AUG,3.0,2007-08-01
San Diego,14509.0,234.0,5.0,20883.0,371.0,166.0,35392.0,605.0,171.0,38790.0,54075.0,92865.0,617.0,269.0,1032.0,436.0,1649.0,705.0,5.0,218.0,223.0,0.0,0.0,0.0,41399.0,41399.0,0.0,9905969.0,77332.0,9983301.0,2007,AUG,3.0,2007-08-01
San Francisco,2954.0,72.0,0.0,15886.0,225.0,314.0,18840.0,297.0,314.0,6741.0,22753.0,29494.0,141.0,84.0,462.0,292.0,603.0,376.0,0.0,425.0,425.0,0.0,0.0,0.0,21275.0,21275.0,0.0,3426152.0,76841.0,3502993.0,2007,AUG,3.0,2007-08-01
San Joaquin,5959.0,6.0,0.0,15129.0,226.0,74.0,21088.0,232.0,74.0,16504.0,40988.0,57492.0,23.0,6.0,467.0,226.0,490.0,232.0,0.0,98.0,98.0,0.0,0.0,0.0,23244.0,23244.0,0.0,6075615.0,13205.0,6088820.0,2007,AUG,3.0,2007-08-01
San Luis Obispo,1077.0,6.0,0.0,2745.0,18.0,9.0,3822.0,24.0,9.0,2554.0,5584.0,8138.0,12.0,6.0,53.0,18.0,65.0,24.0,0.0,10.0,10.0,0.0,0.0,0.0,4652.0,4652.0,0.0,853561.0,2337.0,855898.0,2007,AUG,3.0,2007-08-01
San Mateo,1297.0,21.0,0.0,2575.0,49.0,12.0,3872.0,70.0,12.0,3045.0,5275.0,8320.0,49.0,23.0,149.0,52.0,198.0,75.0,0.0,16.0,16.0,0.0,0.0,0.0,4602.0,4602.0,0.0,925607.0,8486.0,934093.0,2007,AUG,3.0,2007-08-01
Santa Barbara,3229.0,22.0,0.0,4319.0,40.0,5.0,7548.0,62.0,5.0,6068.0,11843.0,17911.0,59.0,21.0,116.0,42.0,175.0,63.0,0.0,5.0,5.0,0.0,0.0,0.0,8443.0,8443.0,0.0,1829146.0,4148.0,1833294.0,2007,AUG,3.0,2007-08-01
Santa Clara,8279.0,119.0,2.0,16987.0,325.0,411.0,25266.0,444.0,413.0,20477.0,38836.0,59313.0,258.0,144.0,707.0,444.0,965.0,588.0,2.0,564.0,566.0,0.0,0.0,0.0,29116.0,29116.0,0.0,6298895.0,114124.0,6413019.0,2007,AUG,3.0,2007-08-01
Santa Cruz,1370.0,7.0,0.0,4139.0,51.0,8.0,5509.0,58.0,8.0,3161.0,8287.0,11448.0,18.0,7.0,155.0,53.0,173.0,60.0,0.0,10.0,10.0,0.0,0.0,0.0,6306.0,6306.0,0.0,1239592.0,4840.0,1244432.0,2007,AUG,3.0,2007-08-01
Shasta,1471.0,0.0,0.0,4627.0,4.0,3.0,6098.0,4.0,3.0,3651.0,10331.0,13982.0,0.0,0.0,11.0,6.0,11.0,6.0,0.0,4.0,4.0,0.0,0.0,0.0,6836.0,6836.0,0.0,1461927.0,916.0,1462843.0,2007,AUG,3.0,2007-08-01
Sierra,14.0,0.0,0.0,60.0,0.0,0.0,74.0,0.0,0.0,36.0,113.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,82.0,0.0,15993.0,0.0,15993.0,2007,AUG,3.0,2007-08-01
Siskiyou,470.0,0.0,0.0,1183.0,7.0,3.0,1653.0,7.0,3.0,1291.0,2587.0,3878.0,0.0,0.0,22.0,7.0,22.0,7.0,0.0,5.0,5.0,0.0,0.0,0.0,1860.0,1860.0,0.0,407085.0,1198.0,408283.0,2007,AUG,3.0,2007-08-01
Solano,3391.0,38.0,0.0,5472.0,53.0,28.0,8863.0,91.0,28.0,8462.0,12203.0,20665.0,101.0,39.0,140.0,59.0,241.0,98.0,0.0,36.0,36.0,0.0,0.0,0.0,10417.0,10417.0,0.0,2267272.0,11992.0,2279264.0,2007,AUG,3.0,2007-08-01
Sonoma,1879.0,10.0,0.0,4934.0,39.0,27.0,6813.0,49.0,27.0,4314.0,9443.0,13757.0,23.0,13.0,101.0,42.0,124.0,55.0,0.0,33.0,33.0,0.0,0.0,0.0,7619.0,7619.0,0.0,1519343.0,8144.0,1527487.0,2007,AUG,3.0,2007-08-01
Stanislaus,5911.0,31.0,3.0,10886.0,72.0,12.0,16797.0,103.0,15.0,15183.0,27355.0,42538.0,69.0,34.0,223.0,85.0,292.0,119.0,3.0,15.0,18.0,0.0,0.0,0.0,18331.0,18331.0,0.0,4509054.0,9862.0,4518916.0,2007,AUG,3.0,2007-08-01
Sutter,560.0,0.0,0.0,1651.0,9.0,3.0,2211.0,9.0,3.0,1698.0,4727.0,6425.0,0.0,0.0,32.0,12.0,32.0,12.0,0.0,4.0,4.0,0.0,0.0,0.0,2691.0,2691.0,0.0,658650.0,1040.0,659690.0,2007,AUG,3.0,2007-08-01
Tehama,586.0,2.0,0.0,1729.0,12.0,4.0,2315.0,14.0,4.0,1525.0,4157.0,5682.0,9.0,2.0,34.0,15.0,43.0,17.0,0.0,5.0,5.0,0.0,0.0,0.0,2561.0,2561.0,0.0,595531.0,1858.0,597389.0,2007,AUG,3.0,2007-08-01
Trinity,86.0,0.0,0.0,358.0,0.0,0.0,444.0,0.0,0.0,218.0,851.0,1069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.0,444.0,0.0,111517.0,0.0,111517.0,2007,AUG,3.0,2007-08-01
Tulare,7947.0,74.0,0.0,16341.0,343.0,77.0,24288.0,417.0,77.0,20973.0,41668.0,62641.0,165.0,76.0,1101.0,355.0,1266.0,431.0,0.0,97.0,97.0,0.0,0.0,0.0,27918.0,27918.0,0.0,6635913.0,42625.0,6678538.0,2007,AUG,3.0,2007-08-01
Tuolumne,467.0,0.0,0.0,828.0,0.0,0.0,1295.0,0.0,0.0,1269.0,1797.0,3066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1442.0,1442.0,0.0,295915.0,0.0,295915.0,2007,AUG,3.0,2007-08-01
Ventura,3549.0,33.0,1.0,9464.0,136.0,97.0,13013.0,169.0,98.0,9220.0,21368.0,30588.0,85.0,40.0,364.0,147.0,449.0,187.0,4.0,121.0,125.0,0.0,0.0,0.0,14900.0,14900.0,0.0,3278464.0,27449.0,3305913.0,2007,AUG,3.0,2007-08-01
Yolo,1213.0,34.0,2.0,2761.0,43.0,34.0,3974.0,77.0,36.0,3042.0,6403.0,9445.0,89.0,47.0,121.0,55.0,210.0,102.0,6.0,49.0,55.0,0.0,0.0,0.0,4623.0,4623.0,0.0,1044604.0,14294.0,1058898.0,2007,AUG,3.0,2007-08-01
Yuba,763.0,0.0,0.0,2609.0,9.0,7.0,3372.0,9.0,7.0,2183.0,6465.0,8648.0,0.0,0.0,25.0,11.0,25.0,11.0,0.0,18.0,18.0,0.0,0.0,0.0,3684.0,3684.0,0.0,891226.1,2282.0,893508.1,2007,AUG,3.0,2007-08-01
