county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,quarter,fulldate
California,250976.0,3636.0,59.0,588462.0,8450.0,4217.0,839438.0,12086.0,4276.0,632671.0,1408554.0,2041225.0,8275.0,4479.0,23024.0,10146.0,31299.0,14625.0,78.0,5331.0,5409.0,0.0,0.0,0.0,938416.0,938416.0,0.0,221424611.3,1749137.32,223173748.62,2007,SEP,3.0,2007-09-01
Alameda,11075.0,195.0,2.0,21408.0,309.0,178.0,32483.0,504.0,180.0,26451.0,43486.0,69937.0,450.0,221.0,731.0,378.0,1181.0,599.0,2.0,225.0,227.0,0.0,0.0,0.0,33167.0,33167.0,0.0,7561516.0,80553.0,7642069.0,2007,SEP,3.0,2007-09-01
Alpine,4.0,0.0,0.0,38.0,0.0,0.0,42.0,0.0,0.0,12.0,83.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,0.0,8143.0,0.0,8143.0,2007,SEP,3.0,2007-09-01
Amador,151.0,0.0,0.0,471.0,0.0,0.0,622.0,0.0,0.0,384.0,913.0,1297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664.0,664.0,0.0,140297.0,0.0,140297.0,2007,SEP,3.0,2007-09-01
Butte,1811.0,1.0,0.0,6224.0,12.0,17.0,8035.0,13.0,17.0,4664.0,14075.0,18739.0,1.0,1.0,40.0,18.0,41.0,19.0,0.0,17.0,17.0,0.0,0.0,0.0,8673.0,8673.0,0.0,1957140.0,3815.0,1960955.0,2007,SEP,3.0,2007-09-01
Calaveras,223.0,0.0,0.0,698.0,0.0,0.0,921.0,0.0,0.0,567.0,1458.0,2025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,921.0,921.0,0.0,216975.0,0.0,216975.0,2007,SEP,3.0,2007-09-01
Colusa,69.0,0.0,0.0,366.0,7.0,3.0,435.0,7.0,3.0,185.0,958.0,1143.0,0.0,0.0,27.0,9.0,27.0,9.0,0.0,4.0,4.0,0.0,0.0,0.0,478.0,478.0,0.0,108577.0,837.0,109414.0,2007,SEP,3.0,2007-09-01
Contra Costa,5048.0,42.0,2.0,9418.0,89.0,44.0,14466.0,131.0,46.0,12065.0,21506.0,33571.0,87.0,51.0,231.0,117.0,318.0,168.0,2.0,51.0,53.0,0.0,0.0,0.0,16368.0,16368.0,0.0,3699444.0,18587.0,3718031.0,2007,SEP,3.0,2007-09-01
Del Norte,414.0,0.0,0.0,1309.0,2.0,4.0,1723.0,2.0,4.0,1174.0,2703.0,3877.0,0.0,0.0,5.0,2.0,5.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,1729.0,1729.0,0.0,399993.62,997.0,400990.62,2007,SEP,3.0,2007-09-01
El Dorado,456.0,0.0,0.0,1524.0,11.0,3.0,1980.0,11.0,3.0,1163.0,3251.0,4414.0,0.0,0.0,24.0,11.0,24.0,11.0,0.0,4.0,4.0,0.0,0.0,0.0,2170.0,2170.0,0.0,475939.0,1230.0,477169.0,2007,SEP,3.0,2007-09-01
Fresno,14892.0,113.0,0.0,30308.0,290.0,27.0,45200.0,403.0,27.0,41094.0,83029.0,124123.0,315.0,124.0,911.0,314.0,1226.0,438.0,0.0,35.0,35.0,0.0,0.0,0.0,50437.0,50437.0,0.0,13154152.0,31839.0,13185991.0,2007,SEP,3.0,2007-09-01
Glenn,204.0,0.0,0.0,626.0,2.0,0.0,830.0,2.0,0.0,564.0,1610.0,2174.0,0.0,0.0,6.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,891.0,891.0,0.0,210065.0,193.0,210258.0,2007,SEP,3.0,2007-09-01
Humboldt,1055.0,1.0,0.0,3630.0,5.0,3.0,4685.0,6.0,3.0,2715.0,7303.0,10018.0,2.0,2.0,8.0,5.0,10.0,7.0,0.0,5.0,5.0,0.0,0.0,0.0,5151.0,5151.0,0.0,1071754.0,1237.0,1072991.0,2007,SEP,3.0,2007-09-01
Imperial,1597.0,3.0,0.0,5289.0,119.0,21.0,6886.0,122.0,21.0,4823.0,13991.0,18814.0,12.0,3.0,348.0,124.0,360.0,127.0,0.0,26.0,26.0,0.0,0.0,0.0,7029.0,7029.0,0.0,2028579.0,10071.0,2038650.0,2007,SEP,3.0,2007-09-01
Inyo,68.0,0.0,0.0,393.0,0.0,0.0,461.0,0.0,0.0,202.0,794.0,996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473.0,473.0,0.0,98664.0,0.0,98664.0,2007,SEP,3.0,2007-09-01
