county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,total_households,quarter,fulldate
California,270502.0,4149.0,52.0,729685.0,11084.0,4757.0,1000187.0,15233.0,4809.0,685288.0,1708202.0,2393490.0,9572.0,5168.0,30677.0,13322.0,40249.0,18490.0,71.0,6066.0,6137.0,0.0,0.0,0.0,1120930.0,1120930.0,0.0,306577309.55,2558873.05,309136182.6,2008,NOV,1020229.0,4.0,2008-11-01
Alameda,10711.0,279.0,2.0,25891.0,420.0,222.0,36602.0,699.0,224.0,25123.0,52669.0,77792.0,628.0,331.0,1051.0,519.0,1679.0,850.0,2.0,291.0,293.0,0.0,0.0,0.0,37525.0,37525.0,0.0,10273763.0,127205.0,10400968.0,2008,NOV,37525.0,4.0,2008-11-01
Alpine,6.0,0.0,0.0,36.0,0.0,0.0,42.0,0.0,0.0,13.0,97.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,0.0,11650.0,0.0,11650.0,2008,NOV,42.0,4.0,2008-11-01
Amador,157.0,0.0,0.0,671.0,2.0,0.0,828.0,2.0,0.0,438.0,1328.0,1766.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,876.0,876.0,0.0,223542.0,0.0,223542.0,2008,NOV,830.0,4.0,2008-11-01
Butte,1751.0,0.0,1.0,7429.0,26.0,14.0,9180.0,26.0,15.0,4414.0,16034.0,20448.0,0.0,0.0,87.0,34.0,87.0,34.0,1.0,15.0,16.0,0.0,0.0,0.0,9828.0,9828.0,0.0,2548479.0,5945.0,2554424.0,2008,NOV,9221.0,4.0,2008-11-01
Calaveras,283.0,0.0,0.0,965.0,0.0,0.0,1248.0,0.0,0.0,762.0,1981.0,2743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1248.0,1248.0,0.0,338851.0,0.0,338851.0,2008,NOV,1248.0,4.0,2008-11-01
Colusa,73.0,2.0,0.0,409.0,10.0,2.0,482.0,12.0,2.0,211.0,1108.0,1319.0,5.0,2.0,34.0,12.0,39.0,14.0,0.0,2.0,2.0,0.0,0.0,0.0,542.0,542.0,0.0,149947.0,832.0,150779.0,2008,NOV,496.0,4.0,2008-11-01
Contra Costa,5587.0,62.0,0.0,12173.0,127.0,37.0,17760.0,189.0,37.0,13623.0,26339.0,39962.0,148.0,72.0,364.0,149.0,512.0,221.0,0.0,41.0,41.0,0.0,0.0,0.0,19981.0,19981.0,0.0,5197362.63,28706.97,5226069.6,2008,NOV,17986.0,4.0,2008-11-01
Del Norte,432.0,1.0,0.0,1534.0,4.0,0.0,1966.0,5.0,0.0,1219.0,3085.0,4304.0,1.0,1.0,13.0,4.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1971.0,1971.0,0.0,534447.0,425.0,534872.0,2008,NOV,1971.0,4.0,2008-11-01
El Dorado,507.0,0.0,0.0,2180.0,7.0,5.0,2687.0,7.0,5.0,1363.0,4471.0,5834.0,0.0,0.0,20.0,9.0,20.0,9.0,0.0,6.0,6.0,0.0,0.0,0.0,2881.0,2881.0,0.0,741666.0,1674.0,743340.0,2008,NOV,2699.0,4.0,2008-11-01
Fresno,16461.0,93.0,0.0,40683.0,397.0,66.0,57144.0,490.0,66.0,45229.0,105375.0,150604.0,240.0,108.0,1217.0,439.0,1457.0,547.0,0.0,79.0,79.0,0.0,0.0,0.0,63774.0,63774.0,0.0,18868915.0,63051.0,18931966.0,2008,NOV,57700.0,4.0,2008-11-01
Glenn,229.0,0.0,0.0,710.0,3.0,0.0,939.0,3.0,0.0,633.0,1764.0,2397.0,0.0,0.0,6.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.0,1022.0,0.0,283590.0,376.0,283966.0,2008,NOV,942.0,4.0,2008-11-01
Humboldt,1023.0,3.0,0.0,4040.0,5.0,5.0,5063.0,8.0,5.0,2574.0,7787.0,10361.0,11.0,4.0,7.0,7.0,18.0,11.0,0.0,7.0,7.0,0.0,0.0,0.0,5569.0,5569.0,0.0,1303925.0,1896.0,1305821.0,2008,NOV,5076.0,4.0,2008-11-01
Imperial,1786.0,0.0,0.0,6461.0,190.0,28.0,8247.0,190.0,28.0,5418.0,16847.0,22265.0,0.0,0.0,536.0,198.0,536.0,198.0,0.0,29.0,29.0,0.0,0.0,0.0,8465.0,8465.0,0.0,2865170.0,18754.0,2883924.0,2008,NOV,8465.0,4.0,2008-11-01
Inyo,93.0,0.0,0.0,464.0,0.0,0.0,557.0,0.0,0.0,286.0,928.0,1214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.0,573.0,0.0,136672.0,0.0,136672.0,2008,NOV,557.0,4.0,2008-11-01
Kern,6615.0,5.0,0.0,28359.0,257.0,88.0,34974.0,262.0,88.0,18463.0,75058.0,93521.0,15.0,7.0,744.0,288.0,759.0,295.0,0.0,146.0,146.0,0.0,0.0,0.0,37619.0,37619.0,0.0,11328968.0,43134.0,11372102.0,2008,NOV,35324.0,4.0,2008-11-01
Kings,1107.0,1.0,1.0,5048.0,49.0,35.0,6155.0,50.0,36.0,3098.0,12238.0,15336.0,4.0,1.0,130.0,52.0,134.0,53.0,1.0,35.0,36.0,0.0,0.0,0.0,6660.0,6660.0,0.0,1809792.0,8858.0,1818650.0,2008,NOV,6241.0,4.0,2008-11-01
Lake,964.0,0.0,0.0,2012.0,17.0,1.0,2976.0,17.0,1.0,1656.0,5002.0,6658.0,0.0,0.0,48.0,19.0,48.0,19.0,0.0,1.0,1.0,0.0,0.0,0.0,3213.0,3213.0,0.0,829460.0,1274.0,830734.0,2008,NOV,2994.0,4.0,2008-11-01
Lassen,247.0,1.0,0.0,706.0,2.0,2.0,953.0,3.0,2.0,701.0,1593.0,2294.0,0.0,1.0,4.0,2.0,4.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,1021.0,1021.0,0.0,285967.0,562.0,286529.0,2008,NOV,958.0,4.0,2008-11-01
