county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,total_households,big_six,quarter,fulldate
California,264255.0,4005.0,50.0,705014.0,10522.0,4760.0,969269.0,14527.0,4810.0,669142.0,1649699.0,2318841.0,9218.0,5020.0,29103.0,12703.0,38321.0,17723.0,60.0,6069.0,6129.0,0.0,0.0,0.0,1089210.0,1089210.0,0.0,267248828.79,2175346.79,269424175.58,2008,SEP,988606.0,0,3.0,2008-09-01
Los Angeles,72212.0,1492.0,20.0,223344.0,3724.0,1776.0,295556.0,5216.0,1796.0,165412.0,492245.0,657657.0,3060.0,1854.0,10144.0,4477.0,13204.0,6331.0,27.0,2161.0,2188.0,0.0,0.0,0.0,340839.0,340839.0,0.0,79321273.0,822977.0,80144250.0,2008,SEP,302568.0,1,3.0,2008-09-01
San Bernardino,21666.0,202.0,2.0,44834.0,751.0,295.0,66500.0,953.0,297.0,59740.0,122900.0,182640.0,545.0,227.0,2308.0,858.0,2853.0,1085.0,2.0,383.0,385.0,0.0,0.0,0.0,75152.0,75152.0,0.0,20585691.0,146828.0,20732519.0,2008,SEP,67750.0,1,3.0,2008-09-01
Sacramento,18039.0,681.0,7.0,36574.0,608.0,250.0,54613.0,1289.0,257.0,46756.0,86753.0,133509.0,1685.0,1038.0,1671.0,922.0,3356.0,1960.0,9.0,344.0,353.0,0.0,0.0,0.0,61345.0,61345.0,0.0,16147576.0,188119.0,16335695.0,2008,SEP,56159.0,1,3.0,2008-09-01
Fresno,15865.0,96.0,1.0,39118.0,346.0,64.0,54983.0,442.0,65.0,43053.0,100555.0,143608.0,244.0,103.0,1030.0,368.0,1274.0,471.0,1.0,70.0,71.0,0.0,0.0,0.0,61643.0,61643.0,0.0,16431455.0,46915.0,16478370.0,2008,SEP,55490.0,1,3.0,2008-09-01
Riverside,14508.0,165.0,1.0,28815.0,527.0,116.0,43323.0,692.0,117.0,40557.0,80556.0,121113.0,454.0,178.0,1756.0,606.0,2210.0,784.0,1.0,141.0,142.0,0.0,0.0,0.0,47874.0,47874.0,0.0,13179828.0,80113.0,13259941.0,2008,SEP,44132.0,1,3.0,2008-09-01
San Diego,15694.0,295.0,4.0,26271.0,491.0,180.0,41965.0,786.0,184.0,42422.0,66687.0,109109.0,736.0,348.0,1387.0,570.0,2123.0,918.0,4.0,237.0,241.0,0.0,0.0,0.0,48278.0,48278.0,0.0,12233584.0,94695.0,12328279.0,2008,SEP,42935.0,1,3.0,2008-09-01
Orange,9546.0,131.0,0.0,26932.0,706.0,277.0,36478.0,837.0,277.0,24652.0,67899.0,92551.0,308.0,159.0,1775.0,931.0,2083.0,1090.0,0.0,358.0,358.0,0.0,0.0,0.0,41948.0,41948.0,0.0,10063221.0,112426.0,10175647.0,2008,SEP,37592.0,0,3.0,2008-09-01
Alameda,10905.0,267.0,5.0,25186.0,414.0,215.0,36091.0,681.0,220.0,25636.0,50503.0,76139.0,609.0,320.0,1014.0,494.0,1623.0,814.0,5.0,279.0,284.0,0.0,0.0,0.0,36992.0,36992.0,0.0,8936061.0,109417.0,9045478.0,2008,SEP,36992.0,0,3.0,2008-09-01
Kern,6216.0,6.0,0.0,27881.0,223.0,90.0,34097.0,229.0,90.0,17405.0,74080.0,91485.0,20.0,9.0,644.0,249.0,664.0,258.0,0.0,147.0,147.0,0.0,0.0,0.0,36924.0,36924.0,0.0,10008332.0,43028.0,10051360.0,2008,SEP,34416.0,0,3.0,2008-09-01
Santa Clara,8290.0,129.0,2.0,19256.0,369.0,440.0,27546.0,498.0,442.0,20374.0,43518.0,63892.0,283.0,150.0,803.0,525.0,1086.0,675.0,2.0,630.0,632.0,0.0,0.0,0.0,31457.0,31457.0,0.0,7130779.0,131940.0,7262719.0,2008,SEP,28486.0,0,3.0,2008-09-01
Tulare,8364.0,85.0,1.0,19162.0,379.0,68.0,27526.0,464.0,69.0,22886.0,48200.0,71086.0,210.0,87.0,1218.0,400.0,1428.0,487.0,1.0,80.0,81.0,0.0,0.0,0.0,30837.0,30837.0,0.0,7993116.0,52047.0,8045163.0,2008,SEP,28059.0,0,3.0,2008-09-01
San Joaquin,6018.0,6.0,1.0,17672.0,295.0,77.0,23690.0,301.0,78.0,16582.0,47218.0,63800.0,15.0,6.0,698.0,295.0,713.0,301.0,1.0,93.0,94.0,0.0,0.0,0.0,26019.0,26019.0,0.0,7222720.0,13266.0,7235986.0,2008,SEP,24069.0,0,3.0,2008-09-01
Stanislaus,6660.0,28.0,0.0,14089.0,98.0,12.0,20749.0,126.0,12.0,17341.0,33887.0,51228.0,66.0,32.0,311.0,112.0,377.0,144.0,0.0,13.0,13.0,0.0,0.0,0.0,22456.0,22456.0,0.0,5737413.0,14647.0,5752060.0,2008,SEP,20887.0,0,3.0,2008-09-01
San Francisco,2853.0,121.0,1.0,16695.0,306.0,353.0,19548.0,427.0,354.0,6358.0,24001.0,30359.0,222.0,143.0,623.0,428.0,845.0,571.0,1.0,456.0,457.0,0.0,0.0,0.0,21653.0,21653.0,0.0,3726622.0,96018.0,3822640.0,2008,SEP,20329.0,0,3.0,2008-09-01
Contra Costa,5464.0,49.0,0.0,11686.0,131.0,37.0,17150.0,180.0,37.0,13292.0,25445.0,38737.0,123.0,58.0,387.0,156.0,510.0,214.0,0.0,44.0,44.0,0.0,0.0,0.0,19505.0,19505.0,0.0,4545017.0,25180.0,4570197.0,2008,SEP,17367.0,0,3.0,2008-09-01
Ventura,3798.0,46.0,0.0,12406.0,176.0,101.0,16204.0,222.0,101.0,9698.0,27294.0,36992.0,114.0,56.0,479.0,205.0,593.0,261.0,0.0,133.0,133.0,0.0,0.0,0.0,18233.0,18233.0,0.0,4213491.0,36660.0,4250151.0,2008,SEP,16527.0,0,3.0,2008-09-01
Merced,4574.0,12.0,0.0,8347.0,43.0,3.0,12921.0,55.0,3.0,12456.0,22276.0,34732.0,35.0,12.0,156.0,49.0,191.0,61.0,0.0,3.0,3.0,0.0,0.0,0.0,13913.0,13913.0,0.0,3780730.0,4627.0,3785357.0,2008,SEP,12979.0,0,3.0,2008-09-01
Solano,3632.0,42.0,0.0,7771.0,77.0,39.0,11403.0,119.0,39.0,9062.0,15794.0,24856.0,115.0,44.0,235.0,88.0,350.0,132.0,0.0,48.0,48.0,0.0,0.0,0.0,12959.0,12959.0,0.0,2969597.0,18922.0,2988519.0,2008,SEP,11561.0,0,3.0,2008-09-01
