county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,total_households,quarter,fulldate
California,330756.0,5143.0,84.0,1053617.0,16764.0,6516.0,1384373.0,21907.0,6600.0,835016.0,2363209.0,3198225.0,11700.0,6443.0,46134.0,19765.0,57834.0,26208.0,111.0,8454.0,8565.0,0.0,0.0,0.0,1980446.0,1980446.0,0.0,478963157.62,4130375.78,483093533.4,2010,APR,1412880.0,2.0,2010-04-01
Alameda,11742.0,338.0,0.0,33675.0,671.0,337.0,45417.0,1009.0,337.0,27554.0,66999.0,94553.0,786.0,404.0,1694.0,833.0,2480.0,1237.0,0.0,459.0,459.0,0.0,0.0,0.0,46763.0,46763.0,0.0,14761665.0,215480.0,14977145.0,2010,APR,46763.0,2.0,2010-04-01
Alpine,6.0,0.0,0.0,59.0,0.0,0.0,65.0,0.0,0.0,15.0,120.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,0.0,17877.0,0.0,17877.0,2010,APR,65.0,2.0,2010-04-01
Amador,243.0,0.0,0.0,967.0,0.0,0.0,1210.0,0.0,0.0,661.0,1809.0,2470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387777.0,0.0,387777.0,2010,APR,1210.0,2.0,2010-04-01
Butte,1809.0,0.0,1.0,9340.0,33.0,10.0,11149.0,33.0,11.0,4622.0,19444.0,24066.0,0.0,0.0,94.0,34.0,94.0,34.0,1.0,15.0,16.0,0.0,0.0,0.0,12063.0,12063.0,0.0,3544948.0,5911.0,3550859.0,2010,APR,11193.0,2.0,2010-04-01
Calaveras,365.0,0.0,0.0,1536.0,5.0,1.0,1901.0,5.0,1.0,1031.0,3043.0,4074.0,0.0,0.0,8.0,6.0,8.0,6.0,0.0,5.0,5.0,0.0,0.0,0.0,2074.0,2074.0,0.0,597785.0,490.0,598275.0,2010,APR,1907.0,2.0,2010-04-01
Colusa,84.0,0.0,0.0,506.0,7.0,0.0,590.0,7.0,0.0,271.0,1487.0,1758.0,0.0,0.0,22.0,7.0,22.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,653.0,653.0,0.0,229493.0,550.0,230043.0,2010,APR,597.0,2.0,2010-04-01
Contra Costa,6518.0,78.0,1.0,18125.0,207.0,55.0,24643.0,285.0,56.0,15751.0,37812.0,53563.0,187.0,97.0,548.0,256.0,735.0,353.0,3.0,74.0,77.0,0.0,0.0,0.0,28031.0,28031.0,0.0,8228328.78,51240.05,8279568.83,2010,APR,24984.0,2.0,2010-04-01
Del Norte,450.0,0.0,0.0,1819.0,7.0,1.0,2269.0,7.0,1.0,1270.0,3548.0,4818.0,0.0,0.0,15.0,5.0,15.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,2277.0,2277.0,0.0,705634.0,810.0,706444.0,2010,APR,2277.0,2.0,2010-04-01
El Dorado,667.0,6.0,0.0,3739.0,19.0,8.0,4406.0,25.0,8.0,1804.0,7217.0,9021.0,16.0,6.0,49.0,21.0,65.0,27.0,0.0,10.0,10.0,0.0,0.0,0.0,4866.0,4866.0,0.0,1340372.0,1498.0,1341870.0,2010,APR,4439.0,2.0,2010-04-01
Fresno,18005.0,86.0,0.0,56983.0,490.0,107.0,74988.0,576.0,107.0,48462.0,139254.0,187716.0,215.0,93.0,1512.0,545.0,1727.0,638.0,0.0,130.0,130.0,0.0,0.0,0.0,82875.0,82875.0,0.0,27526585.08,85693.71,27612278.79,2010,APR,75671.0,2.0,2010-04-01
Glenn,288.0,0.0,0.0,877.0,7.0,1.0,1165.0,7.0,1.0,798.0,2256.0,3054.0,0.0,0.0,23.0,7.0,23.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,1282.0,1282.0,0.0,417082.0,913.0,417995.0,2010,APR,1173.0,2.0,2010-04-01
Humboldt,1141.0,0.0,0.0,5902.0,12.0,4.0,7043.0,12.0,4.0,2792.0,11035.0,13827.0,0.0,0.0,23.0,15.0,23.0,15.0,0.0,4.0,4.0,0.0,0.0,0.0,7341.0,7341.0,0.0,1925515.09,2363.0,1927878.09,2010,APR,7059.0,2.0,2010-04-01
Imperial,2503.0,39.0,0.0,8472.0,258.0,35.0,10975.0,297.0,35.0,7315.0,22212.0,29527.0,97.0,40.0,749.0,273.0,846.0,313.0,0.0,40.0,40.0,0.0,0.0,0.0,11307.0,11307.0,0.0,4113119.0,38631.0,4151750.0,2010,APR,11307.0,2.0,2010-04-01
Inyo,148.0,0.0,0.0,633.0,0.0,0.0,781.0,0.0,0.0,440.0,1158.0,1598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,851.0,851.0,0.0,218833.0,0.0,218833.0,2010,APR,781.0,2.0,2010-04-01
Kern,12447.0,77.0,0.0,34523.0,384.0,98.0,46970.0,461.0,98.0,33633.0,87422.0,121055.0,177.0,83.0,1096.0,426.0,1273.0,509.0,0.0,163.0,163.0,0.0,0.0,0.0,54519.0,54519.0,0.0,17486446.0,89867.0,17576313.0,2010,APR,47529.0,2.0,2010-04-01
Kings,1806.0,9.0,0.0,6129.0,78.0,34.0,7935.0,87.0,34.0,4945.0,14628.0,19573.0,26.0,9.0,260.0,87.0,286.0,96.0,0.0,34.0,34.0,0.0,0.0,0.0,8688.0,8688.0,0.0,2736829.0,9894.0,2746723.0,2010,APR,8056.0,2.0,2010-04-01
Lake,1004.0,1.0,0.0,2901.0,15.0,4.0,3905.0,16.0,4.0,1932.0,6320.0,8252.0,5.0,1.0,44.0,16.0,49.0,17.0,0.0,4.0,4.0,0.0,0.0,0.0,4475.0,4475.0,0.0,1265641.0,3142.0,1268783.0,2010,APR,3925.0,2.0,2010-04-01
Lassen,254.0,2.0,0.0,994.0,3.0,2.0,1248.0,5.0,2.0,700.0,2103.0,2803.0,2.0,3.0,10.0,3.0,12.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,1328.0,1328.0,0.0,412757.0,1071.0,413828.0,2010,APR,1255.0,2.0,2010-04-01
