county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,total_households,big_six,quarter,fulldate
California,314313.0,4860.0,72.0,1001222.0,15861.0,6199.0,1315535.0,20721.0,6271.0,790387.0,2271273.0,3061660.0,11054.0,6085.0,43329.0,18657.0,54383.0,24742.0,89.0,7886.0,7975.0,0.0,0.0,0.0,1879996.0,1879996.0,0.0,460169550.96,3890216.6,464059767.56,2009,DEC,1342527.0,False,4.0,2009-12-01
Los Angeles,87234.0,1853.0,36.0,297390.0,5310.0,2271.0,384624.0,7163.0,2307.0,199206.0,639598.0,838804.0,3842.0,2363.0,14279.0,6283.0,18121.0,8646.0,43.0,2761.0,2804.0,0.0,0.0,0.0,858161.0,858161.0,0.0,132199774.0,1440226.0,133640000.0,2009,DEC,394094.0,True,4.0,2009-12-01
San Bernardino,26750.0,265.0,3.0,74458.0,1236.0,364.0,101208.0,1501.0,367.0,72588.0,191069.0,263657.0,720.0,301.0,3751.0,1397.0,4471.0,1698.0,3.0,473.0,476.0,0.0,0.0,0.0,111227.0,111227.0,0.0,38235898.0,264567.0,38500465.0,2009,DEC,103076.0,True,4.0,2009-12-01
Fresno,18043.0,95.0,1.0,53352.0,448.0,85.0,71395.0,543.0,86.0,48726.0,131226.0,179952.0,233.0,107.0,1376.0,493.0,1609.0,600.0,1.0,104.0,105.0,0.0,0.0,0.0,79568.0,79568.0,0.0,26353183.0,79385.0,26432568.0,2009,DEC,72024.0,True,4.0,2009-12-01
Riverside,18348.0,186.0,1.0,51929.0,1113.0,180.0,70277.0,1299.0,181.0,50053.0,137663.0,187716.0,510.0,200.0,3553.0,1210.0,4063.0,1410.0,1.0,214.0,215.0,0.0,0.0,0.0,77284.0,77284.0,0.0,26670353.0,182585.0,26852938.0,2009,DEC,71757.0,True,4.0,2009-12-01
Sacramento,19099.0,620.0,7.0,50851.0,778.0,264.0,69950.0,1398.0,271.0,49325.0,115279.0,164604.0,1458.0,925.0,2035.0,1075.0,3493.0,2000.0,8.0,323.0,331.0,0.0,0.0,0.0,76959.0,76959.0,0.0,25362290.0,264164.0,25626454.0,2009,DEC,71619.0,True,4.0,2009-12-01
San Diego,17859.0,414.0,4.0,45957.0,1014.0,359.0,63816.0,1428.0,363.0,48531.0,107141.0,155672.0,1018.0,491.0,2738.0,1136.0,3756.0,1627.0,4.0,461.0,465.0,0.0,0.0,0.0,74763.0,74763.0,0.0,23874211.0,248800.0,24123011.0,2009,DEC,65607.0,True,4.0,2009-12-01
Orange,13287.0,196.0,3.0,45247.0,1200.0,387.0,58534.0,1396.0,390.0,33773.0,106835.0,140608.0,464.0,246.0,3062.0,1498.0,3526.0,1744.0,7.0,498.0,505.0,0.0,0.0,0.0,66278.0,66278.0,0.0,20278165.0,237518.0,20515683.0,2009,DEC,60320.0,False,4.0,2009-12-01
Kern,9671.0,24.0,0.0,36093.0,179.0,31.0,45764.0,203.0,31.0,26750.0,92170.0,118920.0,52.0,25.0,531.0,190.0,583.0,215.0,0.0,54.0,54.0,0.0,0.0,0.0,38090.0,38090.0,0.0,17040497.0,38141.0,17078638.0,2009,DEC,45998.0,False,4.0,2009-12-01
Alameda,11553.0,329.0,3.0,32659.0,633.0,296.0,44212.0,962.0,299.0,26994.0,64524.0,91518.0,744.0,398.0,1559.0,778.0,2303.0,1176.0,3.0,381.0,384.0,0.0,0.0,0.0,45473.0,45473.0,0.0,14279666.0,198737.0,14478403.0,2009,DEC,45473.0,False,4.0,2009-12-01
Santa Clara,9986.0,148.0,4.0,26970.0,535.0,570.0,36956.0,683.0,574.0,24599.0,57905.0,82504.0,308.0,179.0,1199.0,680.0,1507.0,859.0,5.0,807.0,812.0,0.0,0.0,0.0,41710.0,41710.0,0.0,12139358.0,231334.0,12370692.0,2009,DEC,38213.0,False,4.0,2009-12-01
Tulare,9795.0,112.0,0.0,26468.0,499.0,84.0,36263.0,611.0,84.0,26868.0,64469.0,91337.0,297.0,116.0,1582.0,547.0,1879.0,663.0,0.0,97.0,97.0,0.0,0.0,0.0,40285.0,40285.0,0.0,13262576.0,82159.0,13344735.0,2009,DEC,36958.0,False,4.0,2009-12-01
San Joaquin,6201.0,10.0,1.0,23865.0,387.0,60.0,30066.0,397.0,61.0,16857.0,62237.0,79094.0,20.0,10.0,902.0,387.0,922.0,397.0,1.0,78.0,79.0,0.0,0.0,0.0,32720.0,32720.0,0.0,11665165.0,13972.0,11679137.0,2009,DEC,30524.0,False,4.0,2009-12-01
Stanislaus,7504.0,26.0,0.0,20312.0,111.0,20.0,27816.0,137.0,20.0,19556.0,46806.0,66362.0,63.0,29.0,356.0,120.0,419.0,149.0,0.0,24.0,24.0,0.0,0.0,0.0,30166.0,30166.0,0.0,9582067.0,20711.0,9602778.0,2009,DEC,27973.0,False,4.0,2009-12-01
San Francisco,3289.0,140.0,1.0,21193.0,481.0,568.0,24482.0,621.0,569.0,7334.0,30859.0,38193.0,272.0,160.0,928.0,686.0,1200.0,846.0,1.0,775.0,776.0,0.0,0.0,0.0,27708.0,27708.0,0.0,6054515.0,196203.0,6250718.0,2009,DEC,25672.0,False,4.0,2009-12-01
Ventura,4559.0,37.0,0.0,19332.0,218.0,51.0,23891.0,255.0,51.0,11297.0,40575.0,51872.0,90.0,50.0,648.0,243.0,738.0,293.0,0.0,67.0,67.0,0.0,0.0,0.0,26490.0,26490.0,0.0,7626529.0,38387.0,7664916.0,2009,DEC,24197.0,False,4.0,2009-12-01
Contra Costa,6425.0,75.0,2.0,16971.0,186.0,44.0,23396.0,261.0,46.0,15556.0,35556.0,51112.0,161.0,90.0,521.0,236.0,682.0,326.0,4.0,64.0,68.0,0.0,0.0,0.0,26080.0,26080.0,0.0,7795172.56,45405.43,7840577.99,2009,DEC,23703.0,False,4.0,2009-12-01
Merced,5048.0,28.0,1.0,11484.0,73.0,3.0,16532.0,101.0,4.0,13680.0,29744.0,43424.0,79.0,31.0,242.0,81.0,321.0,112.0,1.0,3.0,4.0,0.0,0.0,0.0,17920.0,17920.0,0.0,6200015.0,12338.0,6212353.0,2009,DEC,16637.0,False,4.0,2009-12-01
Solano,4219.0,47.0,2.0,11141.0,132.0,46.0,15360.0,179.0,48.0,10561.0,21695.0,32256.0,121.0,53.0,351.0,145.0,472.0,198.0,2.0,50.0,52.0,0.0,0.0,0.0,17537.0,17537.0,0.0,4960080.0,32485.0,4992565.0,2009,DEC,15587.0,False,4.0,2009-12-01
Sonoma,2570.0,35.0,1.0,9246.0,93.0,37.0,11816.0,128.0,38.0,6099.0,17209.0,23308.0,72.0,36.0,246.0,100.0,318.0,136.0,1.0,45.0,46.0,0.0,0.0,0.0,13065.0,13065.0,0.0,3482470.96,21279.17,3503750.13,2009,DEC,11982.0,False,4.0,2009-12-01
Monterey,3115.0,9.0,0.0,8426.0,84.0,10.0,11541.0,93.0,10.0,7708.0,20055.0,27763.0,20.0,10.0,269.0,89.0,289.0,99.0,0.0,10.0,10.0,0.0,0.0,0.0,14519.0,14519.0,0.0,4326139.0,7659.0,4333798.0,2009,DEC,11644.0,False,4.0,2009-12-01
Santa Barbara,4388.0,17.0,0.0,7036.0,86.0,6.0,11424.0,103.0,6.0,8103.0,18398.0,26501.0,39.0,19.0,291.0,92.0,330.0,111.0,0.0,8.0,8.0,0.0,0.0,0.0,13543.0,13543.0,0.0,3792020.0,10221.0,3802241.0,2009,DEC,11533.0,False,4.0,2009-12-01
Butte,1740.0,0.0,0.0,9216.0,28.0,18.0,10956.0,28.0,18.0,4324.0,19525.0,23849.0,0.0,0.0,83.0,29.0,83.0,29.0,0.0,18.0,18.0,0.0,0.0,0.0,11963.0,11963.0,0.0,3494550.0,7156.0,3501706.0,2009,DEC,11002.0,False,4.0,2009-12-01
Imperial,2001.0,21.0,1.0,8326.0,253.0,42.0,10327.0,274.0,43.0,5982.0,21523.0,27505.0,65.0,22.0,715.0,270.0,780.0,292.0,3.0,58.0,61.0,0.0,0.0,0.0,10644.0,10644.0,0.0,4123634.0,38639.0,4162273.0,2009,DEC,10644.0,False,4.0,2009-12-01
Shasta,1620.0,1.0,0.0,7647.0,20.0,9.0,9267.0,21.0,9.0,4121.0,15817.0,19938.0,3.0,1.0,46.0,22.0,49.0,23.0,0.0,11.0,11.0,0.0,0.0,0.0,10061.0,10061.0,0.0,2836874.0,4448.0,2841322.0,2009,DEC,9297.0,False,4.0,2009-12-01
Santa Cruz,1561.0,11.0,0.0,6730.0,58.0,9.0,8291.0,69.0,9.0,3711.0,13548.0,17259.0,21.0,10.0,178.0,64.0,199.0,74.0,0.0,12.0,12.0,0.0,0.0,0.0,9437.0,9437.0,0.0,2537297.44,9005.0,2546302.44,2009,DEC,8369.0,False,4.0,2009-12-01
Madera,1123.0,0.0,0.0,6689.0,18.0,0.0,7812.0,18.0,0.0,3089.0,17329.0,20418.0,0.0,0.0,67.0,17.0,67.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,8544.0,8544.0,0.0,2924573.0,1757.0,2926330.0,2009,DEC,7830.0,False,4.0,2009-12-01
