county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,total_households,big_six,quarter,fulldate
California,357668.0,5364.0,82.0,1205655.0,17444.0,7321.0,1563323.0,22808.0,7403.0,912789.0,2647158.0,3559947.0,12081.0,6737.0,47027.0,20727.0,59108.0,27464.0,104.0,9613.0,9717.0,0.0,0.0,0.0,2183042.0,2183042.0,0.0,532075509.27,4571813.47,536647322.74,2011,FEB,1593534.0,0,1.0,2011-02-01
Los Angeles,98537.0,1939.0,38.0,344541.0,5211.0,2565.0,443078.0,7150.0,2603.0,229630.0,721151.0,950781.0,3894.0,2520.0,13771.0,6240.0,17665.0,8760.0,45.0,3244.0,3289.0,0.0,0.0,0.0,972914.0,972914.0,0.0,147492182.0,1559265.0,149051447.0,2011,FEB,452831.0,1,1.0,2011-02-01
San Bernardino,30241.0,245.0,3.0,95456.0,1076.0,372.0,125697.0,1321.0,375.0,83141.0,230691.0,313832.0,613.0,280.0,3125.0,1221.0,3738.0,1501.0,3.0,475.0,478.0,0.0,0.0,0.0,135661.0,135661.0,0.0,45436669.0,249941.0,45686610.0,2011,FEB,127393.0,1,1.0,2011-02-01
San Diego,20468.0,458.0,5.0,67786.0,1404.0,619.0,88254.0,1862.0,624.0,56751.0,148139.0,204890.0,1120.0,597.0,3810.0,1608.0,4930.0,2205.0,9.0,809.0,818.0,0.0,0.0,0.0,99211.0,99211.0,0.0,30514158.39,360287.74,30874446.13,2011,FEB,90740.0,1,1.0,2011-02-01
Riverside,20896.0,219.0,3.0,66635.0,1258.0,225.0,87531.0,1477.0,228.0,57940.0,166054.0,223994.0,581.0,231.0,3959.0,1399.0,4540.0,1630.0,4.0,274.0,278.0,0.0,0.0,0.0,95729.0,95729.0,0.0,32150572.0,216185.0,32366757.0,2011,FEB,89236.0,1,1.0,2011-02-01
Fresno,18614.0,83.0,2.0,62169.0,471.0,113.0,80783.0,554.0,115.0,50187.0,149708.0,199895.0,223.0,93.0,1384.0,522.0,1607.0,615.0,2.0,142.0,144.0,0.0,0.0,0.0,88246.0,88246.0,0.0,29457472.0,94961.0,29552433.0,2011,FEB,81452.0,1,1.0,2011-02-01
Sacramento,20390.0,615.0,6.0,58723.0,817.0,270.0,79113.0,1432.0,276.0,52785.0,131485.0,184270.0,1453.0,910.0,2070.0,1058.0,3523.0,1968.0,11.0,351.0,362.0,0.0,0.0,0.0,85590.0,85590.0,0.0,28235911.0,275802.0,28511713.0,2011,FEB,80821.0,1,1.0,2011-02-01
Orange,15199.0,197.0,2.0,60906.0,1530.0,550.0,76105.0,1727.0,552.0,39093.0,137774.0,176867.0,447.0,256.0,3828.0,1893.0,4275.0,2149.0,3.0,710.0,713.0,0.0,0.0,0.0,84245.0,84245.0,0.0,25563830.0,308695.0,25872525.0,2011,FEB,78384.0,0,1.0,2011-02-01
Alameda,12066.0,336.0,2.0,39008.0,806.0,368.0,51074.0,1142.0,370.0,28537.0,77024.0,105561.0,762.0,384.0,2046.0,1020.0,2808.0,1404.0,2.0,493.0,495.0,0.0,0.0,0.0,52586.0,52586.0,0.0,16214122.0,234809.0,16448931.0,2011,FEB,52586.0,0,1.0,2011-02-01
Kern,13281.0,82.0,2.0,38080.0,316.0,102.0,51361.0,398.0,104.0,36417.0,92761.0,129178.0,221.0,96.0,919.0,343.0,1140.0,439.0,3.0,198.0,201.0,0.0,0.0,0.0,55637.0,55637.0,0.0,18873563.0,80316.0,18953879.0,2011,FEB,51863.0,0,1.0,2011-02-01
Santa Clara,10184.0,171.0,1.0,33058.0,623.0,658.0,43242.0,794.0,659.0,25139.0,69157.0,94296.0,354.0,204.0,1395.0,816.0,1749.0,1020.0,1.0,971.0,972.0,0.0,0.0,0.0,48976.0,48976.0,0.0,13967906.59,269623.93,14237530.52,2011,FEB,44695.0,0,1.0,2011-02-01
Tulare,10531.0,104.0,2.0,29586.0,497.0,120.0,40117.0,601.0,122.0,28910.0,73089.0,101999.0,276.0,111.0,1488.0,544.0,1764.0,655.0,2.0,149.0,151.0,0.0,0.0,0.0,43964.0,43964.0,0.0,14867367.0,89493.0,14956860.0,2011,FEB,40840.0,0,1.0,2011-02-01
San Joaquin,10585.0,104.0,0.0,25641.0,425.0,74.0,36226.0,529.0,74.0,27600.0,65123.0,92723.0,262.0,117.0,1246.0,507.0,1508.0,624.0,0.0,102.0,102.0,0.0,0.0,0.0,40258.0,40258.0,0.0,13910502.0,89734.0,14000236.0,2011,FEB,36829.0,0,1.0,2011-02-01
Stanislaus,8106.0,32.0,1.0,25734.0,138.0,21.0,33840.0,170.0,22.0,21913.0,56422.0,78335.0,91.0,35.0,428.0,149.0,519.0,184.0,2.0,26.0,28.0,0.0,0.0,0.0,36200.0,36200.0,0.0,11335781.0,26559.0,11362340.0,2011,FEB,34032.0,0,1.0,2011-02-01
San Francisco,3410.0,179.0,6.0,25548.0,548.0,644.0,28958.0,727.0,650.0,7507.0,36852.0,44359.0,345.0,208.0,1040.0,758.0,1385.0,966.0,8.0,895.0,903.0,0.0,0.0,0.0,32258.0,32258.0,0.0,7029873.66,238200.8,7268074.46,2011,FEB,30335.0,0,1.0,2011-02-01
