county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,total_households,quarter,fulldate
California,359667.0,5394.0,80.0,1238158.0,17679.0,7591.0,1597825.0,23073.0,7671.0,915621.0,2694996.0,3610617.0,12028.0,6795.0,47317.0,20995.0,59345.0,27790.0,104.0,9921.0,10025.0,0.0,0.0,0.0,2257510.0,2257510.0,0.0,543022130.56,4715573.77,547737704.33,2011,MAR,1628569.0,1.0,2011-03-01
Alameda,12041.0,337.0,3.0,40286.0,827.0,382.0,52327.0,1164.0,385.0,28434.0,78716.0,107150.0,759.0,389.0,2066.0,1051.0,2825.0,1440.0,5.0,514.0,519.0,0.0,0.0,0.0,53876.0,53876.0,0.0,16702324.0,244726.0,16947050.0,2011,MAR,53876.0,1.0,2011-03-01
Alpine,6.0,0.0,0.0,84.0,0.0,0.0,90.0,0.0,0.0,11.0,148.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,93.0,0.0,23008.0,0.0,23008.0,2011,MAR,90.0,1.0,2011-03-01
Amador,266.0,0.0,0.0,1135.0,2.0,0.0,1401.0,2.0,0.0,684.0,2072.0,2756.0,0.0,0.0,6.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1547.0,1547.0,0.0,420915.0,435.0,421350.0,2011,MAR,1403.0,1.0,2011-03-01
Butte,2241.0,3.0,0.0,10033.0,54.0,11.0,12274.0,57.0,11.0,5770.0,20463.0,26233.0,5.0,3.0,156.0,56.0,161.0,59.0,0.0,13.0,13.0,0.0,0.0,0.0,13478.0,13478.0,0.0,3901494.0,9929.0,3911423.0,2011,MAR,12342.0,1.0,2011-03-01
Calaveras,417.0,1.0,0.0,1773.0,7.0,0.0,2190.0,8.0,0.0,1153.0,3381.0,4534.0,1.0,1.0,22.0,9.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2366.0,2366.0,0.0,671697.0,798.0,672495.0,2011,MAR,2198.0,1.0,2011-03-01
Colusa,130.0,2.0,0.0,499.0,8.0,0.0,629.0,10.0,0.0,351.0,1315.0,1666.0,6.0,2.0,26.0,9.0,32.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,721.0,721.0,0.0,237868.0,1095.0,238963.0,2011,MAR,639.0,1.0,2011-03-01
Contra Costa,6986.0,84.0,0.0,22078.0,249.0,73.0,29064.0,333.0,73.0,17002.0,44747.0,61749.0,184.0,99.0,663.0,309.0,847.0,408.0,0.0,95.0,95.0,0.0,0.0,0.0,32562.0,32562.0,0.0,9487775.4,60133.74,9547909.14,2011,MAR,29470.0,1.0,2011-03-01
Del Norte,570.0,1.0,0.0,1866.0,3.0,7.0,2436.0,4.0,7.0,1570.0,3583.0,5153.0,3.0,1.0,7.0,3.0,10.0,4.0,0.0,10.0,10.0,0.0,0.0,0.0,2630.0,2630.0,0.0,749079.0,2136.0,751215.0,2011,MAR,2447.0,1.0,2011-03-01
El Dorado,787.0,12.0,0.0,4512.0,23.0,4.0,5299.0,35.0,4.0,2071.0,8582.0,10653.0,27.0,12.0,58.0,28.0,85.0,40.0,0.0,5.0,5.0,0.0,0.0,0.0,5821.0,5821.0,0.0,1582249.0,5020.0,1587269.0,2011,MAR,5338.0,1.0,2011-03-01
Fresno,18611.0,88.0,1.0,63299.0,481.0,121.0,81910.0,569.0,122.0,50020.0,151224.0,201244.0,231.0,99.0,1415.0,532.0,1646.0,631.0,1.0,149.0,150.0,0.0,0.0,0.0,90286.0,90286.0,0.0,29815590.0,94754.77,29910344.77,2011,MAR,82601.0,1.0,2011-03-01
Glenn,310.0,1.0,0.0,938.0,7.0,0.0,1248.0,8.0,0.0,833.0,2420.0,3253.0,3.0,1.0,23.0,8.0,26.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1392.0,1392.0,0.0,445930.0,851.0,446781.0,2011,MAR,1256.0,1.0,2011-03-01
Humboldt,1265.0,2.0,0.0,6215.0,8.0,5.0,7480.0,10.0,5.0,3138.0,11270.0,14408.0,6.0,3.0,19.0,9.0,25.0,12.0,0.0,5.0,5.0,0.0,0.0,0.0,8383.0,8383.0,0.0,2173617.0,1427.0,2175044.0,2011,MAR,7495.0,1.0,2011-03-01
Imperial,2642.0,52.0,0.0,9721.0,228.0,43.0,12363.0,280.0,43.0,7691.0,24521.0,32212.0,133.0,53.0,657.0,244.0,790.0,297.0,0.0,47.0,47.0,0.0,0.0,0.0,13659.0,13659.0,0.0,4487946.0,40444.0,4528390.0,2011,MAR,12686.0,1.0,2011-03-01
Inyo,157.0,0.0,0.0,675.0,6.0,0.0,832.0,6.0,0.0,467.0,1239.0,1706.0,0.0,0.0,20.0,8.0,20.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,887.0,887.0,0.0,235970.0,860.0,236830.0,2011,MAR,838.0,1.0,2011-03-01
Kern,13404.0,79.0,2.0,38740.0,341.0,104.0,52144.0,420.0,106.0,36567.0,93900.0,130467.0,217.0,90.0,1005.0,372.0,1222.0,462.0,3.0,213.0,216.0,0.0,0.0,0.0,56828.0,56828.0,0.0,19109862.0,83320.0,19193182.0,2011,MAR,52670.0,1.0,2011-03-01
Kings,1951.0,10.0,0.0,6855.0,70.0,35.0,8806.0,80.0,35.0,5384.0,16039.0,21423.0,21.0,10.0,221.0,77.0,242.0,87.0,0.0,46.0,46.0,0.0,0.0,0.0,9562.0,9562.0,0.0,2997555.0,17129.0,3014684.0,2011,MAR,8921.0,1.0,2011-03-01
Lake,865.0,3.0,0.0,3548.0,19.0,6.0,4413.0,22.0,6.0,2269.0,6895.0,9164.0,9.0,3.0,52.0,20.0,61.0,23.0,0.0,7.0,7.0,0.0,0.0,0.0,4905.0,4905.0,0.0,1370693.0,3852.0,1374545.0,2011,MAR,4441.0,1.0,2011-03-01
Lassen,322.0,1.0,0.0,1074.0,4.0,1.0,1396.0,5.0,1.0,881.0,2071.0,2952.0,2.0,1.0,11.0,5.0,13.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,1532.0,1532.0,0.0,437319.0,1161.0,438480.0,2011,MAR,1402.0,1.0,2011-03-01
Los Angeles,99800.0,1975.0,33.0,353266.0,5260.0,2665.0,453066.0,7235.0,2698.0,232558.0,734743.0,967301.0,3953.0,2573.0,13845.0,6299.0,17798.0,8872.0,38.0,3345.0,3383.0,0.0,0.0,0.0,1004176.0,1004176.0,0.0,150915424.0,1625389.0,152540813.0,2011,MAR,462999.0,1.0,2011-03-01
Madera,2360.0,2.0,0.0,7227.0,71.0,7.0,9587.0,73.0,7.0,6222.0,18532.0,24754.0,3.0,2.0,246.0,77.0,249.0,79.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3627949.0,11280.0,3639229.0,2011,MAR,9667.0,1.0,2011-03-01
Marin,968.0,35.0,1.0,3996.0,47.0,21.0,4964.0,82.0,22.0,2122.0,6136.0,8258.0,76.0,39.0,104.0,56.0,180.0,95.0,1.0,22.0,23.0,0.0,0.0,0.0,5385.0,5385.0,0.0,1307958.0,14235.0,1322193.0,2011,MAR,5068.0,1.0,2011-03-01
Mariposa,180.0,0.0,0.0,595.0,0.0,0.0,775.0,0.0,0.0,516.0,1129.0,1645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,851.0,851.0,0.0,247056.0,0.0,247056.0,2011,MAR,775.0,1.0,2011-03-01
