county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,total_households,quarter,fulldate
California,326784.0,4631.0,80.0,1396205.0,18855.0,7748.0,1722989.0,23486.0,7828.0,821394.0,3023431.0,3844825.0,10106.0,5627.0,49184.0,22605.0,59290.0,28232.0,102.0,10183.0,10285.0,0.0,0.0,0.0,2390093.0,2390093.0,0.0,585678549.08,5058744.62,590737293.7,2011,DEC,1754303.0,4.0,2011-12-01
Alameda,10750.0,325.0,3.0,47101.0,946.0,447.0,57851.0,1271.0,450.0,25211.0,91720.0,116931.0,707.0,364.0,2245.0,1200.0,2952.0,1564.0,3.0,602.0,605.0,0.0,0.0,0.0,59572.0,59572.0,0.0,18050098.0,273812.0,18323910.0,2011,DEC,59572.0,4.0,2011-12-01
Alpine,4.0,0.0,0.0,72.0,0.0,0.0,76.0,0.0,0.0,9.0,130.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,77.0,0.0,18417.0,0.0,18417.0,2011,DEC,76.0,4.0,2011-12-01
Amador,234.0,0.0,0.0,1343.0,3.0,0.0,1577.0,3.0,0.0,588.0,2422.0,3010.0,0.0,0.0,8.0,3.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1679.0,1679.0,0.0,457726.0,361.0,458087.0,2011,DEC,1580.0,4.0,2011-12-01
Butte,2200.0,8.0,0.0,11105.0,42.0,10.0,13305.0,50.0,10.0,5558.0,22488.0,28046.0,20.0,9.0,117.0,43.0,137.0,52.0,0.0,12.0,12.0,0.0,0.0,0.0,14591.0,14591.0,0.0,4186926.0,9101.0,4196027.0,2011,DEC,13365.0,4.0,2011-12-01
Calaveras,354.0,1.0,0.0,2036.0,3.0,0.0,2390.0,4.0,0.0,925.0,3888.0,4813.0,1.0,1.0,10.0,3.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2563.0,2563.0,0.0,729144.0,491.0,729635.0,2011,DEC,2394.0,4.0,2011-12-01
Colusa,106.0,0.0,0.0,527.0,6.0,0.0,633.0,6.0,0.0,272.0,1256.0,1528.0,0.0,0.0,21.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,676.0,0.0,215041.0,719.0,215760.0,2011,DEC,639.0,4.0,2011-12-01
Contra Costa,6127.0,71.0,1.0,24799.0,293.0,73.0,30926.0,364.0,74.0,14643.0,50832.0,65475.0,159.0,85.0,740.0,354.0,899.0,439.0,1.0,91.0,92.0,0.0,0.0,0.0,34210.0,34210.0,0.0,10168714.72,62288.12,10231002.84,2011,DEC,31364.0,4.0,2011-12-01
Del Norte,493.0,2.0,0.0,2026.0,3.0,6.0,2519.0,5.0,6.0,1299.0,3987.0,5286.0,5.0,2.0,7.0,3.0,12.0,5.0,0.0,8.0,8.0,0.0,0.0,0.0,2712.0,2712.0,0.0,765635.08,1904.0,767539.08,2011,DEC,2530.0,4.0,2011-12-01
El Dorado,669.0,7.0,0.0,5029.0,25.0,8.0,5698.0,32.0,8.0,1738.0,9358.0,11096.0,16.0,7.0,67.0,33.0,83.0,40.0,0.0,10.0,10.0,0.0,0.0,0.0,6158.0,6158.0,0.0,1672698.0,5827.0,1678525.0,2011,DEC,5738.0,4.0,2011-12-01
