county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,total_households,big_six,quarter,fulldate
California,325193.0,4600.0,104.0,1433357.0,19425.0,8037.0,1758550.0,24025.0,8141.0,815568.0,3085899.0,3901467.0,10040.0,5911.0,50322.0,23325.0,60362.0,29236.0,168.0,10552.0,10720.0,0.0,0.0,0.0,2456555.0,2456555.0,0.0,595161784.32,5080712.62,600242496.94,2012,MAR,1790716.0,False,1.0,2012-03-01
Los Angeles,92979.0,1773.0,55.0,395660.0,5284.0,2648.0,488639.0,7057.0,2703.0,212649.0,823429.0,1036078.0,3429.0,2419.0,13356.0,6395.0,16785.0,8814.0,108.0,3379.0,3487.0,0.0,0.0,0.0,1068785.0,1068785.0,0.0,163706203.0,1710633.0,165416836.0,2012,MAR,498399.0,True,1.0,2012-03-01
San Bernardino,28570.0,161.0,3.0,115487.0,967.0,297.0,144057.0,1128.0,300.0,77381.0,268542.0,345923.0,416.0,183.0,2686.0,1087.0,3102.0,1270.0,3.0,378.0,381.0,0.0,0.0,0.0,160888.0,160888.0,0.0,51346322.0,213684.0,51560006.0,2012,MAR,145485.0,True,1.0,2012-03-01
San Diego,17842.0,416.0,3.0,88790.0,1785.0,709.0,106632.0,2201.0,712.0,48495.0,185944.0,234439.0,1000.0,553.0,4582.0,2059.0,5582.0,2612.0,4.0,911.0,915.0,0.0,0.0,0.0,120313.0,120313.0,0.0,35918390.0,429734.0,36348124.0,2012,MAR,109545.0,True,1.0,2012-03-01
Riverside,19842.0,185.0,3.0,83219.0,1301.0,268.0,103061.0,1486.0,271.0,54385.0,199018.0,253403.0,488.0,206.0,3952.0,1460.0,4440.0,1666.0,4.0,328.0,332.0,0.0,0.0,0.0,111258.0,111258.0,0.0,36924729.0,267108.0,37191837.0,2012,MAR,104818.0,True,1.0,2012-03-01
Orange,13858.0,182.0,2.0,77846.0,1895.0,698.0,91704.0,2077.0,700.0,35083.0,169467.0,204550.0,402.0,233.0,4471.0,2384.0,4873.0,2617.0,3.0,919.0,922.0,0.0,0.0,0.0,101809.0,101809.0,0.0,30275682.0,398930.0,30674612.0,2012,MAR,94481.0,True,1.0,2012-03-01
Fresno,16131.0,107.0,0.0,71012.0,512.0,116.0,87143.0,619.0,116.0,42714.0,168772.0,211486.0,273.0,115.0,1490.0,581.0,1763.0,696.0,0.0,151.0,151.0,0.0,0.0,0.0,94515.0,94515.0,0.0,31722624.0,109059.0,31831683.0,2012,MAR,87878.0,True,1.0,2012-03-01
Sacramento,17680.0,443.0,6.0,66214.0,924.0,396.0,83894.0,1367.0,402.0,44681.0,150681.0,195362.0,1024.0,666.0,2385.0,1205.0,3409.0,1871.0,7.0,525.0,532.0,0.0,0.0,0.0,94611.0,94611.0,0.0,30535194.08,312564.74,30847758.82,2012,MAR,85663.0,False,1.0,2012-03-01
Alameda,10621.0,313.0,7.0,48202.0,998.0,464.0,58823.0,1311.0,471.0,24736.0,92928.0,117664.0,695.0,353.0,2351.0,1250.0,3046.0,1603.0,7.0,621.0,628.0,0.0,0.0,0.0,60605.0,60605.0,0.0,18623689.0,288034.0,18911723.0,2012,MAR,60605.0,False,1.0,2012-03-01
Kern,12219.0,88.0,1.0,43543.0,544.0,126.0,55762.0,632.0,127.0,33088.0,102747.0,135835.0,234.0,99.0,1706.0,588.0,1940.0,687.0,1.0,157.0,158.0,0.0,0.0,0.0,59945.0,59945.0,0.0,20366380.0,0.0,20366380.0,2012,MAR,56521.0,False,1.0,2012-03-01
