county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,total_households,big_six,quarter,fulldate
California,307850.0,4170.0,111.0,1591788.0,18783.0,8071.0,1899638.0,22953.0,8182.0,767995.0,3343514.0,4111509.0,8835.0,5392.0,47158.0,22931.0,55993.0,28323.0,208.0,10636.0,10844.0,0.0,0.0,0.0,2636903.0,2636903.0,0.0,637095544.16,5096725.28,642192269.44,2013,JUN,1930773.0,False,2.0,2013-06-01
Los Angeles,88852.0,1841.0,65.0,451050.0,5421.0,2891.0,539902.0,7262.0,2956.0,200744.0,905224.0,1105968.0,3532.0,2539.0,13025.0,6754.0,16557.0,9293.0,150.0,3716.0,3866.0,0.0,0.0,0.0,1163107.0,1163107.0,0.0,179472976.0,1828152.0,181301128.0,2013,JUN,550120.0,True,2.0,2013-06-01
San Bernardino,27732.0,152.0,7.0,129174.0,944.0,266.0,156906.0,1096.0,273.0,74530.0,291712.0,366242.0,382.0,171.0,2640.0,1072.0,3022.0,1243.0,7.0,341.0,348.0,0.0,0.0,0.0,185071.0,185071.0,0.0,55164166.0,187541.0,55351707.0,2013,JUN,158275.0,True,2.0,2013-06-01
San Diego,17082.0,307.0,3.0,101850.0,1615.0,541.0,118932.0,1922.0,544.0,46341.0,205541.0,251882.0,717.0,408.0,4111.0,1907.0,4828.0,2315.0,6.0,694.0,700.0,0.0,0.0,0.0,130413.0,130413.0,0.0,38988840.0,375546.0,39364386.0,2013,JUN,121398.0,True,2.0,2013-06-01
Riverside,19202.0,127.0,7.0,94425.0,1045.0,262.0,113627.0,1172.0,269.0,51951.0,219637.0,271588.0,320.0,144.0,3097.0,1157.0,3417.0,1301.0,11.0,316.0,327.0,0.0,0.0,0.0,121074.0,121074.0,0.0,40508099.0,193178.0,40701277.0,2013,JUN,115068.0,True,2.0,2013-06-01
Orange,13216.0,164.0,1.0,89002.0,1862.0,786.0,102218.0,2026.0,787.0,33368.0,190159.0,223527.0,356.0,210.0,4239.0,2379.0,4595.0,2589.0,2.0,1053.0,1055.0,0.0,0.0,0.0,111385.0,111385.0,0.0,33999781.0,444329.0,34444110.0,2013,JUN,105031.0,True,2.0,2013-06-01
Sacramento,17253.0,331.0,7.0,75063.0,890.0,409.0,92316.0,1221.0,416.0,43512.0,160669.0,204181.0,702.0,489.0,2230.0,1189.0,2932.0,1678.0,9.0,544.0,553.0,0.0,0.0,0.0,98982.0,98982.0,0.0,32008474.0,305757.0,32314231.0,2013,JUN,93953.0,True,2.0,2013-06-01
Fresno,15733.0,123.0,1.0,74599.0,513.0,104.0,90332.0,636.0,105.0,42080.0,174133.0,216213.0,316.0,131.0,1489.0,590.0,1805.0,721.0,1.0,137.0,138.0,0.0,0.0,0.0,96309.0,96309.0,0.0,32622588.0,107572.0,32730160.0,2013,JUN,91073.0,False,2.0,2013-06-01
Alameda,9937.0,257.0,3.0,51267.0,1026.0,418.0,61204.0,1283.0,421.0,22948.0,97962.0,120910.0,560.0,297.0,2462.0,1299.0,3022.0,1596.0,3.0,541.0,544.0,0.0,0.0,0.0,62908.0,62908.0,0.0,19547328.0,272339.0,19819667.0,2013,JUN,62908.0,False,2.0,2013-06-01
Kern,11617.0,27.0,5.0,47327.0,368.0,139.0,58944.0,395.0,144.0,31519.0,111405.0,142924.0,70.0,32.0,1076.0,417.0,1146.0,449.0,6.0,175.0,181.0,0.0,0.0,0.0,62898.0,62898.0,0.0,21364567.0,92204.0,21456771.0,2013,JUN,59483.0,False,2.0,2013-06-01
