county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,quarter,fulldate
California,311936.0,4234.0,127.0,1587878.0,18890.0,8009.0,1899814.0,23124.0,8136.0,778720.0,3334787.0,4113507.0,8950.0,5456.0,47397.0,22969.0,56347.0,28425.0,224.0,10622.0,10846.0,0.0,0.0,0.0,2624458.0,2624458.0,0.0,639981097.57,5112173.8,645093271.37,2013,MAY,2.0,2013-05-01
Alameda,10069.0,272.0,3.0,51327.0,1045.0,401.0,61396.0,1317.0,404.0,23253.0,97904.0,121157.0,594.0,309.0,2489.0,1319.0,3083.0,1628.0,3.0,532.0,535.0,0.0,0.0,0.0,63117.0,63117.0,0.0,19665292.0,271369.0,19936661.0,2013,MAY,2.0,2013-05-01
Alpine,3.0,0.0,0.0,81.0,0.0,0.0,84.0,0.0,0.0,8.0,145.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,87.0,0.0,21690.0,0.0,21690.0,2013,MAY,2.0,2013-05-01
Amador,177.0,0.0,0.0,1529.0,4.0,1.0,1706.0,4.0,1.0,450.0,2828.0,3278.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1816.0,1816.0,0.0,496248.0,722.0,496970.0,2013,MAY,2.0,2013-05-01
Butte,2085.0,11.0,0.0,12438.0,38.0,14.0,14523.0,49.0,14.0,5172.0,24637.0,29809.0,27.0,11.0,100.0,41.0,127.0,52.0,0.0,15.0,15.0,0.0,0.0,0.0,15522.0,15522.0,0.0,4453539.0,8573.0,4462112.0,2013,MAY,2.0,2013-05-01
Calaveras,310.0,0.0,0.0,2248.0,5.0,1.0,2558.0,5.0,1.0,812.0,4144.0,4956.0,0.0,0.0,16.0,5.0,16.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,2683.0,2683.0,0.0,751380.0,532.0,751912.0,2013,MAY,2.0,2013-05-01
Colusa,113.0,1.0,0.0,608.0,6.0,1.0,721.0,7.0,1.0,295.0,1490.0,1785.0,4.0,1.0,17.0,7.0,21.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,791.0,791.0,0.0,249393.0,901.0,250294.0,2013,MAY,2.0,2013-05-01
Contra Costa,5742.0,62.0,0.0,27003.0,269.0,89.0,32745.0,331.0,89.0,13567.0,53858.0,67425.0,161.0,74.0,656.0,327.0,817.0,401.0,0.0,127.0,127.0,0.0,0.0,0.0,36226.0,36226.0,0.0,10790025.0,66601.0,10856626.0,2013,MAY,2.0,2013-05-01
Del Norte,440.0,0.0,0.0,2108.0,3.0,6.0,2548.0,3.0,6.0,1139.0,3996.0,5135.0,0.0,0.0,9.0,3.0,9.0,3.0,0.0,7.0,7.0,0.0,0.0,0.0,2692.0,2692.0,0.0,763825.35,1690.0,765515.35,2013,MAY,2.0,2013-05-01
El Dorado,621.0,1.0,0.0,5822.0,22.0,13.0,6443.0,23.0,13.0,1578.0,10271.0,11849.0,1.0,1.0,62.0,23.0,63.0,24.0,0.0,17.0,17.0,0.0,0.0,0.0,6922.0,6922.0,0.0,1805555.0,5861.0,1811416.0,2013,MAY,2.0,2013-05-01
