county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,total_households,quarter,fulldate
California,301169.0,4125.0,120.0,1617216.0,19030.0,8371.0,1918385.0,23155.0,8492.0,750292.0,3392034.0,4142326.0,8644.0,5309.0,47399.0,23185.0,56043.0,28494.0,211.0,11069.0,11280.0,0.0,0.0,0.0,2664146.0,2664146.0,0.0,642882699.26,5217318.05,648100017.31,2013,AUG,1950031.0,3.0,2013-08-01
Alameda,9851.0,260.0,6.0,51740.0,1059.0,435.0,61591.0,1319.0,441.0,22709.0,98923.0,121632.0,565.0,298.0,2515.0,1335.0,3080.0,1633.0,6.0,558.0,564.0,0.0,0.0,0.0,63351.0,63351.0,0.0,19779979.0,284418.0,20064397.0,2013,AUG,63351.0,3.0,2013-08-01
Alpine,4.0,0.0,0.0,83.0,0.0,0.0,87.0,0.0,0.0,10.0,146.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,91.0,0.0,22745.0,0.0,22745.0,2013,AUG,87.0,3.0,2013-08-01
Amador,161.0,0.0,0.0,1517.0,6.0,1.0,1678.0,6.0,1.0,411.0,2883.0,3294.0,0.0,0.0,7.0,8.0,7.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,1811.0,1811.0,0.0,499218.0,992.0,500210.0,2013,AUG,1685.0,3.0,2013-08-01
Butte,2007.0,6.0,0.0,12722.0,40.0,18.0,14729.0,46.0,18.0,4989.0,25142.0,30131.0,13.0,6.0,108.0,44.0,121.0,50.0,0.0,22.0,22.0,0.0,0.0,0.0,15779.0,15779.0,0.0,4495771.0,8080.0,4503851.0,2013,AUG,14793.0,3.0,2013-08-01
Calaveras,273.0,0.0,0.0,2270.0,7.0,1.0,2543.0,7.0,1.0,713.0,4203.0,4916.0,0.0,0.0,18.0,7.0,18.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,2681.0,2681.0,0.0,737431.0,870.0,738301.0,2013,AUG,2551.0,3.0,2013-08-01
Colusa,101.0,0.0,0.0,596.0,3.0,3.0,697.0,3.0,3.0,247.0,1416.0,1663.0,0.0,0.0,9.0,4.0,9.0,4.0,0.0,5.0,5.0,0.0,0.0,0.0,756.0,756.0,0.0,229610.0,1339.0,230949.0,2013,AUG,703.0,3.0,2013-08-01
Contra Costa,5567.0,60.0,1.0,26981.0,250.0,95.0,32548.0,310.0,96.0,13229.0,53840.0,67069.0,142.0,71.0,616.0,298.0,758.0,369.0,3.0,132.0,135.0,0.0,0.0,0.0,36272.0,36272.0,0.0,10759147.0,66807.0,10825954.0,2013,AUG,32954.0,3.0,2013-08-01
Del Norte,415.0,1.0,0.0,2080.0,2.0,5.0,2495.0,3.0,5.0,1086.0,3982.0,5068.0,1.0,1.0,7.0,2.0,8.0,3.0,0.0,6.0,6.0,0.0,0.0,0.0,2636.0,2636.0,0.0,756091.71,2636.0,758727.71,2013,AUG,2503.0,3.0,2013-08-01
El Dorado,565.0,0.0,0.0,5721.0,23.0,12.0,6286.0,23.0,12.0,1414.0,10118.0,11532.0,0.0,0.0,64.0,26.0,64.0,26.0,0.0,16.0,16.0,0.0,0.0,0.0,6744.0,6744.0,0.0,1761978.0,5382.0,1767360.0,2013,AUG,6321.0,3.0,2013-08-01
Fresno,15271.0,124.0,3.0,74971.0,509.0,116.0,90242.0,633.0,119.0,40892.0,174904.0,215796.0,300.0,128.0,1471.0,578.0,1771.0,706.0,3.0,143.0,146.0,0.0,0.0,0.0,97699.0,97699.0,0.0,32741792.0,117171.0,32858963.0,2013,AUG,90994.0,3.0,2013-08-01
Glenn,222.0,3.0,0.0,1198.0,11.0,0.0,1420.0,14.0,0.0,598.0,2878.0,3476.0,17.0,3.0,31.0,11.0,48.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1562.0,1562.0,0.0,485537.0,1058.0,486595.0,2013,AUG,1434.0,3.0,2013-08-01
Humboldt,985.0,2.0,,7769.0,9.0,6.0,8754.0,11.0,7.0,2450.0,13973.0,16423.0,4.0,3.0,23.0,10.0,27.0,13.0,1.0,9.0,10.0,0.0,0.0,0.0,9573.0,9573.0,0.0,2530325.0,2835.0,2533160.0,2013,AUG,,3.0,2013-08-01
Imperial,2048.0,22.0,0.0,12214.0,285.0,28.0,14262.0,307.0,28.0,5594.0,30492.0,36086.0,46.0,23.0,815.0,311.0,861.0,334.0,0.0,33.0,33.0,0.0,0.0,0.0,15638.0,15638.0,0.0,5238240.0,43099.0,5281339.0,2013,AUG,14597.0,3.0,2013-08-01
Inyo,117.0,1.0,0.0,903.0,6.0,1.0,1020.0,7.0,1.0,319.0,1759.0,2078.0,2.0,2.0,16.0,8.0,18.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,1069.0,1069.0,0.0,290872.0,995.0,291867.0,2013,AUG,1028.0,3.0,2013-08-01
Kern,11339.0,37.0,3.0,47833.0,359.0,138.0,59172.0,396.0,141.0,30794.0,112175.0,142969.0,95.0,40.0,1032.0,402.0,1127.0,442.0,4.0,178.0,182.0,0.0,0.0,0.0,63447.0,63447.0,0.0,21283925.0,91055.0,21374980.0,2013,AUG,59709.0,3.0,2013-08-01
Kings,1563.0,10.0,0.0,8248.0,79.0,28.0,9811.0,89.0,28.0,4229.0,18903.0,23132.0,24.0,10.0,226.0,86.0,250.0,96.0,0.0,37.0,37.0,0.0,0.0,0.0,10602.0,10602.0,0.0,3293659.0,17359.0,3311018.0,2013,AUG,9928.0,3.0,2013-08-01
Lake,613.0,3.0,0.0,4553.0,10.0,8.0,5166.0,13.0,8.0,1539.0,8777.0,10316.0,10.0,3.0,22.0,12.0,32.0,15.0,0.0,9.0,9.0,0.0,0.0,0.0,5553.0,5553.0,0.0,1555932.0,2931.0,1558863.0,2013,AUG,5187.0,3.0,2013-08-01
