county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,total_households,big_six,quarter,fulldate
California,302616.0,4095.0,115.0,1608869.0,18881.0,8256.0,1911485.0,22985.0,8371.0,753045.0,3372747.0,4125792.0,8652.0,5270.0,47216.0,23046.0,55868.0,28316.0,201.0,10880.0,11081.0,0.0,0.0,0.0,2660854.0,2660854.0,0.0,641056668.76,5165816.47,646222485.23,2013,JUL,1942832.0,0,3.0,2013-07-01
Los Angeles,88101.0,1837.0,63.0,459046.0,5541.0,2982.0,547147.0,7378.0,3045.0,198563.0,919670.0,1118233.0,3501.0,2522.0,13351.0,6910.0,16852.0,9432.0,139.0,3856.0,3995.0,0.0,0.0,0.0,1191030.0,1191030.0,0.0,182385167.0,1868295.0,184253462.0,2013,JUL,557570.0,1,3.0,2013-07-01
San Bernardino,27503.0,160.0,7.0,130826.0,958.0,283.0,158329.0,1118.0,290.0,73803.0,295084.0,368887.0,410.0,184.0,2670.0,1097.0,3080.0,1281.0,7.0,365.0,372.0,0.0,0.0,0.0,168633.0,168633.0,0.0,55697169.0,194320.0,55891489.0,2013,JUL,159737.0,1,3.0,2013-07-01
San Diego,16655.0,295.0,3.0,103456.0,1623.0,529.0,120111.0,1918.0,532.0,44925.0,207880.0,252805.0,703.0,389.0,4076.0,1921.0,4779.0,2310.0,3.0,679.0,682.0,0.0,0.0,0.0,131592.0,131592.0,0.0,39162615.0,376645.0,39539260.0,2013,JUL,122561.0,1,3.0,2013-07-01
Riverside,19061.0,128.0,8.0,95312.0,1041.0,250.0,114373.0,1169.0,258.0,51534.0,221565.0,273099.0,332.0,144.0,3068.0,1155.0,3400.0,1299.0,11.0,308.0,319.0,0.0,0.0,0.0,122808.0,122808.0,0.0,40780177.0,191325.0,40971502.0,2013,JUL,115800.0,1,3.0,2013-07-01
Orange,13031.0,155.0,3.0,89979.0,1861.0,794.0,103010.0,2016.0,797.0,32708.0,191935.0,224643.0,342.0,195.0,4230.0,2373.0,4572.0,2568.0,7.0,1072.0,1079.0,0.0,0.0,0.0,112784.0,112784.0,0.0,34096007.0,442087.0,34538094.0,2013,JUL,105823.0,1,3.0,2013-07-01
Sacramento,16900.0,312.0,5.0,76277.0,920.0,410.0,93177.0,1232.0,415.0,42391.0,162513.0,204904.0,664.0,458.0,2250.0,1211.0,2914.0,1669.0,5.0,541.0,546.0,0.0,0.0,0.0,100853.0,100853.0,0.0,32302329.0,308584.0,32610913.0,2013,JUL,94824.0,1,3.0,2013-07-01
Fresno,15381.0,123.0,1.0,74652.0,521.0,105.0,90033.0,644.0,106.0,41048.0,174059.0,215107.0,300.0,129.0,1504.0,586.0,1804.0,715.0,1.0,130.0,131.0,0.0,0.0,0.0,97492.0,97492.0,0.0,32638692.0,112448.0,32751140.0,2013,JUL,90783.0,0,3.0,2013-07-01
Alameda,9822.0,257.0,4.0,51311.0,1046.0,435.0,61133.0,1303.0,439.0,22737.0,97867.0,120604.0,558.0,297.0,2491.0,1324.0,3049.0,1621.0,4.0,557.0,561.0,0.0,0.0,0.0,62875.0,62875.0,0.0,19542959.0,281014.0,19823973.0,2013,JUL,62875.0,0,3.0,2013-07-01
Kern,11452.0,30.0,5.0,47633.0,349.0,154.0,59085.0,379.0,159.0,30998.0,111925.0,142923.0,78.0,34.0,1028.0,390.0,1106.0,424.0,6.0,194.0,200.0,0.0,0.0,0.0,63809.0,63809.0,0.0,21379404.0,95083.0,21474487.0,2013,JUL,59623.0,0,3.0,2013-07-01
Santa Clara,6854.0,87.0,1.0,43866.0,788.0,700.0,50720.0,875.0,701.0,16224.0,90338.0,106562.0,176.0,113.0,1649.0,1074.0,1825.0,1187.0,2.0,1046.0,1048.0,0.0,0.0,0.0,55601.0,55601.0,0.0,16357018.0,311968.0,16668986.0,2013,JUL,52296.0,0,3.0,2013-07-01
San Joaquin,9269.0,55.0,1.0,37051.0,462.0,126.0,46320.0,517.0,127.0,23680.0,87297.0,110977.0,140.0,61.0,1293.0,568.0,1433.0,629.0,1.0,190.0,191.0,0.0,0.0,0.0,49668.0,49668.0,0.0,16795301.0,100688.0,16895989.0,2013,JUL,46964.0,0,3.0,2013-07-01
Tulare,8809.0,66.0,2.0,36925.0,502.0,167.0,45734.0,568.0,169.0,24110.0,88248.0,112358.0,168.0,69.0,1418.0,551.0,1586.0,620.0,2.0,208.0,210.0,0.0,0.0,0.0,49289.0,49289.0,0.0,16737796.0,103835.0,16841631.0,2013,JUL,46471.0,0,3.0,2013-07-01
Stanislaus,6721.0,22.0,0.0,34650.0,122.0,24.0,41371.0,144.0,24.0,17674.0,72812.0,90486.0,53.0,25.0,318.0,133.0,371.0,158.0,0.0,33.0,33.0,0.0,0.0,0.0,43436.0,43436.0,0.0,13478892.0,21510.0,13500402.0,2013,JUL,41539.0,0,3.0,2013-07-01
Contra Costa,5590.0,64.0,0.0,26741.0,243.0,92.0,32331.0,307.0,92.0,13215.0,53299.0,66514.0,159.0,73.0,595.0,294.0,754.0,367.0,0.0,128.0,128.0,0.0,0.0,0.0,35652.0,35652.0,0.0,10651579.0,61909.0,10713488.0,2013,JUL,32730.0,0,3.0,2013-07-01
