county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,total_households,big_six,quarter,fulldate
California,306940.0,4947.0,193.0,1746612.0,20223.0,10122.0,2053552.0,25170.0,10315.0,767346.0,3602874.0,4370220.0,10362.0,6351.0,51084.0,25922.0,61446.0,32273.0,300.0,13189.0,13489.0,0.0,0.0,0.0,2308572.0,2308572.0,0.0,638391969.76,5931453.0,644323422.76,2014,OCT,2089037.0,0,4.0,2014-10-01
Los Angeles,83942.0,2057.0,76.0,489952.0,6038.0,3599.0,573894.0,8095.0,3675.0,191735.0,965908.0,1157643.0,3929.0,2855.0,14013.0,7599.0,17942.0,10454.0,156.0,4647.0,4803.0,0.0,0.0,0.0,666746.0,666746.0,0.0,181078027.0,2383354.0,183461381.0,2014,OCT,585664.0,1,4.0,2014-10-01
San Bernardino,29299.0,180.0,7.0,145956.0,1052.0,349.0,175255.0,1232.0,356.0,78922.0,315796.0,394718.0,443.0,208.0,2829.0,1231.0,3272.0,1439.0,9.0,460.0,469.0,0.0,0.0,0.0,185603.0,185603.0,0.0,55916561.0,207367.0,56123928.0,2014,OCT,176843.0,1,4.0,2014-10-01
San Diego,20798.0,408.0,24.0,114934.0,1565.0,598.0,135732.0,1973.0,622.0,53496.0,224174.0,277670.0,877.0,484.0,3870.0,1806.0,4747.0,2290.0,27.0,765.0,792.0,0.0,0.0,0.0,163127.0,163127.0,0.0,40332012.0,352810.0,40684822.0,2014,OCT,138327.0,1,4.0,2014-10-01
Riverside,19147.0,148.0,3.0,107093.0,963.0,240.0,126240.0,1111.0,243.0,51832.0,239654.0,291486.0,380.0,170.0,2768.0,1080.0,3148.0,1250.0,3.0,307.0,310.0,0.0,0.0,0.0,135681.0,135681.0,0.0,40176184.0,163082.0,40339266.0,2014,OCT,127594.0,1,4.0,2014-10-01
Orange,13662.0,236.0,9.0,101942.0,2009.0,1067.0,115604.0,2245.0,1076.0,33846.0,228348.0,262194.0,463.0,276.0,5541.0,3279.0,6004.0,3555.0,11.0,1444.0,1455.0,0.0,0.0,0.0,125608.0,125608.0,0.0,35240269.0,522131.0,35762400.0,2014,OCT,118925.0,1,4.0,2014-10-01
Sacramento,18246.0,437.0,10.0,83685.0,924.0,541.0,101931.0,1361.0,551.0,45773.0,168695.0,214468.0,963.0,622.0,2160.0,1212.0,3123.0,1834.0,15.0,707.0,722.0,0.0,0.0,0.0,119163.0,119163.0,0.0,32427930.0,352155.0,32780085.0,2014,OCT,103843.0,1,4.0,2014-10-01
Fresno,15186.0,163.0,1.0,78418.0,537.0,178.0,93604.0,700.0,179.0,41404.0,179351.0,220755.0,395.0,179.0,1524.0,631.0,1919.0,810.0,1.0,201.0,202.0,0.0,0.0,0.0,104720.0,104720.0,0.0,33298750.0,133689.0,33432439.0,2014,OCT,94483.0,0,4.0,2014-10-01
Alameda,9049.0,255.0,4.0,52197.0,1137.0,504.0,61246.0,1392.0,508.0,20958.0,97516.0,118474.0,554.0,306.0,2570.0,1383.0,3124.0,1689.0,4.0,664.0,668.0,0.0,0.0,0.0,63146.0,63146.0,0.0,18147043.0,290964.0,18438007.0,2014,OCT,63146.0,0,4.0,2014-10-01
Kern,10941.0,51.0,4.0,50482.0,371.0,210.0,61423.0,422.0,214.0,29629.0,115687.0,145316.0,125.0,84.0,1026.0,422.0,1151.0,506.0,4.0,308.0,312.0,0.0,0.0,0.0,65713.0,65713.0,0.0,20536278.0,111936.0,20648214.0,2014,OCT,62059.0,0,4.0,2014-10-01
