county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,quarter,fulldate
California,264833.0,5072.0,198.0,1804606.0,21716.0,12541.0,2069439.0,26788.0,12739.0,671188.0,3585500.0,4256688.0,11034.0,6855.0,52010.0,26613.0,63044.0,33468.0,311.0,15900.0,16211.0,0.0,0.0,0.0,2317302.0,2317302.0,0.0,605336422.21,6088283.0,611424705.21,2016,APR,2.0,2016-04-01
Alameda,6561.0,236.0,8.0,52181.0,1372.0,653.0,58742.0,1608.0,661.0,15043.0,95598.0,110641.0,537.0,308.0,3144.0,1767.0,3681.0,2075.0,16.0,885.0,901.0,0.0,0.0,0.0,61011.0,61011.0,0.0,16449154.0,341441.0,16790595.0,2016,APR,2.0,2016-04-01
Alpine,1.0,0.0,0.0,91.0,0.0,0.0,92.0,0.0,0.0,2.0,153.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,98.0,0.0,17982.0,0.0,17982.0,2016,APR,2.0,2016-04-01
Amador,175.0,0.0,0.0,1630.0,3.0,0.0,1805.0,3.0,0.0,449.0,2955.0,3404.0,0.0,0.0,8.0,3.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1914.0,1914.0,0.0,463769.0,138.0,463907.0,2016,APR,2.0,2016-04-01
Butte,1804.0,9.0,1.0,15192.0,48.0,33.0,16996.0,57.0,34.0,4465.0,27506.0,31971.0,19.0,9.0,127.0,53.0,146.0,62.0,1.0,38.0,39.0,0.0,0.0,0.0,17968.0,17968.0,0.0,4416334.0,11459.0,4427793.0,2016,APR,2.0,2016-04-01
Calaveras,224.0,0.0,0.0,2548.0,6.0,2.0,2772.0,6.0,2.0,586.0,4546.0,5132.0,0.0,0.0,13.0,8.0,13.0,8.0,0.0,3.0,3.0,0.0,0.0,0.0,2907.0,2907.0,0.0,681730.0,1272.0,683002.0,2016,APR,2.0,2016-04-01
Colusa,88.0,3.0,0.0,539.0,1.0,2.0,627.0,4.0,2.0,232.0,1184.0,1416.0,9.0,3.0,2.0,1.0,11.0,4.0,0.0,3.0,3.0,0.0,0.0,0.0,686.0,686.0,0.0,184871.0,572.0,185443.0,2016,APR,2.0,2016-04-01
Contra Costa,4276.0,101.0,4.0,30007.0,398.0,155.0,34283.0,499.0,159.0,9905.0,57772.0,67677.0,241.0,152.0,928.0,526.0,1169.0,678.0,8.0,204.0,212.0,0.0,0.0,0.0,40718.0,40718.0,0.0,9884584.0,92160.0,9976744.0,2016,APR,2.0,2016-04-01
Del Norte,430.0,0.0,0.0,2208.0,2.0,0.0,2638.0,2.0,0.0,1195.0,4167.0,5362.0,0.0,0.0,5.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2777.0,2777.0,0.0,726193.0,99.0,726292.0,2016,APR,2.0,2016-04-01
El Dorado,551.0,2.0,0.0,6643.0,29.0,7.0,7194.0,31.0,7.0,1339.0,11385.0,12724.0,5.0,2.0,77.0,34.0,82.0,36.0,0.0,8.0,8.0,0.0,0.0,0.0,7572.0,7572.0,0.0,1744700.0,3535.0,1748235.0,2016,APR,2.0,2016-04-01
Fresno,13463.0,222.0,10.0,82535.0,651.0,187.0,95998.0,873.0,197.0,36579.0,184696.0,221275.0,564.0,267.0,1769.0,749.0,2333.0,1016.0,23.0,223.0,246.0,0.0,0.0,0.0,107772.0,107772.0,0.0,32587616.0,163000.0,32750616.0,2016,APR,2.0,2016-04-01
Glenn,229.0,2.0,0.0,1327.0,10.0,0.0,1556.0,12.0,0.0,609.0,2987.0,3596.0,10.0,2.0,36.0,11.0,46.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1675.0,1675.0,0.0,452946.0,1110.0,454056.0,2016,APR,2.0,2016-04-01
Humboldt,948.0,0.0,0.0,11607.0,20.0,7.0,12555.0,20.0,7.0,2348.0,18935.0,21283.0,0.0,0.0,45.0,24.0,45.0,24.0,0.0,9.0,9.0,0.0,0.0,0.0,13260.0,13260.0,0.0,2977587.0,3644.0,2981231.0,2016,APR,2.0,2016-04-01
Imperial,2301.0,35.0,3.0,14596.0,312.0,50.0,16897.0,347.0,53.0,6529.0,34531.0,41060.0,92.0,36.0,840.0,343.0,932.0,379.0,3.0,58.0,61.0,0.0,0.0,0.0,18171.0,18171.0,0.0,5370526.0,45356.0,5415882.0,2016,APR,2.0,2016-04-01
Inyo,102.0,0.0,1.0,953.0,7.0,0.0,1055.0,7.0,1.0,283.0,1781.0,2064.0,0.0,0.0,16.0,8.0,16.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,1105.0,1105.0,0.0,260394.0,291.0,260685.0,2016,APR,2.0,2016-04-01
Kern,10472.0,59.0,3.0,59754.0,494.0,268.0,70226.0,553.0,271.0,28166.0,134880.0,163046.0,152.0,64.0,1369.0,546.0,1521.0,610.0,3.0,402.0,405.0,0.0,0.0,0.0,74839.0,74839.0,0.0,22229122.0,133424.0,22362546.0,2016,APR,2.0,2016-04-01
Kings,1447.0,16.0,0.0,9258.0,120.0,27.0,10705.0,136.0,27.0,3944.0,20378.0,24322.0,47.0,16.0,345.0,127.0,392.0,143.0,0.0,34.0,34.0,0.0,0.0,0.0,11403.0,11403.0,0.0,3192604.0,18506.0,3211110.0,2016,APR,2.0,2016-04-01
Lake,606.0,2.0,0.0,6048.0,29.0,9.0,6654.0,31.0,9.0,1580.0,10944.0,12524.0,6.0,2.0,72.0,35.0,78.0,37.0,0.0,10.0,10.0,0.0,0.0,0.0,7000.0,7000.0,0.0,1732984.0,5236.0,1738220.0,2016,APR,2.0,2016-04-01
Lassen,226.0,1.0,0.0,1323.0,3.0,0.0,1549.0,4.0,0.0,620.0,2512.0,3132.0,2.0,2.0,14.0,4.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1626.0,1626.0,0.0,434512.0,419.0,434931.0,2016,APR,2.0,2016-04-01
Los Angeles,79229.0,2208.0,85.0,469136.0,5778.0,4843.0,548365.0,7986.0,4928.0,187732.0,893333.0,1081065.0,4373.0,3094.0,13341.0,7341.0,17714.0,10435.0,135.0,6023.0,6158.0,0.0,0.0,0.0,646986.0,646986.0,0.0,162594650.0,2259087.0,164853737.0,2016,APR,2.0,2016-04-01
Madera,1922.0,10.0,1.0,10187.0,59.0,8.0,12109.0,69.0,9.0,5256.0,24086.0,29342.0,26.0,10.0,188.0,69.0,214.0,79.0,1.0,11.0,12.0,0.0,0.0,0.0,9124.0,9124.0,0.0,3967375.0,7744.0,3975119.0,2016,APR,2.0,2016-04-01
Marin,557.0,40.0,4.0,5385.0,204.0,62.0,5942.0,244.0,66.0,1209.0,8256.0,9465.0,97.0,45.0,399.0,258.0,496.0,303.0,5.0,82.0,87.0,0.0,0.0,0.0,6493.0,6493.0,0.0,1428193.0,33312.0,1461505.0,2016,APR,2.0,2016-04-01
Mariposa,117.0,1.0,0.0,1019.0,2.0,2.0,1136.0,3.0,2.0,348.0,1743.0,2091.0,1.0,1.0,4.0,2.0,5.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,1205.0,1205.0,0.0,285464.0,796.0,286260.0,2016,APR,2.0,2016-04-01
Mendocino,634.0,2.0,1.0,6129.0,38.0,12.0,6763.0,40.0,13.0,1624.0,10926.0,12550.0,7.0,2.0,105.0,40.0,112.0,42.0,1.0,15.0,16.0,0.0,0.0,0.0,7208.0,7208.0,0.0,1807305.0,6607.0,1813912.0,2016,APR,2.0,2016-04-01
Merced,4279.0,26.0,0.0,20581.0,87.0,15.0,24860.0,113.0,15.0,11520.0,45765.0,57285.0,50.0,27.0,242.0,94.0,292.0,121.0,0.0,17.0,17.0,0.0,0.0,0.0,25936.0,25936.0,0.0,7704565.0,13160.0,7717725.0,2016,APR,2.0,2016-04-01
Modoc,66.0,2.0,0.0,425.0,1.0,0.0,491.0,3.0,0.0,167.0,873.0,1040.0,2.0,2.0,5.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,516.0,516.0,0.0,140875.0,242.0,141117.0,2016,APR,2.0,2016-04-01
