county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,quarter,fulldate
California,272014.0,4793.0,167.0,1834224.0,21686.0,11273.0,2106238.0,26479.0,11440.0,686542.0,3674365.0,4360907.0,10208.0,6423.0,51811.0,26510.0,62019.0,32933.0,257.0,14476.0,14733.0,0.0,0.0,0.0,2343161.0,2343161.0,0.0,620232739.4,6101626.87,626334366.27,2015,NOV,4.0,2015-11-01
Alameda,7278.0,221.0,2.0,52716.0,1284.0,606.0,59994.0,1505.0,608.0,16818.0,98026.0,114844.0,509.0,281.0,2929.0,1637.0,3438.0,1918.0,3.0,857.0,860.0,0.0,0.0,0.0,62107.0,62107.0,0.0,16968172.0,319251.0,17287423.0,2015,NOV,4.0,2015-11-01
Alpine,3.0,0.0,0.0,97.0,0.0,0.0,100.0,0.0,0.0,5.0,162.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,105.0,0.0,19851.0,0.0,19851.0,2015,NOV,4.0,2015-11-01
Amador,169.0,0.0,0.0,1582.0,3.0,0.0,1751.0,3.0,0.0,439.0,2892.0,3331.0,0.0,0.0,8.0,3.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1827.0,1827.0,0.0,450913.0,124.0,451037.0,2015,NOV,4.0,2015-11-01
Butte,1787.0,10.0,3.0,15013.0,51.0,24.0,16800.0,61.0,27.0,4375.0,27620.0,31995.0,29.0,11.0,129.0,54.0,158.0,65.0,3.0,31.0,34.0,0.0,0.0,0.0,18086.0,18086.0,0.0,4481527.0,12376.0,4493903.0,2015,NOV,4.0,2015-11-01
Calaveras,242.0,1.0,0.0,2596.0,7.0,4.0,2838.0,8.0,4.0,634.0,4625.0,5259.0,2.0,1.0,14.0,10.0,16.0,11.0,0.0,5.0,5.0,0.0,0.0,0.0,2985.0,2985.0,0.0,708116.0,1958.0,710074.0,2015,NOV,4.0,2015-11-01
Colusa,88.0,2.0,0.0,498.0,1.0,2.0,586.0,3.0,2.0,233.0,1081.0,1314.0,4.0,2.0,2.0,1.0,6.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,638.0,638.0,0.0,177288.0,583.0,177871.0,2015,NOV,4.0,2015-11-01
Contra Costa,4689.0,91.0,0.0,30404.0,384.0,155.0,35093.0,475.0,155.0,10901.0,58957.0,69858.0,209.0,122.0,855.0,492.0,1064.0,614.0,0.0,193.0,193.0,0.0,0.0,0.0,41454.0,41454.0,0.0,10294577.0,90790.0,10385367.0,2015,NOV,4.0,2015-11-01
Del Norte,410.0,0.0,0.0,2168.0,3.0,0.0,2578.0,3.0,0.0,1140.0,4117.0,5257.0,0.0,0.0,9.0,3.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2697.0,2697.0,0.0,712698.0,154.0,712852.0,2015,NOV,4.0,2015-11-01
El Dorado,571.0,1.0,0.0,6566.0,29.0,10.0,7137.0,30.0,10.0,1410.0,11315.0,12725.0,1.0,1.0,75.0,34.0,76.0,35.0,0.0,10.0,10.0,0.0,0.0,0.0,7491.0,7491.0,0.0,1742709.0,5954.0,1748663.0,2015,NOV,4.0,2015-11-01
Fresno,13934.0,204.0,12.0,83025.0,604.0,169.0,96959.0,808.0,181.0,38127.0,186156.0,224283.0,515.0,230.0,1648.0,703.0,2163.0,933.0,13.0,204.0,217.0,0.0,0.0,0.0,107978.0,107978.0,0.0,32930041.0,147167.0,33077208.0,2015,NOV,4.0,2015-11-01
Glenn,208.0,1.0,0.0,1265.0,11.0,1.0,1473.0,12.0,1.0,553.0,2857.0,3410.0,6.0,1.0,39.0,12.0,45.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,1584.0,1584.0,0.0,426671.0,935.0,427606.0,2015,NOV,4.0,2015-11-01
Humboldt,995.0,2.0,1.0,11302.0,17.0,9.0,12297.0,19.0,10.0,2467.0,18719.0,21186.0,4.0,3.0,35.0,20.0,39.0,23.0,1.0,11.0,12.0,0.0,0.0,0.0,12991.0,12991.0,0.0,2976059.0,3823.0,2979882.0,2015,NOV,4.0,2015-11-01
Imperial,2444.0,28.0,1.0,14883.0,349.0,44.0,17327.0,377.0,45.0,7035.0,35718.0,42753.0,70.0,30.0,943.0,386.0,1013.0,416.0,1.0,49.0,50.0,0.0,0.0,0.0,18574.0,18574.0,0.0,5692306.0,50121.0,5742427.0,2015,NOV,4.0,2015-11-01
Inyo,116.0,0.0,1.0,942.0,7.0,2.0,1058.0,7.0,3.0,339.0,1732.0,2071.0,0.0,0.0,15.0,9.0,15.0,9.0,1.0,2.0,3.0,0.0,0.0,0.0,1128.0,1128.0,0.0,267592.0,1055.0,268647.0,2015,NOV,4.0,2015-11-01
Kern,11165.0,49.0,4.0,60617.0,450.0,264.0,71782.0,499.0,268.0,29614.0,134105.0,163719.0,119.0,54.0,1218.0,491.0,1337.0,545.0,4.0,403.0,407.0,0.0,0.0,0.0,73075.0,73075.0,0.0,21763236.0,121457.0,21884693.0,2015,NOV,4.0,2015-11-01
Kings,1464.0,16.0,0.0,9145.0,106.0,23.0,10609.0,122.0,23.0,4028.0,20189.0,24217.0,39.0,16.0,305.0,117.0,344.0,133.0,0.0,28.0,28.0,0.0,0.0,0.0,11395.0,11395.0,0.0,3202240.0,16932.0,3219172.0,2015,NOV,4.0,2015-11-01
Lake,625.0,1.0,0.0,5915.0,27.0,8.0,6540.0,28.0,8.0,1606.0,10863.0,12469.0,2.0,1.0,72.0,32.0,74.0,33.0,0.0,11.0,11.0,0.0,0.0,0.0,6895.0,6895.0,0.0,1738955.0,4757.0,1743712.0,2015,NOV,4.0,2015-11-01
Lassen,253.0,1.0,0.0,1274.0,2.0,0.0,1527.0,3.0,0.0,711.0,2425.0,3136.0,2.0,1.0,2.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1647.0,1647.0,0.0,445993.0,363.0,446356.0,2015,NOV,4.0,2015-11-01
Los Angeles,77315.0,2103.0,70.0,493660.0,6004.0,3768.0,570975.0,8107.0,3838.0,177883.0,955108.0,1132991.0,4035.0,2977.0,13898.0,7589.0,17933.0,10566.0,132.0,4813.0,4945.0,0.0,0.0,0.0,660653.0,660653.0,0.0,170109896.0,2357668.0,172467564.0,2015,NOV,4.0,2015-11-01
Madera,1847.0,12.0,1.0,10227.0,52.0,7.0,12074.0,64.0,8.0,5109.0,24350.0,29459.0,29.0,12.0,172.0,61.0,201.0,73.0,1.0,11.0,12.0,0.0,0.0,0.0,9086.0,9086.0,0.0,3955899.0,8315.0,3964214.0,2015,NOV,4.0,2015-11-01
Marin,578.0,39.0,5.0,5574.0,186.0,53.0,6152.0,225.0,58.0,1250.0,8528.0,9778.0,84.0,42.0,384.0,233.0,468.0,275.0,5.0,71.0,76.0,0.0,0.0,0.0,6696.0,6696.0,0.0,1483749.0,31341.0,1515090.0,2015,NOV,4.0,2015-11-01
Mariposa,135.0,0.0,0.0,967.0,0.0,0.0,1102.0,0.0,0.0,393.0,1671.0,2064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1158.0,1158.0,0.0,274413.0,0.0,274413.0,2015,NOV,4.0,2015-11-01
