county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,total_households,quarter,fulldate
California,274945.0,4708.0,174.0,1834939.0,21691.0,11272.0,2109884.0,26399.0,11446.0,693699.0,3685902.0,4379601.0,10051.0,6303.0,51561.0,26368.0,61612.0,32671.0,274.0,14570.0,14844.0,0.0,0.0,0.0,2380154.0,2380154.0,0.0,625117732.23,6133249.8,631250982.03,2015,SEP,2147729.0,3.0,2015-09-01
Alameda,7582.0,228.0,3.0,52867.0,1238.0,593.0,60449.0,1466.0,596.0,17575.0,97918.0,115493.0,504.0,296.0,2821.0,1567.0,3325.0,1863.0,4.0,829.0,833.0,0.0,0.0,0.0,62511.0,62511.0,0.0,17366774.0,317537.0,17684311.0,2015,SEP,62511.0,3.0,2015-09-01
Alpine,3.0,0.0,0.0,95.0,0.0,0.0,98.0,0.0,0.0,5.0,161.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,105.0,0.0,19734.0,0.0,19734.0,2015,SEP,98.0,3.0,2015-09-01
Amador,166.0,0.0,0.0,1607.0,2.0,0.0,1773.0,2.0,0.0,426.0,2975.0,3401.0,0.0,0.0,5.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1935.0,1935.0,0.0,458987.0,119.0,459106.0,2015,SEP,1775.0,3.0,2015-09-01
Butte,1851.0,9.0,2.0,14718.0,51.0,25.0,16569.0,60.0,27.0,4565.0,27393.0,31958.0,26.0,10.0,132.0,54.0,158.0,64.0,2.0,30.0,32.0,0.0,0.0,0.0,17715.0,17715.0,0.0,4436406.0,11182.0,4447588.0,2015,SEP,16656.0,3.0,2015-09-01
Calaveras,251.0,1.0,0.0,2632.0,7.0,4.0,2883.0,8.0,4.0,656.0,4739.0,5395.0,2.0,1.0,14.0,10.0,16.0,11.0,0.0,5.0,5.0,0.0,0.0,0.0,3133.0,3133.0,0.0,737954.0,1733.0,739687.0,2015,SEP,2895.0,3.0,2015-09-01
Colusa,83.0,2.0,0.0,538.0,0.0,1.0,621.0,2.0,1.0,217.0,1202.0,1419.0,4.0,2.0,0.0,0.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,649.0,649.0,0.0,181266.0,491.0,181757.0,2015,SEP,624.0,3.0,2015-09-01
Contra Costa,4849.0,93.0,1.0,30351.0,363.0,143.0,35200.0,456.0,144.0,11448.0,58748.0,70196.0,213.0,126.0,825.0,457.0,1038.0,583.0,1.0,176.0,177.0,0.0,0.0,0.0,41847.0,41847.0,0.0,10430744.0,84403.0,10515147.0,2015,SEP,35800.0,3.0,2015-09-01
Del Norte,413.0,0.0,0.0,2137.0,2.0,0.0,2550.0,2.0,0.0,1142.0,4125.0,5267.0,0.0,0.0,7.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2691.0,2691.0,0.0,713443.0,0.0,713443.0,2015,SEP,2552.0,3.0,2015-09-01
El Dorado,575.0,1.0,1.0,6644.0,31.0,11.0,7219.0,32.0,12.0,1412.0,11472.0,12884.0,1.0,1.0,82.0,36.0,83.0,37.0,1.0,12.0,13.0,0.0,0.0,0.0,7634.0,7634.0,0.0,1762598.0,4683.0,1767281.0,2015,SEP,7263.0,3.0,2015-09-01
Fresno,13893.0,177.0,16.0,83314.0,604.0,178.0,97207.0,781.0,194.0,37949.0,187056.0,225005.0,447.0,198.0,1614.0,701.0,2061.0,899.0,24.0,215.0,239.0,0.0,0.0,0.0,108892.0,108892.0,0.0,33051997.0,146184.0,33198181.0,2015,SEP,98182.0,3.0,2015-09-01
Glenn,218.0,2.0,0.0,1285.0,10.0,0.0,1503.0,12.0,0.0,588.0,2932.0,3520.0,7.0,2.0,31.0,11.0,38.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1621.0,1621.0,0.0,445305.0,932.0,446237.0,2015,SEP,1515.0,3.0,2015-09-01
Humboldt,1019.0,3.0,0.0,11108.0,20.0,9.0,12127.0,23.0,9.0,2551.0,18540.0,21091.0,5.0,4.0,43.0,26.0,48.0,30.0,0.0,12.0,12.0,0.0,0.0,0.0,12849.0,12849.0,0.0,2934518.0,4624.0,2939142.0,2015,SEP,12159.0,3.0,2015-09-01
Imperial,2411.0,28.0,1.0,14816.0,378.0,49.0,17227.0,406.0,50.0,6922.0,35676.0,42598.0,69.0,30.0,1041.0,421.0,1110.0,451.0,1.0,57.0,58.0,0.0,0.0,0.0,18703.0,18703.0,0.0,5682818.0,51441.0,5734259.0,2015,SEP,17683.0,3.0,2015-09-01
Inyo,102.0,0.0,0.0,944.0,6.0,3.0,1046.0,6.0,3.0,292.0,1748.0,2040.0,0.0,0.0,14.0,8.0,14.0,8.0,0.0,3.0,3.0,0.0,0.0,0.0,1108.0,1108.0,0.0,262271.0,941.0,263212.0,2015,SEP,1055.0,3.0,2015-09-01
Kern,10931.0,49.0,4.0,57380.0,379.0,269.0,68311.0,428.0,273.0,29708.0,129978.0,159686.0,114.0,56.0,1064.0,416.0,1178.0,472.0,4.0,435.0,439.0,0.0,0.0,0.0,72643.0,72643.0,0.0,21618842.0,116195.0,21735037.0,2015,SEP,69012.0,3.0,2015-09-01
Kings,1501.0,17.0,0.0,9121.0,89.0,26.0,10622.0,106.0,26.0,4144.0,20205.0,24349.0,40.0,18.0,255.0,101.0,295.0,119.0,0.0,31.0,31.0,0.0,0.0,0.0,11394.0,11394.0,0.0,3181284.0,14300.0,3195584.0,2015,SEP,10754.0,3.0,2015-09-01
Lake,624.0,0.0,0.0,5833.0,23.0,7.0,6457.0,23.0,7.0,1590.0,10804.0,12394.0,0.0,0.0,62.0,29.0,62.0,29.0,0.0,9.0,9.0,0.0,0.0,0.0,8292.0,8292.0,0.0,1693421.0,3521.0,1696942.0,2015,SEP,6487.0,3.0,2015-09-01
Lassen,263.0,1.0,0.0,1274.0,3.0,1.0,1537.0,4.0,1.0,736.0,2439.0,3175.0,2.0,1.0,4.0,4.0,6.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1648.0,1648.0,0.0,444136.0,577.0,444713.0,2015,SEP,1542.0,3.0,2015-09-01
Los Angeles,76544.0,2091.0,69.0,499279.0,6124.0,3782.0,575823.0,8215.0,3851.0,174254.0,972034.0,1146288.0,4006.0,2945.0,14144.0,7675.0,18150.0,10620.0,125.0,4849.0,4974.0,0.0,0.0,0.0,690014.0,690014.0,0.0,172485219.0,2418458.0,174903677.0,2015,SEP,587889.0,3.0,2015-09-01
Madera,1911.0,10.0,1.0,10119.0,56.0,6.0,12030.0,66.0,7.0,5270.0,24198.0,29468.0,21.0,10.0,176.0,62.0,197.0,72.0,1.0,10.0,11.0,0.0,0.0,0.0,9071.0,9071.0,0.0,3918918.0,6600.0,3925518.0,2015,SEP,12103.0,3.0,2015-09-01
Marin,602.0,43.0,5.0,5573.0,187.0,56.0,6175.0,230.0,61.0,1283.0,8517.0,9800.0,85.0,49.0,393.0,239.0,478.0,288.0,5.0,74.0,79.0,0.0,0.0,0.0,6739.0,6739.0,0.0,1481361.0,33291.0,1514652.0,2015,SEP,6466.0,3.0,2015-09-01
Mariposa,148.0,0.0,0.0,961.0,0.0,0.0,1109.0,0.0,0.0,429.0,1665.0,2094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1182.0,1182.0,0.0,283313.0,0.0,283313.0,2015,SEP,1109.0,3.0,2015-09-01
Mendocino,769.0,2.0,1.0,6303.0,37.0,13.0,7072.0,39.0,14.0,1971.0,11249.0,13220.0,7.0,2.0,101.0,43.0,108.0,45.0,1.0,17.0,18.0,0.0,0.0,0.0,7905.0,7905.0,0.0,1919012.0,6700.0,1925712.0,2015,SEP,7125.0,3.0,2015-09-01
Merced,4344.0,29.0,0.0,20795.0,65.0,11.0,25139.0,94.0,11.0,11810.0,46028.0,57838.0,77.0,31.0,185.0,69.0,262.0,100.0,0.0,13.0,13.0,0.0,0.0,0.0,26275.0,26275.0,0.0,7788734.0,8359.0,7797093.0,2015,SEP,25244.0,3.0,2015-09-01
Modoc,79.0,0.0,0.0,369.0,0.0,0.0,448.0,0.0,0.0,214.0,763.0,977.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485.0,485.0,0.0,127606.0,0.0,127606.0,2015,SEP,448.0,3.0,2015-09-01
