county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,total_households,big_six,quarter,fulldate
California,247580.0,4865.0,319.0,1703792.0,20445.0,10452.0,1951372.0,25310.0,10771.0,632213.0,3379628.0,4011841.0,10912.0,6680.0,49014.0,25164.0,59926.0,31844.0,424.0,13459.0,13883.0,,,,2105620.0,2105620.0,0.0,559715330.0,5287255.0,565002585.0,2017,APR,1987453.0,False,2.0,2017-04-01
Los Angeles,82474.0,2223.0,240.0,437283.0,5128.0,3231.0,519757.0,7351.0,3471.0,201601.0,835875.0,1037476.0,4657.0,3087.0,11841.0,6384.0,16498.0,9471.0,292.0,4159.0,4451.0,,,,562045.0,562045.0,0.0,151254916.0,1713486.0,152968402.0,2017,APR,530579.0,True,2.0,2017-04-01
San Bernardino,23171.0,144.0,9.0,142151.0,893.0,321.0,165322.0,1037.0,330.0,61070.0,298567.0,359637.0,353.0,167.0,2332.0,1055.0,2685.0,1222.0,13.0,438.0,451.0,,,,174008.0,174008.0,0.0,48882890.0,182182.0,49065072.0,2017,APR,166689.0,True,2.0,2017-04-01
San Diego,12099.0,305.0,9.0,118564.0,1700.0,745.0,130663.0,2005.0,754.0,33404.0,227862.0,261266.0,670.0,404.0,4060.0,2017.0,4730.0,2421.0,16.0,937.0,953.0,,,,155720.0,155720.0,0.0,35226721.0,361587.0,35588308.0,2017,APR,133422.0,True,2.0,2017-04-01
Riverside,14350.0,95.0,8.0,106523.0,761.0,169.0,120873.0,856.0,177.0,38864.0,227395.0,266259.0,249.0,118.0,2105.0,864.0,2354.0,982.0,11.0,222.0,233.0,,,,126971.0,126971.0,0.0,35454026.0,117954.0,35571980.0,2017,APR,121906.0,True,2.0,2017-04-01
Orange,9651.0,202.0,4.0,103232.0,2028.0,1085.0,112883.0,2230.0,1089.0,24920.0,202964.0,227884.0,448.0,290.0,4345.0,2585.0,4793.0,2875.0,8.0,1457.0,1465.0,,,,121540.0,121540.0,0.0,31233396.0,491740.0,31725136.0,2017,APR,116202.0,True,2.0,2017-04-01
Sacramento,13809.0,599.0,4.0,82601.0,1136.0,567.0,96410.0,1735.0,571.0,36155.0,163500.0,199655.0,1448.0,1010.0,2646.0,1661.0,4094.0,2671.0,9.0,758.0,767.0,,,,112693.0,112693.0,0.0,28695840.0,393111.0,29088951.0,2017,APR,98716.0,True,2.0,2017-04-01
Fresno,11980.0,189.0,16.0,76482.0,673.0,204.0,88462.0,862.0,220.0,32508.0,171746.0,204254.0,491.0,230.0,1821.0,780.0,2312.0,1010.0,27.0,259.0,286.0,,,,102544.0,102544.0,0.0,30196401.0,160417.0,30356818.0,2017,APR,89544.0,False,2.0,2017-04-01
Kern,9731.0,58.0,2.0,58602.0,464.0,254.0,68333.0,522.0,256.0,25963.0,132430.0,158393.0,148.0,67.0,1291.0,510.0,1439.0,577.0,2.0,402.0,404.0,,,,72628.0,72628.0,0.0,21110384.0,125425.0,21235809.0,2017,APR,69111.0,False,2.0,2017-04-01
Alameda,5333.0,218.0,7.0,49201.0,1370.0,675.0,54534.0,1588.0,682.0,12186.0,89262.0,101448.0,504.0,292.0,3097.0,1808.0,3601.0,2100.0,11.0,889.0,900.0,,,,56804.0,56804.0,0.0,14801218.0,337656.0,15138874.0,2017,APR,56804.0,False,2.0,2017-04-01
Tulare,7353.0,66.0,0.0,43123.0,769.0,209.0,50476.0,835.0,209.0,20145.0,96702.0,116847.0,158.0,74.0,2128.0,855.0,2286.0,929.0,0.0,259.0,259.0,,,,59238.0,59238.0,0.0,16035963.0,135153.0,16171116.0,2017,APR,51520.0,False,2.0,2017-04-01
San Joaquin,6664.0,55.0,0.0,41560.0,426.0,149.0,48224.0,481.0,149.0,16391.0,90263.0,106654.0,130.0,64.0,1209.0,524.0,1339.0,588.0,0.0,212.0,212.0,,,,51181.0,51181.0,0.0,14276916.0,86496.0,14363412.0,2017,APR,48854.0,False,2.0,2017-04-01
Santa Clara,3917.0,94.0,2.0,42477.0,819.0,602.0,46394.0,913.0,604.0,9510.0,80013.0,89523.0,204.0,120.0,1776.0,1047.0,1980.0,1167.0,2.0,870.0,872.0,,,,49878.0,49878.0,0.0,12310856.0,225510.0,12536366.0,2017,APR,47911.0,False,2.0,2017-04-01
Stanislaus,5235.0,31.0,0.0,34320.0,181.0,31.0,39555.0,212.0,31.0,13615.0,68873.0,82488.0,87.0,37.0,521.0,202.0,608.0,239.0,0.0,40.0,40.0,,,,41336.0,41336.0,0.0,11121430.0,27096.0,11148526.0,2017,APR,39798.0,False,2.0,2017-04-01
Ventura,2750.0,21.0,0.0,32329.0,327.0,223.0,35079.0,348.0,223.0,7035.0,63001.0,70036.0,49.0,29.0,777.0,384.0,826.0,413.0,0.0,287.0,287.0,,,,10771.0,10771.0,0.0,9461473.0,122887.0,9584360.0,2017,APR,35650.0,False,2.0,2017-04-01
San Francisco,1940.0,104.0,6.0,29818.0,759.0,1115.0,31758.0,863.0,1121.0,4130.0,42764.0,46894.0,191.0,123.0,1396.0,957.0,1587.0,1080.0,11.0,1149.0,1160.0,,,,36657.0,36657.0,0.0,6943761.0,286152.0,7229913.0,2017,APR,33742.0,False,2.0,2017-04-01
Contra Costa,3774.0,110.0,2.0,26897.0,377.0,121.0,30671.0,487.0,123.0,8732.0,51778.0,60510.0,258.0,162.0,888.0,492.0,1146.0,654.0,2.0,163.0,165.0,,,,36603.0,36603.0,0.0,8737565.0,80747.0,8818312.0,2017,APR,31281.0,False,2.0,2017-04-01
Merced,3580.0,15.0,0.0,20063.0,79.0,17.0,23643.0,94.0,17.0,9664.0,44927.0,54591.0,34.0,19.0,231.0,87.0,265.0,106.0,0.0,17.0,17.0,,,,24859.0,24859.0,0.0,7178401.0,11918.0,7190319.0,2017,APR,23754.0,False,2.0,2017-04-01
