county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,total_households,big_six,quarter,fulldate
California,244081.0,4860.0,297.0,1707219.0,20362.0,10400.0,1951300.0,25222.0,10697.0,623007.0,3375999.0,3999006.0,10938.0,6655.0,48764.0,24972.0,59702.0,31627.0,386.0,13384.0,13770.0,0.0,0.0,0.0,2140060.0,2140060.0,0.0,558534987.0,5283329.0,563818316.0,2017,MAY,1987219.0,0,2.0,2017-05-01
Los Angeles,81382.0,2243.0,220.0,439402.0,5148.0,3239.0,520784.0,7391.0,3459.0,198689.0,838485.0,1037174.0,4725.0,3106.0,11908.0,6382.0,16633.0,9488.0,267.0,4157.0,4424.0,0.0,0.0,0.0,564618.0,564618.0,0.0,151571798.0,1740805.0,153312603.0,2017,MAY,531634.0,1,2.0,2017-05-01
San Bernardino,22923.0,136.0,8.0,142349.0,901.0,327.0,165272.0,1037.0,335.0,60337.0,298362.0,358699.0,338.0,156.0,2336.0,1045.0,2674.0,1201.0,10.0,451.0,461.0,0.0,0.0,0.0,175684.0,175684.0,0.0,48853950.0,178544.0,49032494.0,2017,MAY,166644.0,1,2.0,2017-05-01
San Diego,11896.0,308.0,11.0,118935.0,1682.0,730.0,130831.0,1990.0,741.0,32787.0,227661.0,260448.0,679.0,405.0,3987.0,1962.0,4666.0,2367.0,15.0,932.0,947.0,0.0,0.0,0.0,155532.0,155532.0,0.0,35206863.0,362115.0,35568978.0,2017,MAY,133562.0,1,2.0,2017-05-01
Riverside,14222.0,94.0,8.0,106991.0,758.0,169.0,121213.0,852.0,177.0,38411.0,227921.0,266332.0,255.0,116.0,2102.0,867.0,2357.0,983.0,12.0,218.0,230.0,0.0,0.0,0.0,127824.0,127824.0,0.0,35505510.0,117230.0,35622740.0,2017,MAY,122242.0,1,2.0,2017-05-01
Orange,9616.0,220.0,3.0,103348.0,2040.0,1089.0,112964.0,2260.0,1092.0,24776.0,201799.0,226575.0,480.0,314.0,4321.0,2565.0,4801.0,2879.0,5.0,1454.0,1459.0,0.0,0.0,0.0,121095.0,121095.0,0.0,31057867.0,498592.0,31556459.0,2017,MAY,116316.0,1,2.0,2017-05-01
Sacramento,13749.0,580.0,6.0,82714.0,1161.0,567.0,96463.0,1741.0,573.0,36115.0,162869.0,198984.0,1402.0,959.0,2725.0,1708.0,4127.0,2667.0,9.0,745.0,754.0,0.0,0.0,0.0,113240.0,113240.0,0.0,28694414.0,396510.0,29090924.0,2017,MAY,98777.0,1,2.0,2017-05-01
Fresno,11824.0,185.0,14.0,76058.0,651.0,205.0,87882.0,836.0,219.0,32015.0,170831.0,202846.0,473.0,228.0,1785.0,749.0,2258.0,977.0,25.0,259.0,284.0,0.0,0.0,0.0,102658.0,102658.0,0.0,30044841.0,156353.0,30201194.0,2017,MAY,88937.0,0,2.0,2017-05-01
Kern,9679.0,54.0,2.0,58537.0,445.0,259.0,68216.0,499.0,261.0,25912.0,131726.0,157638.0,136.0,64.0,1261.0,491.0,1397.0,555.0,2.0,408.0,410.0,0.0,0.0,0.0,72717.0,72717.0,0.0,20984083.0,123083.0,21107166.0,2017,MAY,68976.0,0,2.0,2017-05-01
Alameda,5290.0,218.0,8.0,49565.0,1384.0,679.0,54855.0,1602.0,687.0,12166.0,89211.0,101377.0,503.0,296.0,3072.0,1804.0,3575.0,2100.0,12.0,894.0,906.0,0.0,0.0,0.0,57144.0,57144.0,0.0,14815887.0,339422.0,15155309.0,2017,MAY,57144.0,0,2.0,2017-05-01
Tulare,7227.0,65.0,0.0,43119.0,752.0,206.0,50346.0,817.0,206.0,19783.0,96093.0,115876.0,158.0,75.0,2102.0,835.0,2260.0,910.0,0.0,258.0,258.0,0.0,0.0,0.0,59214.0,59214.0,0.0,15824765.0,129680.0,15954445.0,2017,MAY,51369.0,0,2.0,2017-05-01
San Joaquin,6575.0,55.0,1.0,41570.0,422.0,159.0,48145.0,477.0,160.0,16140.0,90053.0,106193.0,135.0,65.0,1198.0,527.0,1333.0,592.0,1.0,228.0,229.0,0.0,0.0,0.0,50886.0,50886.0,0.0,14197870.0,94159.0,14292029.0,2017,MAY,48782.0,0,2.0,2017-05-01
Santa Clara,3859.0,90.0,2.0,42239.0,801.0,578.0,46098.0,891.0,580.0,9374.0,79466.0,88840.0,202.0,110.0,1740.0,1019.0,1942.0,1129.0,2.0,820.0,822.0,0.0,0.0,0.0,49593.0,49593.0,0.0,12215402.0,218596.0,12433998.0,2017,MAY,47569.0,0,2.0,2017-05-01
Stanislaus,5182.0,30.0,0.0,34308.0,183.0,29.0,39490.0,213.0,29.0,13502.0,68730.0,82232.0,86.0,37.0,537.0,208.0,623.0,245.0,0.0,37.0,37.0,0.0,0.0,0.0,41332.0,41332.0,0.0,11050529.0,24807.0,11075336.0,2017,MAY,39732.0,0,2.0,2017-05-01
Ventura,2661.0,20.0,0.0,32445.0,316.0,224.0,35106.0,336.0,224.0,6766.0,62661.0,69427.0,47.0,26.0,746.0,376.0,793.0,402.0,0.0,290.0,290.0,0.0,0.0,0.0,40919.0,40919.0,0.0,9427808.0,120045.0,9547853.0,2017,MAY,35666.0,0,2.0,2017-05-01
San Francisco,1924.0,107.0,6.0,30232.0,729.0,1071.0,32156.0,836.0,1077.0,4104.0,43099.0,47203.0,201.0,126.0,1332.0,909.0,1533.0,1035.0,13.0,1123.0,1136.0,0.0,0.0,0.0,36786.0,36786.0,0.0,6983769.0,275104.0,7258873.0,2017,MAY,34069.0,0,2.0,2017-05-01
Contra Costa,3760.0,108.0,1.0,26978.0,383.0,128.0,30738.0,491.0,129.0,8724.0,51830.0,60554.0,264.0,164.0,915.0,514.0,1179.0,678.0,1.0,167.0,168.0,0.0,0.0,0.0,36587.0,36587.0,0.0,8751353.0,82877.0,8834230.0,2017,MAY,31358.0,0,2.0,2017-05-01
Merced,3532.0,17.0,1.0,20099.0,87.0,16.0,23631.0,104.0,17.0,9527.0,45062.0,54589.0,43.0,18.0,250.0,95.0,293.0,113.0,1.0,17.0,18.0,0.0,0.0,0.0,24731.0,24731.0,0.0,7151223.0,11776.0,7162999.0,2017,MAY,23752.0,0,2.0,2017-05-01
Monterey,2791.0,24.0,0.0,19168.0,209.0,32.0,21959.0,233.0,32.0,7210.0,41163.0,48373.0,65.0,25.0,574.0,236.0,639.0,261.0,0.0,47.0,47.0,0.0,0.0,0.0,23330.0,23330.0,0.0,6521156.0,28886.0,6550042.0,2017,MAY,22224.0,0,2.0,2017-05-01
Solano,2376.0,24.0,0.0,18524.0,155.0,57.0,20900.0,179.0,57.0,5669.0,33300.0,38969.0,63.0,26.0,365.0,174.0,428.0,200.0,0.0,79.0,79.0,0.0,0.0,0.0,22380.0,22380.0,0.0,5491585.0,28528.0,5520113.0,2017,MAY,21136.0,0,2.0,2017-05-01
Santa Barbara,2197.0,16.0,0.0,16498.0,136.0,58.0,18695.0,152.0,58.0,5724.0,32423.0,38147.0,42.0,18.0,374.0,151.0,416.0,169.0,0.0,68.0,68.0,0.0,0.0,0.0,21882.0,21882.0,0.0,5257610.0,25196.0,5282806.0,2017,MAY,18905.0,0,2.0,2017-05-01
Sonoma,1295.0,42.0,0.0,15737.0,225.0,49.0,17032.0,267.0,49.0,3129.0,26453.0,29582.0,106.0,48.0,547.0,247.0,653.0,295.0,0.0,64.0,64.0,0.0,0.0,0.0,19581.0,19581.0,0.0,4026104.0,32807.0,4058911.0,2017,MAY,17348.0,0,2.0,2017-05-01
Imperial,2225.0,31.0,1.0,14454.0,317.0,51.0,16679.0,348.0,52.0,6290.0,33702.0,39992.0,80.0,32.0,900.0,344.0,980.0,376.0,1.0,54.0,55.0,0.0,0.0,0.0,17913.0,17913.0,0.0,5161519.0,40912.0,5202431.0,2017,MAY,17079.0,0,2.0,2017-05-01
Butte,1540.0,8.0,0.0,15142.0,45.0,24.0,16682.0,53.0,24.0,3818.0,27013.0,30831.0,14.0,8.0,125.0,48.0,139.0,56.0,0.0,28.0,28.0,0.0,0.0,0.0,17726.0,17726.0,0.0,4251706.0,10585.0,4262291.0,2017,MAY,16759.0,0,2.0,2017-05-01
Santa Cruz,1074.0,3.0,0.0,13705.0,48.0,9.0,14779.0,51.0,9.0,2682.0,23832.0,26514.0,9.0,3.0,126.0,57.0,135.0,60.0,0.0,12.0,12.0,0.0,0.0,0.0,16798.0,16798.0,0.0,3642656.0,7908.0,3650564.0,2017,MAY,14839.0,0,2.0,2017-05-01
San Mateo,699.0,16.0,0.0,12457.0,402.0,140.0,13156.0,418.0,140.0,1660.0,23028.0,24688.0,37.0,17.0,971.0,484.0,1008.0,501.0,0.0,185.0,185.0,0.0,0.0,0.0,15597.0,15597.0,0.0,3339456.0,60252.0,3399708.0,2017,MAY,13714.0,0,2.0,2017-05-01
Shasta,1184.0,4.0,0.0,11193.0,20.0,18.0,12377.0,24.0,18.0,2857.0,20227.0,23084.0,12.0,4.0,51.0,22.0,63.0,26.0,0.0,22.0,22.0,0.0,0.0,0.0,13157.0,13157.0,0.0,3066892.0,6496.0,3073388.0,2017,MAY,12419.0,0,2.0,2017-05-01
Humboldt,859.0,3.0,0.0,11286.0,26.0,7.0,12145.0,29.0,7.0,2140.0,18294.0,20434.0,3.0,4.0,58.0,27.0,61.0,31.0,0.0,8.0,8.0,0.0,0.0,0.0,12859.0,12859.0,0.0,2872641.0,4938.0,2877579.0,2017,MAY,12181.0,0,2.0,2017-05-01
