county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,total_households,quarter,fulldate
Alameda,4936.0,196.0,11.0,50281.0,1419.0,659.0,55217.0,1615.0,670.0,11296.0,89725.0,101021.0,435.0,268.0,3189.0,1861.0,3624.0,2129.0,24.0,871.0,895.0,,,,57502.0,57502.0,0.0,14530861.0,327561.0,14858422.0,2017,OCT,57502.0,4.0,2017-10-01
Alpine,3.0,0.0,0.0,76.0,0.0,0.0,79.0,0.0,0.0,3.0,141.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,79.0,79.0,0.0,16717.0,0.0,16717.0,2017,OCT,79.0,4.0,2017-10-01
Amador,114.0,0.0,0.0,1533.0,1.0,0.0,1647.0,1.0,0.0,294.0,2703.0,2997.0,0.0,0.0,5.0,1.0,5.0,1.0,0.0,0.0,0.0,,,,1715.0,1715.0,0.0,382579.0,153.0,382732.0,2017,OCT,1648.0,4.0,2017-10-01
Butte,1495.0,4.0,0.0,15091.0,44.0,26.0,16586.0,48.0,26.0,3729.0,26862.0,30591.0,10.0,4.0,119.0,47.0,129.0,51.0,0.0,33.0,33.0,,,,17908.0,17908.0,0.0,4174496.0,11095.0,4185591.0,2017,OCT,16660.0,4.0,2017-10-01
Calaveras,208.0,0.0,0.0,2569.0,5.0,1.0,2777.0,5.0,1.0,541.0,4427.0,4968.0,0.0,0.0,8.0,5.0,8.0,5.0,0.0,1.0,1.0,,,,2891.0,2891.0,0.0,648520.0,747.0,649267.0,2017,OCT,2783.0,4.0,2017-10-01
Colusa,64.0,0.0,0.0,617.0,3.0,1.0,681.0,3.0,1.0,149.0,1327.0,1476.0,0.0,0.0,11.0,4.0,11.0,4.0,0.0,1.0,1.0,,,,730.0,730.0,0.0,177123.0,192.0,177315.0,2017,OCT,685.0,4.0,2017-10-01
Contra Costa,3548.0,103.0,3.0,27659.0,406.0,133.0,31207.0,509.0,136.0,8247.0,52912.0,61159.0,243.0,149.0,995.0,541.0,1238.0,690.0,4.0,179.0,183.0,,,,36854.0,36854.0,0.0,8700677.0,85073.0,8785750.0,2017,OCT,31852.0,4.0,2017-10-01
Del Norte,353.0,0.0,0.0,2248.0,1.0,0.0,2601.0,1.0,0.0,968.0,4297.0,5265.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,,,,2744.0,2744.0,0.0,681786.0,152.0,681938.0,2017,OCT,2602.0,4.0,2017-10-01
El Dorado,496.0,2.0,0.0,6155.0,26.0,6.0,6651.0,28.0,6.0,1185.0,10451.0,11636.0,2.0,2.0,63.0,33.0,65.0,35.0,0.0,6.0,6.0,,,,7034.0,7034.0,0.0,1537884.0,3423.0,1541307.0,2017,OCT,6685.0,4.0,2017-10-01
Fresno,11191.0,162.0,18.0,76499.0,638.0,223.0,87690.0,800.0,241.0,30238.0,171050.0,201288.0,425.0,199.0,1739.0,745.0,2164.0,944.0,20.0,283.0,303.0,,,,101264.0,101264.0,0.0,28931924.0,154222.0,29086146.0,2017,OCT,88731.0,4.0,2017-10-01
