county,num_hh_pub_asst_fed,num_hh_pub_asst_fed_st,num_hh_pub_asst_st,num_hh_nonpub_asst_fed,num_hh_nonpub_asst_fed_st,num_hh_nonpub_asst_st,num_hh_both_fed,num_hh_both_fed_st,num_hh_both_st,num_pers_fedonly_pub_asst,num_pers_fedonly_nonpub_asst,num_pers_fedonly_both,num_pers_fed_st_pub_asst_fed,num_pers_fed_st_pub_asst_st,num_pers_fed_st_nonpub_asst_fed,num_pers_fed_st_nonpub_asst_st,num_pers_fed_st_both_fed,num_pers_fed_st_both_st,num_pers_stonly_pub_asst,num_pers_stonly_nonpub_asst,num_pers_stonly_both,issuances_mail,issuances_contract_otc,issuances_other_otc,issuances_ebt,issuances_total,issuances_ebt_conv_coupon,val_issuances_fed_only,val_issuences_st_only,val_issuances_tot_all,year,month,total_households,big_six,quarter,fulldate
California,209377.0,4362.0,240.0,1701028.0,18828.0,9401.0,1910405.0,23190.0,9641.0,530965.0,3285464.0,3816429.0,9846.0,5932.0,45380.0,23204.0,55226.0,29136.0,327.0,11937.0,12264.0,0.0,0.0,0.0,2089789.0,2089789.0,0.0,521029257.11,4527228.0,525556485.11,2018,AUG,1943236.0,0,3.0,2018-08-01
California,211049.0,4354.0,250.0,1697060.0,18896.0,9536.0,1908109.0,23250.0,9786.0,534902.0,3280862.0,3815764.0,9795.0,5965.0,45499.0,23286.0,55294.0,29251.0,335.0,12126.0,12461.0,0.0,0.0,0.0,2069982.0,2069982.0,0.0,522995099.0,4569106.0,527564205.0,2018,JUL,1941145.0,1,3.0,2018-07-01
California,207269.0,4382.0,244.0,1689811.0,18562.0,9137.0,1897080.0,22944.0,9381.0,524813.0,3266463.0,3791276.0,9907.0,5957.0,44908.0,22979.0,54815.0,28936.0,324.0,11663.0,11987.0,0.0,0.0,0.0,2047283.0,2047283.0,0.0,515512682.96,4427462.96,519940145.92,2018,SEP,1929405.0,1,3.0,2018-09-01
California,205184.0,4503.0,257.0,1691659.0,18134.0,8560.0,1896843.0,22637.0,8817.0,519630.0,3256920.0,3776550.0,10163.0,6092.0,43937.0,22444.0,54100.0,28536.0,343.0,11005.0,11348.0,0.0,0.0,0.0,2066909.0,2066909.0,0.0,519987215.94,4357878.17,524345094.11,2018,OCT,1928297.0,1,4.0,2018-10-01
Los Angeles,70371.0,2158.0,179.0,470359.0,5359.0,3192.0,540730.0,7517.0,3371.0,169808.0,871062.0,1040870.0,4461.0,2991.0,12339.0,6564.0,16800.0,9555.0,223.0,4063.0,4286.0,0.0,0.0,0.0,579086.0,579086.0,0.0,147177691.0,1532825.0,148710516.0,2018,AUG,551618.0,1,3.0,2018-08-01
Los Angeles,69608.0,2232.0,180.0,469512.0,5399.0,3126.0,539120.0,7631.0,3306.0,167844.0,867585.0,1035429.0,4633.0,3072.0,12419.0,6659.0,17052.0,9731.0,227.0,3989.0,4216.0,0.0,0.0,0.0,572276.0,572276.0,0.0,146024111.0,1538938.0,147563049.0,2018,SEP,550057.0,1,3.0,2018-09-01
Los Angeles,70755.0,2118.0,185.0,468290.0,5323.0,3209.0,539045.0,7441.0,3394.0,170783.0,867937.0,1038720.0,4367.0,2964.0,12227.0,6484.0,16594.0,9448.0,228.0,4101.0,4329.0,0.0,0.0,0.0,577057.0,577057.0,0.0,146641029.0,1543361.0,148184390.0,2018,JUL,549880.0,1,3.0,2018-07-01
Los Angeles,69160.0,2362.0,203.0,468899.0,5313.0,2896.0,538059.0,7675.0,3099.0,166263.0,863886.0,1030149.0,4908.0,3222.0,12261.0,6589.0,17169.0,9811.0,263.0,3743.0,4006.0,0.0,0.0,0.0,573330.0,573330.0,0.0,147299693.0,1543646.0,148843339.0,2018,OCT,548833.0,0,4.0,2018-10-01
San Bernardino,19875.0,110.0,3.0,134919.0,792.0,255.0,154794.0,902.0,258.0,51870.0,280705.0,332575.0,281.0,126.0,2068.0,924.0,2349.0,1050.0,4.0,338.0,342.0,0.0,0.0,0.0,164298.0,164298.0,0.0,44889441.0,142072.0,45031513.0,2018,AUG,155954.0,0,3.0,2018-08-01
San Bernardino,20041.0,118.0,5.0,134381.0,781.0,259.0,154422.0,899.0,264.0,52365.0,279417.0,331782.0,299.0,135.0,2034.0,912.0,2333.0,1047.0,6.0,348.0,354.0,0.0,0.0,0.0,163124.0,163124.0,0.0,44811150.0,144537.0,44955687.0,2018,JUL,155585.0,0,3.0,2018-07-01
San Bernardino,19769.0,115.0,4.0,134060.0,794.0,237.0,153829.0,909.0,241.0,51506.0,278927.0,330433.0,291.0,134.0,2099.0,930.0,2390.0,1064.0,5.0,319.0,324.0,0.0,0.0,0.0,162138.0,162138.0,0.0,44462989.0,141134.0,44604123.0,2018,SEP,154979.0,0,3.0,2018-09-01
San Bernardino,19398.0,108.0,3.0,133891.0,759.0,220.0,153289.0,867.0,223.0,50470.0,277676.0,328146.0,269.0,123.0,1991.0,891.0,2260.0,1014.0,4.0,302.0,306.0,0.0,0.0,0.0,162655.0,162655.0,0.0,44664119.0,133650.0,44797769.0,2018,OCT,154379.0,0,4.0,2018-10-01
San Diego,9275.0,280.0,6.0,121412.0,1513.0,566.0,130687.0,1793.0,572.0,25177.0,225429.0,250606.0,662.0,382.0,3584.0,1773.0,4246.0,2155.0,11.0,683.0,694.0,0.0,0.0,0.0,155523.0,155523.0,0.0,33489182.0,298876.0,33788058.0,2018,OCT,133052.0,0,4.0,2018-10-01
San Diego,9497.0,266.0,7.0,120757.0,1573.0,609.0,130254.0,1839.0,616.0,25669.0,225267.0,250936.0,609.0,360.0,3721.0,1858.0,4330.0,2218.0,10.0,737.0,747.0,0.0,0.0,0.0,154697.0,154697.0,0.0,33297913.0,308714.0,33606627.0,2018,AUG,132709.0,0,3.0,2018-08-01
San Diego,9710.0,263.0,7.0,120120.0,1574.0,607.0,129830.0,1837.0,614.0,26348.0,224142.0,250490.0,609.0,360.0,3701.0,1852.0,4310.0,2212.0,11.0,747.0,758.0,0.0,0.0,0.0,153381.0,153381.0,0.0,33224768.0,313729.0,33538497.0,2018,JUL,132281.0,0,3.0,2018-07-01
San Diego,9356.0,273.0,7.0,120376.0,1551.0,593.0,129732.0,1824.0,600.0,25324.0,225556.0,250880.0,641.0,374.0,3658.0,1831.0,4299.0,2205.0,13.0,723.0,736.0,0.0,0.0,0.0,154008.0,154008.0,0.0,33141450.0,302774.0,33444224.0,2018,SEP,132156.0,0,3.0,2018-09-01
Riverside,12835.0,84.0,0.0,102016.0,588.0,138.0,114851.0,672.0,138.0,34700.0,213477.0,248177.0,230.0,102.0,1587.0,656.0,1817.0,758.0,0.0,171.0,171.0,0.0,0.0,0.0,122271.0,122271.0,0.0,32810033.0,91574.0,32901607.0,2018,AUG,115661.0,0,3.0,2018-08-01
Riverside,12832.0,85.0,0.0,101746.0,594.0,144.0,114578.0,679.0,144.0,34722.0,212798.0,247520.0,236.0,105.0,1568.0,666.0,1804.0,771.0,0.0,180.0,180.0,0.0,0.0,0.0,121020.0,121020.0,0.0,32628867.0,92257.0,32721124.0,2018,JUL,115401.0,0,3.0,2018-07-01
Riverside,12729.0,79.0,1.0,101670.0,550.0,128.0,114399.0,629.0,129.0,34403.0,211639.0,246042.0,220.0,99.0,1488.0,612.0,1708.0,711.0,1.0,159.0,160.0,0.0,0.0,0.0,121801.0,121801.0,0.0,32873058.0,85208.0,32958266.0,2018,OCT,115157.0,0,4.0,2018-10-01
Riverside,12829.0,78.0,2.0,101386.0,583.0,138.0,114215.0,661.0,140.0,34722.0,211936.0,246658.0,204.0,95.0,1572.0,647.0,1776.0,742.0,2.0,171.0,173.0,0.0,0.0,0.0,120251.0,120251.0,0.0,32502956.0,89734.0,32592690.0,2018,SEP,115016.0,0,3.0,2018-09-01
Orange,8032.0,176.0,3.0,97710.0,1769.0,945.0,105742.0,1945.0,948.0,20609.0,186129.0,206738.0,410.0,246.0,3941.0,2290.0,4351.0,2536.0,11.0,1238.0,1249.0,0.0,0.0,0.0,113922.0,113922.0,0.0,27989464.0,403175.0,28392639.0,2018,JUL,108635.0,0,3.0,2018-07-01
Orange,7976.0,171.0,1.0,97470.0,1736.0,901.0,105446.0,1907.0,902.0,20506.0,185583.0,206089.0,404.0,239.0,3810.0,2220.0,4214.0,2459.0,2.0,1204.0,1206.0,0.0,0.0,0.0,113755.0,113755.0,0.0,27873844.11,390042.0,28263886.11,2018,AUG,108255.0,0,3.0,2018-08-01
Orange,7901.0,180.0,3.0,96563.0,1699.0,869.0,104464.0,1879.0,872.0,20426.0,184571.0,204997.0,419.0,250.0,3816.0,2188.0,4235.0,2438.0,3.0,1166.0,1169.0,0.0,0.0,0.0,112150.0,112150.0,0.0,27583149.96,380302.96,27963452.92,2018,SEP,107215.0,0,3.0,2018-09-01
Orange,7774.0,176.0,2.0,96544.0,1659.0,810.0,104318.0,1835.0,812.0,20114.0,183341.0,203455.0,404.0,248.0,3769.0,2132.0,4173.0,2380.0,3.0,1102.0,1105.0,0.0,0.0,0.0,112010.0,112010.0,0.0,27653477.94,367069.17,28020547.11,2018,OCT,106965.0,0,4.0,2018-10-01
Sacramento,11408.0,466.0,6.0,81188.0,1102.0,488.0,92596.0,1568.0,494.0,30316.0,158382.0,188698.0,1227.0,765.0,2687.0,1648.0,3914.0,2413.0,15.0,678.0,693.0,0.0,0.0,0.0,108554.0,108554.0,0.0,26842264.0,340383.0,27182647.0,2018,AUG,94658.0,0,3.0,2018-08-01
Sacramento,11630.0,462.0,4.0,80854.0,1118.0,505.0,92484.0,1580.0,509.0,30381.0,158126.0,188507.0,1201.0,759.0,2744.0,1671.0,3945.0,2430.0,6.0,697.0,703.0,0.0,0.0,0.0,108189.0,108189.0,0.0,28891196.0,347674.0,29238870.0,2018,JUL,94573.0,0,3.0,2018-07-01
Sacramento,11033.0,457.0,4.0,81344.0,1047.0,460.0,92377.0,1504.0,464.0,29466.0,158703.0,188169.0,1214.0,765.0,2526.0,1558.0,3740.0,2323.0,9.0,659.0,668.0,0.0,0.0,0.0,109075.0,109075.0,0.0,26829016.0,336776.0,27165792.0,2018,OCT,94345.0,0,4.0,2018-10-01
Sacramento,11234.0,449.0,6.0,80728.0,1071.0,472.0,91962.0,1520.0,478.0,28894.0,158503.0,187397.0,1183.0,746.0,2612.0,1590.0,3795.0,2336.0,11.0,661.0,672.0,0.0,0.0,0.0,107047.0,107047.0,0.0,26600667.0,328501.0,26929168.0,2018,SEP,93960.0,0,3.0,2018-09-01
Fresno,11112.0,158.0,12.0,80278.0,696.0,245.0,91390.0,854.0,257.0,29928.0,178161.0,208089.0,398.0,193.0,1939.0,809.0,2337.0,1002.0,17.0,305.0,322.0,0.0,0.0,0.0,98077.0,98077.0,0.0,27809413.0,151021.0,27960434.0,2018,JUL,92501.0,0,3.0,2018-07-01
Fresno,11036.0,148.0,7.0,80266.0,703.0,233.0,91302.0,851.0,240.0,29698.0,178015.0,207713.0,381.0,178.0,1951.0,821.0,2332.0,999.0,11.0,297.0,308.0,0.0,0.0,0.0,97548.0,97548.0,0.0,27653504.0,152156.0,27805660.0,2018,AUG,92393.0,0,3.0,2018-08-01
Fresno,10864.0,153.0,8.0,79365.0,681.0,213.0,90229.0,834.0,221.0,29170.0,176184.0,205354.0,396.0,183.0,1850.0,796.0,2246.0,979.0,9.0,276.0,285.0,0.0,0.0,0.0,95497.0,95497.0,0.0,27169401.0,143775.0,27313176.0,2018,SEP,91284.0,0,3.0,2018-09-01
Fresno,10707.0,148.0,9.0,78685.0,665.0,215.0,89392.0,813.0,224.0,28774.0,174628.0,203402.0,372.0,177.0,1786.0,772.0,2158.0,949.0,10.0,279.0,289.0,0.0,0.0,0.0,96033.0,96033.0,0.0,27384335.0,137686.0,27522021.0,2018,OCT,90429.0,0,4.0,2018-10-01
Kern,9027.0,36.0,2.0,57470.0,417.0,289.0,66497.0,453.0,291.0,23902.0,127722.0,151624.0,93.0,40.0,1141.0,456.0,1234.0,496.0,2.0,434.0,436.0,0.0,0.0,0.0,71144.0,71144.0,0.0,20061437.0,125710.0,20187147.0,2018,AUG,67241.0,0,3.0,2018-08-01
Kern,8985.0,41.0,2.0,57109.0,428.0,286.0,66094.0,469.0,288.0,23686.0,127364.0,151050.0,107.0,46.0,1170.0,464.0,1277.0,510.0,2.0,423.0,425.0,0.0,0.0,0.0,70571.0,70571.0,0.0,19938197.0,125437.0,20063634.0,2018,JUL,66851.0,0,3.0,2018-07-01
Kern,9075.0,31.0,2.0,56925.0,384.0,278.0,66000.0,415.0,280.0,24017.0,126741.0,150758.0,79.0,33.0,1052.0,421.0,1131.0,454.0,3.0,427.0,430.0,0.0,0.0,0.0,70057.0,70057.0,0.0,19812627.0,115555.0,19928182.0,2018,SEP,66695.0,0,3.0,2018-09-01
Kern,8987.0,27.0,2.0,56791.0,383.0,261.0,65778.0,410.0,263.0,23668.0,125756.0,149424.0,73.0,29.0,1073.0,420.0,1146.0,449.0,2.0,409.0,411.0,0.0,0.0,0.0,70400.0,70400.0,0.0,19832713.0,114444.0,19947157.0,2018,OCT,66451.0,0,4.0,2018-10-01
Alameda,4226.0,163.0,5.0,48514.0,1279.0,579.0,52740.0,1442.0,584.0,9682.0,84328.0,94010.0,418.0,222.0,2981.0,1698.0,3399.0,1920.0,10.0,767.0,777.0,0.0,0.0,0.0,54766.0,54766.0,0.0,13689821.0,281779.0,13971600.0,2018,AUG,54766.0,0,3.0,2018-08-01
Alameda,4251.0,167.0,4.0,48416.0,1304.0,592.0,52667.0,1471.0,596.0,9672.0,84621.0,94293.0,401.0,223.0,3007.0,1730.0,3408.0,1953.0,8.0,768.0,776.0,0.0,0.0,0.0,54734.0,54734.0,0.0,13679425.0,288860.0,13968285.0,2018,JUL,54734.0,0,3.0,2018-07-01
Alameda,4074.0,150.0,4.0,48400.0,1242.0,559.0,52474.0,1392.0,563.0,9326.0,84071.0,93397.0,375.0,204.0,2963.0,1661.0,3338.0,1865.0,7.0,729.0,736.0,0.0,0.0,0.0,54429.0,54429.0,0.0,13590230.0,270434.0,13860664.0,2018,OCT,54429.0,0,4.0,2018-10-01
Alameda,4159.0,154.0,3.0,47939.0,1246.0,587.0,52098.0,1400.0,590.0,9596.0,83899.0,93495.0,389.0,208.0,2999.0,1683.0,3388.0,1891.0,6.0,767.0,773.0,0.0,0.0,0.0,54088.0,54088.0,0.0,13491723.0,277871.0,13769594.0,2018,SEP,54088.0,0,3.0,2018-09-01
Tulare,6680.0,48.0,0.0,42165.0,663.0,178.0,48845.0,711.0,178.0,18441.0,91841.0,110282.0,127.0,51.0,1819.0,723.0,1946.0,774.0,0.0,219.0,219.0,0.0,0.0,0.0,57683.0,57683.0,0.0,15104786.0,119417.0,15224203.0,2018,AUG,49734.0,0,3.0,2018-08-01
Tulare,6737.0,51.0,0.0,41987.0,662.0,174.0,48724.0,713.0,174.0,18492.0,91563.0,110055.0,136.0,53.0,1829.0,720.0,1965.0,773.0,0.0,219.0,219.0,0.0,0.0,0.0,57419.0,57419.0,0.0,15165234.0,118818.0,15284052.0,2018,JUL,49611.0,0,3.0,2018-07-01
Tulare,6646.0,51.0,0.0,41814.0,618.0,170.0,48460.0,669.0,170.0,18427.0,91588.0,110015.0,145.0,55.0,1719.0,676.0,1864.0,731.0,0.0,209.0,209.0,0.0,0.0,0.0,56574.0,56574.0,0.0,14857597.0,107459.0,14965056.0,2018,SEP,49299.0,0,3.0,2018-09-01
Tulare,6589.0,47.0,0.0,41817.0,609.0,151.0,48406.0,656.0,151.0,18192.0,91302.0,109494.0,136.0,51.0,1652.0,660.0,1788.0,711.0,0.0,183.0,183.0,0.0,0.0,0.0,57118.0,57118.0,0.0,14954504.0,103519.0,15058023.0,2018,OCT,49213.0,0,4.0,2018-10-01
San Joaquin,5692.0,44.0,1.0,39102.0,391.0,127.0,44794.0,435.0,128.0,13687.0,83003.0,96690.0,122.0,50.0,1135.0,491.0,1257.0,541.0,2.0,181.0,183.0,0.0,0.0,0.0,47485.0,47485.0,0.0,12689118.0,71689.0,12760807.0,2018,AUG,45357.0,0,3.0,2018-08-01
San Joaquin,5676.0,42.0,0.0,39027.0,398.0,127.0,44703.0,440.0,127.0,13758.0,82881.0,96639.0,114.0,49.0,1151.0,505.0,1265.0,554.0,0.0,188.0,188.0,0.0,0.0,0.0,47373.0,47373.0,0.0,12694021.0,73734.0,12767755.0,2018,JUL,45270.0,0,3.0,2018-07-01
San Joaquin,5580.0,37.0,1.0,38780.0,387.0,124.0,44360.0,424.0,125.0,13512.0,82298.0,95810.0,99.0,41.0,1135.0,488.0,1234.0,529.0,2.0,173.0,175.0,0.0,0.0,0.0,46793.0,46793.0,0.0,12528973.0,71390.0,12600363.0,2018,SEP,44909.0,0,3.0,2018-09-01
