,PART A:    APPLICATIONS FOR FOOD STAMPS,,,,,,,,,,"PART A:    APPLICATIONS FOR FOOD STAMPS, cont'd",,,,,PART B:    CERTIFIED CASELOAD MOVEMENT,,,,,,"PART B:    CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,"PART B:    CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,,"PART B:    CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,PART C:    RECERTIFICATIONS,,,,,,,,,,"PART C:    RECERTIFICATIONS, cont'd",,,,,,,,,
,,1.,2.,3.,4.,4.a.,4.a.(1) PAFS,4.a. (1) NAFS,4.b. PAFS,4.b. NAFS,4.b. (1) PAFS,4.b. (1) NAFS,4.c. PAFS,4.c. NAFS,5.,PAFS,6. PAFS,7. PAFS,7.a. PAFS,7.a PAFS,7.a. PAFS,7.a. NAFS,7.a. NAFS,7.a. NAFS,7.a. PAFS,7.b. PAFS,7.c. PAFS,8. PAFS,8.a. PAFS,8.a.1.,8.b.,8.b.,8.b. PAFS,8.c.,8.c.,8.c. PAFS,9. PAFS,10. PAFS,NAFS,6. NAFS,7. NAFS,7.a. NAFS,7.b. NAFS,7.c. NAFS,8. NAFS,8.a. NAFS,8.b. NAFS,8.c. NAFS,9. NAFS,10. NAFS,11. PAFS,11.a. PAFS,11.a. PAFS,11.a. PAFS,11.a. NAFS,11.a. NAFS,11.a. NAFS,11.a. PAFS,11.b. PAFS,11.b. PAFS,11.b. PAFS,11.b. NAFS,11.b. NAFS,11.b. NAFS,11.b. PAFS,12. PAFS,11. NAFS,11.a. NAFS,11.b. NAFS,12. NAFS
,,Pending,Rec'd,Total,Disposed ,Approved,Approved over 30 days,,Denied,Denied,Denied in over 30 days,,With-,With-,Pending,Adj,Cs frwrd,Cases,Fed apps.,Fed/St apps,St. apps,Fed apps,Fed/St apps,St. apps,Total apps,Transferred,Other ,Total cs open,Pure Fed,Tot Fed,Comb cases St persons,,Fed/St,"St cases, St persons",,Pure St,Cs term,Cs frwrd,Adj,Cs frwrd,Cs added,Tot apps,Transfer'd,Other ,Total cs open,Pure Fed,Fed/St,Pure St,Cs term,Cs frwrd'd,Recerts,Federal,Fed/State,State,Federal,Fed/State,State,Total,Federal,Fed/State,State,Federal,Fed/State,State,Total,Overdue,Recerts,Total,Total,Overdue
County,Adj,last mo,this mo,during mo,,,,,,,,,drawn,drawn,end of mo,,frm lst mo,added,approved,approved,approved,approved,approved,approved,approved,from NAFS,approvals,during mo,cases,Pers count,Singles,Families,comb cs,Singles,Families,cases,during mo,to next mo,,frm lst mo,during mo,approved,frm PAFS,approvals,during mo,cases,comb cs,cases,dur mo,to next mo,disp of,contin elig,contin elig,contin elig,contin elig,contin elig,contin elig,contin elig,inelig,inelig,inelig,inelig,inelig,inelig,Ineligible,recert-CWD,disp of,contin elig,Ineligible,recert-CWD
Data Cell,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,,15.0,17.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,27.0,29.0,31.0,33.0,35.0,36.0,37.0,38.0,40.0,41.0,42.0,44.0,46.0,,16.0,18.0,26.0,28.0,30.0,32.0,34.0,39.0,43.0,45.0,47.0,48.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,66.0,49.0,57.0,65.0,67.0
Statewide,-1294.0,38644.0,88592.0,127236.0,87547.0,53794.0,313.0,752.0,5056.0,22562.0,35.0,351.0,1343.0,4792.0,39689.0,3042.0,288024.0,28743.0,13503.0,268.0,66.0,38502.0,893.0,562.0,13837.0,5128.0,9778.0,316767.0,308384.0,1793143.0,2957.0,19094.0,7451.0,6602.0,4762.0,932.0,34473.0,282294.0,4778.0,362472.0,58635.0,39957.0,5573.0,13105.0,421107.0,403345.0,11382.0,6380.0,62703.0,358404.0,21640.0,18995.0,436.0,111.0,20038.0,683.0,362.0,19542.0,2063.0,35.0,0.0,2751.0,90.0,32.0,2098.0,378.0,23956.0,21083.0,2873.0,356.0
Alameda,,1336.0,3289.0,4625.0,3334.0,1960.0,17.0,17.0,13.0,1082.0,0.0,2.0,0.0,279.0,1291.0,,12016.0,1512.0,650.0,9.0,10.0,1261.0,18.0,12.0,669.0,58.0,785.0,13528.0,13348.0,56748.0,141.0,186.0,180.0,262.0,0.0,0.0,1627.0,11901.0,,7257.0,1889.0,1291.0,68.0,530.0,9146.0,8819.0,121.0,206.0,1877.0,7269.0,770.0,732.0,38.0,0.0,369.0,30.0,5.0,770.0,0.0,0.0,0.0,13.0,0.0,3.0,0.0,3.0,420.0,404.0,16.0,2.0
Alpine,,1.0,6.0,7.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,8.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,9.0,9.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,,25.0,4.0,4.0,0.0,0.0,29.0,29.0,0.0,0.0,0.0,29.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amador,-2.0,30.0,73.0,103.0,68.0,40.0,0.0,3.0,0.0,24.0,0.0,3.0,0.0,4.0,35.0,,118.0,41.0,5.0,0.0,0.0,35.0,0.0,0.0,5.0,25.0,11.0,159.0,158.0,908.0,0.0,3.0,1.0,0.0,1.0,0.0,39.0,120.0,,239.0,82.0,35.0,21.0,26.0,321.0,318.0,2.0,1.0,90.0,231.0,7.0,7.0,0.0,0.0,25.0,0.0,0.0,7.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,38.0,25.0,13.0,0.0
Butte,,244.0,668.0,912.0,692.0,378.0,5.0,42.0,51.0,203.0,1.0,55.0,23.0,37.0,220.0,,2506.0,327.0,67.0,0.0,0.0,307.0,2.0,2.0,67.0,170.0,90.0,2833.0,2800.0,15739.0,0.0,86.0,30.0,7.0,0.0,3.0,481.0,2352.0,,3984.0,750.0,311.0,318.0,121.0,4734.0,4682.0,45.0,7.0,706.0,4028.0,147.0,143.0,0.0,0.0,237.0,4.0,3.0,143.0,4.0,0.0,0.0,69.0,2.0,0.0,4.0,6.0,315.0,244.0,71.0,38.0
Calaveras,,52.0,111.0,163.0,105.0,58.0,2.0,14.0,2.0,23.0,0.0,1.0,7.0,15.0,58.0,,193.0,39.0,8.0,0.0,0.0,50.0,0.0,0.0,8.0,24.0,7.0,232.0,232.0,1482.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,178.0,,372.0,89.0,50.0,13.0,26.0,461.0,461.0,0.0,0.0,98.0,363.0,7.0,5.0,0.0,0.0,21.0,0.0,0.0,5.0,2.0,0.0,0.0,14.0,0.0,0.0,2.0,1.0,35.0,21.0,14.0,5.0
