,PART A:    APPLICATIONS FOR FOOD STAMPS,,,,,,,,,,"PART A:    APPLICATIONS FOR FOOD STAMPS, cont'd",,,,,PART B:    CERTIFIED CASELOAD MOVEMENT,,,,,,"PART B:    CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,"PART B:    CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,,"PART B:    CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,PART C:    RECERTIFICATIONS,,,,,,,,,,"PART C:    RECERTIFICATIONS, cont'd",,,,,,,,,
,,1.,2.,3.,4.,4.a.,4.a.(1) PAFS,4.a. (1) NAFS,4.b. PAFS,4.b. NAFS,4.b. (1) PAFS,4.b. (1) NAFS,4.c. PAFS,4.c. NAFS,5.,PAFS,6. PAFS,7. PAFS,7.a. PAFS,7.a PAFS,7.a. PAFS,7.a. NAFS,7.a. NAFS,7.a. NAFS,7.a. PAFS,7.b. PAFS,7.c. PAFS,8. PAFS,8.a. PAFS,8.a.1.,8.b.,8.b.,8.b. PAFS,8.c.,8.c.,8.c. PAFS,9. PAFS,10. PAFS,NAFS,6. NAFS,7. NAFS,7.a. NAFS,7.b. NAFS,7.c. NAFS,8. NAFS,8.a. NAFS,8.b. NAFS,8.c. NAFS,9. NAFS,10. NAFS,11. PAFS,11.a. PAFS,11.a. PAFS,11.a. PAFS,11.a. NAFS,11.a. NAFS,11.a. NAFS,11.a. PAFS,11.b. PAFS,11.b. PAFS,11.b. PAFS,11.b. NAFS,11.b. NAFS,11.b. NAFS,11.b. PAFS,12. PAFS,11. NAFS,11.a. NAFS,11.b. NAFS,12. NAFS
,,Pending,Rec'd,Total,Disposed ,Approved,Approved over 30 days,,Denied,Denied,Denied in over 30 days,,With-,With-,Pending,Adj,Cs frwrd,Cases,Fed apps.,Fed/St apps,St. apps,Fed apps,Fed/St apps,St. apps,Total apps,Transferred,Other ,Total cs open,Pure Fed,Tot Fed,Comb cases St persons,,Fed/St,"St cases, St persons",,Pure St,Cs term,Cs frwrd,Adj,Cs frwrd,Cs added,Tot apps,Transfer'd,Other ,Total cs open,Pure Fed,Fed/St,Pure St,Cs term,Cs frwrd'd,Recerts,Federal,Fed/State,State,Federal,Fed/State,State,Total,Federal,Fed/State,State,Federal,Fed/State,State,Total,Overdue,Recerts,Total,Total,Overdue
County,Adj,last mo,this mo,during mo,,,,,,,,,drawn,drawn,end of mo,,frm lst mo,added,approved,approved,approved,approved,approved,approved,approved,from NAFS,approvals,during mo,cases,Pers count,Singles,Families,comb cs,Singles,Families,cases,during mo,to next mo,,frm lst mo,during mo,approved,frm PAFS,approvals,during mo,cases,comb cs,cases,dur mo,to next mo,disp of,contin elig,contin elig,contin elig,contin elig,contin elig,contin elig,contin elig,inelig,inelig,inelig,inelig,inelig,inelig,Ineligible,recert-CWD,disp of,contin elig,Ineligible,recert-CWD
Data Cell,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,,15.0,17.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,27.0,29.0,31.0,33.0,35.0,36.0,37.0,38.0,40.0,41.0,42.0,44.0,46.0,,16.0,18.0,26.0,28.0,30.0,32.0,34.0,39.0,43.0,45.0,47.0,48.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,66.0,49.0,57.0,65.0,67.0
Statewide,-1826.0,34135.0,89566.0,123701.0,88804.0,56156.0,223.0,689.0,4842.0,21544.0,50.0,349.0,1512.0,4750.0,34897.0,3484.0,280038.0,30845.0,13469.0,225.0,37.0,41412.0,588.0,425.0,13731.0,6700.0,10414.0,310883.0,306107.0,1891437.0,953.0,12858.0,4574.0,5115.0,925.0,202.0,32196.0,278687.0,6215.0,396205.0,64688.0,42425.0,6951.0,15312.0,460893.0,448723.0,7701.0,4469.0,59022.0,401871.0,19187.0,18405.0,257.0,19.0,22174.0,402.0,339.0,18681.0,488.0,18.0,0.0,3000.0,31.0,61.0,506.0,261.0,26007.0,22915.0,3092.0,324.0
Alameda,0.0,1294.0,3381.0,4675.0,3448.0,2102.0,19.0,5.0,13.0,1040.0,0.0,0.0,0.0,293.0,1227.0,0.0,13109.0,1672.0,843.0,8.0,9.0,1220.0,8.0,14.0,860.0,30.0,782.0,14781.0,14713.0,63014.0,80.0,83.0,68.0,145.0,0.0,0.0,1432.0,13349.0,0.0,8179.0,1909.0,1242.0,33.0,634.0,10088.0,9902.0,77.0,109.0,1927.0,8161.0,878.0,854.0,24.0,0.0,479.0,16.0,4.0,878.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,3.0,521.0,499.0,22.0,3.0
Alpine,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,-4.0,22.0,3.0,3.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amador,0.0,43.0,85.0,128.0,90.0,56.0,2.0,4.0,0.0,26.0,0.0,6.0,0.0,8.0,38.0,0.0,108.0,34.0,10.0,0.0,0.0,46.0,0.0,0.0,10.0,13.0,11.0,142.0,142.0,975.0,0.0,1.0,0.0,0.0,2.0,0.0,33.0,109.0,0.0,258.0,75.0,46.0,11.0,18.0,333.0,330.0,1.0,2.0,82.0,251.0,14.0,12.0,0.0,0.0,26.0,0.0,0.0,12.0,2.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,35.0,26.0,9.0,1.0
Butte,0.0,352.0,777.0,1129.0,794.0,415.0,13.0,66.0,63.0,255.0,8.0,76.0,21.0,40.0,335.0,0.0,2290.0,389.0,79.0,0.0,0.0,335.0,0.0,1.0,79.0,184.0,126.0,2679.0,2668.0,16947.0,0.0,20.0,9.0,2.0,3.0,2.0,457.0,2222.0,0.0,4346.0,815.0,336.0,249.0,230.0,5161.0,5144.0,14.0,3.0,795.0,4366.0,129.0,126.0,0.0,0.0,273.0,0.0,0.0,126.0,2.0,1.0,0.0,99.0,0.0,0.0,3.0,10.0,372.0,273.0,99.0,31.0
Calaveras,0.0,57.0,85.0,142.0,101.0,59.0,3.0,14.0,4.0,29.0,1.0,5.0,3.0,6.0,41.0,0.0,198.0,40.0,7.0,0.0,0.0,50.0,1.0,1.0,7.0,27.0,6.0,238.0,235.0,1511.0,0.0,0.0,0.0,3.0,0.0,3.0,37.0,201.0,0.0,433.0,82.0,52.0,13.0,17.0,515.0,515.0,0.0,0.0,96.0,419.0,10.0,7.0,0.0,0.0,30.0,0.0,0.0,7.0,3.0,0.0,0.0,17.0,0.0,0.0,3.0,0.0,47.0,30.0,17.0,4.0
