,PART A:  APPLICATIONS FOR FOOD STAMPS,,,,,,,,,,"PART A:  APPLICATIONS FOR FOOD STAMPS, cont'd",,,,,PART B:  CERTIFIED CASELOAD MOVEMENT,,,,,,"PART B:  CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,"PART B:  CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,,"PART B:  CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,PART C:  RECERTIFICATIONS,,,,,,,,,,"PART C:  RECERTIFICATIONS, cont'd",,,,,,,,,
,,1.,2.,3.,4.,4.a.,4.a.(1) PAFS,4.a. (1) NAFS,4.b. PAFS,4.b. NAFS,4.b. (1) PAFS,4.b. (1) NAFS,4.c. PAFS,4.c. NAFS,5.,PAFS,6. PAFS,7. PAFS,7.a. PAFS,7.a PAFS,7.a. PAFS,7.a. NAFS,7.a. NAFS,7.a. NAFS,7.a. PAFS,7.b. PAFS,7.c. PAFS,8. PAFS,8.a. PAFS,8.a.1.,8.b.,8.b.,8.b. PAFS,8.c.,8.c.,8.c. PAFS,9. PAFS,10. PAFS,NAFS,6. NAFS,7. NAFS,7.a. NAFS,7.b. NAFS,7.c. NAFS,8. NAFS,8.a. NAFS,8.b. NAFS,8.c. NAFS,9. NAFS,10. NAFS,11. PAFS,11.a. PAFS,11.a. PAFS,11.a. PAFS,11.a. NAFS,11.a. NAFS,11.a. NAFS,11.a. PAFS,11.b. PAFS,11.b. PAFS,11.b. PAFS,11.b. NAFS,11.b. NAFS,11.b. NAFS,11.b. PAFS,12. PAFS,11. NAFS,11.a. NAFS,11.b. NAFS,12. NAFS
,,Pending,Rec'd,Total,Disposed ,Approved,Approved over 30 days,,Denied,Denied,Denied in over 30 days,,With-,With-,Pending,Adj,Cs frwrd,Cases,Fed apps.,Fed/St apps,St. apps,Fed apps,Fed/St apps,St. apps,Total apps,Transferred,Other ,Total cs open,Pure Fed,Tot Fed,Comb cases St persons,,Fed/St,"St cases, St persons",,Pure St,Cs term,Cs frwrd,Adj,Cs frwrd,Cs added,Tot apps,Transfer'd,Other ,Total cs open,Pure Fed,Fed/St,Pure St,Cs term,Cs frwrd'd,Recerts,Federal,Fed/State,State,Federal,Fed/State,State,Total,Federal,Fed/State,State,Federal,Fed/State,State,Total,Overdue,Recerts,Total,Total,Overdue
County,Adj,last mo,this mo,during mo,,,,,,,,,drawn,drawn,end of mo,,frm lst mo,added,approved,approved,approved,approved,approved,approved,approved,from NAFS,approvals,during mo,cases,Pers count,Singles,Families,comb cs,Singles,Families,cases,during mo,to next mo,,frm lst mo,during mo,approved,frm PAFS,approvals,during mo,cases,comb cs,cases,dur mo,to next mo,disp of,contin elig,contin elig,contin elig,contin elig,contin elig,contin elig,contin elig,inelig,inelig,inelig,inelig,inelig,inelig,Ineligible,recert-CWD,disp of,contin elig,Ineligible,recert-CWD
Data Cell,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,,15.0,17.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,27.0,29.0,31.0,33.0,35.0,36.0,37.0,38.0,40.0,41.0,42.0,44.0,46.0,,16.0,18.0,26.0,28.0,30.0,32.0,34.0,39.0,43.0,45.0,47.0,48.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,66.0,49.0,57.0,65.0,67.0
Statewide,-1543.0,39758.0,91542.0,131300.0,89207.0,55126.0,314.0,796.0,5186.0,22595.0,60.0,407.0,1495.0,4805.0,42093.0,9003.0,277489.0,30389.0,14107.0,221.0,81.0,39613.0,621.0,483.0,14409.0,6524.0,9456.0,307878.0,302130.0,1790936.0,782.0,13278.0,4875.0,5577.0,4476.0,873.0,38369.0,269509.0,10806.0,369702.0,60478.0,40717.0,6226.0,13535.0,430180.0,416935.0,7837.0,5408.0,66457.0,363723.0,20920.0,19741.0,306.0,66.0,22016.0,490.0,258.0,20113.0,781.0,24.0,2.0,3194.0,50.0,23.0,807.0,407.0,26031.0,22764.0,3267.0,402.0
Alameda,,1386.0,3118.0,4504.0,3170.0,1826.0,7.0,7.0,14.0,1065.0,0.0,0.0,0.0,265.0,1334.0,,12269.0,1455.0,643.0,11.0,14.0,1131.0,13.0,14.0,668.0,28.0,759.0,13724.0,13570.0,58240.0,112.0,158.0,154.0,281.0,0.0,0.0,1632.0,12092.0,,7712.0,1788.0,1158.0,34.0,596.0,9500.0,9181.0,105.0,214.0,2070.0,7430.0,748.0,724.0,24.0,0.0,393.0,30.0,6.0,748.0,0.0,0.0,0.0,30.0,0.0,2.0,0.0,6.0,461.0,429.0,32.0,3.0
Alpine,-1.0,0.0,6.0,6.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,5.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,6.0,6.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,24.0,3.0,3.0,0.0,0.0,27.0,27.0,0.0,0.0,1.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Amador,,32.0,99.0,131.0,82.0,52.0,0.0,1.0,1.0,23.0,0.0,2.0,0.0,6.0,49.0,,124.0,39.0,6.0,0.0,0.0,46.0,0.0,0.0,6.0,28.0,5.0,163.0,162.0,919.0,0.0,1.0,1.0,0.0,1.0,0.0,39.0,124.0,,242.0,103.0,46.0,26.0,31.0,345.0,344.0,0.0,1.0,101.0,244.0,12.0,12.0,0.0,0.0,17.0,0.0,0.0,12.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,32.0,17.0,15.0,1.0
Butte,,254.0,783.0,1037.0,755.0,401.0,10.0,59.0,60.0,227.0,11.0,70.0,20.0,47.0,282.0,,2363.0,311.0,92.0,0.0,0.0,308.0,1.0,0.0,92.0,151.0,68.0,2674.0,2660.0,15315.0,0.0,93.0,14.0,3.0,0.0,0.0,447.0,2227.0,,3996.0,676.0,309.0,218.0,149.0,4672.0,4611.0,54.0,7.0,693.0,3979.0,129.0,116.0,2.0,0.0,223.0,5.0,1.0,118.0,11.0,0.0,0.0,86.0,0.0,0.0,11.0,3.0,315.0,229.0,86.0,36.0
Calaveras,,86.0,127.0,213.0,127.0,73.0,3.0,10.0,8.0,30.0,1.0,14.0,9.0,7.0,86.0,,172.0,54.0,17.0,0.0,0.0,56.0,0.0,0.0,17.0,18.0,19.0,226.0,226.0,1407.0,0.0,0.0,0.0,0.0,4.0,0.0,65.0,161.0,,359.0,101.0,56.0,29.0,16.0,460.0,459.0,0.0,1.0,109.0,351.0,8.0,6.0,0.0,0.0,30.0,0.0,0.0,6.0,2.0,0.0,0.0,14.0,0.0,0.0,2.0,1.0,44.0,30.0,14.0,8.0
