,PART A:  APPLICATIONS FOR FOOD STAMPS,,,,,,,,,,"PART A:  APPLICATIONS FOR FOOD STAMPS, cont'd",,,,,PART B:  CERTIFIED CASELOAD MOVEMENT,,,,,,"PART B:  CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,"PART B:  CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,,"PART B:  CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,PART C:  RECERTIFICATIONS,,,,,,,,,,"PART C:  RECERTIFICATIONS, cont'd",,,,,,,,,
,,1.,2.,3.,4.,4.a.,4.a.(1) PAFS,4.a. (1) NAFS,4.b. PAFS,4.b. NAFS,4.b. (1) PAFS,4.b. (1) NAFS,4.c. PAFS,4.c. NAFS,5.,PAFS,6. PAFS,7. PAFS,7.a. PAFS,7.a PAFS,7.a. PAFS,7.a. NAFS,7.a. NAFS,7.a. NAFS,7.a. PAFS,7.b. PAFS,7.c. PAFS,8. PAFS,8.a. PAFS,8.a.1.,8.b.,8.b.,8.b. PAFS,8.c.,8.c.,8.c. PAFS,9. PAFS,10. PAFS,NAFS,6. NAFS,7. NAFS,7.a. NAFS,7.b. NAFS,7.c. NAFS,8. NAFS,8.a. NAFS,8.b. NAFS,8.c. NAFS,9. NAFS,10. NAFS,11. PAFS,11.a. PAFS,11.a. PAFS,11.a. PAFS,11.a. NAFS,11.a. NAFS,11.a. NAFS,11.a. PAFS,11.b. PAFS,11.b. PAFS,11.b. PAFS,11.b. NAFS,11.b. NAFS,11.b. NAFS,11.b. PAFS,12. PAFS,11. NAFS,11.a. NAFS,11.b. NAFS,12. NAFS
,,Pending,Rec'd,Total,Disposed ,Approved,Approved over 30 days,,Denied,Denied,Denied in over 30 days,,With-,With-,Pending,Adj,Cs frwrd,Cases,Fed apps.,Fed/St apps,St. apps,Fed apps,Fed/St apps,St. apps,Total apps,Transferred,Other ,Total cs open,Pure Fed,Tot Fed,Comb cases St persons,,Fed/St,"St cases, St persons",,Pure St,Cs term,Cs frwrd,Adj,Cs frwrd,Cs added,Tot apps,Transfer'd,Other ,Total cs open,Pure Fed,Fed/St,Pure St,Cs term,Cs frwrd'd,Recerts,Federal,Fed/State,State,Federal,Fed/State,State,Total,Federal,Fed/State,State,Federal,Fed/State,State,Total,Overdue,Recerts,Total,Total,Overdue
County,Adj,last mo,this mo,during mo,,,,,,,,,drawn,drawn,end of mo,,frm lst mo,added,approved,approved,approved,approved,approved,approved,approved,from NAFS,approvals,during mo,cases,Pers count,Singles,Families,comb cs,Singles,Families,cases,during mo,to next mo,,frm lst mo,during mo,approved,frm PAFS,approvals,during mo,cases,comb cs,cases,dur mo,to next mo,disp of,contin elig,contin elig,contin elig,contin elig,contin elig,contin elig,contin elig,inelig,inelig,inelig,inelig,inelig,inelig,Ineligible,recert-CWD,disp of,contin elig,Ineligible,recert-CWD
Data Cell,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,,15.0,17.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,27.0,29.0,31.0,33.0,35.0,36.0,37.0,38.0,40.0,41.0,42.0,44.0,46.0,,16.0,18.0,26.0,28.0,30.0,32.0,34.0,39.0,43.0,45.0,47.0,48.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,66.0,49.0,57.0,65.0,67.0
Statewide,-1789.0,41358.0,93635.0,134993.0,97255.0,61297.0,463.0,1189.0,5571.0,24330.0,64.0,539.0,1477.0,4580.0,37738.0,1743.0,273543.0,36482.0,15465.0,260.0,45.0,44386.0,692.0,449.0,15770.0,5301.0,15411.0,310025.0,305110.0,1807282.0,637.0,12665.0,4690.0,5238.0,858.0,225.0,33037.0,276988.0,-74.0,364129.0,69918.0,45527.0,4584.0,19807.0,434047.0,422297.0,7224.0,4526.0,64633.0,369414.0,19109.0,18129.0,269.0,23.0,22044.0,457.0,208.0,18421.0,671.0,17.0,0.0,3229.0,40.0,29.0,688.0,382.0,26007.0,22709.0,3298.0,450.0
Alameda,,1441.0,3342.0,4783.0,3611.0,2202.0,32.0,8.0,15.0,1131.0,0.0,0.0,0.0,263.0,1172.0,,11532.0,2286.0,844.0,7.0,11.0,1318.0,7.0,15.0,862.0,64.0,1360.0,13818.0,13758.0,59604.0,61.0,62.0,60.0,145.0,0.0,0.0,1443.0,12375.0,,7487.0,2207.0,1340.0,51.0,816.0,9694.0,9525.0,56.0,113.0,1870.0,7824.0,792.0,779.0,13.0,0.0,427.0,10.0,7.0,792.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0,5.0,460.0,444.0,16.0,4.0
Alpine,,0.0,6.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,4.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,7.0,7.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,23.0,2.0,2.0,0.0,0.0,25.0,25.0,0.0,0.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amador,,27.0,77.0,104.0,84.0,52.0,0.0,1.0,2.0,23.0,0.0,3.0,1.0,6.0,20.0,,110.0,57.0,4.0,0.0,0.0,48.0,0.0,0.0,4.0,30.0,23.0,167.0,167.0,910.0,0.0,1.0,0.0,0.0,3.0,0.0,47.0,120.0,,252.0,104.0,48.0,26.0,30.0,356.0,353.0,1.0,2.0,102.0,254.0,7.0,5.0,0.0,0.0,21.0,0.0,0.0,5.0,2.0,0.0,0.0,9.0,0.0,0.0,2.0,2.0,30.0,21.0,9.0,1.0
Butte,,266.0,881.0,1147.0,892.0,495.0,7.0,8.0,50.0,291.0,4.0,79.0,16.0,40.0,255.0,60.0,2184.0,465.0,99.0,1.0,0.0,389.0,2.0,4.0,100.0,172.0,193.0,2649.0,2632.0,17514.0,0.0,35.0,15.0,2.0,0.0,2.0,307.0,2342.0,,3951.0,847.0,395.0,156.0,296.0,4798.0,4762.0,27.0,9.0,558.0,4240.0,80.0,78.0,0.0,0.0,253.0,2.0,1.0,78.0,2.0,0.0,0.0,102.0,0.0,0.0,2.0,6.0,358.0,256.0,102.0,40.0
Calaveras,,93.0,131.0,224.0,127.0,81.0,5.0,15.0,7.0,26.0,0.0,13.0,5.0,8.0,97.0,,161.0,43.0,11.0,0.0,0.0,70.0,0.0,0.0,11.0,19.0,13.0,204.0,204.0,1430.0,0.0,0.0,0.0,1.0,0.0,0.0,34.0,170.0,,378.0,114.0,70.0,14.0,30.0,492.0,491.0,0.0,1.0,104.0,388.0,11.0,10.0,0.0,0.0,33.0,0.0,0.0,10.0,1.0,0.0,0.0,19.0,0.0,0.0,1.0,2.0,52.0,33.0,19.0,7.0
