,PART A:  APPLICATIONS FOR FOOD STAMPS,,,,,,,,,,"PART A:  APPLICATIONS FOR FOOD STAMPS, cont'd",,,,,PART B:  CERTIFIED CASELOAD MOVEMENT,,,,,,"PART B:  CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,"PART B:  CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,,"PART B:  CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,PART C:  RECERTIFICATIONS,,,,,,,,,,"PART C:  RECERTIFICATIONS, cont'd",,,,,,,,,
,,1.,2.,3.,4.,4.a.,4.a.(1) PAFS,4.a. (1) NAFS,4.b. PAFS,4.b. NAFS,4.b. (1) PAFS,4.b. (1) NAFS,4.c. PAFS,4.c. NAFS,5.,PAFS,6. PAFS,7. PAFS,7.a. PAFS,7.a PAFS,7.a. PAFS,7.a. NAFS,7.a. NAFS,7.a. NAFS,7.a. PAFS,7.b. PAFS,7.c. PAFS,8. PAFS,8.a. PAFS,8.a.1.,8.b.,8.b.,8.b. PAFS,8.c.,8.c.,8.c. PAFS,9. PAFS,10. PAFS,NAFS,6. NAFS,7. NAFS,7.a. NAFS,7.b. NAFS,7.c. NAFS,8. NAFS,8.a. NAFS,8.b. NAFS,8.c. NAFS,9. NAFS,10. NAFS,11. PAFS,11.a. PAFS,11.a. PAFS,11.a. PAFS,11.a. NAFS,11.a. NAFS,11.a. NAFS,11.a. PAFS,11.b. PAFS,11.b. PAFS,11.b. PAFS,11.b. NAFS,11.b. NAFS,11.b. NAFS,11.b. PAFS,12. PAFS,11. NAFS,11.a. NAFS,11.b. NAFS,12. NAFS
,,Pending,Rec'd,Total,Disposed ,Approved,Approved over 30 days,,Denied,Denied,Denied in over 30 days,,With-,With-,Pending,Adj,Cs frwrd,Cases,Fed apps.,Fed/St apps,St. apps,Fed apps,Fed/St apps,St. apps,Total apps,Transferred,Other ,Total cs open,Pure Fed,Tot Fed,Comb cases St persons,,Fed/St,"St cases, St persons",,Pure St,Cs term,Cs frwrd,Adj,Cs frwrd,Cs added,Tot apps,Transfer'd,Other ,Total cs open,Pure Fed,Fed/St,Pure St,Cs term,Cs frwrd'd,Recerts,Federal,Fed/State,State,Federal,Fed/State,State,Total,Federal,Fed/State,State,Federal,Fed/State,State,Total,Overdue,Recerts,Total,Total,Overdue
County,Adj,last mo,this mo,during mo,,,,,,,,,drawn,drawn,end of mo,,frm lst mo,added,approved,approved,approved,approved,approved,approved,approved,from NAFS,approvals,during mo,cases,Pers count,Singles,Families,comb cs,Singles,Families,cases,during mo,to next mo,,frm lst mo,during mo,approved,frm PAFS,approvals,during mo,cases,comb cs,cases,dur mo,to next mo,disp of,contin elig,contin elig,contin elig,contin elig,contin elig,contin elig,contin elig,inelig,inelig,inelig,inelig,inelig,inelig,Ineligible,recert-CWD,disp of,contin elig,Ineligible,recert-CWD
Data Cell,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,,15.0,17.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,27.0,29.0,31.0,33.0,35.0,36.0,37.0,38.0,40.0,41.0,42.0,44.0,46.0,,16.0,18.0,26.0,28.0,30.0,32.0,34.0,39.0,43.0,45.0,47.0,48.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,66.0,49.0,57.0,65.0,67.0
Statewide,-2386.0,35352.0,96223.0,131575.0,89165.0,56091.0,397.0,1317.0,5033.0,21658.0,84.0,602.0,1438.0,4945.0,42410.0,3814.0,280802.0,28851.0,13400.0,197.0,50.0,41357.0,661.0,426.0,13647.0,5011.0,10193.0,309653.0,304598.0,1815349.0,631.0,12821.0,4742.0,5185.0,970.0,313.0,30458.0,279195.0,6641.0,376055.0,62394.0,42444.0,4738.0,15212.0,438449.0,426485.0,7392.0,4572.0,59313.0,379136.0,18729.0,17900.0,252.0,24.0,21204.0,395.0,226.0,18176.0,543.0,10.0,0.0,3026.0,37.0,20.0,553.0,391.0,24908.0,21825.0,3083.0,445.0
Alameda,,1172.0,3524.0,4696.0,3322.0,1974.0,30.0,22.0,3.0,1056.0,0.0,0.0,0.0,289.0,1374.0,,12375.0,1534.0,692.0,5.0,7.0,1254.0,8.0,8.0,704.0,39.0,791.0,13909.0,13849.0,60022.0,72.0,61.0,60.0,140.0,0.0,0.0,1509.0,12400.0,,7824.0,1946.0,1270.0,41.0,635.0,9770.0,9597.0,65.0,108.0,1777.0,7993.0,757.0,737.0,20.0,0.0,401.0,4.0,5.0,757.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,6.0,429.0,410.0,19.0,2.0
Alpine,-1.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,7.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,8.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,23.0,1.0,1.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Amador,,20.0,88.0,108.0,70.0,48.0,0.0,1.0,0.0,18.0,0.0,3.0,0.0,4.0,38.0,,120.0,43.0,3.0,0.0,0.0,45.0,0.0,0.0,3.0,25.0,15.0,163.0,163.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,120.0,,254.0,84.0,45.0,15.0,24.0,338.0,338.0,0.0,0.0,86.0,252.0,7.0,5.0,0.0,0.0,14.0,0.0,0.0,5.0,2.0,0.0,0.0,9.0,0.0,0.0,2.0,2.0,23.0,14.0,9.0,0.0
Butte,,255.0,899.0,1154.0,798.0,423.0,8.0,67.0,52.0,252.0,8.0,81.0,18.0,53.0,356.0,,2342.0,301.0,71.0,0.0,0.0,350.0,2.0,0.0,71.0,144.0,86.0,2643.0,2634.0,16575.0,0.0,32.0,9.0,4.0,3.0,0.0,369.0,2274.0,,4240.0,726.0,352.0,165.0,209.0,4966.0,4937.0,22.0,7.0,648.0,4318.0,106.0,100.0,1.0,0.0,234.0,2.0,0.0,101.0,5.0,0.0,0.0,83.0,0.0,0.0,5.0,9.0,319.0,236.0,83.0,37.0
Calaveras,,97.0,128.0,225.0,147.0,78.0,5.0,24.0,9.0,47.0,2.0,14.0,3.0,10.0,78.0,,170.0,43.0,13.0,0.0,0.0,65.0,0.0,0.0,13.0,24.0,6.0,213.0,213.0,1485.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,182.0,,388.0,111.0,65.0,17.0,29.0,499.0,499.0,0.0,0.0,96.0,403.0,10.0,9.0,0.0,0.0,24.0,0.0,0.0,9.0,1.0,0.0,0.0,19.0,0.0,0.0,1.0,2.0,43.0,24.0,19.0,5.0
