,PART A:  APPLICATIONS FOR FOOD STAMPS,,,,,,,,,,"PART A:  APPLICATIONS FOR FOOD STAMPS, cont'd",,,,,PART B:  CERTIFIED CASELOAD MOVEMENT,,,,,,"PART B:  CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,"PART B:  CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,,"PART B:  CERTIFIED CASELOAD MOVEMENT, cont'd",,,,,,,,,,PART C:  RECERTIFICATIONS,,,,,,,,,,"PART C:  RECERTIFICATIONS, cont'd",,,,,,,,,
,,1.,2.,3.,4.,4.a.,4.a.(1) PAFS,4.a. (1) NAFS,4.b. PAFS,4.b. NAFS,4.b. (1) PAFS,4.b. (1) NAFS,4.c. PAFS,4.c. NAFS,5.,PAFS,6. PAFS,7. PAFS,7.a. PAFS,7.a PAFS,7.a. PAFS,7.a. NAFS,7.a. NAFS,7.a. NAFS,7.a. PAFS,7.b. PAFS,7.c. PAFS,8. PAFS,8.a. PAFS,8.a.1.,8.b.,8.b.,8.b. PAFS,8.c.,8.c.,8.c. PAFS,9. PAFS,10. PAFS,NAFS,6. NAFS,7. NAFS,7.a. NAFS,7.b. NAFS,7.c. NAFS,8. NAFS,8.a. NAFS,8.b. NAFS,8.c. NAFS,9. NAFS,10. NAFS,11. PAFS,11.a. PAFS,11.a. PAFS,11.a. PAFS,11.a. NAFS,11.a. NAFS,11.a. NAFS,11.a. PAFS,11.b. PAFS,11.b. PAFS,11.b. PAFS,11.b. NAFS,11.b. NAFS,11.b. NAFS,11.b. PAFS,12. PAFS,11. NAFS,11.a. NAFS,11.b. NAFS,12. NAFS
,,Pending,Rec'd,Total,Disposed ,Approved,Approved over 30 days,,Denied,Denied,Denied in over 30 days,,With-,With-,Pending,Adj,Cs frwrd,Cases,Fed apps.,Fed/St apps,St. apps,Fed apps,Fed/St apps,St. apps,Total apps,Transferred,Other ,Total cs open,Pure Fed,Tot Fed,Comb cases St persons,,Fed/St,"St cases, St persons",,Pure St,Cs term,Cs frwrd,Adj,Cs frwrd,Cs added,Tot apps,Transfer'd,Other ,Total cs open,Pure Fed,Fed/St,Pure St,Cs term,Cs frwrd'd,Recerts,Federal,Fed/State,State,Federal,Fed/State,State,Total,Federal,Fed/State,State,Federal,Fed/State,State,Total,Overdue,Recerts,Total,Total,Overdue
County,Adj,last mo,this mo,during mo,,,,,,,,,drawn,drawn,end of mo,,frm lst mo,added,approved,approved,approved,approved,approved,approved,approved,from NAFS,approvals,during mo,cases,Pers count,Singles,Families,comb cs,Singles,Families,cases,during mo,to next mo,,frm lst mo,during mo,approved,frm PAFS,approvals,during mo,cases,comb cs,cases,dur mo,to next mo,disp of,contin elig,contin elig,contin elig,contin elig,contin elig,contin elig,contin elig,inelig,inelig,inelig,inelig,inelig,inelig,Ineligible,recert-CWD,disp of,contin elig,Ineligible,recert-CWD
Data Cell,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,,15.0,17.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,27.0,29.0,31.0,33.0,35.0,36.0,37.0,38.0,40.0,41.0,42.0,44.0,46.0,,16.0,18.0,26.0,28.0,30.0,32.0,34.0,39.0,43.0,45.0,47.0,48.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,66.0,49.0,57.0,65.0,67.0
Statewide,-869.0,39526.0,84255.0,123781.0,80634.0,50044.0,300.0,805.0,4678.0,20134.0,60.0,329.0,1392.0,4386.0,43147.0,5947.0,282205.0,26822.0,12509.0,211.0,43.0,36334.0,586.0,361.0,12763.0,4690.0,9369.0,309027.0,304155.0,1802254.0,666.0,13040.0,4652.0,5205.0,1057.0,220.0,37227.0,271800.0,3591.0,370932.0,56495.0,37281.0,5654.0,13560.0,427427.0,415182.0,7754.0,4491.0,63226.0,364201.0,18043.0,17208.0,241.0,30.0,19783.0,437.0,191.0,17479.0,553.0,11.0,0.0,2824.0,37.0,21.0,564.0,455.0,23293.0,20411.0,2882.0,386.0
Alameda  b/,,1300.0,2893.0,4193.0,2752.0,1700.0,11.0,10.0,13.0,829.0,0.0,0.0,0.0,210.0,1441.0,,12516.0,1355.0,618.0,6.0,10.0,1051.0,3.0,12.0,634.0,21.0,700.0,13871.0,13809.0,58998.0,62.0,64.0,62.0,136.0,0.0,0.0,2339.0,11532.0,,7765.0,1636.0,1066.0,28.0,542.0,9401.0,9237.0,59.0,105.0,1914.0,7487.0,638.0,629.0,9.0,0.0,312.0,8.0,6.0,638.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,340.0,326.0,14.0,0.0
Alpine  b/,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,,24.0,1.0,1.0,0.0,0.0,25.0,25.0,0.0,0.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amador,,43.0,74.0,117.0,90.0,61.0,1.0,8.0,1.0,25.0,1.0,8.0,0.0,3.0,27.0,,134.0,33.0,7.0,0.0,0.0,54.0,0.0,0.0,7.0,20.0,6.0,167.0,167.0,952.0,0.0,1.0,0.0,0.0,1.0,0.0,57.0,110.0,,239.0,104.0,54.0,25.0,25.0,343.0,341.0,1.0,1.0,91.0,252.0,7.0,6.0,0.0,0.0,11.0,0.0,0.0,6.0,1.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0,20.0,11.0,9.0,3.0
Butte,,262.0,658.0,920.0,654.0,377.0,7.0,38.0,32.0,191.0,4.0,35.0,19.0,35.0,266.0,,2237.0,275.0,64.0,1.0,0.0,310.0,1.0,1.0,65.0,132.0,78.0,2512.0,2503.0,15845.0,0.0,25.0,9.0,7.0,1.0,0.0,388.0,2124.0,,4116.0,576.0,312.0,99.0,165.0,4692.0,4666.0,18.0,8.0,741.0,3951.0,84.0,79.0,0.0,0.0,178.0,1.0,0.0,79.0,5.0,0.0,0.0,67.0,0.0,0.0,5.0,5.0,246.0,179.0,67.0,25.0
Calaveras,,111.0,114.0,225.0,132.0,87.0,5.0,19.0,6.0,24.0,1.0,5.0,4.0,11.0,93.0,,159.0,41.0,16.0,0.0,0.0,71.0,0.0,0.0,16.0,12.0,13.0,200.0,199.0,1447.0,0.0,0.0,0.0,1.0,4.0,1.0,39.0,161.0,,361.0,109.0,71.0,9.0,29.0,470.0,469.0,0.0,1.0,92.0,378.0,9.0,6.0,0.0,0.0,30.0,0.0,0.0,6.0,3.0,0.0,0.0,12.0,0.0,0.0,3.0,0.0,42.0,30.0,12.0,3.0
